категорія	kategorien	категорія	kategorien	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
від	vom	від	vom	ADP;GEN	
від	vid	від	vid	ADP;GEN	
про	etwa	про	etwa	ADP;ACC	ADV
його	seinem	він	sein	PRO;ACC;MASC;SG;3	DET;DAT;MASC;SG
його	seinen	він	sein	PRO;ACC;MASC;SG;3	DET;ACC;MASC;SG
його	seine	він	sein	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG
його	sein	він	sein	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG
його	seiner	він	sein	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG
його	ihre	він	ihr	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG
його	seine	він	sein	PRO;ACC;MASC;SG;3	DET;NOM;FEM;SG
його	seiner	він	sein	PRO;ACC;MASC;SG;3	DET;NOM;MASC;SG
його	er	він	er	PRO;ACC;MASC;SG;3	PRO;NOM;MASC;SG;3
його	ihm	він	er	PRO;ACC;MASC;SG;3	PRO;DAT;MASC;SG;3
був	war	бути	sein	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
був	wurde	бути	werden	V;IPFV;MASC;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;PASS
населення	bevölkerung	населення	bevölkerung	N;INAN;NOM;NEUT;SG	ADJ
населення	demographie	населення	demographie	N;INAN;NOM;NEUT;SG	
населення	einwohnerzahl	населення	einwohnerzahl	N;INAN;NOM;NEUT;SG	ADJ
населення	demografische	населення	demografisch	N;INAN;NOM;NEUT;SG	ADJ;NOM;FEM;PL
населення	demografie	населення	demografie	N;INAN;NOM;NEUT;SG	PROPN
населення	bevölkerung	населення	bevölkerung	N;INAN;NOM;NEUT;SG	ADJ
населення	bevölkerungszahl	населення	bevölkerungszahl	N;INAN;NOM;NEUT;SG	ADJ
населення	grundgesamtheit	населення	grundgesamtheit	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
населення	einwohner	населення	einwohner	N;INAN;NOM;NEUT;SG	N;NOM;MASC;PL
населення	einwohnerzahl	населення	einwohnerzahl	N;INAN;NOM;NEUT;SG	ADJ
було	war	бути	sein	V;IPFV;NEUT;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
було	wurde	бути	werden	V;IPFV;NEUT;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;PASS
під	darunter	під	darunter	ADP;ACC	ADV
під	drunter	під	drunter	ADP;ACC	ADV
під	darunter	під	darunter	ADP;ACC	ADV
під	under	під	under	ADP;ACC	
після	danach	після	danach	ADP;GEN	ADV
після	after	після	aft	ADP;GEN	PROPN;NOM;SG
після	nachher	після	nachher	ADP;GEN	ADV
після	nachdem	після	nachdem	ADP;GEN	CONJ
час	zeiten	час	zeiten	N;INAN;NOM;MASC;SG	V;NFIN
час	male	час	malen	N;INAN;NOM;MASC;SG	ADJ
час	mal	час	mal	N;INAN;NOM;MASC;SG	ADV
час	times	час	times	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
час	zeit	час	zeit	N;INAN;NOM;MASC;SG	ADJ
час	uhrzeit	час	uhrzeit	N;INAN;NOM;MASC;SG	ADJ
час	zeiten	час	zeiten	N;INAN;NOM;MASC;SG	V;NFIN
час	zeitraum	час	zeitraum	N;INAN;NOM;MASC;SG	ADV
час	zeitpunkt	час	zeitpunkt	N;INAN;NOM;MASC;SG	ADJ
але	doch	але	doch	CONJ	ADV
але	allerdings	але	allerdings	CONJ	ADV
але	but	але	bun	CONJ	
але	jedoch	але	jedoch	CONJ	ADV
області	bereiche	область	bereich	N;INAN;GEN;FEM;SG	
області	bereichen	область	bereichen	N;INAN;GEN;FEM;SG	V;NFIN
області	flächen	область	flächen	N;INAN;GEN;FEM;SG	V;NFIN
області	gebiete	область	gebieten	N;INAN;GEN;FEM;SG	
які	welches	який	welch	DET;NOM;PL	PRO;NOM;NEUT;SG
які	welcher	який	welch	DET;NOM;PL	PRO;NOM;MASC;SG
які	welche	який	welch	DET;NOM;PL	PRO;NOM;SG
які	welchen	який	welch	DET;NOM;PL	PRO;NOM;SG
при	pri	при	pri	ADP;ESS	PROPN;NOM;SG
при	brz	при	brz	ADP;ESS	
який	welches	який	welch	DET;NOM;MASC;SG	PRO;NOM;NEUT;SG
який	welcher	який	welch	DET;NOM;MASC;SG	PRO;NOM;MASC;SG
який	welche	який	welch	DET;NOM;MASC;SG	PRO;NOM;SG
який	welchen	який	welch	DET;NOM;MASC;SG	PRO;NOM;SG
була	war	бути	sein	V;IPFV;FEM;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN
була	wurde	бути	werden	V;IPFV;FEM;IND;SG;PST;FIN	V;IND;SG;3;PST;FIN;PASS
були	wurden	бути	werden	V;IPFV;IND;PL;PST;FIN	V;IND;PL;3;PST;FIN;PASS
були	waren	бути	sein	V;IPFV;IND;PL;PST;FIN	V;IND;PL;3;PST;FIN
осіб	personen	особа	Person	N;ANIM;ACC;FEM;PL	N;NOM;FEM;PL
міста	städte	місто	staden	N;INAN;NOM;NEUT;SG	N;NOM;FEM;PL
міста	stadt	місто	staden	N;INAN;NOM;NEUT;SG	
міста	launen	місто	launen	N;INAN;NOM;NEUT;SG	V;NFIN
див	sehen	див.	sehen		V;NFIN
див	schau	див.	schau		;SG
див	see	див.	see		
див	siehe	див.	sehen		V;IMP;SG;FIN
див	ansehen	див.	ansehen		V;NFIN
село	selo	село	selo	N;INAN;NOM;NEUT;SG	PROPN;NOM;SG
село	feriendorf	село	feriendorf	N;INAN;NOM;NEUT;SG	
село	ortschaft	село	ortschaft	N;INAN;NOM;NEUT;SG	ADJ
район	rajon	район	rajon	N;INAN;NOM;MASC;SG	ADJ
район	district	район	district	N;INAN;NOM;MASC;SG	PROPN
район	bezirk	район	bezirk	N;INAN;NOM;MASC;SG	PROPN
район	stadtteil	район	stadtteil	N;INAN;NOM;MASC;SG	ADJ
район	distrikt	район	distrikt	N;INAN;NOM;MASC;SG	ADJ
через	via	через	via	ADP;ACC	
через	due	через	due	ADP;ACC	
через	fällig	через	fällig	ADP;ACC	ADJ
села	dörfer	село	dörfern	N;INAN;NOM;NEUT;SG	
села	ortschaften	село	ortschaften	N;INAN;NOM;NEUT;SG	ADJ
села	sela	село	sela	N;INAN;NOM;NEUT;SG	PROPN;NOM;MASC;SG
так	ja	так	ja	INTJ	ADV
так	yeah	так	yeah	INTJ	PROPN
так	yes	так	yes	INTJ	
так	jawohl	так	jawohl	INTJ	ADV
так	ja	так	ja	INTJ	ADV
тому	folglich	тому	folglich	ADV	ADJ
рік	rick	рік	racken	N;INAN;NOM;MASC;SG	PROPN;NOM;SG
рік	baujahr	рік	baujahr	N;INAN;NOM;MASC;SG	
рік	jahre	рік	jahren	N;INAN;NOM;MASC;SG	ADV
відстань	abstand	відстань	abstehen	N;INAN;NOM;FEM;SG	
відстань	entfernung	відстань	entfernung	N;INAN;NOM;FEM;SG	ADJ
відстань	distanz	відстань	distanz	N;INAN;NOM;FEM;SG	
відстань	entfernungen	відстань	entfernung	N;INAN;NOM;FEM;SG	V;V.PTCP
ради	council	рада	council	N;INAN;NOM;FEM;PL	PROPN
сша	usa	сШа	usa	PROPN;INAN;GEN	PROPN;NOM;MASC;PL
має	muss	мати	müssen	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
має	muß	мати	müssen	V;IPFV;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
має	mussen	мати	mussen	V;IPFV;IND;SG;3;PRS;FIN	
