در	ajtó	در	ajtó	ADP	N;NOM;SG
از	től	از	től	ADP	
از	tól	از	tól	ADP	
از	from	از	from	ADP	
که	ki	که	ki	CONJ	PRO;NOM;SG;3
که	aki	که	aki	CONJ	PRO;NOM;SG;3
که	ez	که	ez	CONJ	PRO;NOM;SG;3
این	ezt	این	ez	DET	PRO;ACC;SG;3
این	ez	این	ez	DET	PRO;NOM;SG;3
را	az	را	az	PART	
با	with	با	with	ADP	
میلادی	évtized	میلادی	évtized	ADJ	N;NOM;SG
میلادی	évtizedben	میلادی	évtized	ADJ	N;IN+ESS;SG
میلادی	évtizede	میلادی	évtized	ADJ	N;NOM;SG
یک	egy	یک	egy	NUM	DET;INDF
سال	évek	سال	év	N;SG	N;NOM;PL
سال	sal	سال	sal	N;SG	
سال	évi	سال	évi	N;SG	
آن	anne	آن	az	DET	
ایران	iráni	ایران	iráni	N;SG	
ایران	irán	ایران	irán	N;SG	PROPN;NOM;SG
برای	for	برای	for	ADP	
اهل	ahl	اهل	ahl	N;SG	
شهرستان	megyei	شهرستان	megyei	N;SG	ADJ;NOM;SG
شهرستان	megye	شهرستان	megye	N;SG	
آمریکا	america	آمریکا	america	N;SG	
او	neki	او	ő	PRO;SG;3	
تا	may	تا	may	ADP	
تا	május	تا	május	ADP	N;NOM;SG
تا	májusi	تا	májusi	ADP	ADJ;NOM;SG
تا	májusban	تا	május	ADP	N;IN+ESS;SG
وابسته	melléknév	وابسته	mellék	ADJ	N;NOM;SG
وابسته	eltartott	وابسته	eltartott	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
وابسته	függő	وابسته	függő	ADJ	
وابسته	társult	وابسته	társul	ADJ	V;INDF;IND;SG;3;PST;FIN;ACT
ساعت	órákban	ساعت	óra	N;SG	N;IN+ESS;PL
ساعت	órák	ساعت	óra	N;SG	N;NOM;PL
پایه	alap	پایه	alap	N;SG	
پایه	alap	پایه	alap	N;SG	
پایه	alapítványok	پایه	alapítvány	N;SG	N;NOM;PL
پایه	alap	پایه	alap	N;SG	
پایه	alapvető	پایه	alapvető	N;SG	
استان	régiók	استان	régió	N;SG	N;NOM;PL
شهر	town	شهر	town	N;SG	
شهر	city	شهر	city	N;SG	
شهر	városi	شهر	városi	N;SG	ADJ;NOM;SG
ملی	national	ملی	national	ADJ	
تاریخ	előzmények	تاریخ	előzmény	N;SG	N;NOM;PL
فیلم	filmek	فیلم	film	N;SG	N;NOM;PL
فیلم	filmeket	فیلم	film	N;SG	N;ACC;PL
بخش	megye	بخش	megye	N;SG	
بخش	kerület	بخش	kerület	N;SG	
جمعیت	tömegek	جمعیت	tömeg	N;SG	N;NOM;PL
دو	kettő	دو	kettő	NUM	
پس	aztán	پس	aztán	ADV	
یکی	valaki	یک	valaki	NUM	
یکی	valakit	یک	valakit	NUM	
یکی	egy	یک	egy	NUM	DET;INDF
آثار	hatás	اثر	hatás	N;PL	N;NOM;SG
وی	wei	وی	wei	PRO;SG;3	
وی	wii	وی	wii	PRO;SG;3	N;NOM;SG
دیگر	több	دیگر	több	ADV	DET;INDF
دیگر	more	دیگر	more	ADV	
دیگر	további	دیگر	további	ADV	N;NOM;SG
دیگر	tobb	دیگر	tobb	ADV	
دیگر	egyéb	دیگر	egyéb	ADV	
دیگر	más	دیگر	más	ADV	PRO;NOM;SG;3
دیگر	másoknak	دیگر	más	ADV	PRO;DAT;PL;3
دیگر	egyéb	دیگر	egyéb	ADV	
دیگر	mások	دیگر	más	ADV	
دیگر	egyebek	دیگر	egyéb	ADV	
می	május	می	május		N;NOM;SG
می	májusi	می	májusi		ADJ;NOM;SG
می	májusban	می	május		N;IN+ESS;SG
پیوند	link	پیوند	link	N;SG	
پیوند	linket	پیوند	link	N;SG	
پیوند	kapcsolt	پیوند	kapcsolt	N;SG	
پیوند	kapcsolódott	پیوند	kapcsolódott	N;SG	V;INDF;IND;SG;3;PST;FIN;ACT
