leonor	eleonora	leonor	eleonor	N;FEM;SG	PROPN;NOM;FEM;SG;POS
causada	způsobené	causar	způsobený	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
graham	grahama	grahar	grahama	N;MASC;SG	PROPN;ANIM;ACC;MASC;SG;POS
graham	graham	grahar	graham	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
publicar	nakladatelství	publicar	nakladatelství	V;NFIN	N;NOM;NEUT;SG;POS
publicar	vydavatelství	publicar	vydavatelství	V;NFIN	N;NOM;NEUT;SG;POS
publicar	zveřejňování	publicar	zveřejňování	V;NFIN	N;NOM;NEUT;SG;POS
publicar	publikování	publicar	publikování	V;NFIN	N;NOM;NEUT;SG;POS
publicar	zveřejnění	publicar	zveřejnění	V;NFIN	N;NOM;NEUT;SG;POS
publicar	post	publicar	post	V;NFIN	N;INAN;NOM;MASC;SG;POS
publicar	pošta	publicar	pošta	V;NFIN	N;NOM;FEM;SG;POS
publicar	příspěvek	publicar	příspěvek	V;NFIN	N;INAN;NOM;MASC;SG;POS
publicar	zveřejňování	publicar	zveřejňování	V;NFIN	N;NOM;NEUT;SG;POS
vencido	poražený	vencer	poražený	V;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
vencido	smolař	vencer	smolař	V;MASC;SG;V.PTCP	N;ANIM;NOM;MASC;SG;POS
vencido	nula	vencer	nula	V;MASC;SG;V.PTCP	N;NOM;FEM;SG;POS
vencido	poražen	vencer	poražený	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
vencido	bit	vencer	bit	V;MASC;SG;V.PTCP	PROPN;INAN;NOM;MASC;SG;POS
vencido	poražen	vencer	poražený	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
vencido	poražený	vencer	poražený	V;MASC;SG;V.PTCP	ADJ;ANIM;NOM;MASC;SG;POS
vencido	poraženi	vencer	poražený	V;MASC;SG;V.PTCP	ADJ;ANIM;MASC;PL;POS;V.PTCP;PASS
atribuída	přiděleno	atribuir	přidělený	V;FEM;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
atribuída	přidělená	atribuir	přidělený	V;FEM;SG;V.PTCP	ADJ;NOM;FEM;SG;POS
atribuída	přidělen	atribuir	přidělený	V;FEM;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
atribuída	přidělený	atribuir	přidělený	V;FEM;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
atribuída	přidělené	atribuir	přidělený	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
atribuída	přidělené	atribuir	přidělený	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
imigração	imigrační	imigração	imigrační	N;FEM;SG	ADJ;NOM;MASC;SG;POS
maurice	maurici	maurice	maurice	N;MASC;SG	N;ANIM;NOM;MASC;PL;POS
maurice	maurice	maurice	maurika	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
roman	římské	roman	římský	N;MASC;SG	ADJ;NOM;NEUT;PL;POS
roman	roman	roman	roman	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
roman	římská	roman	římský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
aumentando	zvyšování	aumentar	zvyšování	V;V.MSDR	N;NOM;NEUT;SG;POS
semelhança	podobnosti	semelhança	podobnost	N;FEM;SG	N;NOM;FEM;PL;POS
expressa	expres	esprimir	expres	V;FEM;SG;V.PTCP	N;INAN;NOM;MASC;SG;POS
expressa	express	esprimir	express	V;FEM;SG;V.PTCP	PROPN;INAN;NOM;MASC;SG;POS
expressa	expresní	esprimir	expresní	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;SG;POS
expressa	vyjádřené	esprimir	vyjádřený	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;PL;POS
expressa	vyjádřila	esprimir	vyjádřit	V;FEM;SG;V.PTCP	V;PFV;POS;PST;V.PTCP;ACT
expressa	vyjádřeno	esprimir	vyjádřený	V;FEM;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
ava	ava	avar	ava	N;MASC;SG	PROPN;NOM;FEM;SG;POS
actividades	činnost	actividade	činnost	N;FEM;PL	N;NOM;FEM;SG;POS
actividades	činnosti	actividade	činnost	N;FEM;PL	N;NOM;FEM;SG;POS
polaco	polák	polaco	polák	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
polaco	polský	polaco	polský	N;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
polaco	polská	polaco	polský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
polaco	polské	polaco	polský	N;MASC;SG	ADJ;NOM;MASC;PL;POS
irlandês	irský	irlandês	irský	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
irlandês	ir	irlandês	ir	N;MASC;SG	PROPN;MASC;POS
irlandês	irské	irlandês	irský	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
irlandês	irská	irlandês	irský	N;MASC;SG	ADJ;NOM;FEM;SG;POS
irlandês	ir	irlandês	ir	N;MASC;SG	PROPN;MASC;POS
combates	bojuje	combate	bojovat	N;MASC;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
enviados	odesláno	enviar	odeslaný	V;MASC;PL;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
enviados	odeslány	enviar	odeslaný	V;MASC;PL;V.PTCP	ADJ;INAN;PL;POS;V.PTCP;PASS
enviados	poslové	enviar	poslový	V;MASC;PL;V.PTCP	N;ANIM;NOM;MASC;PL;POS
enviados	vyslanci	enviar	vyslanec	V;MASC;PL;V.PTCP	N;ANIM;NOM;MASC;PL;POS
enviados	odesláno	enviar	odeslaný	V;MASC;PL;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
enviados	poslal	enviar	poslat	V;MASC;PL;V.PTCP	V;MASC;SG;POS;PST;V.PTCP;ACT
enviados	posláno	enviar	poslaný	V;MASC;PL;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
saiba	know	saber	know	V;SBJV;SG;3;PRS;FIN	N;FEM;SG;POS
divisa	měny	divisa	měna	N;FEM;SG	N;NOM;FEM;PL;POS
sonda	sondy	sondar	sonda	N;FEM;SG	N;NOM;FEM;PL;POS
kent	kent	kent	kent	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
contínua	nepřetržité	contínuo	nepřetržitý	N;FEM;SG	ADJ;NOM;NEUT;SG;NEG
contínua	kontinuální	contínuo	kontinuální	N;FEM;SG	ADJ;NOM;MASC;SG;POS
contínua	nepřetržitý	contínuo	přetržitý	N;FEM;SG	ADJ;INAN;NOM;MASC;SG;NEG
contínua	průběžné	contínuo	průběžný	N;FEM;SG	ADJ;NOM;MASC;PL;POS
ofensiva	urážlivý	ofensiva	urážlivý	N;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
ofensiva	urážlivé	ofensiva	urážlivý	N;FEM;SG	ADJ;NOM;NEUT;SG;POS
ofensiva	útočný	ofensiva	útočný	N;FEM;SG	ADJ;INAN;NOM;MASC;SG;POS
tokyo	tokiu	tokyo	tokium	N;MASC;SG	PROPN;DAT;NEUT;SG;POS
tokyo	tokio	tokyo	tokio	N;MASC;SG	PROPN;NOM;NEUT;SG;POS
quartel	kasáren	quartel	kasárna	N;MASC;SG	N;GEN;FEM;PL;POS
quartel	kasárnách	quartel	kasárna	N;MASC;SG	N;DAT;FEM;PL;POS
mamíferos	savec	mamífero	savec	N;MASC;PL	N;ANIM;NOM;MASC;SG;POS
fracasso	selhat	fracasso	selhat	N;MASC;SG	V;POS;NFIN
solos	hlína	solo	hlína	N;MASC;PL	N;NOM;FEM;SG;POS
solos	půda	solo	půda	N;MASC;PL	N;NOM;FEM;SG;POS
got	mám	got	mít	N;MASC;SG	V;IND;SG;1;POS;PRS;FIN;ACT
got	dostal	got	dostat	N;MASC;SG	V;MASC;SG;POS;PST;V.PTCP;ACT
thompson	thompson	thompson	thompson	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
citados	citoval	citar	citovat	V;MASC;PL;V.PTCP	V;IPFV;MASC;SG;POS;PST;V.PTCP;ACT
distribuído	distribuován	distribuir	distribuovaný	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
wolf	vlčí	wolf	vlčit	N;MASC;SG	ADJ;NOM;MASC;SG;POS
wolf	wolf	wolf	wolf	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
variam	vary	variar	vary	V;IND;PL;3;PRS;FIN	PROPN;INAN;NOM;MASC;PL;POS
danilo	danilo	danilo	danit	N;MASC;SG	V;IPFV;NEUT;SG;POS;PST;V.PTCP;ACT
ricos	bohaté	rico	bohatý	N;MASC;PL	ADJ;NOM;NEUT;SG;POS
ricos	bohatí	rico	bohatý	N;MASC;PL	ADJ;ANIM;NOM;MASC;PL;POS
ricos	bohatá	rico	bohatý	N;MASC;PL	ADJ;NOM;FEM;SG;POS
ricos	rich	rico	rich	N;MASC;PL	PROPN;ANIM;NOM;MASC;SG;POS
ricos	bohatý	rico	bohatý	N;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
ricos	bohaté	rico	bohatý	N;MASC;PL	ADJ;NOM;NEUT;SG;POS
ricos	bohatý	rico	bohatý	N;MASC;PL	ADJ;INAN;NOM;MASC;SG;POS
tópicos	téma	tópico	téma	N;MASC;PL	N;NOM;NEUT;SG;POS
rotação	rotující	rotação	rotující	N;FEM;SG	ADJ;IPFV;NOM;MASC;SG;POS;PRS;V.PTCP;ACT
catolicismo	katolická	catolicismo	katolický	N;MASC;SG	ADJ;NOM;FEM;SG;POS
catolicismo	katolické	catolicismo	katolický	N;MASC;SG	ADJ;NOM;NEUT;SG;POS
catolicismo	katolický	catolicismo	katolický	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
destruída	zničeno	destruir	zničený	V;FEM;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
destruída	zničen	destruir	zničený	V;FEM;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
destruída	zničena	destruir	zničený	V;FEM;SG;V.PTCP	ADJ;POS;V.PTCP;PASS
terrenos	pozemek	terreno	pozemek	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
terrenos	země	terreno	země	N;MASC;PL	N;NOM;FEM;SG;POS
terrenos	terénní	terreno	terénní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
terrenos	terénu	terreno	terén	N;MASC;PL	N;INAN;GEN;MASC;SG;POS
terrenos	terén	terreno	terén	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
mandatos	pověření	mandato	pověření	N;MASC;PL	N;NOM;NEUT;SG;POS
lançamentos	zahajuje	lançamento	zahajovat	N;MASC;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
lançamentos	vypuštění	lançamento	vypuštění	N;MASC;PL	N;NOM;NEUT;SG;POS
lançamentos	uvolňuje	lançamento	uvolňovat	N;MASC;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
roque	roque	roque	roque	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
giuseppe	giuseppe	giuseppe	giuseppe	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
dita	diktuje	dizer	diktovat	N;FEM;SG	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
internos	vnitřní	interno	vnitřní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
internos	interní	interno	interní	N;MASC;PL	ADJ;NOM;MASC;SG;POS
palestina	palestiny	palestina	palestina	N;FEM;SG	PROPN;NOM;FEM;SG;POS
palestina	palestinské	palestina	palestinský	N;FEM;SG	ADJ;NOM;FEM;SG;POS
taiwan	taiwanu	taiwan	taiwan	N;MASC;SG	PROPN;INAN;DAT;MASC;SG;POS
sara	sarah	sara	sarah	N;FEM;SG	PROPN;NOM;FEM;SG;POS
sara	sara	sara	saro	N;FEM;SG	PROPN;NOM;FEM;SG;POS
sara	saro	sara	saro	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG;POS
aldeias	vesnice	aldeia	vesnice	N;FEM;PL	N;NOM;FEM;SG;POS
restrições	omezení	restrição	omezení	N;FEM;PL	N;NOM;NEUT;SG;POS
restrições	omezení	restrição	omezení	N;FEM;PL	N;NOM;NEUT;SG;POS
restrições	omezení	restrição	omezení	N;FEM;PL	N;NOM;NEUT;SG;POS
neil	neil	neil	neil	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
pesos	závaží	peso	závaží	N;MASC;PL	N;NOM;NEUT;SG;POS
pesos	pesos	peso	pesos	N;MASC;PL	N;NOM;FEM;SG;POS
douro	douro	douro	douro	N;MASC;SG	PROPN;NOM;NEUT;SG;POS
diminuir	pokles	diminuir	pokles	V;NFIN	N;INAN;NOM;MASC;SG;POS
diminuir	snížení	diminuir	snížení	V;NFIN	N;NOM;NEUT;SG;POS
fischer	fischer	fischer	fischer	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
atingindo	dosažení	atingir	dosažení	V;V.MSDR	N;NOM;NEUT;SG;POS
evil	zlý	evil	zlý	N;MASC;SG	ADJ;ANIM;NOM;MASC;SG;POS
evil	zlá	evil	zlý	N;MASC;SG	ADJ;NOM;FEM;SG;POS
premiado	udělena	premiar	udělený	V;MASC;SG;V.PTCP	ADJ;POS;V.PTCP;PASS
premiado	udělené	premiar	udělený	V;MASC;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
reações	reakce	reação	reakce	N;FEM;PL	N;NOM;FEM;SG;POS
visitar	návštěvu	visitar	návštěva	V;NFIN	N;ACC;FEM;SG;POS
visitar	návštěva	visitar	návštěva	V;NFIN	N;NOM;FEM;SG;POS
run	spustit	run	spustit	N;MASC;SG	V;PFV;POS;NFIN
capturado	zajat	capturar	zajatý	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
capturado	chycen	capturar	chycený	V;MASC;SG;V.PTCP	ADJ;MASC;SG;POS;V.PTCP;PASS
capturado	zajali	capturar	zajmout	V;MASC;SG;V.PTCP	V;ANIM;MASC;PL;POS;PST;V.PTCP;ACT
reno	porýní	reno	porýnit	N;MASC;SG	PROPN;NOM;NEUT;SG;POS
reno	reno	reno	reno	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
oposto	opak	oposto	opak	ADJ;MASC;SG	N;INAN;NOM;MASC;SG;POS
oposto	naproti	oposto	naproti	ADJ;MASC;SG	ADP;DAT
edit	upravit	edit	upravit	N;MASC;SG	V;PFV;POS;NFIN
primário	primární	primário	primární	N;MASC;SG	ADJ;NOM;MASC;SG;POS
coberta	pokryté	cobrir	pokrytý	V;FEM;SG;V.PTCP	ADJ;NOM;MASC;PL;POS
coberta	krytý	cobrir	krytý	V;FEM;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
coberta	kryté	cobrir	krytý	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
coberta	pokrytý	cobrir	pokrytý	V;FEM;SG;V.PTCP	ADJ;INAN;NOM;MASC;SG;POS
coberta	zajištěné	cobrir	zajištěný	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
traduções	překlad	tradução	překlad	N;FEM;PL	N;INAN;NOM;MASC;SG;POS
defensores	obránce	defensor	obránce	N;MASC;PL	N;ANIM;NOM;MASC;SG;POS
defensores	obhajuje	defensor	obhajovat	N;MASC;PL	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
lar	doma	lar	doma	N;MASC;SG	ADV
lar	domácí	lar	domácí	N;MASC;SG	ADJ;ANIM;NOM;MASC;PL;POS
lar	domů	lar	domů	N;MASC;SG	ADV
heitor	hector	heitor	hector	N;MASC;SG	PROPN;ANIM;NOM;MASC;SG;POS
completou	dokončeno	completar	dokončený	V;IND;SG;3;PST;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
completou	ukončeno	completar	ukončený	V;IND;SG;3;PST;FIN	ADJ;NEUT;SG;POS;V.PTCP;PASS
completou	dokončené	completar	dokončený	V;IND;SG;3;PST;FIN	ADJ;NOM;NEUT;SG;POS
completou	dokončen	completar	dokončený	V;IND;SG;3;PST;FIN	ADJ;MASC;SG;POS;V.PTCP;PASS
completou	dokončena	completar	dokončený	V;IND;SG;3;PST;FIN	ADJ;POS;V.PTCP;PASS
parabéns	gratuluji	parabéns	gratulovat	N;MASC;PL	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
parabéns	gratulace	parabéns	gratulace	N;MASC;PL	N;NOM;FEM;SG;POS
parabéns	gratuluji	parabéns	gratulovat	N;MASC;PL	V;IPFV;IND;SG;1;POS;PRS;FIN;ACT
parabéns	gratulace	parabéns	gratulace	N;MASC;PL	N;NOM;FEM;SG;POS
gases	benzín	gase	benzín	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
gases	plynové	gase	plynový	N;MASC;PL	ADJ;NOM;MASC;PL;POS
gases	plyn	gase	plyn	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
mecanismos	mechanismus	mecanismo	mechanismus	N;MASC;PL	N;INAN;NOM;MASC;SG;POS
concluída	dokončeno	concluído	dokončený	V;FEM;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
concluída	ukončeno	concluído	ukončený	V;FEM;SG;V.PTCP	ADJ;NEUT;SG;POS;V.PTCP;PASS
concluída	dokončené	concluído	dokončený	V;FEM;SG;V.PTCP	ADJ;NOM;NEUT;SG;POS
