apg	apg	apg	apg		N;INDF;MASC;SG
liczyć	conte	liczyć	conte	V;IPFV;NFIN;ACT	N;INDF;MASC;SG
liczyć	contele	liczyć	conte	V;IPFV;NFIN;ACT	N;DEF;MASC;SG
liczyć	numararea	liczyć	numarare	V;IPFV;NFIN;ACT	N;DEF;FEM;SG
liczyć	numarare	liczyć	numarare	V;IPFV;NFIN;ACT	N;INDF;FEM;SG
portrety	portretele	portret	portret	N;NOM;MASC;PL	N;DEF;FEM;PL
ofiarą	victima	ofiara	victimă	N;INS;FEM;SG	N;DEF;FEM;SG
ofiarą	victima	ofiara	victimă	N;INS;FEM;SG	N;DEF;FEM;SG
warstwa	stratul	warstwa	strat	N;NOM;FEM;SG	N;DEF;MASC;SG
pomiaru	masurare	pomiar	masurare	N;GEN;MASC;SG	N;INDF;FEM;SG
pomiaru	masurarea	pomiar	masurare	N;GEN;MASC;SG	N;DEF;FEM;SG
pomiaru	masurare	pomiar	masurare	N;GEN;MASC;SG	N;INDF;FEM;SG
pomiaru	masurarea	pomiar	masurare	N;GEN;MASC;SG	N;DEF;FEM;SG
pomiaru	masuratori	pomiar	masurator	N;GEN;MASC;SG	N;INDF;MASC;PL
osobowości	personalitati	osobowość	personalitati	N;GEN;FEM;SG	N;INDF;MASC;PL
osobowości	personalitati	osobowość	personalitati	N;GEN;FEM;SG	N;INDF;MASC;PL
osobowości	personalitate	osobowość	personalitate	N;GEN;FEM;SG	N;INDF;FEM;SG
osobowości	personalitatea	osobowość	personalitate	N;GEN;FEM;SG	N;DEF;FEM;SG
kamiński	kamiński	kamiński	kamiński	PROPN;NOM;MASC;SG	
seulu	seul	seul	seu	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
seulu	seoul	seul	seoul	PROPN;NOM;MASC;SG	N;DEF;MASC;SG
poprzednie	fosta	poprzednie	fost		ADJ;DEF;FEM;SG
poprzednie	anterior	poprzednie	anterior		ADV
poprzednie	precedenta	poprzednie	precedent		ADJ;DEF;FEM;SG
poprzednie	anterioare	poprzednie	anterior		ADJ;INDF;FEM;PL
poprzednie	precedent	poprzednie	precedent		N;INDF;MASC;SG
electric	electrice	electric	electric		ADJ;INDF;FEM;PL
electric	electric	electric	electric		ADJ;INDF;MASC;SG
electric	electrica	electric	electrică		N;DEF;FEM;SG
schumacher	schumacher	schumacher	schumacher	N;NOM;MASC;SG	PROPN
królową	regina	królowa	regină	N;INS;FEM;SG	N;DEF;FEM;SG
królową	regina	królowa	regină	N;INS;FEM;SG	N;DEF;FEM;SG
komentarze	comentariile	komentarz	comentariu	N;NOM;MASC;PL	N;DEF;FEM;PL
keith	keith	keith	keith	PROPN;NOM;MASC;SG	PROPN
naczynia	vesela	naczynie	vesel	N;NOM;NEUT;PL	ADJ;DEF;FEM;SG
zastąpić	inlocuit	zastąpić	inlocui	V;PFV;NFIN;ACT	ADJ;INDF;MASC;SG
zastąpić	inlocuita	zastąpić	inlocuita	V;PFV;NFIN;ACT	ADJ;DEF;FEM;SG
zastąpić	inlocuite	zastąpić	inlocui	V;PFV;NFIN;ACT	ADJ;INDF;FEM;PL
