černych	τσερνίχ	černy	τσερνίχ	N;ANIM;NOM;MASC;SG	
kódy	κωδικοί	kód	κωδικός	N;INAN;NOM;MASC;PL	ADJ;NOM;MASC;PL
kódy	κωδικούς	kód	κώδικός	N;INAN;NOM;MASC;PL	ADJ;ACC;MASC;PL
podporovať	στήριξη	podporovať	στήριξη	V;IPFV;POS;NFIN	N;ACC;FEM;SG
podporovať	υποστήριξη	podporovať	υποστήριξη	V;IPFV;POS;NFIN	N;ACC;FEM;SG
podporovať	ενθάρρυνση	podporovať	ενθάρρυνση	V;IPFV;POS;NFIN	N;ACC;FEM;SG
akt	πράξη	akt	πράξη	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
akt	act	akt	act	N;INAN;NOM;MASC;SG	
nepriamo	έμμεσες	nepriamo	έμμεσος	ADV	N;NOM;FEM;PL
nepriamo	έμμεσο	nepriamo	έμμεσος	ADV	ADJ;NOM;NEUT;SG
nepriamo	έμμεση	nepriamo	έμμεσος	ADV	N;NOM;FEM;SG
povedomia	επίγνωση	povedomie	επίγνωση	N;NOM;NEUT;PL	N;ACC;FEM;SG
povedomia	συνειδητοποίηση	povedomie	συνειδητοποίηση	N;NOM;NEUT;PL	N;ACC;FEM;SG
blízkom	μεση	blízky	μεσος	ADJ;INS;NEUT;SG	N;NOM;FEM;SG
blízkom	μεσαία	blízky	μεσαίος	ADJ;INS;NEUT;SG	ADV
blízkom	μέση	blízky	μέσο	ADJ;INS;NEUT;SG	N;NOM;FEM;SG
blízkom	μεσαίο	blízky	μεσαίος	ADJ;INS;NEUT;SG	N;NOM;NEUT;SG
vlk	γουλφ	vlk	γουλφ	N;ANIM;NOM;MASC;SG	
vlk	wolf	vlk	wolf	N;ANIM;NOM;MASC;SG	
volkswagen	volkswagen	volkswagen	volkswagen	N;NOM;FEM;SG	
chemická	χημικά	chemický	χημικά	ADJ;NOM;FEM;SG	ADV
zur	zur	zur	zur	PROPN;ANIM;NOM;MASC;SG	
kongresu	κογκρέσο	kongresa	κογκρέσο	N;INAN;GEN;MASC;SG	N;NOM;NEUT;SG
lászló	lászló	lászló	lászló	N;ANIM;NOM;MASC;SG	
pevný	συμπαγής	pevný	συμπαγή	ADJ;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
pevný	στερεό	pevný	στερεό	ADJ;ANIM;NOM;MASC;SG	N;NOM;NEUT;SG
pevný	στερεά	pevný	στεργώ	ADJ;ANIM;NOM;MASC;SG	ADV
pevný	συμπαγές	pevný	συμπαγή	ADJ;ANIM;NOM;MASC;SG	N;NOM;NEUT;SG
alexandrovič	αλεξάντροβιτς	alexandrovič	αλεξάντροβιτς	N;ANIM;NOM;MASC;SG	
zahraničné	ξένα	zahraničný	ξένος	ADJ;NOM;NEUT;SG	ADJ;NOM;NEUT;PL
stuttgart	στουτγάρδη	stuttgart	στουτγάρδη	PROPN;INAN;NOM;MASC;SG	PROPN;NOM;FEM;SG
kovy	μεταλλικό	kova	μεταλλικός	N;INAN;NOM;MASC;PL	ADJ;NOM;NEUT;SG
kovy	μέταλλο	kova	μέταλλο	N;INAN;NOM;MASC;PL	N;NOM;NEUT;SG
kovy	metal	kova	metal	N;INAN;NOM;MASC;PL	
kovy	μεταλλικά	kova	μεταλλικά	N;INAN;NOM;MASC;PL	ADJ;NOM;NEUT;PL
hamburg	αμβούργο	hamburg	αμβούργο	N;INAN;NOM;MASC;SG	PROPN;NOM;NEUT;SG
oslobodenie	εξαίρεση	oslobodenie	εξαίρεση	N;NOM;NEUT;SG	N;ACC;FEM;SG
oslobodenie	απαλλαγή	oslobodenie	απαλλαγή	N;NOM;NEUT;SG	N;ACC;FEM;SG
oslobodenie	ανακούφιση	oslobodenie	ανακούφιση	N;NOM;NEUT;SG	N;ACC;FEM;SG
bydlisko	ειδικευόμενος	bydlisko	ειδικευόμενος	N;NOM;NEUT;SG	ADJ;NOM;MASC;SG
bydlisko	κάτοικο	bydlisko	κάτοικος	N;NOM;NEUT;SG	N;ACC;MASC;SG
bydlisko	διαμονής	bydlisko	διαμονή	N;NOM;NEUT;SG	N;GEN;FEM;SG
mag	mag	mag	mag		
bobby	μπόμπι	bobba	μπόμπι	N;ANIM;NOM;MASC;SG	
bobby	μπόμπυ	bobba	μπόμπυ	N;ANIM;NOM;MASC;SG	
napísali	γραπτές	napísať	γραπτός	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	ADJ;NOM;FEM;PL
napísali	γραπτή	napísať	γραπτός	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	N;NOM;FEM;SG
napísali	γράφτηκε	napísať	γράφτω	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;PASS
napísali	γραμμένο	napísať	γραμμένος	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;NOM;NEUT;SG;V.PTCP;PASS
napísali	έγραψε	napísať	γράφω	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
kolektív	συλλογική	kolektie	συλλογικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;SG
kolektív	συλλογικό	kolektie	συλλογικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;NEUT;SG
kolektív	συλλογικά	kolektie	συλλογικά	N;ANIM;NOM;MASC;SG	ADV
kolektív	συλλογικές	kolektie	συλλογικός	N;ANIM;NOM;MASC;SG	ADJ;NOM;FEM;PL
philippe	philippe	philippa	philippe	PROPN;ANIM;NOM;MASC;SG	
philippe	φιλίπ	philippa	φιλίπ	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
ľad	πάγο	ľad	πάγος	N;INAN;NOM;MASC;SG	ADV
ľad	ice	ľad	ice	N;INAN;NOM;MASC;SG	
lese	γουντς	les	γουντς	N;INAN;ESS;MASC;SG	
lese	δάσος	les	δάσος	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG
mostov	γέφυρες	most	γέφυρα	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
jadrovej	πυρηνικός	jadrový	πυρηνικός	ADJ;GEN;FEM;SG	ADJ;NOM;MASC;SG
jadrovej	πυρηνικά	jadrový	πυρηνικός	ADJ;GEN;FEM;SG	ADV
jadrovej	πυρηνική	jadrový	πυρηνικός	ADJ;GEN;FEM;SG	ADJ;NOM;FEM;SG
rap	ραπ	rap	ραπ	N;INAN;NOM;MASC;SG	
odolnosť	αντοχή	odolnosť	αντοχή	N;NOM;FEM;SG	N;ACC;FEM;SG
odolnosť	αντίστασης	odolnosť	αντίσταση	N;NOM;FEM;SG	N;GEN;FEM;SG
odolnosť	αντίσταση	odolnosť	αντίσταση	N;NOM;FEM;SG	N;ACC;FEM;SG
odolnosť	ανθεκτικότητα	odolnosť	ανθεκτικότητα	N;NOM;FEM;SG	N;ACC;FEM;SG
odolnosť	ανθεκτικότητα	odolnosť	ανθεκτικότητα	N;NOM;FEM;SG	N;ACC;FEM;SG
jay	τζέι	jay	τζέι	PROPN;ANIM;NOM;MASC;SG	
jay	jay	jay	jay	PROPN;ANIM;NOM;MASC;SG	
podobnú	παρόμοιο	podobný	παρόμοιος	ADJ;ACC;FEM;SG	N;NOM;NEUT;SG
podobnú	παρόμοιες	podobný	παρόμοιος	ADJ;ACC;FEM;SG	ADJ;NOM;FEM;PL
podobnú	παρόμοιος	podobný	παρόμοιος	ADJ;ACC;FEM;SG	ADJ;NOM;MASC;SG
podobnú	παρόμοια	podobný	παρόμοιος	ADJ;ACC;FEM;SG	ADV
teórií	θεωρίες	teória	θεωρία	N;GEN;FEM;PL	N;NOM;FEM;PL
čou	ζου	čo	ζου	PROPN;NOM;FEM;SG	N
záhreb	ζάγκρεμπ	záhreb	ζάγκρεμπ	PROPN;INAN;NOM;MASC;SG	
leonardo	leonardo	leonardo	leonardo	N;ANIM;NOM;MASC;SG	
leonardo	λεονάρντο	leonardo	λεονάρντος	N;ANIM;NOM;MASC;SG	
sľuby	όρκους	sľub	όρκος	N;INAN;NOM;MASC;PL	N;ACC;MASC;PL
prepojenie	διασύνδεσης	prepojenie	διασύνδεση	N;NOM;NEUT;SG	N;GEN;FEM;SG
prepojenie	διασύνδεση	prepojenie	διασύνδεση	N;NOM;NEUT;SG	N;ACC;FEM;SG
umiestnenia	τοποθέτηση	umiestnenie	τοποθέτηση	N;NOM;NEUT;PL	N;ACC;FEM;SG
umiestnenia	τόπος	umiestnenie	τόπος	N;NOM;NEUT;PL	N;NOM;MASC;SG
umiestnenia	τοποθεσία	umiestnenie	τοποθεσία	N;NOM;NEUT;PL	N;NOM;FEM;SG
formátu	μορφη	formát	μορφη	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
formátu	μορφή	formát	μορφή	N;INAN;GEN;MASC;SG	N;NOM;FEM;SG
formátu	μορφότυπο	formát	μορφότυπο	N;INAN;GEN;MASC;SG	N;NOM;MASC;SG
záhrade	κήπος	záhrada	κήπος	N;DAT;FEM;SG	N;NOM;MASC;SG
záhrade	κήπο	záhrada	κήπος	N;DAT;FEM;SG	N;ACC;MASC;SG
záhrade	garden	záhrada	garden	N;DAT;FEM;SG	
záujmov	ενδιαφέροντα	záujem	ενδιαφέρω	N;INAN;GEN;MASC;PL	ADV
záujmov	συμφέροντα	záujem	συμφέρον	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
derby	ντέρμπι	derba	ντέρμπι	N;INAN;NOM;MASC;PL	
teréne	έδαφος	terén	έδαφος	N;INAN;ESS;MASC;SG	N;NOM;NEUT;SG
robinson	robinson	robinson	robinson	N;ANIM;NOM;MASC;SG	
robinson	ρόμπινσον	robinson	ρόμπινσον	N;ANIM;NOM;MASC;SG	
zubov	δόντια	zub	δόντια	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
sierra	sierra	sierra	sierra	N;NOM;FEM;SG	
sierra	σιέρρα	sierra	σιέρρα	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
sierra	σιέρα	sierra	σιέρα	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
prusko	πρωσία	prusko	πρωσία	N;NOM;NEUT;SG	PROPN;ACC;FEM;SG
portugalský	πορτογαλικά	portugalský	πορτογαλικά	ADJ;ANIM;NOM;MASC;SG	ADV
portugalský	πορτογάλοι	portugalský	πορτογάλος	ADJ;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;PL
case	περίπτωση	cas	περίπτωση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
vlakov	τραίνα	vlak	τραίνω	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
vlakov	τρένα	vlak	τρένος	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
vlakov	αμαξοστοιχίες	vlak	αμαξοστοιχία	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
soľ	σολτ	soľ	σολτ	N;NOM;FEM;SG	
miestni	ντόπιους	miesto	ντόπιος	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
miestni	ντόπιοι	miesto	ντόπιος	N;ANIM;NOM;MASC;PL	ADJ;NOM;MASC;PL
castle	καστρο	castľa	καστρο	PROPN;ANIM;NOM;MASC;SG	N;NOM;NEUT;SG
castle	κάστρο	castľa	κάστρο	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;NEUT;SG
castle	castle	castľa	castle	PROPN;ANIM;NOM;MASC;SG	
zjednotenie	ενοποίηση	zjednotenie	ενοποίηση	N;NOM;NEUT;SG	N;ACC;FEM;SG
väzba	δεσμεύουν	väzba	δεσμεύω	N;NOM;FEM;SG	V;IPFV;IND;PL;3;PRS;FIN;ACT
väzba	δεσμευτική	väzba	δεσμευτικός	N;NOM;FEM;SG	ADJ;NOM;FEM;SG
väzba	δεσμευτικός	väzba	δεσμευτικός	N;NOM;FEM;SG	ADJ;NOM;MASC;SG
väzba	δεσμευτικό	väzba	δεσμευτικός	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
väzba	κηδεμονία	väzba	κηδεμονία	N;NOM;FEM;SG	N;ACC;FEM;SG
väzba	μποντ	väzba	μποντ	N;NOM;FEM;SG	
väzba	bond	väzba	bond	N;NOM;FEM;SG	
tradícia	παράδοση	tradícia	παράδοση	N;NOM;FEM;SG	N;ACC;FEM;SG
nástupcu	διάδοχος	nástupca	διάδοχος	N;ANIM;ACC;MASC;SG	N;NOM;MASC;SG
aktuálny	νυν	aktuálny	νυν	ADJ;INAN;NOM;MASC;SG	N
aktuálny	ρεύμα	aktuálny	ρεύμα	ADJ;INAN;NOM;MASC;SG	N;NOM;NEUT;SG
aktuálny	τρέχουσες	aktuálny	τρέχων	ADJ;INAN;NOM;MASC;SG	ADJ;NOM;FEM;PL
katalóg	κατάλογο	katalóg	κατάλογος	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
katalóg	κατάλογο	katalóg	κατάλογος	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
nelson	νέλσον	nelson	νέλσον	PROPN;ANIM;NOM;MASC;SG	
nelson	nelson	nelson	nelson	PROPN;ANIM;NOM;MASC;SG	
výzbroje	εξοπλισμών	výzbroj	εξοπλισμός	N;GEN;FEM;SG	N;GEN;MASC;PL
pozemné	επίγεια	pozemný	επίγεια	ADJ;NOM;NEUT;SG	N;ACC;FEM;SG
pozemné	έδαφος	pozemný	έδαφος	ADJ;NOM;NEUT;SG	N;NOM;NEUT;SG
cestná	οδός	cestný	οδός	ADJ;NOM;FEM;SG	N;NOM;FEM;SG
cestná	δρόμος	cestný	δρόμος	ADJ;NOM;FEM;SG	N;NOM;MASC;SG
cestná	δρόμο	cestný	δρόμος	ADJ;NOM;FEM;SG	N;ACC;MASC;SG
cestná	road	cestný	road	ADJ;NOM;FEM;SG	
zásah	παρεμβολές	zásah	παρεμβολή	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
zásah	παρέμβαση	zásah	παρέμβαση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
zásah	παρεμβάσεις	zásah	παρέμβαση	N;INAN;NOM;MASC;SG	N;NOM;FEM;PL
zásah	παρέμβασης	zásah	παρέμβαση	N;INAN;NOM;MASC;SG	N;GEN;FEM;SG
zásah	παρέμβαση	zásah	παρέμβαση	N;INAN;NOM;MASC;SG	N;ACC;FEM;SG
warner	γουόρνερ	warner	γουόρνερ		
warner	warner	warner	warner		
zdravotné	ιατρικά	zdravotný	ιατρικός	ADJ;NOM;NEUT;SG	ADV
zdravotné	ιατρικές	zdravotný	ιατρικός	ADJ;NOM;NEUT;SG	ADJ;NOM;FEM;PL
zdravotné	υγεία	zdravotný	υγεία	ADJ;NOM;NEUT;SG	N;NOM;FEM;SG
chybu	λάθος	chyba	λάθος	N;ACC;FEM;SG	N;NOM;NEUT;SG
založiť	βαση	založiť	βαση	V;PFV;POS;NFIN	N;NOM;FEM;SG
založiť	βάση	založiť	βάση	V;PFV;POS;NFIN	N;ACC;FEM;SG
jules	τζουλς	jules	τζουλς	PROPN;ANIM;NOM;MASC;SG	PROPN;NOM;MASC;SG
prúdov	ρεύματα	prúd	ρεύμα	N;INAN;GEN;MASC;PL	N;NOM;NEUT;PL
prúdov	ροές	prúd	ροή	N;INAN;GEN;MASC;PL	N;NOM;FEM;PL
kresťanov	χριστιανοί	kresťan	χριστιανός	N;ANIM;ACC;MASC;PL	N;NOM;MASC;PL
angel	άγγελος	angel	άγγελος	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
angel	αγγελος	angel	αγγελος	PROPN;ANIM;NOM;MASC;SG	N;NOM;MASC;SG
angel	έιντζελ	angel	έιντζελ	PROPN;ANIM;NOM;MASC;SG	
angel	angel	angel	angel	PROPN;ANIM;NOM;MASC;SG	
továrne	εργοστάσια	továrne	εργοστάσιο	ADV	N;NOM;NEUT;PL
faktor	παράγοντας	faktor	παράγοντας	N;INAN;NOM;MASC;SG	V;IPFV;V.CVB;ACT
faktor	παράγοντα	faktor	παράγοντας	N;INAN;NOM;MASC;SG	N;ACC;MASC;SG
litva	λιθουανίας	litvo	λιθουανία	N;INAN;NOM;MASC;SG	PROPN;GEN;FEM;SG
litva	λιθουανία	litvo	λιθουανία	N;INAN;NOM;MASC;SG	PROPN;ACC;FEM;SG
zavraždený	δολοφονήθηκε	zavraždený	δολοφονώ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;PASS
zavraždený	δολοφονήθηκαν	zavraždený	δολοφονώ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;PL;3;PST;FIN;PASS
zavraždený	δολοφόνησε	zavraždený	δολοφονώ	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS	V;PFV;IND;SG;3;PST;FIN;ACT
phil	φιλ	phila	φιλ	PROPN;ANIM;NOM;MASC;SG	
phil	phil	phila	phil	PROPN;ANIM;NOM;MASC;SG	
