szeroki	wide	szeroki	wide	ADJ;NOM;MASC;SG	N;MASC;SG
opisana	descritos	opisać	descrever	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;PL;V.PTCP
opisana	descreveu	opisać	descrever	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;IND;SG;3;PST;FIN
opisana	descritas	opisać	descrever	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;PL;V.PTCP
opisana	descrita	opisać	descrever	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;FEM;SG;V.PTCP
opisana	descrito	opisać	descrever	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS	V;MASC;SG;V.PTCP
osad	lamas	osada	lama		N;MASC;PL
osad	resíduo	osada	resíduo		N;MASC;SG
osad	sedimento	osada	sedimento		N;MASC;SG
osad	sedimentos	osada	sedimento		N;MASC;PL
osad	precipitar	osada	precipitar		V;NFIN
osad	precipitado	osada	precipitar		V;MASC;SG;V.PTCP
senior	seniores	senior	senior	N;NOM;MASC;SG	N;MASC;PL
prusy	prússia	prusy	prússia		N;FEM;SG
bydła	bovina	byść	bovino		N;FEM;SG
bydła	bovino	byść	bovino		N;MASC;SG
business	negócios	business	negócio		N;MASC;PL
business	negócio	business	negócio		N;MASC;SG
oboje	ambos	obój	ambos		PRO;MASC;PL
oboje	ambas	obój	ambos		DET;FEM;PL
nieznany	desconhecida	nieznany	desconhecer	ADJ;NOM;MASC;SG	V;FEM;SG;V.PTCP
nieznany	desconhecidos	nieznany	desconhecer	ADJ;NOM;MASC;SG	V;MASC;PL;V.PTCP
nieznany	desconhecidas	nieznany	desconhecer	ADJ;NOM;MASC;SG	V;FEM;PL;V.PTCP
nieznany	desconhecido	nieznany	desconhecer	ADJ;NOM;MASC;SG	V;MASC;SG;V.PTCP
elektryczny	elétricos	elektryczny	elétrico	ADJ;NOM;MASC;SG	N;MASC;PL
elektryczny	elétrica	elektryczny	elétrico	ADJ;NOM;MASC;SG	N;FEM;SG
elektryczny	elétrico	elektryczny	elétrico	ADJ;NOM;MASC;SG	N;MASC;SG
elektryczny	eléctrica	elektryczny	eléctrico	ADJ;NOM;MASC;SG	N;FEM;SG
elektryczny	elétricos	elektryczny	elétrico	ADJ;NOM;MASC;SG	N;MASC;PL
elektryczny	eléctricos	elektryczny	eléctrico	ADJ;NOM;MASC;SG	N;MASC;PL
elektryczny	elétrica	elektryczny	elétrico	ADJ;NOM;MASC;SG	N;FEM;SG
elektryczny	elétrico	elektryczny	elétrico	ADJ;NOM;MASC;SG	N;MASC;SG
publikacja	publicados	publikacja	publicar	N;NOM;FEM;SG	V;MASC;PL;V.PTCP
publikacja	publicou	publikacja	publicar	N;NOM;FEM;SG	V;IND;SG;3;PST;FIN
publikacja	publicadas	publikacja	publicar	N;NOM;FEM;SG	V;FEM;PL;V.PTCP
publikacja	publicada	publikacja	publicar	N;NOM;FEM;SG	V;FEM;SG;V.PTCP
publikacja	publicado	publikacja	publicar	N;NOM;FEM;SG	V;MASC;SG;V.PTCP
publikacja	publicar	publikacja	publicar	N;NOM;FEM;SG	V;NFIN
publikacja	publicando	publikacja	publicar	N;NOM;FEM;SG	V;V.MSDR
rob	rob	rob	rob	V;PFV;IMP;SG;2;FIN;ACT	N;MASC;SG
górnik	mineiro	górnik	mineiro		N;MASC;SG
phil	phil	phil	phil	PROPN;NOM;MASC;SG	N;MASC;SG
mięśni	mialgia	mięsień	mialgia	N;GEN;MASC;PL	N;FEM;SG
mięśni	musculoso	mięsień	musculoso	N;GEN;MASC;PL	ADJ;MASC;SG
mięśni	muscular	mięsień	muscular	N;GEN;MASC;PL	N;MASC;SG
mięśni	músculo	mięsień	músculo	N;GEN;MASC;PL	N;MASC;SG
mięśni	muscular	mięsień	muscular	N;GEN;MASC;PL	N;MASC;SG
kwalifikacje	qualificadas	kwalifikacja	qualificar	N;NOM;FEM;PL	V;FEM;PL;V.PTCP
kwalifikacje	qualificada	kwalifikacja	qualificar	N;NOM;FEM;PL	V;FEM;SG;V.PTCP
kwalifikacje	qualificado	kwalifikacja	qualificado	N;NOM;FEM;PL	V;MASC;SG;V.PTCP
