коды	codurile	код	cod	N;INAN;NOM;MASC;PL	N;DEF;FEM;PL
среду	miercurea	среда	miercure	N;INAN;ACC;FEM;SG	N;DEF;FEM;SG
среду	miercuri	среда	miercuri	N;INAN;ACC;FEM;SG	
уголовное	infractor	уголовный	infractor	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
уголовное	criminala	уголовный	criminal	ADJ;NOM;NEUT;SG	ADJ;DEF;FEM;SG
уголовное	criminal	уголовный	criminal	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
уголовное	penal	уголовный	penal	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
капитал	capitala	капитал	capitală	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
капитал	capitala	капитал	capitală	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
монография	monografia	монография	monografie	N;INAN;NOM;FEM;SG	N;DEF;FEM;SG
росс	ross	росс	ross		PROPN
гвинеи	guinee	гвинец	guinee	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
гвинеи	guineea	гвинец	guinee	N;INAN;NOM;FEM;PL	N;INDF;FEM;SG
вкус	gusturi	вкус	gust	N;INAN;NOM;MASC;SG	N;INDF;FEM;PL
вкус	gusta	вкус	gusta	N;INAN;NOM;MASC;SG	V;IND;SG;3;IPFV;FIN
вкус	gustul	вкус	gust	N;INAN;NOM;MASC;SG	N;DEF;MASC;SG
вкус	gusta	вкус	gusta	N;INAN;NOM;MASC;SG	V;IND;SG;3;IPFV;FIN
вкус	gusturi	вкус	gust	N;INAN;NOM;MASC;SG	N;INDF;FEM;PL
вкус	gusturile	вкус	gust	N;INAN;NOM;MASC;SG	N;DEF;FEM;PL
вкус	savoare	вкус	savoare	N;INAN;NOM;MASC;SG	N;INDF;FEM;SG
вкус	aroma	вкус	aroma	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
вкус	aroma	вкус	aroma	N;INAN;NOM;MASC;SG	N;DEF;FEM;SG
племя	tribul	племя	trib	N;INAN;NOM;NEUT;SG	N;DEF;MASC;SG
дама	doamna	дама	doamnă	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
дама	doamna	дама	doamnă	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
дама	dame	дама	damă	N;ANIM;NOM;FEM;SG	N;INDF;FEM;PL
трудящихся	muncitorii	трудящийся	muncitor	N;ANIM;GEN;MASC;PL	N;DEF;MASC;PL
трудящихся	lucratorii	трудящийся	lucrator	N;ANIM;GEN;MASC;PL	N;DEF;MASC;PL
трудящихся	lucratorilor	трудящийся	lucrator	N;ANIM;GEN;MASC;PL	N;DEF;MASC;PL
ставки	pariurile	ставка	pariu	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
ставки	ratele	ставка	rată	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
ставки	mizele	ставка	miză	N;INAN;NOM;FEM;PL	N;DEF;FEM;PL
ставки	miza	ставка	miză	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
ставки	miza	ставка	miză	N;INAN;NOM;FEM;PL	N;DEF;FEM;SG
люблю	iubire	любить	iubire	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;INDF;FEM;SG
люблю	iubesc	любить	iubi	V;IPFV;IND;SG;1;PRS;FIN;ACT	V;IND;PL;3;PRS;FIN
люблю	iubirea	любить	iubire	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;DEF;FEM;SG
люблю	dragoste	любить	dragoste	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;INDF;MASC
люблю	dragostea	любить	dragoste	V;IPFV;IND;SG;1;PRS;FIN;ACT	N;DEF;FEM;SG
подруга	iubita	подруга	iubită	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
подруга	iubita	подруга	iubită	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
подруга	prietena	подруга	prietenă	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
подруга	prietena	подруга	prietenă	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
подруга	prietena	подруга	prietenă	N;ANIM;NOM;FEM;SG	N;DEF;FEM;SG
подруга	prietene	подруга	prieten	N;ANIM;NOM;FEM;SG	N;INDF;FEM;PL
сицилии	sicilia	сицилия	sicilie	N;INAN;NOM;FEM;PL	PROPN
клиентов	clientul	клиент	client	N;ANIM;GEN;MASC;PL	N;DEF;MASC;SG
клиентов	client	клиент	client	N;ANIM;GEN;MASC;PL	N;INDF;MASC;SG
