اتھاہ	깊은	اتھاہ	깊+ㄴ		ADJ
اب	이제	اب	이제	PRO;NOM	
اب	지금	اب	지금	PRO;NOM	N
اب	아버지	اب	아버지	PRO;NOM	N
اِبا	거부	اِبا	거부		N
اِبا	부정	اِبا	부정		N
ابّا	아버지	ابّا	아버지	PROPN;NOM;MASC;SG;3	N
ابّا	abba	ابّا	abba	PROPN;NOM;MASC;SG;3	
ابّا	아빠	ابّا	아빠	PROPN;NOM;MASC;SG;3	
اِباحت	권한	اِباحت	권+하+ㄴ	PROPN;NOM;MASC;SG;3	
اِباحت	허가	اِباحت	허+가	PROPN;NOM;MASC;SG;3	N
اِباحت	허락	اِباحت	허락	PROPN;NOM;MASC;SG;3	
اِباحت	리버티	اِباحت	리버티	PROPN;NOM;MASC;SG;3	
اِباحت	라이선스	اِباحت	라이선스	PROPN;NOM;MASC;SG;3	N
اِباحت	라이센스	اِباحت	라이센스	PROPN;NOM;MASC;SG;3	
اِباحت	면허	اِباحت	면허	PROPN;NOM;MASC;SG;3	N
ابازیر	양념	ابازیر	양념	PROPN;NOM;MASC;SG;3	N
اباطیل	거짓말	اباطیل	거짓말	PROPN;NOM;MASC;SG;3	
اُبال	분노	اُبال	분노	PROPN;NOM;MASC;SG;3	N
اُبال	분노	اُبال	분노	PROPN;NOM;MASC;SG;3	N
اِبتدا	출처	اِبتدا	출처	PROPN;NOM;MASC;SG;3	N
اِبتدا	소스	اِبتدا	소스	PROPN;NOM;MASC;SG;3	
اِبتدا	원본	اِبتدا	원본	PROPN;NOM;MASC;SG;3	
اِبتدا	출처	اِبتدا	출처	PROPN;NOM;MASC;SG;3	N
اِبتدا	출생	اِبتدا	출생	PROPN;NOM;MASC;SG;3	N
اِبتدا	탄생	اِبتدا	탄생	PROPN;NOM;MASC;SG;3	N
اِبتدا	출산	اِبتدا	출산	PROPN;NOM;MASC;SG;3	N
اِبتدا	시작하기	اِبتدا	시작+하+기	PROPN;NOM;MASC;SG;3	V
اِبتدا	시작	اِبتدا	시작	PROPN;NOM;MASC;SG;3	N
اِبتداع	혁신	اِبتداع	혁신	PROPN;NOM;MASC;SG;3	N
اِبتداع	발명	اِبتداع	발명	PROPN;NOM;MASC;SG;3	N
اِبتداع	생성	اِبتداع	생성	PROPN;NOM;MASC;SG;3	N
اِبتداع	창조	اِبتداع	창조	PROPN;NOM;MASC;SG;3	N
اِبتداع	만들기	اِبتداع	만들+기	PROPN;NOM;MASC;SG;3	V
اِبتدائی	이니셜	اِبتدائی	이니+처	N;NOM;MASC;SG;3	
اِبتدائی	예비	اِبتدائی	예비	N;NOM;MASC;SG;3	
ابتر	비참한	ابتر	비참+하+ㄴ	ADJ	V
ابتر	혼란	ابتر	혼란	ADJ	N
ابتری	파멸	ابتری	파멸	ADJ	
ابتری	장애	ابتری	장애	ADJ	N
ابتری	혼란	ابتری	혼란	ADJ	N
ابتری	혼돈	ابتری	혼돈	ADJ	N
ابتری	혼동	ابتری	혼동	ADJ	
ابتری	파멸	ابتری	파멸	ADJ	
ابتری	장애	ابتری	장애	ADJ	N
ابتری	혼란	ابتری	혼란	ADJ	N
ابتری	혼돈	ابتری	혼돈	ADJ	N
ابتری	혼동	ابتری	혼동	ADJ	
اِبتسام	미소	اِبتسام	미소	PROPN;NOM;MASC;SG;3	
اِبتسام	스마일	اِبتسام	스마일	PROPN;NOM;MASC;SG;3	
اِبتسام	웃어	اِبتسام	웃+어	PROPN;NOM;MASC;SG;3	
اِبتغا	욕망	اِبتغا	욕망	PROPN;NOM;MASC;SG;3	
اِبتغا	욕구	اِبتغا	욕구	PROPN;NOM;MASC;SG;3	N
اِبتغا	욕망이	اِبتغا	욕망+이	PROPN;NOM;MASC;SG;3	
اِبتکار	혁신	اِبتکار	혁신	PROPN;NOM;MASC;SG;3	N
اِبتکار	이니셔티브	اِبتکار	이니셔티브	PROPN;NOM;MASC;SG;3	
اِبتلا	불행	اِبتلا	불행	PROPN;NOM;MASC;SG;3	
اِبتلا	재판	اِبتلا	재판	PROPN;NOM;MASC;SG;3	N
اِبتلا	고통	اِبتلا	고통	PROPN;NOM;MASC;SG;3	N
اِبتہاج	행복	اِبتہاج	행복	PROPN;NOM;MASC;SG;3	N
اِبتہاج	happiness	اِبتہاج	happiness	PROPN;NOM;MASC;SG;3	
اِبتہال	겸손	اِبتہال	겸손	PROPN;NOM;MASC;SG;3	
اُبٹن	밀가루	اُبٹن	밀가루	PROPN;NOM;MASC;SG;3	
ابحاث	인수	ابحاث	인수	N;NOM;MASC;SG;3	
ابحار	오션스	ابحار	오션스	PROPN;NOM;MASC;SG;3	
ابحار	바다	ابحار	바다	PROPN;NOM;MASC;SG;3	
ابخرا	증기	ابخرا	증기	PROPN;NOM;MASC;SG;3	N
ابدُالآباد	영원	ابدُالآباد	영원	PROPN;NOM;MASC;SG;3	
ابداً	영원	ابداً	영원	PROPN;NOM;MASC;SG;3	
