žagatas	sroki	žagata	srok	N;NOM;FEM;PL	
nightwish	nightwish	nightwish	nightwish	PROPN;NOM	
saglabāšanu	konserwacja	saglabāšana	konserwacja	N;ACC;FEM;SG	N;NOM;FEM;SG
pretrunā	szanse	pretruna	szansa	N;ESS;FEM;SG	N;NOM;FEM;PL
palielināts	zwiększone	palielināt	zwiększyć	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
palielināts	zwiększona	palielināt	zwiększyć	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
palielināts	zwiększony	palielināt	zwiększyć	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
palielināts	zwiększenie	palielināt	zwiększyć	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	N;PFV;NOM;NEUT;SG;POS;V.MSDR
definīcijas	definicji	definīcija	definicja	N;NOM;FEM;PL	N;GEN;FEM;SG
santjago	santiago	santjagot	santia	N	V;IPFV;IND;SG;PRS;FIN;ACT
konvenciju	konwencje	konvencija	konwencja	N;ACC;FEM;SG	N;NOM;FEM;PL
konvenciju	konwencji	konvencija	konwencja	N;ACC;FEM;SG	N;GEN;FEM;SG
konvenciju	konwent	konvencija	konwent	N;ACC;FEM;SG	N;NOM;MASC;SG
konvenciju	zjazd	konvencija	zjazd	N;ACC;FEM;SG	N;NOM;MASC;SG
konvenciju	konwencja	konvencija	konwencja	N;ACC;FEM;SG	N;NOM;FEM;SG
turciju	turcja	turcija	turcja	PROPN;ACC;FEM;SG	N;NOM;FEM;SG
turciju	indyk	turcija	indyk	PROPN;ACC;FEM;SG	N;NOM;MASC;SG
turciju	turcji	turcija	turcja	PROPN;ACC;FEM;SG	PROPN;GEN;FEM;SG
saprata	zrealizowane	saprast	zrealizować	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
saprata	zrealizowana	saprast	zrealizować	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
saprata	zrealizowany	saprast	zrealizować	V;FH;IND;3;POS;PST;FIN;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
renē	rené	renēt	rena	PROPN	PROPN;NOM;MASC;SG
renē	rene	renēt	reny	PROPN	PROPN;NOM;MASC;SG
renē	renee	renēt	renee	PROPN	PROPN;NOM;FEM;SG
renē	rené	renēt	rena	PROPN	PROPN;NOM;MASC;SG
renē	rene	renēt	reny	PROPN	PROPN;NOM;MASC;SG
pozitīvas	pozytywna	pozitīva	pozytywny	ADJ;NOM;FEM;PL	ADJ;NOM;FEM;SG
pozitīvas	pozytywne	pozitīva	pozytywny	ADJ;NOM;FEM;PL	ADJ;NOM;NEUT;SG
pozitīvas	dodatni	pozitīva	dodatnić	ADJ;NOM;FEM;PL	
pozitīvas	pozytywnie	pozitīva	pozytywnie	ADJ;NOM;FEM;PL	ADV
pozitīvas	pozytywny	pozitīva	pozytywny	ADJ;NOM;FEM;PL	ADJ;NOM;MASC;SG
albedo	albedo	albeda	albedo	N	
komunikāciju	komunikaty	komunikācija	komunikat	N;ACC;FEM;SG	N;NOM;MASC;PL
komunikāciju	łączności	komunikācija	łączność	N;ACC;FEM;SG	N;GEN;FEM;SG
komunikāciju	komunikacja	komunikācija	komunikacja	N;ACC;FEM;SG	N;NOM;FEM;SG
komunikāciju	komunikacji	komunikācija	komunikacja	N;ACC;FEM;SG	N;GEN;FEM;SG
komunikāciju	łączność	komunikācija	łączność	N;ACC;FEM;SG	N;NOM;FEM;SG
palielinot	zwiększenie	palielināt	zwiększyć	V;V.CVB	N;PFV;NOM;NEUT;SG;POS;V.MSDR
palielinot	zwiększanie	palielināt	zwiększać	V;V.CVB	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
sekcijas	autopsji	sekcija	autopsja	N;NOM;FEM;PL	
sekcijas	zatok	sekcija	zatok	N;NOM;FEM;PL	
ievērojot	obserwowanie	ievērot	obserwować	V;V.CVB	N;IPFV;NOM;NEUT;SG;POS;V.MSDR
emīlija	emilia	emīlija	emilia	N;NOM;FEM;SG	PROPN;NOM;FEM;SG
