מהות	esencie	מהות	esencia	N;FEM;SG	N;NOM;FEM;PL
הנוסחה	vzorec	הנוסחה	vzorec	PROPN	N;INAN;NOM;MASC;SG
הנוסחה	vzorca	הנוסחה	vzorca	PROPN	N;INAN;GEN;MASC;SG
אפשטיין	epstein	אפשטיין	epsteina	PROPN	PROPN;ANIM;NOM;MASC;SG
אוהבת	milujúci	אהב	milujúci	V;FEM;SG;V.PTCP;ACT	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;ACT
אוהבת	love	אהב	lov	V;FEM;SG;V.PTCP;ACT	
אוהבת	lásky	אהב	láska	V;FEM;SG;V.PTCP;ACT	N;NOM;FEM;PL
אוהבת	laska	אהב	laska	V;FEM;SG;V.PTCP;ACT	N;NOM;FEM;SG
אוהבת	láska	אהב	láska	V;FEM;SG;V.PTCP;ACT	N;NOM;FEM;SG
המחצית	polčas	המחצית	polčas	PROPN	N;INAN;NOM;MASC;SG
דיבר	hovorili	דיבר	hovoriť	V;MASC;SG;3;PST;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
דיבר	rozprávali	דיבר	rozprávať	V;MASC;SG;3;PST;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
מסרב	odmieta	סירב	odmietať	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
מסרב	odmietne	סירב	odmietny	V;MASC;SG;V.PTCP;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
מסרב	poklesu	סירב	pokles	V;MASC;SG;V.PTCP;ACT	N;INAN;GEN;MASC;SG
מסרב	odmietnutia	סירב	odmietnutie	V;MASC;SG;V.PTCP;ACT	N;NOM;NEUT;PL
מסרב	odmieta	סירב	odmietať	V;MASC;SG;V.PTCP;ACT	V;IPFV;IND;SG;3;POS;PRS;FIN
מיי	májové	מיי	májový		ADJ;NOM;NEUT;SG
מיי	mája	מיי	máj		N;INAN;GEN;MASC;SG
מיי	môže	מיי	môcť		V;IPFV;IND;SG;3;POS;PRS;FIN
מיי	máj	מיי	mať		INTJ
מיי	mae	מיי	mae		PROPN;NOM;FEM;SG
ווד	wood	ווד	wood	PROPN	PROPN;ANIM;NOM;MASC;SG
ווד	drevo	ווד	drevo	PROPN	N;NOM;NEUT;SG
מתכות	metal	מתכת	metať	N;FEM;PL	N;INAN;NOM;MASC;SG
מתכות	kovová	מתכת	kovovať	N;FEM;PL	ADJ;NOM;FEM;SG
מתכות	kovové	מתכת	kovový	N;FEM;PL	ADJ;NOM;NEUT;SG
מתכות	kov	מתכת	kov	N;FEM;PL	N;INAN;NOM;MASC;SG
מייקה	micah	מייקה	mica	PROPN	PROPN;ANIM;NOM;MASC;SG
סטאר	hviezda	סטאר	hviezda	PROPN	N;NOM;FEM;SG
סטאר	star	סטאר	star	PROPN	
סטאר	hviezdička	סטאר	hviezdička	PROPN	N;NOM;FEM;SG
סטאר	hviezdny	סטאר	hviezdny	PROPN	ADJ;ANIM;NOM;MASC;SG
קורן	korn	קורן	korn	PROPN	PROPN;ANIM;NOM;MASC;SG
נין	nin	נין	nin		PROPN;ANIM;NOM;MASC;SG
שולי	okrajovo	שול	okrajovo		ADV
שולי	okrajové	שול	okrajový		ADJ;NOM;NEUT;SG
שולי	okraje	שול	okraj		N;INAN;NOM;MASC;PL
שולי	rozpätia	שול	rozpätie		N;NOM;NEUT;PL
שולי	rozpätie	שול	rozpätie		N;NOM;NEUT;SG
שולי	menšia	שול	malý		ADJ;NOM;CMPR;FEM;SG
שולי	menšie	שול	malý		ADV;CMPR
מתקנים	vybavenie	תיקן	vybavenie	N;MASC;PL	N;NOM;NEUT;SG
דרשו	požadoval	דרש	požadovať	V;PL;3;PST;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
מורו	morrow	מורה	morrow		PROPN;ANIM;NOM;MASC;SG
מורו	moreau	מורה	morea		N;NOM;MASC;SG
מורו	moro	מורה	moro		PROPN;ANIM;NOM;MASC;SG
ליסבון	lisabon	ליסבון	lisabon	PROPN	N;INAN;NOM;MASC;SG
ליסבון	lisabonská	ליסבון	lisabonský	PROPN	ADJ;NOM;FEM;SG
ליסבון	lisabonskej	ליסבון	lisabonský	PROPN	ADJ;GEN;FEM;SG
ליסבון	lisabonu	ליסבון	lisabon	PROPN	N;INAN;GEN;MASC;SG
פרד	fred	פרד	fred	PROPN	PROPN;ANIM;NOM;MASC;SG
פופולריות	populárny	פופולריות	populárny	N;FEM;SG	ADJ;ANIM;NOM;MASC;SG
פופולריות	obľúbené	פופולריות	obľúbený	N;FEM;SG	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
פופולריות	populárne	פופולריות	populárne	N;FEM;SG	ADV
פופולריות	populárna	פופולריות	populárny	N;FEM;SG	ADJ;NOM;FEM;SG
פופולריות	populárne	פופולריות	populárne	N;FEM;SG	ADV
מנדלסון	mendelssohn	מנדלסון	mendelssohný	PROPN	N;ANIM;NOM;MASC;SG
השיפוט	rozsudok	השיפוט	rozsudok	PROPN	N;INAN;NOM;MASC;SG
השיפוט	úsudok	השיפוט	úsudok	PROPN	N;INAN;NOM;MASC;SG
טורונטו	toronto	טורונטו	toronto	PROPN	PROPN;ANIM;NOM;MASC;SG
אפרו	afro	אפר	afro	PROPN	INTJ
מורגן	morgan	מורגן	morgan	PROPN	PROPN;ANIM;NOM;MASC;SG
ענה	odpoved	ענה	odpoved	V;MASC;SG;3;PST;ACT	N;NOM;FEM;SG
ענה	odpoveď	ענה	odpoveď	V;MASC;SG;3;PST;ACT	N;NOM;FEM;SG
ענה	odpovedz	ענה	odpovedz	V;MASC;SG;3;PST;ACT	N;NOM;FEM;SG
אצבע	prstom	אצבע	prst	ADV	N;INAN;INS;MASC;SG
אצבע	prst	אצבע	prst	ADV	N;INAN;NOM;MASC;SG
הופץ	distribuované	הופץ	distribuovaný	V;MASC;SG;3;PST;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
הופץ	rozdelené	הופץ	rozdelený	V;MASC;SG;3;PST;PASS	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
אנדריי	andrej	אנדריי	andrej	PROPN	PROPN;ANIM;NOM;MASC;SG
אנדריי	andrej	אנדריי	andrej	PROPN	PROPN;ANIM;NOM;MASC;SG
היעדר	absencia	היעדר	absencia		N;NOM;FEM;SG
היעדר	neexistencia	היעדר	neexistencia		N;NOM;FEM;SG
היעדר	absencie	היעדר	absencia		N;NOM;FEM;PL
היעדר	neprítomnosti	היעדר	neprítomnosť		N;DAT;FEM;SG
היעדר	neprítomnosť	היעדר	neprítomnosť		N;NOM;FEM;SG
בסיסיים	základný	בסיסי	základný	ADJ;MASC;PL	ADJ;INAN;NOM;MASC;SG
בסיסיים	základné	בסיסי	základný	ADJ;MASC;PL	ADJ;NOM;NEUT;SG
בסיסיים	základného	בסיסי	základný	ADJ;MASC;PL	ADJ;GEN;NEUT;SG
בסיסיים	základná	בסיסי	základný	ADJ;MASC;PL	ADJ;NOM;FEM;SG
בטכניון	polytechnika	בטכניון	polytechnik	PROPN	N;ANIM;NOM;MASC;SG
מחלק	rozdeľuje	מחלק	rozdeľovať		V;IPFV;IND;SG;3;POS;PRS;FIN
מחלק	rozdelí	מחלק	rozdeliť		V;PFV;IND;SG;3;POS;PRS;FIN
