aliado	الحلفاء	aliado	حَلِيف	ADJ;MASC;SG;V.PTCP	N;NOM;DEF;PL
ama	ama	amar	شَفَّا	V;IND;SG;3;PRS;FIN	
ama	اما	amar	أَمَّا	V;IND;SG;3;PRS;FIN	PART
ama	عشيقة	amar	عَشِيقَة	V;IND;SG;3;PRS;FIN	N;NOM;INDF;SG
literarios	ادبي	literario	أَدبَى	N;MASC;PL	N;NOM;INDF;SG
literarios	الادبية	literario	أَدَبِيّ	N;MASC;PL	ADJ;NOM;DEF;FEM;SG
viejos	قديمه	viejo	قديمه	ADJ;MASC;PL	
viejos	عجوز	viejo	عَجُوز	ADJ;MASC;PL	N;NOM;INDF;SG
viejos	قديمة	viejo	قَدِيم	ADJ;MASC;PL	ADJ;NOM;INDF;FEM;SG
viejos	قديم	viejo	قَدِيم	ADJ;MASC;PL	ADJ;NOM;INDF;MASC;SG
viejos	القديم	viejo	قَدِيم	ADJ;MASC;PL	ADJ;NOM;DEF;MASC;SG
traducciones	ترجمة	traducción	تَرجَمَة	N;FEM;PL	N;NOM;INDF;SG
traducciones	الترجمة	traducción	تَرجَمَة	N;FEM;PL	N;NOM;DEF;SG
pulgadas	بوصة	pulgado	بُوصَة	N;FEM;PL	N;NOM;INDF;SG
pulgadas	انش	pulgado	أَنش	N;FEM;PL	
pulgadas	بوصة	pulgado	بُوصَة	N;FEM;PL	N;NOM;INDF;SG
pulgadas	انشات	pulgado	إِنشَات	N;FEM;PL	V;PFV;FEM;SG;3;ACT
arnold	ارنولد	arnold	أَرنُولد	PROPN	
ladrillo	طوب	ladrillo	طُوب	N;MASC;SG	
ladrillo	بريك	ladrillo	بَرِيك	N;MASC;SG	
barbara	باربرا	barbar	باربرا	N;FEM;SG	
creer	اصدق	creer	أَصدَق	V;NFIN	
creer	الاعتقاد	creer	اِعتِقَاد	V;NFIN	N;NOM;DEF;SG
compartir	مشاركة	compartir	مُشَارَكَة	V;NFIN	N;NOM;INDF;SG
compartir	المشاركة	compartir	مُشَارَكَة	V;NFIN	N;NOM;DEF;SG
compartir	تقاسم	compartir	تَقَاسُم	V;NFIN	N;NOM;INDF;SG
compartir	التشارك	compartir	تَشَارُك	V;NFIN	N;NOM;DEF;SG
compartir	مشاركة	compartir	مُشَارَكَة	V;NFIN	N;NOM;INDF;SG
compartir	المشاركة	compartir	مُشَارَكَة	V;NFIN	N;NOM;DEF;SG
compartir	حصة	compartir	حِصَّة	V;NFIN	N;NOM;INDF;SG
compartir	نصيب	compartir	نَصِيب	V;NFIN	N;NOM;INDF;SG
detective	محقق	detective	محقق	N;SG	ADJ;NOM;INDF;MASC;SG
detective	محققة	detective	محققة	N;SG	ADJ;NOM;INDF;FEM;SG
probar	محاولة	probar	مُحَاوَلَة	V;NFIN	N;NOM;INDF;SG
probar	جرب	probar	جُرب	V;NFIN	
probar	الاختبار	probar	اِختِبَار	V;NFIN	N;NOM;DEF;SG
probar	اختبار	probar	اِختِبَار	V;NFIN	N;NOM;INDF;SG
probar	اختبر	probar	اِختَبَر	V;NFIN	
mónica	مونيكا	mónico	مُونِيكَا	N;FEM;SG	
arroyos	بروكس	arroyo	بروكس	N;MASC;PL	
sabio	سيج	sabio	سَيج	N;MASC;SG	
sabio	الحكيم	sabio	الحكيم	N;MASC;SG	
sabio	حكيمة	sabio	حَكِيم	N;MASC;SG	ADJ;NOM;INDF;FEM;SG
sabio	حكيم	sabio	حكيم	N;MASC;SG	
budapest	بودابست	budapest	بودابست	N;MASC;SG	
provocando	مسببا	provocar	مُسبِب	V;V.MSDR	ADJ;ACC;INDF;MASC;SG
provocando	التسبب	provocar	تَسَبُّب	V;V.MSDR	N;NOM;DEF;SG
gobernante	حاكم	gobernante	حَاكِم	N;SG	
madison	ماديسون	madison	ماديسون	N;MASC;SG	
caridad	الخيرية	caridad	خَيرِيّ	N;FEM;SG	ADJ;NOM;DEF;FEM;SG
caridad	الخيرية	caridad	خَيرِيّ	N;FEM;SG	ADJ;NOM;DEF;FEM;SG
leftarm	l	leftarm	l	INTJ	
exclusiva	الحصري	exclusivo	حَصرِيّ	ADJ;FEM;SG	
exclusiva	حصري	exclusivo	حِصرِيّ	ADJ;FEM;SG	
armados	المسلحة	armado	مُسَلَّح	ADJ;MASC;PL;V.PTCP	ADJ;NOM;DEF;FEM;SG
armados	مسلحين	armado	مُسَلَّح	ADJ;MASC;PL;V.PTCP	N;NOM;INDF;PL
armados	مسلح	armado	مُسَلَّح	ADJ;MASC;PL;V.PTCP	N;NOM;INDF;SG
