το	os	ο	o	DET;NOM;DEF;NEUT;SG	PRO;ACC;MASC;PL;3
από	do	από	do	ADP	N;MASC;SG
από	da	από	da	ADP	INTJ
τους	eles	μου	eles	PRO;GEN;MASC;PL;3	PRO;NOM;MASC;PL;3
ήταν	estava	είμαι	estar	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
ήταν	era	είμαι	ser	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
ήταν	tava	είμαι	tavo	V;IPFV;IND;SG;3;PST;FIN;PASS	V;IND;SG;1;IPFV;FIN
ήταν	foi	είμαι	foi	V;IPFV;IND;SG;3;PST;FIN;PASS	ADV
ένα	one	ένας	one	NUM;NOM;NEUT;SG	N;MASC;SG
ότι	essa	ότι	esse	CONJ	PRO;FEM;SG
ότι	isso	ότι	isso	CONJ	PRO;MASC;SG
ότι	que	ότι	que	CONJ	PRO;MASC;SG
μια	one	ένας	one	NUM;NOM;FEM;SG	N;MASC;SG
θα	will	θα	will	PART	N;MASC;SG
θα	vontade	θα	vontade	PART	N;FEM;SG
μετά	após	μετά	após	ADV	ADP
μετά	after	μετά	after	ADV	N;MASC;SG
όπως	like	όπως	like	ADV	N;MASC;SG
όπως	curta	όπως	curto	ADV	ADJ;FEM;SG
είχε	tive	έχω	ter	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;1;PST;FIN
είχε	tinha	έχω	ter	V;IPFV;IND;SG;3;PST;FIN;ACT	V;IND;SG;3;IPFV;FIN
ενώ	enquanto	ενώ	enquanto	CONJ	ADV
δύο	two	δύο	two	NUM;NOM;MASC;PL	N;MASC;SG
αυτό	este	αυτός	este	PRO;NOM;NEUT;SG;3	DET;MASC;SG
αυτό	esse	αυτός	esse	PRO;NOM;NEUT;SG;3	DET;MASC;SG
αυτό	que	αυτός	que	PRO;NOM;NEUT;SG;3	PRO;MASC;SG
αυτή	ela	αυτός	ela	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;SG;3
αυτή	she	αυτός	she	PRO;NOM;FEM;SG;3	N;MASC;SG
