кама	kama	кам	kams	N;INAN;NOM;FEM;SG	
печатных	iespiesti	печатный	iespiest	ADJ;GEN;PL	V;PFV;NOM;INDF;MASC;PL;PST;V.PTCP
печатных	iespiestas	печатный	iespiest	ADJ;GEN;PL	V;PFV;NOM;INDF;FEM;PL;PST;V.PTCP
печатных	drukāts	печатный	drukāts	ADJ;GEN;PL	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
печатных	iespiests	печатный	iespiest	ADJ;GEN;PL	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP
северное	ziemeļu	северный	ziemelis	ADJ;NOM;NEUT;SG	N;GEN;MASC;PL
ценностей	vērtības	ценность	vērtība	N;INAN;GEN;FEM;PL	N;NOM;FEM;PL
квадратный	kvadrātveida	квадратный	kvadrātveida	ADJ;NOM;MASC;SG	
квадратный	laukumā	квадратный	laukums	ADJ;NOM;MASC;SG	N;ESS;MASC;SG
малайзии	malaizijā	малайзия	malaizija	N;INAN;NOM;FEM;PL	N;ESS;FEM;SG
малайзии	malaizija	малайзия	malaizija	N;INAN;NOM;FEM;PL	N;NOM;FEM;SG
реплика	cue	реплика	cue	N;INAN;NOM;FEM;SG	
одежда	apģērbi	одежда	apģērbs	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
одежда	apģērbi	одежда	apģērbs	N;INAN;NOM;FEM;SG	N;NOM;MASC;PL
одежда	drēbes	одежда	drēbe	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
промышленные	rūpnieciskais	промышленный	rūpniecisks	ADJ;NOM;PL	ADJ;NOM;MASC;SG
промышленные	rūpniecības	промышленный	rūpniecība	ADJ;NOM;PL	N;NOM;FEM;PL
промышленные	rūpnieciska	промышленный	rūpnieciska	ADJ;NOM;PL	ADJ;NOM;FEM;SG
тяжёлая	smagas	тяжелый	smaga	ADJ;NOM;FEM;SG	ADJ;NOM;FEM;PL
тяжёлая	smagi	тяжелый	smags	ADJ;NOM;FEM;SG	ADV
тяжёлая	smago	тяжелый	smags	ADJ;NOM;FEM;SG	ADJ;ACC;MASC;SG
мкс	irc	мкс	irc	N;INAN;NOM;FEM;SG	
мкс	scm	мкс	scm	N;INAN;NOM;FEM;SG	
мкс	cie	мкс	cie	N;INAN;NOM;FEM;SG	
оппонентов	pretiniekiem	оппонент	pretinieks	N;ANIM;GEN;MASC;PL	N;DAT;MASC;PL
оппонентов	pretinieki	оппонент	pretinieks	N;ANIM;GEN;MASC;PL	N;NOM;MASC;PL
грибы	sēņu	гриб	sēne	N;INAN;NOM;MASC;PL	N;GEN;FEM;PL
идеологии	ideoloģijas	идеология	ideoloģija	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
идеологии	ideoloģijas	идеология	ideoloģija	N;INAN;NOM;FEM;SG	N;NOM;FEM;PL
разрешить	atļauja	разрешить	atļauja	V;PFV;NFIN;ACT	N;NOM;FEM;SG
барбара	barbara	барбар	barbars	N;ANIM;NOM;FEM;SG	PROPN;NOM;FEM;SG
