है	האי	है	האי	V;IND;SG;3;PRS;FIN;ACT	
श्रेणी	קטגוריות	श्रेणी	קטגוריה	N;NOM;FEM;SG;3	N;FEM;PL
भी	אפילו	भी	אפילו	PART	CONJ
भी	גם	भी	גם	PART	ADV
भी	וגם	भी	וגם	PART	
भी	גם	भी	גם	PART	ADV
भी	מדי	भी	מדי	PART	ADV
किया	בוצע	कर	בוצע	V;PFV;MASC;SG;V.PTCP;ACT	V;MASC;SG;3;PST;PASS
किया	סגור	कर	סגור	V;PFV;MASC;SG;V.PTCP;ACT	
इस	זה	यह	זה	DET;ACC;SG;3	PRO;MASC;SG;3
कि	זה	कि	זה		PRO;MASC;SG;3
भारत	הודו	भारत	הודו	PROPN;NOM;MASC;SG;3	PROPN
भारत	אינדיה	भारत	אינדיה	PROPN;NOM;MASC;SG;3	PROPN
जो	מי	जो	מי	PRO;NOM;SG;3	ADV
रूप	הטופס	रूप	הטופס	N;NOM;MASC;SG;3	PROPN
कर	מס	कर	מס	V;ACT	N;MASC;SG
कर	מסים	कर	מס	V;ACT	N;MASC;PL
कर	מיסים	कर	מס	V;ACT	N;MASC;PL
उत्तराखण्ड	אוטראקהאנד	उत्तराखण्ड	אוטראקהאנד	PROPN;NOM;MASC;SG;3	PROPN
गया	הלכה	जा	הלכה	V;PFV;MASC;SG;V.PTCP;ACT	N;FEM;SG
साथ	לאורך	साथ	לאורך	ADV;NOM;MASC;SG;3	ADP
साथ	עם	साथ	עם	ADV;NOM;MASC;SG;3	ADP
साथ	ביחד	साथ	ביחד	ADV;NOM;MASC;SG;3	
पूर्व	המזרח	पूर्व	המזרח	ADV;NOM;MASC;SG;3	PROPN
पूर्व	איסט	पूर्व	איסט	ADV;NOM;MASC;SG;3	PROPN
पूर्व	מזרח	पूर्व	מזרח	ADV;NOM;MASC;SG;3	N;MASC;SG
बाद	אחרי	बाद	אחרי	ADV;NOM;MASC;SG;3	ADP
बाद	לאחר	बाद	לאחר	ADV;NOM;MASC;SG;3	ADP
तक	עד	तक	עד	CONJ	ADP
तक	עד	तक	עד	CONJ	ADP
तक	טאק	तक	טאק	CONJ	PROPN
अपने	משל	अपना	משל	PRO;NOM;MASC	
अपने	שלך	अपना	שלך	PRO;NOM;MASC	
जिले	מחוזות	जिला	מחוז	N;NOM;MASC;SG;3	N;MASC;PL
था	היה	था	היה	V;MASC;IND;SG;PST;FIN;ACT	V;MASC;SG;3;POS;PST
था	הייתה	था	היה	V;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;3;POS;PST
था	היתה	था	היה	V;MASC;IND;SG;PST;FIN;ACT	V;FEM;SG;3;POS;PST
राज्य	מדינות	राज्य	מדינה	N;NOM;MASC;SG;3	N;FEM;PL
राज्य	המדינה	राज्य	המדין	N;NOM;MASC;SG;3	V;FEM;SG;3;PST;ACT
बाहरी	החיצון	बाहरी	החיצון	ADJ;NOM	N;MASC;SG
बाहरी	חיצונית	बाहरी	חיצוני	ADJ;NOM	ADV
कुछ	חלקם	कुछ	חלקם	DET	
कुछ	משהו	कुछ	משהו	DET	N;MASC;SG
कुछ	משו	कुछ	משו	DET	
ईसा	ישו	ईसा	ישו	N;NOM;MASC;SG;3	
ईसा	ישוע	ईसा	ישוע	N;NOM;MASC;SG;3	PROPN
गाँव	כפר	गाँव	כפר	N;NOM;MASC;PL;3	N;MASC;SG
गाँव	הכפר	गाँव	הכפר	N;NOM;MASC;PL;3	
सरकार	הממשלה	सरकार	הממשלה	N;NOM;FEM;SG;3	PROPN
इसके	שלו	यह	של	PRO;MASC;SG;3	
दिया	בהינתן	दे	בהינתן	V;PFV;MASC;SG;V.PTCP;ACT	ADV
दिया	שניתנו	दे	שניתנו	V;PFV;MASC;SG;V.PTCP;ACT	
दिया	ניתנה	दे	ניתן	V;PFV;MASC;SG;V.PTCP;ACT	V;FEM;SG;3;PST;MID
दिया	ניתנו	दे	ניתן	V;PFV;MASC;SG;V.PTCP;ACT	V;PL;3;PST;MID
