loại	napíšte	loại	napísiť	N	V;PFV;IMP;PL;2;POS;FIN
một	one	một	ona	NUM	
năm	five	năm	fiv	N	
năm	päť	năm	päť	N	NUM;NOM;NEUT;SG
năm	piati	năm	piati	N	NUM;ANIM;NOM;MASC;PL
của	tvoje	của	tvoj	ADP	DET;NOM;NEUT;SG;2
của	váš	của	tvoj	ADP	DET;INAN;NOM;MASC;SG;2
của	vaša	của	tvoj	ADP	DET;NOM;FEM;SG;2
của	vaše	của	váš	ADP	DET;NOM;NEUT;SG;2
của	tvoja	của	tvoj	ADP	DET;NOM;FEM;SG;2
của	tvoj	của	tvoj	ADP	DET;ANIM;NOM;MASC;SG;2
các	vy	các	vy	DET	PRO;NOM;PL;2
các	si	các	byť	DET	V;IPFV;IND;SG;2;POS;PRS;FIN
các	ti	các	ty	DET	PRO;DAT;SG;2
các	teba	các	ty	DET	PRO;ACC;SG;2
các	ty	các	ty	DET	PRO;NOM;SG;2
này	to	này	to	PROPN	DET;NOM;NEUT;SG
này	táto	này	táto	PROPN	DET;NOM;FEM;SG
này	tento	này	tento	PROPN	DET;INAN;NOM;MASC;SG
này	toto	này	toto	PROPN	DET;NOM;NEUT;SG
này	túto	này	táto	PROPN	DET;ACC;FEM;SG
này	hej	này	hej	PROPN	INTJ
vật	živočíšne	vật	živočíšny	N	ADJ;NOM;NEUT;SG
vật	zvieracie	vật	zvierací	N	ADJ;NOM;NEUT;SG
thích	jako	thích	jako	V	
thích	ako	thích	ako	V	ADV
thích	like	thích	lika	V	N;ANIM;VOC;MASC;SG
học	štúdium	học	štúdium	V	N;NOM;NEUT;SG
học	štúdia	học	štúdium	V	N;NOM;NEUT;PL
học	štúdium	học	štúdium	V	N;NOM;NEUT;SG
học	študijné	học	študijný	V	ADJ;NOM;NEUT;SG
học	štúdie	học	štúdia	V	N;NOM;NEUT;PL
học	skola	học	skola	V	N;NOM;FEM;SG
học	školy	học	škola	V	N;NOM;FEM;PL
học	školu	học	škola	V	N;ACC;FEM;SG
học	školské	học	školský	V	ADJ;NOM;NEUT;SG
học	škola	học	škola	V	N;NOM;FEM;SG
học	učenie	học	učenie	V	N;NOM;NEUT;SG
người	clovek	người	clovek	N	INTJ
người	muz	người	muz	N	PROPN;ANIM;NOM;MASC;SG
người	man	người	man	N	PROPN;ANIM;NOM;MASC;SG
người	ludi	người	ludia	N	INTJ
người	people	người	peopeľ	N	PROPN;ANIM;VOC;MASC;SG
thực	real	thực	real	V	N;INAN;NOM;MASC;SG
thực	reálny	thực	reálny	V	ADJ;INAN;NOM;MASC;SG
thực	skutočné	thực	skutočný	V	ADJ;NOM;NEUT;SG
thực	skutočná	thực	skutočný	V	ADJ;NOM;FEM;SG
thực	reálne	thực	reálne	V	ADV
thực	vlastne	thực	vlastne	V	PART
thực	autentické	thực	autentický	V	ADJ;NOM;NEUT;SG
thực	ozajstný	thực	ozajstný	V	ADJ;ANIM;NOM;MASC;SG
thực	pravé	thực	pravý	V	ADJ;NOM;NEUT;SG
thực	autentický	thực	autentický	V	ADJ;INAN;NOM;MASC;SG
thực	vážne	thực	vážne	V	ADV
thực	ozaj	thực	ozaj	V	PART
thực	fakt	thực	fakt	V	N;INAN;NOM;MASC;SG
thực	naozaj	thực	naozaj	V	PART
tham	kĺb	tham	kĺb	V	N;INAN;NOM;MASC;SG
tham	joint	tham	joint	V	N;INAN;NOM;MASC;SG
tham	spoločné	tham	spoločný	V	ADJ;NOM;NEUT;SG
tham	spoločná	tham	spoločný	V	ADJ;NOM;FEM;SG
tham	spoločný	tham	spoločný	V	ADJ;INAN;NOM;MASC;SG
tham	tham	tham	tham	V	
kết	ukončiť	kết	ukončiť	N	V;PFV;POS;NFIN
kết	end	kết	end	N	PROPN;ANIM;NOM;MASC;SG
kết	skončiť	kết	skončiť	N	V;PFV;POS;NFIN
đầu	head	đầu	head	N	PROPN;NOM;FEM;SG
đầu	prvý	đầu	prvý	N	ADJ;ANIM;NOM;MASC;SG
đầu	prvy	đầu	prva	N	ADJ;INAN;NOM;MASC;SG
đầu	najprv	đầu	najprv	N	ADV
đầu	prvé	đầu	prvý	N	ADJ;NOM;NEUT;SG
đầu	prvá	đầu	prvý	N	ADJ;NOM;FEM;SG
ngoài	vonku	ngoài	vonku	N	ADV
ngoài	vonka	ngoài	vonka	N	ADV
ngoài	mimo	ngoài	mimo	N	ADV
ngoài	vonkajšie	ngoài	vonkajší	N	ADJ;NOM;NEUT;SG
ngoài	vonkajší	ngoài	vonkajší	N	ADJ;INAN;NOM;MASC;SG
ngoài	vonkajšia	ngoài	vonkajší	N	ADJ;NOM;FEM;SG
thành	thành	thành	thný	V	PROPN;ANIM;NOM;MASC;SG
thành	cheng	thành	cheng	V	PROPN;ANIM;NOM;MASC;SG
thành	citadela	thành	citadieť	V	N;NOM;FEM;SG
khoa	vedu	khoa	veda		N;ACC;FEM;SG
khoa	vedy	khoa	veda		N;NOM;FEM;PL
khoa	veda	khoa	veda		N;NOM;FEM;SG
khoa	fakulty	khoa	fakulta		N;NOM;FEM;PL
khoa	fakulta	khoa	fakult		N;NOM;FEM;SG
cho	cho	cho	cho	V	PROPN;NOM;FEM;SG
cho	pre	cho	pre	V	ADP;ACC
cho	za	cho	za	V	
không	neni	không	neni	;NEG	
không	nie	không	nie	;NEG	PART
hoa	united	hoa	united	N	PROPN;ANIM;NOM;MASC;SG
hoa	zjednotená	hoa	zjednotený	N	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
hoa	spojené	hoa	spojený	N	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
ngày	den	ngày	den	N	PROPN;ANIM;NOM;MASC;SG
ngày	day	ngày	deň	N	INTJ
ngày	days	ngày	days	N	
những	tý	những	tý	DET	N;ANIM;NOM;MASC;PL
những	oni	những	on	DET	PRO;ANIM;NOM;MASC;PL;3
những	ony	những	ona	DET	N;NOM;MASC;PL
nam	mužské	nam	mužský	N	ADJ;NOM;NEUT;SG
nam	mužský	nam	mužský	N	ADJ;ANIM;NOM;MASC;SG
nam	južný	nam	južný	N	ADJ;ANIM;NOM;MASC;SG
nam	južná	nam	južný	N	ADJ;NOM;FEM;SG
nam	južné	nam	južný	N	ADJ;NOM;NEUT;SG
nam	južnej	nam	južný	N	ADJ;GEN;FEM;SG
nam	nam	nam	my	N	PROPN;ANIM;NOM;MASC;SG
công	napadnúť	công	napadnúť	N	V;PFV;POS;NFIN
công	zaútočiť	công	zaútočiť	N	V;PFV;POS;NFIN
công	verejný	công	verejný	N	ADJ;ANIM;NOM;MASC;SG
công	verejné	công	verejný	N	ADJ;NOM;NEUT;SG
công	verejná	công	verejný	N	ADJ;NOM;FEM;SG
chính	vlastný	chính	vlastný	PART	ADJ;ANIM;NOM;MASC;SG
chính	vlastná	chính	vlastný	PART	ADJ;NOM;FEM;SG
chính	vlastné	chính	vlastný	PART	ADJ;NOM;NEUT;SG
chính	vlastniť	chính	vlastniť	PART	V;PFV;POS;NFIN
chính	primárne	chính	primárne	PART	ADV
chính	primárna	chính	primárny	PART	ADJ;NOM;FEM;SG
chính	primárny	chính	primárny	PART	ADJ;ANIM;NOM;MASC;SG
chính	hlavné	chính	hlavný	PART	ADJ;NOM;NEUT;SG
chính	hlavná	chính	hlavný	PART	ADJ;NOM;FEM;SG
chính	main	chính	main	PART	
chính	hlavný	chính	hlavný	PART	ADJ;ANIM;NOM;MASC;SG
chính	hlavny	chính	hlavny	PART	N;ANIM;NOM;MASC;SG
động	dynamický	động	dynamický	V	ADJ;ANIM;NOM;MASC;SG
động	dynamic	động	dynamica	V	N;NOM;FEM;SG
động	dynamická	động	dynamický	V	ADJ;NOM;FEM;SG
động	dynamické	động	dynamický	V	ADJ;NOM;NEUT;SG
động	automatický	động	automatický	V	ADJ;INAN;NOM;MASC;SG
động	automatická	động	automatický	V	ADJ;NOM;FEM;SG
động	automatické	động	automatický	V	ADJ;NOM;NEUT;SG
động	automaticky	động	automaticky	V	ADV
động	automaticky	động	automaticky	V	ADV
khi	keď	khi	keď	N	CONJ
khi	ked	khi	ked	N	PART
khi	kedy	khi	kedy	N	ADV
đến	príchod	đến	príchod	PART	N;INAN;NOM;MASC;SG
đến	došiel	đến	dojsť	PART	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
đến	prišiel	đến	prísť	PART	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
đến	dorazil	đến	doraziť	PART	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
đến	prišli	đến	prísť	PART	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
đến	dorazili	đến	doraziť	PART	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
đến	prišla	đến	prísť	PART	V;PFV;FEM;SG;POS;PST;V.PTCP
đến	poď	đến	ísť	PART	V;IPFV;IMP;SG;2;POS;FIN
đến	prichádza	đến	prichádzať	PART	V;IPFV;IND;SG;3;POS;PRS;FIN
đến	príchod	đến	príchod	PART	N;INAN;NOM;MASC;SG
theo	theo	theo	theo	V	PROPN;ANIM;NOM;MASC;SG
theo	sledovanie	theo	sledovanie	V	N;NOM;NEUT;SG
theo	follow	theo	follow	V	
theo	po	theo	po	V	ADP;ESS
tỉnh	hore	tỉnh	hore	N	ADV
tỉnh	prebral	tỉnh	prebrať	N	V;ANIM;PFV;MASC;SG;POS;PST;V.PTCP
sau	po	sau	po	N	ADP;ESS
sau	neskor	sau	neskor	N	PROPN;ANIM;NOM;MASC;SG
sau	neskôr	sau	neskôr	N	ADV
sau	neskoršie	sau	neskorý	N	ADV;RL
trung	stredne	trung	strednúť	N	ADV
trung	stredný	trung	stredný	N	ADJ;ANIM;NOM;MASC;SG
trung	stredná	trung	stredný	N	ADJ;NOM;FEM;SG
trung	stredné	trung	stredný	N	ADJ;NOM;NEUT;SG
trung	centrálne	trung	centrálne	N	ADV
trung	centrálna	trung	centrálny	N	ADJ;NOM;FEM;SG
trung	stredná	trung	stredný	N	ADJ;NOM;FEM;SG
trung	centrálny	trung	centrálny	N	ADJ;INAN;NOM;MASC;SG
trung	blízkom	trung	blízky	N	ADJ;INS;NEUT;SG
trung	stredný	trung	stredný	N	ADJ;ANIM;NOM;MASC;SG
trung	stredné	trung	stredný	N	ADJ;NOM;NEUT;SG
trung	stredná	trung	stredný	N	ADJ;NOM;FEM;SG
trên	vyššie	trên	vysoko		ADV;CMPR
trên	nad	trên	nad		ADP;INS
nhà	doma	nhà	doma	N	ADV
nhà	domov	nhà	domov	N	ADV
nhà	domáca	nhà	domáci	N	ADJ;NOM;FEM;SG
nhà	domáce	nhà	domáci	N	ADJ;NOM;NEUT;SG
như	jako	như	jako	CONJ	
như	ako	như	ako	CONJ	ADV
như	like	như	lika	CONJ	N;ANIM;VOC;MASC;SG
nước	vodná	nước	vodný	N	ADJ;NOM;FEM;SG
nước	vodný	nước	vodný	N	ADJ;ANIM;NOM;MASC;SG
nước	vodné	nước	vodný	N	ADJ;NOM;NEUT;SG
huyện	okres	huyện	okres	N	INTJ
gia	gia	gia	gia	N	PROPN;ANIM;NOM;MASC;SG
thời	time	thời	tima	N	
bản	holandská	bản	holandský	N	ADJ;NOM;FEM;SG
bản	holandské	bản	holandský	N	ADJ;NOM;NEUT;SG
bản	holandskej	bản	holandský	N	ADJ;GEN;FEM;SG
bản	holandský	bản	holandský	N	ADJ;ANIM;NOM;MASC;SG
làm	robis	làm	robis	V	INTJ
đại	veľký	đại	veľký	N	ADJ;ANIM;NOM;MASC;SG
đại	big	đại	big	N	
đại	veľké	đại	veľký	N	ADJ;NOM;NEUT;SG
đại	veľká	đại	veľký	N	ADJ;NOM;FEM;SG
hiện	ukázať	hiện	ukázať	N	V;PFV;POS;NFIN
hiện	zobraziť	hiện	zobraziť	N	V;PFV;POS;NFIN
hiện	ukáž	hiện	ukáž	N	V;PFV;IMP;SG;2;POS;FIN
thế	že	thế	že	PROPN	CONJ
chiến	vojnové	chiến	vojnový	N	ADJ;NOM;NEUT;SG
chiến	vojnový	chiến	vojnový	N	ADJ;ANIM;NOM;MASC;SG
chiến	war	chiến	war	N	
chiến	chien	chiến	chena	N	PROPN;ANIM;NOM;MASC;SG
bar	bare	bar	bara		N;NOM;MASC;SG
bar	bar	bar	bar		N;INAN;NOM;MASC;SG
bar	tyč	bar	tyč		N;NOM;FEM;SG
lại	znovu	lại	znovu		ADV
lại	znova	lại	znova		ADV
lại	opäť	lại	opäť		ADV
lại	zase	lại	zase		PART
lại	zas	lại	zas		PART
lại	zasa	lại	zasa		PART
cũng	takisto	cũng	takisto		ADV
cũng	aj	cũng	aj		PART
cũng	tiež	cũng	tiež		PART
cũng	taktiež	cũng	taktiež		ADV
việt	việt	việt	việt	N	PROPN;ANIM;NOM;MASC;SG
việt	vietnamu	việt	vietny	N	ADJ;DAT;NEUT;SG
the	na	the	na		ADP;ESS
the	the	the	the		
nhất	najlepsie	nhất	dsípsiť		
nhất	najlepšie	nhất	dobre		ADV;RL
nhất	najlepší	nhất	dobrý		ADJ;ANIM;NOM;RL;MASC;SG
nhất	najlepšia	nhất	dobrý		ADJ;NOM;RL;FEM;SG
nhất	najlepsi	nhất	najlepsi		PROPN;ANIM;NOM;MASC;SG
nhân	množiť	nhân	množiť		V;IPFV;POS;NFIN
nhân	jadro	nhân	jadro		N;NOM;NEUT;SG
nhân	core	nhân	cora		N;NOM;MASC;SG
nhân	jadrom	nhân	jadrý		ADJ;INS;NEUT;SG
nhân	jadra	nhân	jadra		N;GEN;FEM;SG
nhân	pacientka	nhân	pacientko		N;NOM;FEM;SG
nhân	pacienta	nhân	paciento		N;ANIM;ACC;MASC;SG
nhân	pacientovi	nhân	pacient		N;ANIM;DAT;MASC;SG
nhân	trpezlivý	nhân	trpezlivý		ADJ;ANIM;NOM;MASC;SG
nhân	pacientky	nhân	pacientka		N;NOM;FEM;PL
nhân	pacient	nhân	pacient		N;ANIM;NOM;MASC;SG
phát	vysielanie	phát	vysielanie	V	N;NOM;NEUT;SG
phát	vysielania	phát	vysielanie	V	N;NOM;NEUT;PL
phát	strelený	phát	strelený	V	ADJ;ANIM;NOM;MASC;SG
phát	strela	phát	strieť	V	N;NOM;FEM;SG
phát	postrelený	phát	postrelený	V	ADJ;ANIM;NOM;MASC;SG;POS;V.PTCP;PASS
phát	záber	phát	záber	V	N;INAN;NOM;MASC;SG
phát	výstrel	phát	výstrel	V	N;INAN;NOM;MASC;SG
phát	výstrely	phát	výstrel	V	N;INAN;NOM;MASC;PL
phát	strely	phát	strela	V	N;NOM;FEM;PL
phát	zábery	phát	záber	V	N;NOM;FEM;PL
anh	vy	anh	vy	N	PRO;NOM;PL;2
anh	si	anh	byť	N	V;IPFV;IND;SG;2;POS;PRS;FIN
anh	ti	anh	ty	N	PRO;DAT;SG;2
anh	teba	anh	ty	N	PRO;ACC;SG;2
