نيبال	nepalu	نيبال	nepal		PROPN;NOM;MASC;SG
شريك	partnerem	شَرِيك	partner	N;NOM;INDF;SG	N;INS;MASC;SG
شريك	partnera	شَرِيك	partner	N;NOM;INDF;SG	N;ACC;MASC;SG
عنيفة	przemoc	عَنِيف	przemoc	ADJ;NOM;INDF;FEM;SG	
عنيفة	przemocy	عَنِيف	przemoc	ADJ;NOM;INDF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
المحسن	poprawiony	المحسن	poprawić		ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
المحسن	poprawy	المحسن	poprawa		N;GEN;FEM;SG
المحسن	poprawione	المحسن	poprawić		ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
ابي	tato	ابي	tato		
ابي	tata	ابي	tata		N;NOM;MASC;SG
عانى	poniesionej	عَانَى	ponieść	V;PFV;MASC;SG;3;ACT	ADJ;PFV;GEN;FEM;SG;POS;V.PTCP;PASS
عانى	cierpiał	عَانَى	cierpieć	V;PFV;MASC;SG;3;ACT	V;IPFV;MASC;IND;SG;PST;FIN;ACT
عانى	cierpiała	عَانَى	cierpieć	V;PFV;MASC;SG;3;ACT	V;IPFV;FEM;IND;SG;PST;FIN;ACT
واليابان	japonii	واليابان	japonia		
واليابان	japonia	واليابان	japonie		
هاي	hai	هاي	haić		V;IPFV;IND;SG;2;PRS;FIN;ACT
هاي	hal	هاي	hala		
هاي	hej	هاي	hej		
هاي	siana	هاي	siana		
هاي	siano	هاي	siano		N;NOM;NEUT;SG
حلت	rozwiązany	حَلّ	rozwiązać	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
حلت	rozwiązana	حَلّ	rozwiązać	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;FEM;SG;POS;V.PTCP;PASS
حلت	rozwiązane	حَلّ	rozwiązać	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
نظمت	ustawione	نَظَّم	ustawić	V;PFV;FEM;SG;3;ACT	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
فورت	fortu	فورت	fort		N;GEN;MASC;SG
فورت	fort	فورت	fort		N;NOM;MASC;SG
رايت	widział	رَاي	widzieć		V;IPFV;MASC;IND;SG;PST;FIN;ACT
رايت	widziane	رَاي	widzieć		ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
رايت	widziany	رَاي	widzieć		ADJ;IPFV;NOM;MASC;SG;POS;V.PTCP;PASS
رايت	widział	رَاي	widzieć		V;IPFV;MASC;IND;SG;PST;FIN;ACT
رايت	piły	رَاي	pić		
