hovards	howard	hovards	howard	PROPN;NOM;MASC;SG	PROPN
administrators	admin	administrators	admin	N;NOM;MASC;SG	INTJ
administrators	administradora	administrators	administrador	N;NOM;MASC;SG	ADJ;FEM;SG
administrators	administradora	administrators	administrador	N;NOM;MASC;SG	ADJ;FEM;SG
normāli	normales	normāli	normal	ADV	ADJ;PL
normāli	normalidad	normāli	normalidad	ADV	N;FEM;SG
normāli	normal	normāli	normal	ADV	ADJ;SG
omskas	omsk	omska	omsk	PROPN;NOM;FEM;SG	N;MASC;SG
alžīrijas	argelino	alžīrija	argelino	PROPN;NOM;FEM;SG	N;MASC;SG
alžīrijas	argelia	alžīrija	argelia	PROPN;NOM;FEM;SG	N;FEM;SG
alžīrijas	argelinos	alžīrija	argelino	PROPN;NOM;FEM;SG	N;MASC;PL
alžīrijas	argelina	alžīrija	argelino	PROPN;NOM;FEM;SG	ADJ;FEM;SG
pīļu	patito	pīle	patito	N;GEN;FEM;PL	N;MASC;SG
pīļu	pato	pīle	pato	N;GEN;FEM;PL	N;MASC;SG
pīļu	duck	pīle	duck	N;GEN;FEM;PL	N;SG
plūdi	inundación	plūdi	inundación	N;NOM;MASC	N;FEM;SG
plūdi	inundaciones	plūdi	inundación	N;NOM;MASC	N;FEM;PL
plūdi	inundar	plūdi	inundar	N;NOM;MASC	V;NFIN
plūdi	diluvio	plūdi	diluvio	N;NOM;MASC	N;MASC;SG
plūdi	inundación	plūdi	inundación	N;NOM;MASC	N;FEM;SG
plūdi	inundaciones	plūdi	inundación	N;NOM;MASC	N;FEM;PL
plūdi	inundando	plūdi	inundar	N;NOM;MASC	V;V.MSDR
plūdi	inundación	plūdi	inundación	N;NOM;MASC	N;FEM;SG
plūdi	inundaciones	plūdi	inundación	N;NOM;MASC	N;FEM;PL
pavēle	encargos	pavēle	encargo	N;NOM;FEM;SG	N;MASC;PL
pavēle	órdenes	pavēle	orden	N;NOM;FEM;SG	N;FEM;PL
pavēle	pedidos	pavēle	pedido	N;NOM;FEM;SG	ADJ;MASC;PL;V.PTCP
pavēle	ordenes	pavēle	órden	N;NOM;FEM;SG	N;FEM;PL
subtropu	subtropical	subtrops	subtropical	N;ACC;MASC;SG	ADJ;SG
subtropu	subtropicales	subtrops	subtropical	N;ACC;MASC;SG	ADJ;PL
kancelejas	papelería	kanceleja	papelería	N;NOM;FEM;PL	N;FEM;SG
bite	muerde	bite	morder	N;NOM;FEM;SG	V;IND;SG;3;PRS;FIN
bite	morder	bite	morder	N;NOM;FEM;SG	V;NFIN
labot	edición	labot	edición	V;POS;NFIN	N;FEM;SG
zeppelin	zeppelin	zeppelin	zeppelin	PROPN	N;MASC;SG
debesis	cielo	debess	cielo	N;NOM;FEM;PL	N;MASC;SG
debesis	cielo	debess	cielo	N;NOM;FEM;PL	N;MASC;SG
