din	vom	din	vom	ADP;ACC	
care	who	care	who	PRO;3	PROPN;NOM;SG
care	wem	care	wer	PRO;3	ADV
care	wen	care	wer	PRO;3	ADV
care	wer	care	wer	PRO;3	PRO;NOM;SG
care	welches	care	welch	PRO;3	PRO;NOM;NEUT;SG
care	welcher	care	welch	PRO;3	PRO;NOM;MASC;SG
care	welche	care	welch	PRO;3	PRO;NOM;SG
care	welchen	care	welch	PRO;3	PRO;NOM;SG
mai	mai	mai	mai	ADV	PROPN;NOM;MASC;SG
mai	weiteres	mai	weit	ADV	ADJ;NOM;NEUT;SG
mai	weitere	mai	weit	ADV	ADJ;NOM;FEM;PL
lui	lui	el	lui	PRO;3	
lui	seinem	el	sein	PRO;3	DET;DAT;MASC;SG
lui	seinen	el	sein	PRO;3	DET;ACC;MASC;SG
lui	seine	el	sein	PRO;3	DET;NOM;FEM;SG
lui	sein	el	sein	PRO;3	DET;NOM;MASC;SG
lui	seiner	el	sein	PRO;3	DET;NOM;MASC;SG
sit	aufstellungsort	sit	aufstellungsort	N;INDF;MASC;SG	ADJ
sit	webseite	sit	webseite	N;INDF;MASC;SG	
sit	standort	sit	standoren	N;INDF;MASC;SG	ADV
dupa	danach	dupa	danach	N;DEF;FEM;SG	ADV
dupa	nach	dupa	nach	N;DEF;FEM;SG	ADP
dupa	after	dupa	aft	N;DEF;FEM;SG	PROPN;NOM;SG
dupa	nachher	dupa	nachher	N;DEF;FEM;SG	ADV
dupa	nachdem	dupa	nachdem	N;DEF;FEM;SG	CONJ
dupa	danach	dupa	danach	N;DEF;FEM;SG	ADV
dupa	nach	dupa	nach	N;DEF;FEM;SG	ADP
dupa	after	dupa	aft	N;DEF;FEM;SG	PROPN;NOM;SG
dupa	nachher	dupa	nachher	N;DEF;FEM;SG	ADV
dupa	nachdem	dupa	nachdem	N;DEF;FEM;SG	CONJ
ale	ale	al	ale	DET;FEM;PL	
lea	lea	lea	lea		PROPN;NOM;MASC;SG
regiunea	region	regiune	Region	N;DEF;FEM;SG	
regiunea	gebiet	regiune	gebieten	N;DEF;FEM;SG	ADJ
mare	great	mare	greaen	ADJ;INDF;MASC;SG	PROPN
mare	große	mare	groß	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
mare	big	mare	bigen	ADJ;INDF;MASC;SG	
mare	großen	mare	groß	ADJ;INDF;MASC;SG	ADJ;PL
mare	große	mare	groß	ADJ;INDF;MASC;SG	ADJ;NOM;FEM;PL
anul	jahr	an	Jahr	N;DEF;MASC;SG	N;NOM;NEUT;SG
anul	baujahr	an	baujahr	N;DEF;MASC;SG	
anul	jahres	an	jahres	N;DEF;MASC;SG	N;NOM;NEUT;SG
anul	jahre	an	jahren	N;DEF;MASC;SG	ADV
comuna	gemeinsamen	comună	gemeinsam	N;DEF;FEM;SG	ADJ;SG
comuna	häufig	comună	häufig	N;DEF;FEM;SG	ADJ
comuna	allgemein	comună	allgemein	N;DEF;FEM;SG	ADJ
comuna	gemeinsames	comună	gemeinsam	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
comuna	gemeinsame	comună	gemeinsam	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
comuna	stadtverwaltung	comună	stadtverwaltung	N;DEF;FEM;SG	PROPN
comuna	gemeinde	comună	gemeinde	N;DEF;FEM;SG	N;NOM;FEM;SG
comuna	kommune	comună	kommun	N;DEF;FEM;SG	N;NOM;FEM;SG
comuna	gemeinsamen	comună	gemeinsam	N;DEF;FEM;SG	ADJ;SG
comuna	häufig	comună	häufig	N;DEF;FEM;SG	ADJ
comuna	allgemein	comună	allgemein	N;DEF;FEM;SG	ADJ
comuna	gemeinsames	comună	gemeinsam	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG
comuna	gemeinsame	comună	gemeinsam	N;DEF;FEM;SG	ADJ;NOM;FEM;PL
externe	externe	extern	extern	ADJ;INDF;FEM;PL	
externe	außenhandel	extern	außenhandel	ADJ;INDF;FEM;PL	
externe	außen	extern	außen	ADJ;INDF;FEM;PL	ADV
locuitori	bewohner	locuitor	bewohner	N;INDF;MASC;PL	ADJ
locuitori	anwohner	locuitor	anwohner	N;INDF;MASC;PL	
locuitori	bewohner	locuitor	bewohner	N;INDF;MASC;PL	ADJ
legaturi	verbindungen	legatură	verbindung	N;INDF;FEM;PL	V;NFIN
legaturi	verweise	legatură	verweisen	N;INDF;FEM;PL	
legaturi	verknüpfungen	legatură	verknüpfung	N;INDF;FEM;PL	V;NFIN
legaturi	links	legatură	links	N;INDF;FEM;PL	ADV
legaturi	anschlüsse	legatură	anschlüssen	N;INDF;FEM;PL	
legaturi	verbindungen	legatură	verbindung	N;INDF;FEM;PL	V;NFIN
legaturi	verbindungen	legatură	verbindung	N;INDF;FEM;PL	V;NFIN
legaturi	verweise	legatură	verweisen	N;INDF;FEM;PL	
legaturi	verknüpfungen	legatură	verknüpfung	N;INDF;FEM;PL	V;NFIN
legaturi	links	legatură	links	N;INDF;FEM;PL	ADV
vezi	schau	vedea	schau	V;IND;SG;2;PRS;FIN	;SG
vezi	see	vedea	see	V;IND;SG;2;PRS;FIN	
vezi	siehe	vedea	sehen	V;IND;SG;2;PRS;FIN	V;IMP;SG;FIN
dar	doch	dar	doch	CONJ;POS	ADV
dar	allerdings	dar	allerdings	CONJ;POS	ADV
dar	but	dar	bun	CONJ;POS	
dar	jedoch	dar	jedoch	CONJ;POS	ADV
cod	vorwahl	cod	vorwahl		PROPN
cod	quelltext	cod	quelltext		V;IND;SG;3;PST;FIN
populatie	bevölkerung	populatie	bevölkerung	N;INDF;FEM;SG	ADJ
populatie	bevölkerungszahl	populatie	bevölkerungszahl	N;INDF;FEM;SG	ADJ
populatie	grundgesamtheit	populatie	grundgesamtheit	N;INDF;FEM;SG	ADJ;NOM;SG
populatie	einwohner	populatie	einwohner	N;INDF;FEM;SG	N;NOM;MASC;PL
populatie	einwohnerzahl	populatie	einwohnerzahl	N;INDF;FEM;SG	ADJ
bucuresti	bukarest	bucurest	bukarest	PROPN	PROPN;NOM;NEUT;SG
bucuresti	bukarest	bucurest	bukarest	PROPN	PROPN;NOM;NEUT;SG
bucuresti	bukarest	bucurest	bukarest	PROPN	PROPN;NOM;NEUT;SG
fiind	wesen	fi	wesen	V;V.MSDR	N;NOM;NEUT;SG
romania	rumänien	romanie	Rumänien	N;DEF;FEM;SG	PROPN
romania	rumänien	romanie	Rumänien	N;DEF;FEM;SG	PROPN
jpg	jpg	jpg	jpg	N	
lista	liste	listă	lassen	N;DEF;FEM;SG	N;NOM;FEM;SG
lista	verzeichnis	listă	verzeichnis	N;DEF;FEM;SG	
lista	aufstellung	listă	aufstellingen	N;DEF;FEM;SG	N;NOM;FEM;SG
lista	liste	listă	lassen	N;DEF;FEM;SG	N;NOM;FEM;SG
lista	verzeichnis	listă	verzeichnis	N;DEF;FEM;SG	
lista	aufstellung	listă	aufstellingen	N;DEF;FEM;SG	N;NOM;FEM;SG
ucraina	ukraine	ucraina	ukrain	PROPN	PROPN;NOM;SG
nume	namen	nume	name	N;INDF	
nume	bezeichnung	nume	Bezeichnung	N;INDF	ADJ
nume	vorname	nume	vornam	N;INDF	
ani	ani	an	ani	N;INDF;MASC;PL	PROPN;NOM;SG
ani	jahren	an	jahren	N;INDF;MASC;PL	ADJ
ani	jahre	an	jahren	N;INDF;MASC;PL	ADV
avea	hatten	avea	haben	V;IND;SG;3;IPFV;FIN	V;IND;PL;3;PST;FIN
avea	hatte	avea	haben	V;IND;SG;3;IPFV;FIN	V;IND;SG;3;PST;FIN
intre	zwischen	intra	zwischen	V;SBJV;3;PRS;FIN	ADP
intre	dazwischen	intra	dazwischen	V;SBJV;3;PRS;FIN	ADV
intre	zwischen	intra	zwischen	V;SBJV;3;PRS;FIN	ADP
intre	dazwischen	intra	dazwischen	V;SBJV;3;PRS;FIN	ADV
pana	till	pană	till	N;DEF;FEM;SG	PROPN;SG
pana	bis	pană	bis	N;DEF;FEM;SG	ADP
pana	federn	pană	federn	N;DEF;FEM;SG	V;NFIN
pana	feder	pană	feder	N;DEF;FEM;SG	
poate	vllt	poate	vllt	ADV	
poate	womöglich	poate	womöglich	ADV	ADJ
poate	womöglich	poate	womöglich	ADV	ADJ
doua	zweit	doi	zweit	NUM;FEM;SG	
doua	beiden	doi	beide	NUM;FEM;SG	PRO;NOM;INDF;PL
doua	two	doi	two	NUM;FEM;SG	PROPN;SG
doua	zwei	doi	zwei	NUM;FEM;SG	NUM
doua	zweit	doi	zweit	NUM;FEM;SG	
doua	beiden	doi	beide	NUM;FEM;SG	PRO;NOM;INDF;PL
doua	two	doi	two	NUM;FEM;SG	PROPN;SG
doua	zwei	doi	zwei	NUM;FEM;SG	NUM
rege	königs	rege	königs	N;INDF;MASC;SG	
rege	king	rege	köngen	N;INDF;MASC;SG	
sub	under	sub	under	ADP;ACC	
alte	sonstiges	alt	sonstig	DET;FEM;PL;3	ADJ;NOM;NEUT;SG
alte	andere	alt	ander	DET;FEM;PL;3	ADJ;NOM;FEM;PL
alte	anderen	alt	ander	DET;FEM;PL;3	ADJ;NOM;PL
alte	sonstige	alt	sonstig	DET;FEM;PL;3	ADJ;NOM;FEM;PL
alte	anderes	alt	ander	DET;FEM;PL;3	ADJ;NOM;NEUT;SG
cand	wenn	cand	wenn		CONJ
cand	wann	cand	wann		ADV
cand	wenn	cand	wenn		CONJ
cand	wann	cand	wann		ADV
regiune	region	regiune	Region	N;INDF;FEM;SG	
regiune	gebiet	regiune	gebieten	N;INDF;FEM;SG	ADJ
anii	jahren	an	jahren	N;DEF;MASC;PL	ADJ
anii	jahre	an	jahren	N;DEF;MASC;PL	ADV
parte	teilweise	parte	teilweise	N;INDF;FEM;SG	ADV
parte	teil	parte	teil	N;INDF;FEM;SG	ADV
judetul	komitat	judet	komitat	N;DEF;MASC;SG	PROPN
judetul	kreis	judet	kreis	N;DEF;MASC;SG	ADV
judetul	bezirk	judet	bezirk	N;DEF;MASC;SG	PROPN
judetul	grafschaft	judet	grafschaft	N;DEF;MASC;SG	ADJ
judetul	county	judet	county	N;DEF;MASC;SG	PROPN;NOM;MASC;SG
judetul	komitat	judet	komitat	N;DEF;MASC;SG	PROPN
judetul	kreis	judet	kreis	N;DEF;MASC;SG	ADV
judetul	bezirk	judet	bezirk	N;DEF;MASC;SG	PROPN
judetul	grafschaft	judet	grafschaft	N;DEF;MASC;SG	ADJ
judetul	county	judet	county	N;DEF;MASC;SG	PROPN;NOM;MASC;SG
centura	sicherheitsgurt	centură	sicherheitsgurt	N;DEF;FEM;SG	ADJ
centura	gürtel	centură	gürtel	N;DEF;FEM;SG	
centura	gurt	centură	guren	N;DEF;FEM;SG	ADJ
centura	riemen	centură	riemen	N;DEF;FEM;SG	V;NFIN
centura	belt	centură	belt	N;DEF;FEM;SG	PROPN
centura	gürtel	centură	gürtel	N;DEF;FEM;SG	
centura	gurt	centură	guren	N;DEF;FEM;SG	ADJ
centura	riemen	centură	riemen	N;DEF;FEM;SG	V;NFIN
centura	belt	centură	belt	N;DEF;FEM;SG	PROPN
dinastia	dynastie	dinastie	dynastie	N;DEF;FEM;SG	
septembrie	september	septembrie	september	N;INDF;MASC;SG	PROPN;SG
timp	zeit	timp	zeit	N;INDF;MASC;SG	ADJ
timp	uhrzeit	timp	uhrzeit	N;INDF;MASC;SG	ADJ
timp	zeiten	timp	zeiten	N;INDF;MASC;SG	V;NFIN
timp	zeitraum	timp	zeitraum	N;INDF;MASC;SG	ADV
timp	zeitpunkt	timp	zeitpunkt	N;INDF;MASC;SG	ADJ
despre	etwa	despre	etwa	ADP;ACC	ADV
unde	wo	unde	wo	ADV	ADV
unde	wohin	unde	wohin	ADV	ADV
majoritatea	most	majoritate	most	N;DEF;FEM;SG	
majoritatea	meist	majoritate	meist	N;DEF;FEM;SG	ADV
majoritatea	meisten	majoritate	meist	N;DEF;FEM;SG	ADJ;NOM;INDF;PL
majoritatea	mehrzahl	majoritate	mehrzahl	N;DEF;FEM;SG	ADJ
majoritatea	mehrheit	majoritate	mehrheit	N;DEF;FEM;SG	N;NOM;SG
densitate	bevölkerungsdichte	densitate	bevölkerungsdichte	N;INDF;FEM;SG	ADJ;NOM;FEM;SG
densitate	dichte	densitate	dicht	N;INDF;FEM;SG	ADJ;NOM;SG
limba	zungen	limbă	zung	N;DEF;FEM;SG	
limba	tongue	limbă	tongue	N;DEF;FEM;SG	PROPN;NOM;SG
limba	zunge	limbă	zung	N;DEF;FEM;SG	
limba	amtssprache	limbă	amtssprechen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
limba	sprachen	limbă	sprechen	N;DEF;FEM;SG	V;FIN
limba	sprache	limbă	sprechen	N;DEF;FEM;SG	N;NOM;FEM;SG
limba	zungen	limbă	zung	N;DEF;FEM;SG	
limba	tongue	limbă	tongue	N;DEF;FEM;SG	PROPN;NOM;SG
limba	zunge	limbă	zung	N;DEF;FEM;SG	
limba	amtssprache	limbă	amtssprechen	N;DEF;FEM;SG	ADJ;NOM;FEM;SG
limba	sprachen	limbă	sprechen	N;DEF;FEM;SG	V;FIN
limba	sprache	limbă	sprechen	N;DEF;FEM;SG	N;NOM;FEM;SG
iunie	juni	iunie	juni	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
iunie	june	iunie	jun	N;INDF;MASC;SG	PROPN
multe	viele	mult	viel	PRO;FEM;PL;3	ADJ;NOM;INDF;PL
multe	vieles	mult	viel	PRO;FEM;PL;3	PRO;NOM;INDF;NEUT;SG
multe	zahlreiche	mult	zahlreich	PRO;FEM;PL;3	ADJ;NOM;FEM;PL
multe	vielen	mult	viel	PRO;FEM;PL;3	ADJ;ACC;INDF;MASC;PL
socorro	socorro	socorro	socorro		PROPN;NOM;SG
prima	erste	prim	erst	NUM;DEF;FEM;SG	ADJ;NOM;FEM;PL
prima	zuerst	prim	zuerst	NUM;DEF;FEM;SG	ADV
prima	erster	prim	erst	NUM;DEF;FEM;SG	ADJ;NOM;MASC;SG
prima	first	prim	fersen	NUM;DEF;FEM;SG	PROPN
prima	ersten	prim	erst	NUM;DEF;FEM;SG	ADJ;NOM;PL
prima	prämie	prim	prämie	NUM;DEF;FEM;SG	
prima	premium	prim	premium	NUM;DEF;FEM;SG	PROPN
prima	aufschlag	prim	aufschlagen	NUM;DEF;FEM;SG	ADJ
octombrie	oktober	octombrie	oktober	N;INDF;MASC;SG	PROPN;NOM;SG
octombrie	october	octombrie	october	N;INDF;MASC;SG	PROPN
august	august	august	augusten	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
sat	feriendorf	sat	feriendorf	N;INDF;MASC;SG	
sat	ortschaft	sat	ortschaft	N;INDF;MASC;SG	ADJ
sat	sa	sat	sa	N;INDF;MASC;SG	
sat	saßen	sat	sitzen	N;INDF;MASC;SG	V;IND;PL;3;PST;FIN
sat	saß	sat	sitzen	N;INDF;MASC;SG	V;IND;SG;3;PST;FIN
sat	sat	sat	sat	N;INDF;MASC;SG	
martie	marsch	martie	marsch	N;INDF;MASC;SG	ADJ
martie	march	martie	march	N;INDF;MASC;SG	PROPN
martie	märz	martie	märz	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
biserica	kirchen	biserică	Kirche	N;DEF;FEM;SG	N;PL
biserica	church	biserică	church	N;DEF;FEM;SG	PROPN
biserica	kirche	biserică	kirche	N;DEF;FEM;SG	
biserica	kirchen	biserică	Kirche	N;DEF;FEM;SG	N;PL
biserica	church	biserică	church	N;DEF;FEM;SG	PROPN
biserica	kirche	biserică	kirche	N;DEF;FEM;SG	
fisier	datei	fisier	datei	N;INDF;MASC;SG	
fisier	dateien	fisier	datei	N;INDF;MASC;SG	V;NFIN
fisier	datei	fisier	datei	N;INDF;MASC;SG	
fisier	dateien	fisier	datei	N;INDF;MASC;SG	V;NFIN
decembrie	december	decembrie	december	N;INDF;MASC;SG	PROPN
decembrie	dezember	decembrie	dezember	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
toate	alle	tot	alle	PRO;FEM;PL;3	PRO;NOM;INDF;PL
toate	alles	tot	alle	PRO;FEM;PL;3	PRO;NOM;INDF;NEUT;SG
toate	all	tot	all	PRO;FEM;PL;3	ADV
ianuarie	jänner	ianuarie	jann	N;INDF;MASC;SG	
ianuarie	januar	ianuarie	januar	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
ianuarie	january	ianuarie	january	N;INDF;MASC;SG	
adresa	anschrift	adresă	anschreifen	N;DEF;FEM;SG	V;V.PTCP
adresa	adresse	adresă	adresse	N;DEF;FEM;SG	N;NOM;FEM;SG
adresa	ansprache	adresă	ansprechen	N;DEF;FEM;SG	N;NOM;FEM;SG
adresa	adressen	adresă	adressen	N;DEF;FEM;SG	V;NFIN
adresa	anschrift	adresă	anschreifen	N;DEF;FEM;SG	V;V.PTCP
adresa	adresse	adresă	adresse	N;DEF;FEM;SG	N;NOM;FEM;SG
adresa	ansprache	adresă	ansprechen	N;DEF;FEM;SG	N;NOM;FEM;SG
adresa	adressen	adresă	adressen	N;DEF;FEM;SG	V;NFIN
noiembrie	november	noiembrie	november	N;INDF;MASC;SG	PROPN
cum	wie	cum	wie	ADV	ADP
cum	woher	cum	woher	ADV	ADV
imagine	bild	imagine	bild	N;INDF;FEM;SG	
imagine	abbildung	imagine	abbildung	N;INDF;FEM;SG	
imagine	bild	imagine	bild	N;INDF;FEM;SG	
imagine	abbild	imagine	abbild	N;INDF;FEM;SG	
statul	bundesland	stat	bundesland	N;DEF;MASC;SG	
statul	zustand	stat	zustand	N;DEF;MASC;SG	
statul	mitgliedstaat	stat	mitgliedstaat	N;DEF;MASC;SG	ADJ
statul	bundesstaat	stat	bundesstaat	N;DEF;MASC;SG	ADJ
avut	hatten	avea	haben	V;MASC;SG;V.PTCP	V;IND;PL;3;PST;FIN
familia	familien	familie	familien	N;DEF;FEM;SG	V;IND;PL;3;FIN
familia	familie	familie	familie	N;DEF;FEM;SG	N;NOM;FEM;SG
numele	namen	nume	name	N;DEF;MASC;SG	
numele	bezeichnung	nume	Bezeichnung	N;DEF;MASC;SG	ADJ
numele	vorname	nume	vornam	N;DEF;MASC;SG	
numele	name	nume	Name	N;DEF;MASC;SG	N;NOM;SG
timpul	zeit	timp	zeit	N;DEF;MASC;SG	ADJ
timpul	uhrzeit	timp	uhrzeit	N;DEF;MASC;SG	ADJ
timpul	zeiten	timp	zeiten	N;DEF;MASC;SG	V;NFIN
timpul	zeitraum	timp	zeitraum	N;DEF;MASC;SG	ADV
timpul	zeitpunkt	timp	zeitpunkt	N;DEF;MASC;SG	ADJ
nord	nordsee	nord	nordsee	N;INDF;MASC;SG	PROPN;NOM;SG
nord	norden	nord	norden	N;INDF;MASC;SG	V;NFIN
nord	nordosten	nord	nordosten	N;INDF;MASC;SG	V;FIN
nord	nord	nord	nord	N;INDF;MASC;SG	ADJ
nord	nord	nord	nord	N;INDF;MASC;SG	ADJ
principala	wichtigsten	principal	wichtig	ADJ;DEF;FEM;SG	ADJ;PL
principala	main	principal	main	ADJ;DEF;FEM;SG	PROPN;NOM;MASC;SG
principala	wichtigste	principal	wichtig	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
principala	hauptsache	principal	hauptsache	ADJ;DEF;FEM;SG	ADV
principala	haupt	principal	haupen	ADJ;DEF;FEM;SG	
principala	wichtigsten	principal	wichtig	ADJ;DEF;FEM;SG	ADJ;PL
principala	main	principal	main	ADJ;DEF;FEM;SG	PROPN;NOM;MASC;SG
principala	wichtigste	principal	wichtig	ADJ;DEF;FEM;SG	ADJ;NOM;FEM;SG
principala	hauptsache	principal	hauptsache	ADJ;DEF;FEM;SG	ADV
principala	haupt	principal	haupen	ADJ;DEF;FEM;SG	
sud	südlich	sud	südlich	N;INDF;MASC;SG	ADJ
sud	süden	sud	süden	N;INDF;MASC;SG	V;NFIN
