aires	айресе	aires	айрес	PROPN	N;INAN;NOM;MASC;SG
roberts	робертс	roberts	робертс	PROPN	N;ANIM;NOM;MASC;SG
amandoi	оба	amandoi	оба		NUM;NOM;MASC
amandoi	обе	amandoi	оба		NUM;NOM;FEM
statuie	статуя	statuie	статуя	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
tennessee	теннесси	tennessee	теннесси	PROPN	N;INAN;NOM;MASC;SG
mostenirea	наследие	mostenire	наследие	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
mostenirea	наследство	mostenire	наследство	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
mostenirea	наследование	mostenire	наследование	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
mostenirea	наследования	mostenire	наследование	N;DEF;FEM;SG	N;INAN;NOM;NEUT;PL
mostenirea	наследство	mostenire	наследство	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
oslo	осло	oslo	осло	PROPN	N;INAN;NOM;MASC;SG
turner	тернер	turner	тернер	PROPN	N;ANIM;NOM;MASC;SG
turner	тёрнер	turner	тёрнер	PROPN	N;ANIM;NOM;MASC;SG
adaugate	добавлены	adauga	добавить	ADJ;INDF;FEM;PL	V;PFV;PL;PST;V.PTCP;PASS
adaugate	добавил	adauga	добавить	ADJ;INDF;FEM;PL	V;PFV;MASC;IND;SG;PST;FIN;ACT
adaugate	добавлена	adauga	добавить	ADJ;INDF;FEM;PL	V;PFV;FEM;SG;PST;V.PTCP;PASS
adaugate	добавлено	adauga	добавить	ADJ;INDF;FEM;PL	V;PFV;NEUT;SG;PST;V.PTCP;PASS
adaugate	добавлен	adauga	добавить	ADJ;INDF;FEM;PL	V;PFV;MASC;SG;PST;V.PTCP;PASS
interzisa	запрещена	interzisa	запретить	N;DEF;FEM;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
interzisa	запрещенные	interzisa	запретить	N;DEF;FEM;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
interzisa	запретный	interzisa	запретный	N;DEF;FEM;SG	ADJ;NOM;MASC;SG
interzisa	запрещается	interzisa	запрещать	N;DEF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
interzisa	запрещено	interzisa	запретить	N;DEF;FEM;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
interzisa	запрещенные	interzisa	запретить	N;DEF;FEM;SG	V;PFV;NOM;PL;PST;V.PTCP;PASS
interzisa	запрещается	interzisa	запрещать	N;DEF;FEM;SG	V;IPFV;IND;SG;3;PRS;FIN;PASS
interzisa	запрещена	interzisa	запретить	N;DEF;FEM;SG	V;PFV;FEM;SG;PST;V.PTCP;PASS
interzisa	запрещено	interzisa	запретить	N;DEF;FEM;SG	V;PFV;NEUT;SG;PST;V.PTCP;PASS
numirea	назначение	numire	назначение	N;DEF;FEM;SG	N;INAN;NOM;NEUT;SG
contactul	контакт	contact	контакт	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
contactul	связаться	contact	связаться	N;DEF;MASC;SG	V;PFV;NFIN;MID
contactul	контакты	contact	контакт	N;DEF;MASC;SG	N;INAN;NOM;MASC;PL
java	java	javă	java	N;DEF;FEM;SG	PROPN
alexandre	александр	alexandre	александр	PROPN	N;ANIM;NOM;MASC;SG
siberia	сибирь	siberie	сибирь	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
siberia	сибири	siberie	сибирь	N;DEF;FEM;SG	N;INAN;NOM;FEM;SG
claudia	клаудия	claudie	клаудия	PROPN	N;ANIM;NOM;FEM;SG
placut	понравилось	placut	понравиться	N;INDF;MASC;SG	V;PFV;NEUT;IND;SG;PST;FIN;MID
placut	нравится	placut	нравиться	N;INDF;MASC;SG	V;IPFV;IND;SG;3;PRS;FIN;MID
placut	понравилась	placut	понравиться	N;INDF;MASC;SG	V;PFV;FEM;IND;SG;PST;FIN;MID
placut	понравились	placut	понравиться	N;INDF;MASC;SG	V;PFV;IND;PL;PST;FIN;MID
placut	понравился	placut	понравиться	N;INDF;MASC;SG	V;PFV;MASC;IND;SG;PST;FIN;MID
placut	приятный	placut	приятный	N;INDF;MASC;SG	ADJ;NOM;MASC;SG
placut	приятная	placut	приятный	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
evans	эванс	evans	эванс	PROPN	N;ANIM;NOM;MASC;SG
wien	wien	wien	wien	PROPN	PROPN
edge	края	edge	край	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
declaratie	ведомость	declaratie	ведомость	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
declaratie	заявление	declaratie	заявление	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
declaratie	декларация	declaratie	декларация	N;INDF;FEM;SG	N;INAN;NOM;FEM;SG
declaratie	заявление	declaratie	заявление	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
discursul	речь	discurs	речь	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
discursul	речи	discurs	речь	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
alabama	алабама	alabama	алабам	N;INDF;MASC;SG	N;INAN;NOM;FEM;SG
folosire	использование	folosire	использование	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
folosire	употребление	folosire	употребление	N;INDF;FEM;SG	N;INAN;NOM;NEUT;SG
folosire	использования	folosire	использование	N;INDF;FEM;SG	N;INAN;GEN;NEUT;SG
intrand	ввод	intrand	ввод		N;INAN;NOM;MASC;SG
indiei	индию	indie	индия	PROPN;DEF;FEM;SG	N;INAN;ACC;FEM;SG
indiei	индия	indie	индий	PROPN;DEF;FEM;SG	N;INAN;NOM;FEM;SG
indiei	индии	indie	индия	PROPN;DEF;FEM;SG	N;INAN;NOM;FEM;SG
keith	кит	keith	кит	PROPN	N;ANIM;NOM;MASC;SG
keith	кита	keith	кит	PROPN	N;ANIM;ACC;MASC;SG
corrèze	коррез	corra	коррез	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
emise	изданы	emite	издать	V;IND;SG;3;PST;FIN	V;PFV;PL;PST;V.PTCP;PASS
campionatele	чемпионат	campionat	чемпионат	N;DEF;FEM;PL	N;INAN;NOM;MASC;SG
louisiana	луизиана	louisiană	луизиан	N;DEF;FEM;SG	N;INAN;NOM;MASC;SG
hotelul	hotel	hotel	hotel	N;DEF;MASC;SG	PROPN
hotelul	отель	hotel	отель	N;DEF;MASC;SG	N;INAN;NOM;MASC;SG
hotelul	гостиница	hotel	гостиница	N;DEF;MASC;SG	N;INAN;NOM;FEM;SG
finistère	финистер	finistère	финистер	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
tranzitie	переход	tranzitie	переход	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG
cald	горячие	cald	горячий	ADJ;INDF;MASC;SG	ADJ;NOM;PL
cald	hot	cald	hot	ADJ;INDF;MASC;SG	PROPN
cald	горячо	cald	горячо	ADJ;INDF;MASC;SG	ADV
cald	теплые	cald	теплый	ADJ;INDF;MASC;SG	ADJ;NOM;PL
adanc	глубокую	adanc	глубокий		ADJ;ACC;FEM;SG
adanc	глубокое	adanc	глубокий		ADJ;NOM;NEUT;SG
adanc	глубокая	adanc	глубокий		ADJ;NOM;FEM;SG
adanc	глубокие	adanc	глубокий		ADJ;NOM;PL
adanc	глубоко	adanc	глубоко		ADV
adanc	глубокий	adanc	глубокий		ADJ;NOM;MASC;SG
adanc	глубокую	adanc	глубокий		ADJ;ACC;FEM;SG
adanc	глубокое	adanc	глубокий		ADJ;NOM;NEUT;SG
adanc	глубокая	adanc	глубокий		ADJ;NOM;FEM;SG
adanc	глубокие	adanc	глубокий		ADJ;NOM;PL
adanc	глубоко	adanc	глубоко		ADV
adanc	глубокий	adanc	глубокий		ADJ;NOM;MASC;SG
