din	no	din	no	ADP;ACC	
care	kas	care	kas	PRO;3	PRO;NOM
care	pvo	care	pvo	PRO;3	PROPN
care	kurš	care	kurš	PRO;3	PRO;NOM;MASC;SG
care	kas	care	kas	PRO;3	PRO;NOM
care	kuras	care	kura	PRO;3	PRO;NOM;FEM;PL
care	kura	care	kura	PRO;3	PRO;NOM;FEM;SG
fost	bijusi	fi	būt	V;MASC;SG;V.PTCP	V;PFV;NOM;INDF;FEM;SG;PST;V.PTCP
mai	mai	mai	mai	ADV	
mai	vairak	mai	vairāk	ADV	
pentru	par	pentru	par	ADP;ACC	
pentru	for	pentru	for	ADP;ACC	
lui	lui	el	lui	PRO;3	
lui	viņa	el	viņa	PRO;3	PRO;NOM;FEM;SG;3
sunt	ir	fi	būt	V;IND;PL;3;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
dupa	pēc	dupa	pēc	N;DEF;FEM;SG	ADP
dupa	pēc	dupa	pēc	N;DEF;FEM;SG	ADP
ale	ale	al	ale	DET;FEM;PL	
lea	lea	lea	lea		
prin	cauri	prin	cauri	ADP;ACC	ADV
regiunea	reģions	regiune	reģions	N;DEF;FEM;SG	N;NOM;MASC;SG
mare	lieliski	mare	lieliski	ADJ;INDF;MASC;SG	ADV
mare	lieli	mare	liels	ADJ;INDF;MASC;SG	ADJ;NOM;MASC;PL
mare	jūra	mare	jūra	ADJ;INDF;MASC;SG	N;NOM;FEM;SG
anul	gadu	an	gads	N;DEF;MASC;SG	N;ACC;MASC;SG
anul	gads	an	gads	N;DEF;MASC;SG	N;NOM;MASC;SG
comuna	kopējo	comună	kopēja	N;DEF;FEM;SG	ADJ;ACC;MASC;SG
comuna	bieži	comună	bieži	N;DEF;FEM;SG	ADV
comuna	novads	comună	novads	N;DEF;FEM;SG	N;NOM;MASC;SG
comuna	pašvaldība	comună	pašvaldība	N;DEF;FEM;SG	N;NOM;FEM;SG
comuna	kopējo	comună	kopēja	N;DEF;FEM;SG	ADJ;ACC;MASC;SG
comuna	bieži	comună	bieži	N;DEF;FEM;SG	ADV
externe	ārējais	extern	ārējs	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
externe	ārējs	extern	ārējs	ADJ;INDF;FEM;PL	ADJ;NOM;MASC;SG
externe	ārējā	extern	ārēja	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG
legaturi	links	legatură	links	N;INDF;FEM;PL	N;NOM;MASC;SG
legaturi	links	legatură	links	N;INDF;FEM;PL	N;NOM;MASC;SG
vezi	redz	vedea	redzēt	V;IND;SG;2;PRS;FIN	V;FH;IND;3;POS;PRS;FIN;ACT
cod	kods	cod	kods		N;NOM;MASC;SG
cod	mencu	cod	menca		N;ACC;FEM;SG
cod	menca	cod	menca		N;NOM;FEM;SG
cod	mencas	cod	menca		N;NOM;FEM;PL
cod	cod	cod	cod		
populatie	populācija	populatie	populācija	N;INDF;FEM;SG	N;NOM;FEM;SG
populatie	iedzīvotāji	populatie	iedzīvotājs	N;INDF;FEM;SG	N;NOM;MASC;PL
bucuresti	bukarestē	bucurest	bukareste	PROPN	N;ESS;FEM;SG
bucuresti	bukarestes	bucurest	bukareste	PROPN	N;NOM;FEM;PL
bucuresti	bucuresti	bucurest	bucurests	PROPN	N;NOM;MASC;SG
bucuresti	bukarestē	bucurest	bukareste	PROPN	N;ESS;FEM;SG
bucuresti	bukarestes	bucurest	bukareste	PROPN	N;NOM;FEM;PL
bucuresti	bukarestē	bucurest	bukareste	PROPN	N;ESS;FEM;SG
bucuresti	bukarestes	bucurest	bukareste	PROPN	N;NOM;FEM;PL
romania	rumānija	romanie	rumānija	N;DEF;FEM;SG	N;NOM;FEM;SG
romania	rumānija	romanie	rumānija	N;DEF;FEM;SG	N;NOM;FEM;SG
jpg	jpg	jpg	jpg	N	
lista	sarakstu	listă	saraksts	N;DEF;FEM;SG	N;ACC;MASC;SG
lista	saraksta	listă	saraksts	N;DEF;FEM;SG	N;GEN;MASC;SG
lista	uzskaitījums	listă	uzskaitījums	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	saraksts	listă	saraksts	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	sarakstu	listă	saraksts	N;DEF;FEM;SG	N;ACC;MASC;SG
lista	saraksta	listă	saraksts	N;DEF;FEM;SG	N;GEN;MASC;SG
lista	uzskaitījums	listă	uzskaitījums	N;DEF;FEM;SG	N;NOM;MASC;SG
lista	saraksts	listă	saraksts	N;DEF;FEM;SG	N;NOM;MASC;SG
ucraina	ukraina	ucraina	ukrainīt	PROPN	PROPN;NOM;FEM;SG
ani	ani	an	ani	N;INDF;MASC;PL	
avea	bija	avea	būt	V;IND;SG;3;IPFV;FIN	V;FH;IND;3;POS;PST;FIN;ACT
intre	starp	intra	starp	V;SBJV;3;PRS;FIN	ADP
intre	starp	intra	starp	V;SBJV;3;PRS;FIN	ADP
pana	līdz	pană	līdz	N;DEF;FEM;SG	ADV
pana	spalvu	pană	spalva	N;DEF;FEM;SG	N;ACC;FEM;SG
pana	spalva	pană	spalva	N;DEF;FEM;SG	N;NOM;FEM;SG
poate	varbūt	poate	varbūt	ADV	PART
poate	varbūt	poate	varbūt	ADV	PART
doua	divas	doi	divas	NUM;FEM;SG	NUM;NOM;FEM;PL
doua	divus	doi	divi	NUM;FEM;SG	NUM;ACC;MASC;PL
doua	divi	doi	divi	NUM;FEM;SG	NUM;NOM;MASC;PL
doua	divas	doi	divas	NUM;FEM;SG	NUM;NOM;FEM;PL
doua	divus	doi	divi	NUM;FEM;SG	NUM;ACC;MASC;PL
doua	divi	doi	divi	NUM;FEM;SG	NUM;NOM;MASC;PL
rege	king	rege	king	N;INDF;MASC;SG	
alte	pārējie	alt	pārējs	DET;FEM;PL;3	ADJ;NOM;MASC;PL
alte	citi	alt	cits	DET;FEM;PL;3	PRO;NOM;MASC;PL
alte	cits	alt	cits	DET;FEM;PL;3	PRO;NOM;MASC;SG
alte	citādi	alt	citādi	DET;FEM;PL;3	ADV
alte	citas	alt	cita	DET;FEM;PL;3	PRO;NOM;FEM;PL
cand	kad	cand	kad		ADV
cand	kad	cand	kad		ADV
regiune	reģions	regiune	reģions	N;INDF;FEM;SG	N;NOM;MASC;SG
anii	gadus	an	gads	N;DEF;MASC;PL	N;ACC;MASC;PL
anii	gadi	an	gads	N;DEF;MASC;PL	N;NOM;MASC;PL
anii	gadiem	an	gads	N;DEF;MASC;PL	N;DAT;MASC;PL
parte	daļa	parte	daļa	N;INDF;FEM;SG	N;NOM;FEM;SG
judetul	apriņķis	judet	apriņķis	N;DEF;MASC;SG	N;NOM;MASC;SG
judetul	apgabals	judet	apgabals	N;DEF;MASC;SG	N;NOM;MASC;SG
judetul	apriņķis	judet	apriņķis	N;DEF;MASC;SG	N;NOM;MASC;SG
judetul	apgabals	judet	apgabals	N;DEF;MASC;SG	N;NOM;MASC;SG
centura	josta	centură	josta	N;DEF;FEM;SG	N;NOM;FEM;SG
centura	jostu	centură	josta	N;DEF;FEM;SG	N;ACC;FEM;SG
centura	josta	centură	josta	N;DEF;FEM;SG	N;NOM;FEM;SG
centura	jostu	centură	josta	N;DEF;FEM;SG	N;ACC;FEM;SG
dinastia	dinastija	dinastie	dinastija	N;DEF;FEM;SG	N;NOM;FEM;SG
despre	par	despre	par	ADP;ACC	
unde	kur	unde	kur	ADV	ADV
unde	ja	unde	ja	ADV	CONJ
