char	char	char	char	N;MASC;SG	
kent	κεντ	kent	κεντ	PROPN	
fernández	φερνάντεζ	fernánder	φερνάνω	PROPN	PROPN;NOM;MASC;SG
voisines	γείτονες	voisin	γείτονας	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	γείτονες	voisin	γείτονας	ADJ;FEM;PL	N;NOM;MASC;PL
voisines	γειτονική	voisin	γειτονικός	ADJ;FEM;PL	ADJ;NOM;FEM;SG
voisines	γειτονικό	voisin	γειτονικός	ADJ;FEM;PL	ADJ;NOM;NEUT;SG
sofia	sofia	sofia	sofia	PROPN	
sofia	σόφια	sofia	σόφια	PROPN	PROPN;NOM;FEM;SG
sofia	σοφια	sofia	σοφια	PROPN	N;NOM;FEM;SG
sofia	σοφία	sofia	σοφία	PROPN	N;NOM;FEM;SG
hébreu	εβραϊκή	hébreu	εβραϊκός	N;MASC;SG	ADJ;NOM;FEM;SG
hébreu	εβραϊκά	hébreu	εβραϊκά	N;MASC;SG	ADV
hébreu	εβραϊκό	hébreu	εβραϊκός	N;MASC;SG	ADJ;NOM;NEUT;SG
inhumé	θαμμένα	inhumer	θαμμένα	V;MASC;SG;PST;V.PTCP	ADJ;NOM;NEUT;PL
pat	pat	pat	pat	PROPN	
pat	πατ	pat	πατ	PROPN	
variables	μεταβλητό	variable	μεταβλητός	ADJ;FEM;PL	N;NOM;NEUT;SG
variables	μεταβλητή	variable	μεταβλητής	ADJ;FEM;PL	N;NOM;FEM;SG
variables	μεταβλητές	variable	μεταβλητής	ADJ;FEM;PL	N;NOM;FEM;PL
vignoble	αμπελώνα	vignoble	αμπελώνω	N;MASC;SG	PROPN;ACC;MASC;SG
vignoble	αμπελώνες	vignoble	αμπελώνα	N;MASC;SG	N;NOM;MASC;PL
vignoble	αμπέλια	vignoble	αμπέλιο	N;MASC;SG	N;NOM;NEUT;PL
vignoble	αμπελώνες	vignoble	αμπελώνα	N;MASC;SG	N;NOM;MASC;PL
autorisé	επιτρεπόμενες	autoriser	επιτρεπόμενος	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
autorisé	επιτρέπεται	autoriser	επιτρέπω	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
autorisé	επιτρέπονται	autoriser	επιτρέπω	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;PL;3;PRS;FIN;PASS
autorisé	επιτρεπόμενες	autoriser	επιτρεπόμενος	V;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL
cavalier	ράιντερ	cavalier	ράιντερ	N;MASC;SG	
sierra	sierra	sierra	sierra	PROPN	
sierra	σιέρρα	sierra	σιέρρα	PROPN	PROPN;NOM;FEM;SG
sierra	σιέρα	sierra	σιέρα	PROPN	PROPN;NOM;FEM;SG
retenu	διατηρήθηκαν	retenir	διατηρώ	V;MASC;SG;PST;V.PTCP	V;PFV;IND;PL;3;PST;FIN;PASS
navigateur	browser	navigateur	browser	N;MASC;SG	
albin	αλμπίν	albin	αλμπίν	PROPN	
originaires	καταγωγής	originaire	καταγωγή	ADJ;MASC;PL	N;GEN;FEM;SG
sylvain	sylvain	sylvain	sylvain	PROPN	
compétence	δεξιότητες	compétence	δεξιότητα	N;FEM;SG	N;NOM;FEM;PL
décerné	απονέμεται	décerner	απονέμω	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;SG;3;PRS;FIN;PASS
usages	χρησιμοποιεί	usage	χρησιμοποιώ	N;MASC;PL	V;IPFV;IND;SG;3;PRS;FIN;ACT
fonctionnaires	υπάλληλοι	fonctionnaire	υπάλληλος	N;MASC;PL	ADJ;NOM;MASC;PL
démocrates	δημοκρατικούς	démocrate	δημοκρατικός	N;MASC;PL	ADJ;ACC;MASC;PL
démocrates	δημοκρατικοί	démocrate	δημοκρατικός	N;MASC;PL	ADJ;NOM;MASC;PL
démocrates	δημοκράτης	démocrate	δημοκράτης	N;MASC;PL	N;NOM;MASC;SG
démocrates	δημοκρατικός	démocrate	δημοκρατικός	N;MASC;PL	ADJ;NOM;MASC;SG
démocrates	δημοκρατικοί	démocrate	δημοκρατικός	N;MASC;PL	ADJ;NOM;MASC;PL
directrice	μάνατζερ	directrice	μάνατζερ	N;FEM;SG	N;NOM;NEUT;PL
espérance	εσπεράνς	espérance	εσπεράνς	N;FEM;SG	ADV
espérance	χόουπ	espérance	χόουπ	N;FEM;SG	PROPN;NOM;MASC;SG
fragments	θραύσμα	fragment	θραύσμα	N;MASC;PL	N;NOM;NEUT;SG
seattle	σηάτλ	seattle	σηάτλ	PROPN	N;NOM;NEUT;SG
seattle	σιάτλ	seattle	σιάτλ	PROPN	
existant	υπάρχουσες	exister	υπάρχων	V;PRS;V.PTCP	ADJ;NOM;FEM;PL
existant	υπάρχουσα	exister	υπάρχων	V;PRS;V.PTCP	ADJ;NOM;FEM;SG
existant	υφιστάμενη	exister	υφιστάμενος	V;PRS;V.PTCP	ADJ;NOM;FEM;SG
existant	υπάρχον	exister	υπάρχων	V;PRS;V.PTCP	ADJ;NOM;NEUT;SG
existant	υφιστάμενων	exister	υφιστάμενος	V;PRS;V.PTCP	ADJ;GEN;MASC;PL
existant	υφιστάμενες	exister	υφιστάμενος	V;PRS;V.PTCP	ADJ;NOM;FEM;PL
bond	μποντ	bond	μποντ	N;MASC;SG	
bond	bond	bond	bond	N;MASC;SG	
missiles	πύραυλος	missile	πύραυλος	N;MASC;PL	N;NOM;MASC;SG
prépare	προετοιμασία	préparer	προετοιμασία	V;IND;SG;3;PRS;FIN	N;ACC;FEM;SG
innovation	καινοτομίες	innovation	καινοτομία	N;FEM;SG	N;NOM;FEM;PL
combiné	συνδυασμένα	combiner	συνδυασμένα	V;MASC;SG;PST;V.PTCP	V;PFV;NOM;NEUT;PL;V.PTCP;PASS
