der	os	der	o	DET;NOM;DEF;MASC;SG	PRO;ACC;MASC;PL;3
die	os	der	o	DET;NOM;DEF;FEM;SG	PRO;ACC;MASC;PL;3
von	do	von	do	ADP	N;MASC;SG
von	da	von	da	ADP	INTJ
den	os	der	o	DET;ACC;DEF;MASC;SG	PRO;ACC;MASC;PL;3
das	este	der	este	PRO;NOM;NEUT;SG	DET;MASC;SG
das	esse	der	esse	PRO;NOM;NEUT;SG	DET;MASC;SG
das	os	der	o	PRO;NOM;NEUT;SG	PRO;ACC;MASC;PL;3
das	que	der	que	PRO;NOM;NEUT;SG	PRO;MASC;SG
das	das	der	das	PRO;NOM;NEUT;SG	N;MASC;SG
des	des	der	des	DET;GEN;DEF;NEUT;SG	N;MASC;SG
mit	utilizar	mit	utilizar	ADP	V;NFIN
mit	usar	mit	usar	ADP	V;NFIN
mit	usando	mit	usar	ADP	V;V.MSDR
mit	utilizando	mit	utilizar	ADP	V;V.MSDR
mit	mit	mit	mit	ADP	N;MASC;SG
ein	um	ein	um	ADV	NUM
ein	uma	ein	um	ADV	NUM
ein	one	ein	one	ADV	N;MASC;SG
ein	ein	ein	ein	ADV	N;MASC;SG
als	als	als	als	ADP	N;MASC;SG
dem	os	der	o	PRO;DAT;NEUT;SG	PRO;ACC;MASC;PL;3
eine	um	ein	um	DET;NOM;INDF;FEM;SG	NUM
eine	uma	ein	um	DET;NOM;INDF;FEM;SG	NUM
eine	one	ein	one	DET;NOM;INDF;FEM;SG	N;MASC;SG
wurde	estava	werden	estar	V;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
wurde	era	werden	ser	V;IND;SG;3;PST;FIN;PASS	V;IND;SG;3;IPFV;FIN
wurde	tava	werden	tavo	V;IND;SG;3;PST;FIN;PASS	V;IND;SG;1;IPFV;FIN
wurde	foi	werden	foi	V;IND;SG;3;PST;FIN;PASS	ADV
nicht	não	nicht	não	PART;NEG	INTJ
nach	after	nach	after	ADP	N;MASC;SG
nach	depois	nach	depois	ADP	ADV
war	estava	sein	estar	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
war	era	sein	ser	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
war	tava	sein	tavo	V;IND;SG;3;PST;FIN	V;IND;SG;1;IPFV;FIN
war	foi	sein	foi	V;IND;SG;3;PST;FIN	ADV
bei	bei	bei	bei	ADP	PROPN;MASC;SG
aus	aus	aus	aus	ADP	N;MASC;SG
aus	do	aus	do	ADP	N;MASC;SG
aus	da	aus	da	ADP	INTJ
aus	fora	aus	fora	ADP	ADV
aus	out	aus	out	ADP	N;MASC;SG
sie	tu	sie	tu	PRO;NOM;FEM;SG;3	INTJ
sie	she	sie	she	PRO;NOM;FEM;SG;3	N;MASC;SG
sie	eles	sie	eles	PRO;NOM;FEM;SG;3	PRO;NOM;MASC;PL;3
sie	elas	sie	ele	PRO;NOM;FEM;SG;3	PRO;NOM;FEM;PL;3
cest	cest	cest	cest		N;MASC;PL
bis	pendentes	bis	pendente	ADP	N;MASC;PL
bis	pendente	bis	pendente	ADP	ADJ;MASC;SG
bis	bpi	bis	bpi	ADP	N;MASC;SG
bis	bis	bis	bis	ADP	N;MASC;SG
bis	ate	bis	ate	ADP	INTJ
bis	até	bis	até	ADP	ADV
ich	ich	ich	ich	PRO;NOM;SG;1	N;MASC;SG
einer	um	ein	um	PRO;NOM;INDF;MASC;SG	NUM
einer	uma	ein	um	PRO;NOM;INDF;MASC;SG	NUM
einer	one	ein	one	PRO;NOM;INDF;MASC;SG	N;MASC;SG
werden	will	werden	will	V;NFIN;PASS	N;MASC;SG
werden	vontade	werden	vontade	V;NFIN;PASS	N;FEM;SG
sind	sao	sein	sao	V;IND;PL;3;PRS;FIN	V;IND;PL;3;PRS;FIN
sind	are	sein	are	V;IND;PL;3;PRS;FIN	N;MASC;SG
oder	oder	oder	oder	CONJ	N;MASC;SG
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	N;MASC;SG
wird	vontade	werden	vontade	V;IND;SG;3;PRS;FIN;PASS	N;FEM;SG
durch	thru	durch	thru	ADP	N;MASC;SG
durch	através	durch	através	ADP	ADV
durch	through	durch	through	ADP	N;MASC;SG
score	pontuação	scoren	pontuação	PROPN	N;FEM;SG
score	placar	scoren	placar	PROPN	N;MASC;SG
zur	zur	zur	zur		N;MASC;SG
einen	um	ein	um	PRO;ACC;INDF;MASC;SG	NUM
einen	uma	ein	um	PRO;ACC;INDF;MASC;SG	NUM
einen	one	ein	one	PRO;ACC;INDF;MASC;SG	N;MASC;SG
dass	essa	dass	esse	CONJ	PRO;FEM;SG
dass	isso	dass	isso	CONJ	PRO;MASC;SG
dass	que	dass	que	CONJ	PRO;MASC;SG
über	via	über	via	ADP	N;FEM;SG
über	over	über	over	ADP	N;MASC;SG
über	acima	über	acima	ADP	ADV
wie	como	wie	como	ADP	ADV
wie	wie	wie	wie	ADP	N;MASC;SG
wie	like	wie	like	ADP	N;MASC;SG
wie	curta	wie	curto	ADP	ADJ;FEM;SG
wie	como	wie	como	ADP	ADV
nur	nur	nur	nur	ADV	N;MASC;SG
noch	nem	noch	nem	ADV	CONJ
noch	nor	noch	nor	ADV	N;MASC;SG
unter	unter	unter	unter	ADP	N;MASC;SG
unter	under	unter	under	ADP	N;MASC;SG
hat	chapéu	haben	chapéu	V;IND;SG;3;PRS;FIN	N;MASC;SG
hat	cartola	haben	cartola	V;IND;SG;3;PRS;FIN	N;MASC;SG
hat	hat	haben	hat	V;IND;SG;3;PRS;FIN	N;MASC;SG
artikel	artigo	artikel	artigo	ADJ	N;MASC;SG
artikel	itens	artikel	item	ADJ	N;MASC;PL
artikel	artigos	artikel	artigo	ADJ	N;MASC;PL
artikel	artigos	artikel	artigo	ADJ	N;MASC;PL
man	man	man	man	PRO;NOM;INDF;SG	N;MASC;SG
man	pá	man	pá	PRO;NOM;INDF;SG	N;FEM;SG
man	cara	man	cara	PRO;NOM;INDF;SG	N;FEM;SG
man	homem	man	homem	PRO;NOM;INDF;SG	N;MASC;SG
vor	front	vor	front	ADP	N;MASC;SG
vor	fachada	vor	fachada	ADP	N;FEM;SG
vor	frente	vor	frente	ADP	ADV
vor	pre	vor	pre	ADP	N;MASC;SG
vor	pré	vor	pré	ADP	N;MASC;SG
vor	prior	vor	prior	ADP	N;MASC;SG
vor	antes	vor	antes	ADP	ADV
wurden	estavam	werden	estar	V;IND;PL;3;PST;FIN;PASS	V;IND;PL;3;IPFV;FIN
wurden	eram	werden	ser	V;IND;PL;3;PST;FIN;PASS	V;IND;PL;3;IPFV;FIN
sein	his	sein	his	DET;NOM;MASC;SG	N;MASC;SG
sein	sein	sein	sein	DET;NOM;MASC;SG	N;MASC;SG
diese	este	dies	este	PRO;NOM;FEM;SG	DET;MASC;SG
diese	esse	dies	esse	PRO;NOM;FEM;SG	DET;MASC;SG
diese	estes	dies	este	PRO;NOM;FEM;SG	DET;MASC;PL
diese	essas	dies	esse	PRO;NOM;FEM;SG	PRO;FEM;PL
diese	estas	dies	este	PRO;NOM;FEM;SG	PRO;FEM;PL
diese	esses	dies	esse	PRO;NOM;FEM;SG	DET;MASC;PL
vom	do	vom	do		N;MASC;SG
vom	de	vom	de		ADP
vom	da	vom	da		INTJ
kann	may	können	may	V;IND;SG;3;PRS;FIN	N;MASC;SG
kann	maio	können	maio	V;IND;SG;3;PRS;FIN	N;MASC;SG
kann	pode	können	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
kann	pode	können	poder	V;IND;SG;3;PRS;FIN	V;IND;SG;3;PRS;FIN
kann	podem	können	poder	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
kann	lata	können	lata	V;IND;SG;3;PRS;FIN	N;FEM;SG
kann	can	können	can	V;IND;SG;3;PRS;FIN	N;MASC;SG
seine	his	sein	his	DET;NOM;FEM;SG	N;MASC;SG
seine	sena	sein	sena	DET;NOM;FEM;SG	N;FEM;SG
seine	seine	sein	seine	DET;NOM;FEM;SG	N;MASC;SG
seit	since	seit	since	ADP	N;MASC;SG
dieser	este	dies	este	PRO;NOM;MASC;SG	DET;MASC;SG
dieser	esse	dies	esse	PRO;NOM;MASC;SG	DET;MASC;SG
wenn	quando	wenn	quando	CONJ	ADV
wenn	when	wenn	when	CONJ	N;MASC;SG
zwei	two	zwei	two	NUM	N;MASC;SG
seiner	his	sein	his	DET;NOM;MASC;SG	N;MASC;SG
jahre	ano	jahren	ano	ADV	N;MASC;SG
jahre	years	jahren	years	ADV	N;MASC;SG
jahre	anos	jahren	ano	ADV	N;MASC;PL
mai	may	mai	may	PROPN;NOM;MASC;SG	N;MASC;SG
mai	maio	mai	maio	PROPN;NOM;MASC;SG	N;MASC;SG
mai	pode	mai	poder	PROPN;NOM;MASC;SG	V;IND;SG;3;PRS;FIN
mai	mai	mai	mai	PROPN;NOM;MASC;SG	N;MASC;SG
isbn	isbn	isbn	isbn	;SG	N;MASC;SG
hatte	tive	haben	ter	V;IND;SG;3;PST;FIN	V;IND;SG;1;PST;FIN
hatte	tinha	haben	ter	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
zwischen	intermediário	zwischen	intermediário	ADP	ADJ;MASC;SG
zwischen	intermediária	zwischen	intermediária	ADP	N;FEM;SG
zwischen	intermédios	zwischen	intermédio	ADP	ADJ;MASC;PL
zwischen	intermédio	zwischen	intermédio	ADP	N;MASC;SG
zwischen	intermediários	zwischen	intermediário	ADP	N;MASC;PL
mehr	more	mehr	more	ADV	N;MASC;SG
gegen	versus	gegen	versus	ADP	INTJ
gegen	opor	gegen	opor	ADP	V;NFIN
keine	nenhum	kein	nenhum	PRO;NOM;INDF;FEM;SG;NEG	DET;MASC;SG
keine	nenhuma	kein	nenhum	PRO;NOM;INDF;FEM;SG;NEG	DET;FEM;SG
waren	bens	sein	bem	V;IND;PL;3;PST;FIN	N;MASC;PL
waren	mercadoria	sein	mercadoria	V;IND;PL;3;PST;FIN	N;FEM;SG
waren	mercadorias	sein	mercadoria	V;IND;PL;3;PST;FIN	N;FEM;PL
waren	mercadorias	sein	mercadoria	V;IND;PL;3;PST;FIN	N;FEM;PL
waren	estavam	sein	estar	V;IND;PL;3;PST;FIN	V;IND;PL;3;IPFV;FIN
waren	eram	sein	ser	V;IND;PL;3;PST;FIN	V;IND;PL;3;IPFV;FIN
waren	mercadorias	sein	mercadoria	V;IND;PL;3;PST;FIN	N;FEM;PL
waren	mercadoria	sein	mercadoria	V;IND;PL;3;PST;FIN	N;FEM;SG
zeit	zeit	zeit	zeit	ADJ	N;MASC;SG
zeit	periodo	zeit	periodo	ADJ	N;MASC;SG
zeit	período	zeit	período	ADJ	N;MASC;SG
zeit	hora	zeit	hora	ADJ	N;FEM;SG
zeit	horário	zeit	horário	ADJ	N;MASC;SG
zeit	tempo	zeit	tempo	ADJ	N;MASC;SG
zeit	time	zeit	time	ADJ	N;MASC;SG
stadt	vila	staden	vila		N;FEM;SG
stadt	cidade	staden	cidade		N;FEM;SG
stadt	cidade	staden	cidade		N;FEM;SG
stadt	cidades	staden	cidade		N;FEM;PL
wieder	costas	wieder	costa	ADV	N;FEM;PL
wieder	volta	wieder	volta	ADV	N;FEM;SG
wieder	voltar	wieder	voltar	ADV	V;NFIN
wieder	reunido	wieder	reunido	ADV	V;MASC;SG;V.PTCP
wieder	reunida	wieder	reunir	ADV	V;FEM;SG;V.PTCP
wieder	reunidos	wieder	reunir	ADV	V;MASC;PL;V.PTCP
schon	ja	schon	ja	ADV	INTJ
haben	tenha	haben	ter	V;IND;PL;3;FIN	V;SBJV;SG;3;PRS;FIN
gibt	devoluções	geben	devolução	V;IND;SG;3;PRS;FIN	N;FEM;PL
gibt	retornos	geben	retorno	V;IND;SG;3;PRS;FIN	N;MASC;PL
deutscher	alemã	deutsch	alemã	ADJ	N;FEM;SG
deutscher	alemães	deutsch	alemão	ADJ	N;MASC;PL
deutscher	alemão	deutsch	alemão	ADJ	N;MASC;SG
deutscher	deutscher	deutsch	deutscher	ADJ	N;MASC;PL
deutscher	alemães	deutsch	alemão	ADJ	N;MASC;PL
jahren	years	jahren	years	ADJ	N;MASC;SG
jahren	anos	jahren	ano	ADJ	N;MASC;PL
mal	once	mal	once	ADV	N;MASC;SG
mal	vezes	mal	vez	ADV	N;MASC;PL
mal	tempos	mal	tempo	ADV	N;MASC;PL
mal	times	mal	time	ADV	N;MASC;PL
ersten	primeira	erst	primeiro	ADJ;NOM;PL	ADJ;FEM;SG
ersten	primeiramente	erst	primeiramente	ADJ;NOM;PL	ADV
ersten	primeiro	erst	primeiro	ADJ;NOM;PL	ADV
jedoch	mas	jedoch	mas	ADV	CONJ
dort	ai	dort	ai	ADV	INTJ
seed	semente	seed	semente		N;FEM;SG
seed	sementes	seed	semente		N;FEM;PL
siehe	veja	sehen	ver	V;IMP;SG;FIN	V;SBJV;SG;3;PRS;FIN
siehe	vê	sehen	ver	V;IMP;SG;FIN	V;IND;SG;3;PRS;FIN
siehe	observem	sehen	observar	V;IMP;SG;FIN	V;SBJV;PL;3;PRS;FIN
siehe	olhai	sehen	olhar	V;IMP;SG;FIN	V;IND;PL;1;PRS;FIN
siehe	contempla	sehen	contemplar	V;IMP;SG;FIN	V;IND;SG;3;PRS;FIN
drei	drei	drei	drei	NUM	N;MASC;SG
drei	three	drei	three	NUM	N;MASC;SG
etwa	sobre	etwa	sobre	ADV	ADP
deutschen	alemã	deutsch	alemã	ADJ	N;FEM;SG
deutschen	alemães	deutsch	alemão	ADJ	N;MASC;PL
deutschen	alemão	deutsch	alemão	ADJ	N;MASC;SG
deutschen	alemães	deutsch	alemão	ADJ	N;MASC;PL
teil	part	teil	part	ADV	N;MASC;SG
teil	parte	teil	parte	ADV	N;FEM;SG
berlin	berlim	berlin	berlim	PROPN;NOM;NEUT;SG	N;MASC;SG
heute	hj	heute	hj	ADV	V;IND;SG;1;PRS;FIN
habe	got	haben	got	V;SBJV;SG;3;PRS;FIN	N;MASC;SG
habe	tenha	haben	ter	V;SBJV;SG;3;PRS;FIN	V;SBJV;SG;3;PRS;FIN
habe	ter	haben	ter	V;SBJV;SG;3;PRS;FIN	V;NFIN
alle	todos	alle	todo	PRO;NOM;INDF;PL	PRO;MASC;PL
alle	todas	alle	todo	PRO;NOM;INDF;PL	DET;FEM;PL
alle	tudo	alle	tudo	PRO;NOM;INDF;PL	PRO;MASC;SG
alle	todos	alle	todo	PRO;NOM;INDF;PL	PRO;MASC;PL
alle	todos	alle	todo	PRO;NOM;INDF;PL	PRO;MASC;PL
alle	alle	alle	alle	PRO;NOM;INDF;PL	N;MASC;SG
während	durante	während	durante	CONJ	ADP
während	enquanto	während	enquanto	CONJ	ADV
ihre	suas	ihr	seu	DET;NOM;FEM;SG	DET;FEM;PL
ihre	dela	ihr	dela	DET;NOM;FEM;SG	N;MASC;SG
