عنبر	ward	عُنبُر	ward		PROPN;ANIM;NOM;MASC;SG
مماثل	podobnej	مُمَاثِل	podobný	ADJ;NOM;INDF;MASC;SG	ADJ;GEN;FEM;SG
مماثل	podobnú	مُمَاثِل	podobný	ADJ;NOM;INDF;MASC;SG	ADJ;ACC;FEM;SG
المغني	speváka	مَغَنِيّ	spevák	N;NOM;DEF;SG	N;ANIM;ACC;MASC;SG
المغني	singer	مَغَنِيّ	singer	N;NOM;DEF;SG	PROPN;ANIM;NOM;MASC;SG
كارولينا	karolína	كارولينا	karolína		N;NOM;FEM;SG
كارولينا	carolina	كارولينا	carolina		N;NOM;FEM;SG
المحيطات	oceány	مُحِيط	oceán	ADJ;NOM;DEF;FEM;PL	N;INAN;NOM;MASC;PL
المحيطات	oceánov	مُحِيط	oceán	ADJ;NOM;DEF;FEM;PL	N;INAN;GEN;MASC;PL
المحيطات	ocean	مُحِيط	ocean	ADJ;NOM;DEF;FEM;PL	PROPN;ANIM;NOM;MASC;SG
المحيطات	oceánu	مُحِيط	oceán	ADJ;NOM;DEF;FEM;PL	N;INAN;GEN;MASC;SG
المحيطات	oceán	مُحِيط	oceán	ADJ;NOM;DEF;FEM;PL	N;INAN;NOM;MASC;SG
ليالي	noci	ليالي	noc		N;NOM;FEM;PL
ليالي	nocí	ليالي	noc		N;NOM;FEM;PL
اتفاقيات	dohovorov	اِتِّفَاقِيَّة	dohovor	N;NOM;INDF;PL	N;INAN;GEN;MASC;PL
نيبال	nepále	نيبال	pále		PROPN;NOM;MASC;SG
شريك	partnera	شَرِيك	partner	N;NOM;INDF;SG	N;ANIM;ACC;MASC;SG
شريك	partnerské	شَرِيك	partnerský	N;NOM;INDF;SG	ADJ;NOM;NEUT;SG
عنيفة	násilne	عَنِيف	násilne	ADJ;NOM;INDF;FEM;SG	ADV
المحسن	zlepšiť	المحسن	zlepšiť		V;PFV;POS;NFIN
المحسن	vylepšené	المحسن	vylepšený		ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
المحسن	zlepšenie	المحسن	zlepšenie		N;NOM;NEUT;SG
المحسن	zlepšila	المحسن	zlepšiť		V;PFV;FEM;SG;POS;PST;V.PTCP
المحسن	zlepšené	المحسن	zlepšený		ADJ;NOM;NEUT;SG
ابي	ocko	ابي	ocko		N;ANIM;NOM;MASC;SG
ابي	oci	ابي	oco		INTJ
ابي	otec	ابي	otec		N;ANIM;NOM;MASC;SG
مستشفيات	nemocníc	مُستَشفَى	nemocníca	N;NOM;INDF;PL	N;GEN;FEM;PL
عانى	trpela	عَانَى	trpieť	V;PFV;MASC;SG;3;ACT	V;IPFV;FEM;SG;POS;PST;V.PTCP
عانى	trpel	عَانَى	trpel	V;PFV;MASC;SG;3;ACT	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP
عانى	utrpeli	عَانَى	utrpieť	V;PFV;MASC;SG;3;ACT	V;ANIM;PFV;MASC;PL;POS;PST;V.PTCP
عانى	trpeli	عَانَى	trpieť	V;PFV;MASC;SG;3;ACT	V;ANIM;IPFV;MASC;PL;POS;PST;V.PTCP
واليابان	japonska	واليابان	japonsko		N;NOM;FEM;SG
واليابان	japonsko	واليابان	japonsko		
واليابان	japonsku	واليابان	japonsko		ADV
هاي	hai	هاي	hai		PROPN;ANIM;NOM;MASC;SG
هاي	hej	هاي	hej		INTJ
هاي	sena	هاي	sena		N;NOM;FEM;SG
هاي	seno	هاي	seno		N;NOM;FEM;PL
حلت	vyriešená	حَلّ	vyriešený	V;PFV;FEM;SG;3;ACT	ADJ;NOM;FEM;SG;POS;V.PTCP;PASS
حلت	vyriešené	حَلّ	vyriešený	V;PFV;FEM;SG;3;ACT	ADJ;NOM;NEUT;SG;POS;V.PTCP;PASS
