から	fra	から	fra	CONJ	ADV
日本	japan	日本	japan	PROPN	
日本	nippon	日本	nippon	PROPN	
この	dette	この	denne	DET	PRO;NEUT;SG
この	denne	この	denne	DET	PRO;MASC+FEM;SG
まで	indtil	まで	indtil	ADP	CONJ
まで	till	まで	till	ADP	N;INDF;MASC+FEM;SG
また	også	また	også	CONJ	ADV
放送	udsendelse	放送	udsendelse	V	N;INDF;MASC+FEM;SG
放送	udsendelsen	放送	udsendelse	V	N;DEF;MASC+FEM;SG
東京	tokyo	東京	tokyo	PROPN	
より	end	よる	end	V	ADP
削除	strøget	削除	strøg	V	N;DEF;NEUT;SG
削除	sletning	削除	sletning	V	N;INDF;MASC+FEM;SG
削除	sletning	削除	sletning	V	N;INDF;MASC+FEM;SG
削除	slet	削除	slet	V	ADV
現在	aktuel	現在	aktuel	N	ADJ;INDF;MASC+FEM;SG
現在	aktuelt	現在	aktuel	N	ADJ;INDF;NEUT;SG
現在	løbende	現在	løbende	N	ADJ
現在	nuværende	現在	nuværende	N	ADJ
現在	aktuelt	現在	aktuel	N	ADJ;INDF;NEUT;SG
現在	nuværende	現在	nuværende	N	ADJ
世界	world	世界	world	N	
アメリカ	america	アメリカ	america	PROPN	
アメリカ	amerika	アメリカ	amerika	PROPN	N;INDF;MASC+FEM;SG
アメリカ	usa	アメリカ	usa	PROPN	PROPN
について	omkring	について	omkring	ADP	ADV
作品	arbejder	作品	arbejde	N	V;IND;PRS;FIN;ACT
作品	virker	作品	virke	N	V;IND;PRS;FIN;ACT
時代	era	時代	era	N	
映画	movie	映画	movie	N	
映画	filme	映画	filme	N	V;NFIN;ACT
使用	brug	使用	brug	V	N;INDF;MASC+FEM;SG
使用	anvendelse	使用	anvendelse	V	N;INDF;MASC+FEM;SG
出演	skinnet	出演	skinne	V	N;DEF;NEUT;SG
出演	fremmøde	出演	fremmøde	V	N;INDF;NEUT;SG
出演	udseende	出演	udseende	V	N;INDF;NEUT;SG
出演	udseendet	出演	udseende	V	N;DEF;NEUT;SG
出演	afgivne	出演	afgive	V	ADJ;PL
出演	kast	出演	kast	V	N;INDF;NEUT;SG
開始	start	開始	start	V	N;INDF;MASC+FEM;SG
開始	indledning	開始	indledning	V	N;INDF;MASC+FEM;SG
開始	indvielse	開始	indvielse	V	N;INDF;MASC+FEM;SG
のみ	kun	のみ	kun	ADP	ADV
記事	story	記事	story	N	
活動	aktiviteterne	活動	aktivitet	V	N;DEF;MASC+FEM;PL
活動	virksomhed	活動	virksomhed	V	N;INDF;MASC+FEM;SG
活動	aktiviteter	活動	aktivitet	V	N;INDF;MASC+FEM;PL
研究	undersøgelser	研究	undersøgelse	V	N;INDF;MASC+FEM;PL
研究	studier	研究	studi	V	N;INDF;NEUT;PL
