日	dia	日	dia	PROPN	N;MASC;SG
小	asteróides	小	asteróide	PART	N;MASC;PL
小	asteroides	小	asteroide	PART	N;MASC;PL
小	asteróide	小	asteróide	PART	N;MASC;SG
小	asteroide	小	asteroider	PART	N;MASC;SG
小	asteróides	小	asteróide	PART	N;MASC;PL
大	big	大	big	PART	N;MASC;SG
大	grande	大	grande	PART	ADJ;MASC;SG
大	grandes	大	grande	PART	N;MASC;PL
德	tak	德	tak	PROPN	N;MASC;SG
重	pesado	重	pesar	N	V;MASC;SG;V.PTCP
重	pesadas	重	pesar	N	V;FEM;PL;V.PTCP
重	pesados	重	pesar	N	V;MASC;PL;V.PTCP
重	pesada	重	pesar	N	V;FEM;SG;V.PTCP
一	one	一	one	NUM	N;MASC;SG
定	orientação	定	orientação	V	N;FEM;SG
定	direcional	定	direcional	V	N;MASC;SG
但	mas	但	mas	ADV	CONJ
拉	puxa	拉	pôr		V;IND;SG;3;PRS;FIN
拉	puxar	拉	puxar		V;NFIN
拉	puxe	拉	pober		V;SBJV;SG;3;PRS;FIN
後	após	後	após	ADV	ADP
後	after	後	after	ADV	N;MASC;SG
克	gramas	克	grama	PROPN	N;MASC;PL
新	novo	新	novo	PART	ADJ;MASC;SG
新	novas	新	novo	PART	ADJ;FEM;PL
新	novos	新	novo	PART	ADJ;MASC;PL
新	novidade	新	novidade	PART	N;FEM;SG
新	nova	新	novo	PART	ADJ;FEM;SG
州	estadual	州	estadual	N	ADJ;MASC;SG
研究	estudo	研究	estudo	V	N;MASC;SG
研究	estudos	研究	estudo	V	N;MASC;PL
研究	investigação	研究	investigação	V	N;FEM;SG
研究	pesquisa	研究	pesquisa	V	N;FEM;SG
研究	pesquisas	研究	pesquisa	V	N;FEM;PL
日本	japao	日本	japao	PROPN	N;MASC;SG
日本	japão	日本	japão	PROPN	N;MASC;SG
三	three	三	three	NUM	N;MASC;SG
前	antes	前	antes	N	ADV
近	perto	近	perto		ADV
近	próximo	近	próximo		ADV
多	mais	多	mais		ADV
多	more	多	more		N;MASC;SG
使用	uso	使用	uso	V	N;MASC;SG
使用	utilização	使用	utilização	V	N;FEM;SG
使用	uso	使用	uso	V	N;MASC;SG
使用	utilização	使用	utilização	V	N;FEM;SG
基	kei	基	kei	V	N;MASC;SG
王	king	王	king	PROPN	N;MASC;SG
王	rei	王	rei	PROPN	N;MASC;SG
王	wang	王	wang	PROPN	PROPN;MASC;SG
林	lam	林	lam	PROPN	N;MASC;SG
林	lin	林	lin	PROPN	N;MASC;SG
公司	corporativo	公司	corporativo	N	ADJ;MASC;SG
公司	empresarial	公司	empresarial	N	ADJ;MASC;SG
李	lee	李	lee	PROPN	N;MASC;SG
一	one	一	one	NUM	N;MASC;SG
卡	cartões	卡	cartão	PROPN	N;MASC;PL
卡	cartas	卡	carta	PROPN	N;FEM;PL
卡	cards	卡	cards	PROPN	N;MASC;PL
卡	card	卡	card	PROPN	N;MASC;SG
卡	cartão	卡	cartão	PROPN	N;MASC;SG
二	two	二	two	NUM	N;MASC;SG
小	small	小	small	PART	N;MASC;SG
小	pequenos	小	pequeno	PART	ADJ;MASC;PL
小	pequeno	小	pequeno	PART	ADJ;MASC;SG
小	pequena	小	pequeno	PART	ADJ;FEM;SG
小	pequenas	小	pequeno	PART	ADJ;FEM;PL
小	pequeno	小	pequeno	PART	ADJ;MASC;SG
小	pouco	小	pouco	PART	ADV
小	pequena	小	pequeno	PART	ADJ;FEM;SG
小	little	小	little	PART	N;MASC;SG
小	tiny	小	tiny	PART	N;MASC;SG
