پِرچ	schotel	پِرچ	schotel	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
پرچار	aangepaste	پرچار	aanpassen	N;NOM;MASC;SG;3	V;V.PTCP
پرچار	maatwerk	پرچار	maatwerk	N;NOM;MASC;SG;3	ADJ
پرچار	aangepast	پرچار	aanpassen	N;NOM;MASC;SG;3	V;V.PTCP
پرچار	preken	پرچار	preken	N;NOM;MASC;SG;3	N;PL
پرچار	prediken	پرچار	predik	N;NOM;MASC;SG;3	V;NFIN
پرچار	aangepaste	پرچار	aanpassen	N;NOM;MASC;SG;3	V;V.PTCP
پرچار	maatwerk	پرچار	maatwerk	N;NOM;MASC;SG;3	ADJ
پرچار	aangepast	پرچار	aanpassen	N;NOM;MASC;SG;3	V;V.PTCP
پرچار	preken	پرچار	preken	N;NOM;MASC;SG;3	N;PL
پرچار	prediken	پرچار	predik	N;NOM;MASC;SG;3	V;NFIN
پرچانا	coax	پرچانا	coax	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
پرچانا	charme	پرچانا	charme	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
پرچانا	charmes	پرچانا	charme	PROPN;NOM;MASC;SG;3	N;PL
پرچانا	temmen	پرچانا	temmen	PROPN;NOM;MASC;SG;3	V;NFIN
پرچانا	tamme	پرچانا	tam	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
پرچانا	tem	پرچانا	tem	PROPN;NOM;MASC;SG;3	N;MASC+FEM;SG
پرچخ	stuk	پرچخ	stuk		N;NEUT;SG
پرچخ	stukje	پرچخ	stuk		N;NEUT;SG
پرچخ	fragment	پرچخ	fragment		N;NEUT;SG
پُرچک	vleierij	پُرچک	vleierij	ADJ	N;NEUT;SG
پُرچک	onderteken	پُرچک	onderteken	ADJ	V;SG;PRS;FIN
پُرچک	ondertekenen	پُرچک	ondertekenen	ADJ	V;NFIN
پُرچک	tekenen	پُرچک	tekenen	ADJ	V;NFIN
پُرچک	teken	پُرچک	teken	ADJ	N;NEUT;SG
پُرچک	indicatie	پُرچک	indicatie	ADJ	N;MASC+FEM;SG
پُرچک	aanduiding	پُرچک	aanduiding	ADJ	N;MASC+FEM;SG
پُرچک	hint	پُرچک	hint	ADJ	N;MASC+FEM;SG
پُرچک	aanmoediging	پُرچک	aanmoediging	ADJ	N;MASC+FEM;SG
پُرچک	aanmoedigen	پُرچک	aanmoedigen	ADJ	V;NFIN
پُرچک	ondersteuning	پُرچک	ondersteuning	ADJ	N;MASC+FEM;SG
پُرچک	steun	پُرچک	steun	ADJ	N;MASC+FEM;SG
پُرچک	support	پُرچک	support	ADJ	N;MASC+FEM;SG
پُرچک	ondersteunen	پُرچک	ondersteunen	ADJ	V;NFIN
پرچلت	huidig	پرچلت	huidig	PROPN;NOM;MASC;SG;3	ADJ
پرچلت	huidige	پرچلت	huidig	PROPN;NOM;MASC;SG;3	ADJ
پرچلت	actueel	پرچلت	actueel	PROPN;NOM;MASC;SG;3	ADJ
