din	from	din	from	ADP;ACC	
care	kimler	care	kim	PRO;3	
care	who	care	who	PRO;3	
care	kim	care	kim	PRO;3	PRO;NOM;SG;3
care	hangi	care	hangi	PRO;3	ADJ
care	hangisi	care	hangi	PRO;3	
mai	mai	mai	mai	ADV	
mai	devamı	mai	devam	ADV	
mai	more	mai	more	ADV	
pentru	icin	pentru	icin	ADP;ACC	
pentru	için	pentru	için	ADP;ACC	
lui	lui	el	li	PRO;3	
lui	onunki	el	onunki	PRO;3	
lui	onun	el	o	PRO;3	PRO;GEN;SG;3
dupa	sonrası	dupa	sonra	N;DEF;FEM;SG	
dupa	ardından	dupa	ardından	N;DEF;FEM;SG	ADV
dupa	sonrasında	dupa	sonra	N;DEF;FEM;SG	N;ESS;SG;3
dupa	sonra	dupa	sonra	N;DEF;FEM;SG	ADV
dupa	sonrası	dupa	sonra	N;DEF;FEM;SG	
dupa	ardından	dupa	ardından	N;DEF;FEM;SG	ADV
dupa	sonrasında	dupa	sonra	N;DEF;FEM;SG	N;ESS;SG;3
dupa	sonra	dupa	sonra	N;DEF;FEM;SG	ADV
ale	bira	al	bira	DET;FEM;PL	
prin	aracılığıyla	prin	aracılık	ADP;ACC	N;INS;SG;3
prin	yoluyla	prin	yol	ADP;ACC	N;INS;SG;3
prin	geçerek	prin	geç	ADP;ACC	V;PFV;IND;POS;PRS;V.CVB
regiunea	bölge	regiune	bölge	N;DEF;FEM;SG	
regiunea	bölgede	regiune	bölge	N;DEF;FEM;SG	N;ESS;SG;3
regiunea	bölgesi	regiune	bölge	N;DEF;FEM;SG	N;NOM;SG;3
mare	harika	mare	harik	ADJ;INDF;MASC;SG	
mare	big	mare	big	ADJ;INDF;MASC;SG	
mare	buyuk	mare	buyuk	ADJ;INDF;MASC;SG	
mare	büyük	mare	büyük	ADJ;INDF;MASC;SG	
mare	kocaman	mare	kocaman	ADJ;INDF;MASC;SG	
mare	deniz	mare	deniz	ADJ;INDF;MASC;SG	
anul	yıl	an	yıl	N;DEF;MASC;SG	
anul	yılı	an	yıl	N;DEF;MASC;SG	
anul	sene	an	sene	N;DEF;MASC;SG	
comuna	yaygın	comună	yaygın	N;DEF;FEM;SG	
comuna	belediye	comună	beledi	N;DEF;FEM;SG	
comuna	belediyesi	comună	belediye	N;DEF;FEM;SG	
comuna	belediyeye	comună	belediye	N;DEF;FEM;SG	N;DAT;SG;3
comuna	yaygın	comună	yaygın	N;DEF;FEM;SG	
externe	harici	extern	harici	ADJ;INDF;FEM;PL	
legaturi	bağlar	legatură	bağla	N;INDF;FEM;PL	
legaturi	bağlar	legatură	bağla	N;INDF;FEM;PL	
legaturi	bağlar	legatură	bağla	N;INDF;FEM;PL	
vezi	gör	vedea	gör	V;IND;SG;2;PRS;FIN	V;PFV;IMP;SG;2;POS;PRS
vezi	görün	vedea	görün	V;IND;SG;2;PRS;FIN	V;PFV;IMP;PL;2;POS;PRS
dar	fakat	dar	fakat	CONJ;POS	
cod	şifre	cod	şifre		N;NOM;SG;3
cod	morina	cod	morina		N;NOM;SG;3
populatie	nüfusu	populatie	nüfus	N;INDF;FEM;SG	N;ACC;SG;3
populatie	nüfus	populatie	nüfus	N;INDF;FEM;SG	
bucuresti	bükreş	bucurest	bükreş	PROPN	PROPN;NOM;SG;3
bucuresti	bükreş	bucurest	bükreş	PROPN	PROPN;NOM;SG;3
bucuresti	bükreş	bucurest	bükreş	PROPN	PROPN;NOM;SG;3
fiind	olmak	fi	ol	V;V.MSDR	V;PFV;NOM;IND;POS;PRS;V.MSDR
romania	romanya	romanie	romanya	N;DEF;FEM;SG	PROPN;NOM;SG;3
romania	romanya	romanie	romanya	N;DEF;FEM;SG	PROPN;NOM;SG;3
jpg	jpg	jpg	jpg	N	
lista	liste	listă	lis	N;DEF;FEM;SG	
lista	listesi	listă	liste	N;DEF;FEM;SG	N;NOM;SG;3
lista	listeyi	listă	liste	N;DEF;FEM;SG	N;ACC;SG;3
lista	liste	listă	lis	N;DEF;FEM;SG	
lista	listesi	listă	liste	N;DEF;FEM;SG	N;NOM;SG;3
lista	listeyi	listă	liste	N;DEF;FEM;SG	N;ACC;SG;3
ucraina	ukrayna	ucraina	ukra	PROPN	PROPN;NOM;SG;3
nume	adın	nume	ad	N;INDF	
ani	ani	an	ani	N;INDF;MASC;PL	
ani	anı	an	an	N;INDF;MASC;PL	
ani	yıllarca	an	yıllarca	N;INDF;MASC;PL	ADV
ani	yıllardır	an	yıl	N;INDF;MASC;PL	V;IPFV;IND;PL;3;POS
ani	seneler	an	sene	N;INDF;MASC;PL	
avea	vardı	avea	var	V;IND;SG;3;IPFV;FIN	V;PFV;IND;SG;3;POS;PST
intre	arasında	intra	ara	V;SBJV;3;PRS;FIN	ADJ;ESS;SG;3
intre	arasına	intra	ara	V;SBJV;3;PRS;FIN	ADJ;DAT;SG;3
intre	arası	intra	ara	V;SBJV;3;PRS;FIN	ADJ;NOM;SG;3
intre	arasındaki	intra	ara	V;SBJV;3;PRS;FIN	ADJ;ESS;SG;3
intre	arasında	intra	ara	V;SBJV;3;PRS;FIN	ADJ;ESS;SG;3
intre	arasına	intra	ara	V;SBJV;3;PRS;FIN	ADJ;DAT;SG;3
intre	arası	intra	ara	V;SBJV;3;PRS;FIN	ADJ;NOM;SG;3
intre	arasındaki	intra	ara	V;SBJV;3;PRS;FIN	ADJ;ESS;SG;3
pana	tüy	pană	tüy	N;DEF;FEM;SG	
doua	iki	doi	iki	NUM;FEM;SG	
doua	iki	doi	iki	NUM;FEM;SG	
rege	kral	rege	kral	N;INDF;MASC;SG	
rege	king	rege	king	N;INDF;MASC;SG	
sub	altında	sub	alt	ADP;ACC	ADJ;ESS;SG;3
