το	the	ο	the	DET;NOM;DEF;NEUT;SG	PROPN
κατηγορία	kategori	κατηγορία	kategori	N;NOM;FEM;SG	PROPN;SG
ήταν	euy	είμαι	euy	V;IPFV;IND;SG;3;PST;FIN;PASS	PROPN
ήταν	was	είμαι	was	V;IPFV;IND;SG;3;PST;FIN;PASS	PROPN
ένα	one	ένας	one	NUM;NOM;NEUT;SG	PROPN
ότι	that	ότι	that	CONJ	PROPN
ότι	itu	ότι	itu	CONJ	DET
ότι	yang	ότι	yang	CONJ	PRO
μια	one	ένας	one	NUM;NOM;FEM;SG	PROPN
έχει	telah	έχω	telah	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
έχει	has	έχω	has	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
θα	will	θα	will	PART	PROPN
θα	akan	θα	akan	PART	ADV
αλλά	tapi	αλλά	tapi	CONJ	CONJ
αλλά	tetapi	αλλά	tetapi	CONJ	CONJ
μετά	lalu	μετά	lalu	ADV	CONJ;SG
μετά	maka	μετά	maka	ADV	CONJ
μετά	sesudah	μετά	sesudah	ADV	CONJ
μετά	after	μετά	after	ADV	PROPN
μετά	setelah	μετά	setelah	ADV	ADP
όπως	suka	όπως	suka	ADV	V;SG
όπως	sukai	όπως	sukai	ADV	ADJ;SG
όπως	seperti	όπως	seperti	ADV	ADP
όπως	like	όπως	like	ADV	PROPN
ενώ	sambil	ενώ	sambil	CONJ	
ενώ	selagi	ενώ	selagi	CONJ	
δύο	two	δύο	two	NUM;NOM;MASC;PL	PROPN
αυτό	ini	αυτός	ini	PRO;NOM;NEUT;SG;3	DET
αυτό	that	αυτός	that	PRO;NOM;NEUT;SG;3	PROPN
αυτό	itu	αυτός	itu	PRO;NOM;NEUT;SG;3	DET
αυτό	bahwa	αυτός	bahwa	PRO;NOM;NEUT;SG;3	CONJ
αυτό	yang	αυτός	yang	PRO;NOM;NEUT;SG;3	PRO
αυτή	she	αυτός	she	PRO;NOM;FEM;SG;3	PROPN
όπου	dimanapun	όπου	dimanapun	ADV	
όπου	kemanapun	όπου	kemanapun	ADV	
όπου	mana	όπου	mana	ADV	ADP;SG
όταν	kapan	όταν	kapan	CONJ	PRO
όταν	saat	όταν	saat	CONJ	N;SG
μία	one	ένας	one	NUM;NOM;FEM;SG	PROPN
μπορεί	dapat	μπορώ	dapat	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV;SG;ACT
μπορεί	can	μπορώ	can	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
μπορεί	bisa	μπορώ	bisa	V;IPFV;IND;SG;3;PRS;FIN;ACT	ADV
ομάδα	kelompokkan	ομάδα	kelompokkan	N;ACC;FEM;SG	V;SG;ACT
ομάδα	team	ομάδα	team	N;ACC;FEM;SG	PROPN
χρόνια	kronik	χρόνος	kronik	N;NOM;NEUT;PL	PROPN
χρόνια	kronis	χρόνος	kronis	N;NOM;NEUT;PL	N;SG
χρόνια	tahun	χρόνος	tahun	N;NOM;NEUT;PL	N;SG
πρώτη	pertama	πρώτος	pertama	NUM;NOM;FEM;SG	NUM
πρώτη	duluan	πρώτος	duluan	NUM;NOM;FEM;SG	
πρώτη	dulu	πρώτος	dulu	NUM;NOM;FEM;SG	N
πρώτη	first	πρώτος	first	NUM;NOM;FEM;SG	PROPN
πιο	selengkapnya	πιο	selengkap	ADV	N;SG
πιο	lainnya	πιο	lainnya	ADV	N
ένας	satu	ένας	satu	DET;NOM;INDF;MASC;SG	NUM
ένας	one	ένας	one	DET;NOM;INDF;MASC;SG	PROPN
πόλη	town	πόλη	town	N;NOM;FEM;SG	PROPN
πόλη	city	πόλη	city	N;NOM;FEM;SG	PROPN
σύνδεσμοι	links	σύνδεσμος	links	N;ACC;MASC;SG	PROPN
μόνο	only	μόνο	only	ADV	PROPN
έγινε	selesai	γίνομαι	selesai	V;PFV;IND;SG;3;PST;FIN;PASS	ADV;SG
έγινε	beres	γίνομαι	beres	V;PFV;IND;SG;3;PST;FIN;PASS	
έγινε	done	γίνομαι	done	V;PFV;IND;SG;3;PST;FIN;PASS	PROPN
κάθε	setiap	κάθε	setiap	PRO;ACC;FEM;SG;3	DET
κάθε	every	κάθε	every	PRO;ACC;FEM;SG;3	PROPN
κάθε	setiap	κάθε	setiap	PRO;ACC;FEM;SG;3	DET
κάθε	tiap	κάθε	tiap	PRO;ACC;FEM;SG;3	DET
κάθε	each	κάθε	each	PRO;ACC;FEM;SG;3	PROPN
περιοχή	provinsi	περιοχή	provinsi	N;NOM;FEM;SG	PROPN;SG
αιώνα	century	αιώνας	century	N;ACC;MASC;SG	PROPN
αθήνα	athens	αθήνα	athens	PROPN;ACC;FEM;SG	PROPN
αθήνα	athena	αθήνα	athena	PROPN;ACC;FEM;SG	PROPN;SG
τότε	lalu	τότε	lalu	ADV	CONJ;SG
τότε	maka	τότε	maka	ADV	CONJ
ελλάδα	yunani	ελλάδα	yunani	PROPN;ACC;FEM;SG	PROPN;SG
μέρος	part	μέρος	part	N;NOM;NEUT;SG	PROPN
μέρος	tempatkan	μέρος	tempatkan	N;NOM;NEUT;SG	V;SG;ACT
μέρος	place	μέρος	place	N;NOM;NEUT;SG	PROPN
σήμερα	today	σήμερα	today	ADV	PROPN
μέσα	inside	μέσα	inside	ADV	PROPN
μέσα	didalam	μέσα	didalam	ADV	ADP;SG;PASS
πως	bagaimana	πως	bagaimana	CONJ	ADV
πως	how	πως	how	CONJ	PROPN
μαζί	bareng	μαζί	bareng	ADV	PROPN;SG
μαζί	together	μαζί	together	ADV	PROPN
μαζί	bersama	μαζί	bersama	ADV	ADP;SG;ACT
ιστορία	story	ιστορία	story	N;NOM;FEM;SG	PROPN
ιστορία	history	ιστορία	history	N;NOM;FEM;SG	PROPN
πρωτάθλημα	league	πρωτάθλημα	league	N;NOM;NEUT;SG	PROPN
αργότερα	nanti	αργά	nanti	ADV;CMPR	
νέα	new	νέος	new	ADJ;NOM;NEUT;PL	PROPN
νέα	baru	νέος	baru	ADJ;NOM;NEUT;PL	ADJ;SG
νέα	news	νέος	news	ADJ;NOM;NEUT;PL	
νέα	berita	νέος	berita	ADJ;NOM;NEUT;PL	N;SG
περίπου	tentang	περίπου	tentang	ADV	ADP;SG;ACT
