que	that	que	that	PRO;MASC;SG	PROPN
uma	одна	um	один	NUM	DET;NOM;FEM;SG
uma	one	um	one	NUM	PROPN
uma	одно	um	один	NUM	DET;NOM;NEUT;SG
com	com	com	com	ADP	PROPN
com	with	com	with	ADP	PROPN
para	for	para	for	ADP	PROPN
por	for	por	for	ADP	PROPN
foi	был	foi	быть	ADV	V;IPFV;MASC;IND;SG;PST;FIN;ACT
foi	было	foi	быть	ADV	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
foi	была	foi	быть	ADV	V;IPFV;FEM;IND;SG;PST;FIN;ACT
como	как	como	как	ADV	CONJ
como	нравится	como	нравиться	ADV	V;IPFV;IND;SG;3;PRS;FIN;MID
como	like	como	like	ADV	PROPN
como	как	como	как	ADV	CONJ
não	не	não	не	INTJ	PART
dos	dos	dos	dos	N;MASC;SG	PROPN
sua	его	seu	он	DET;FEM;SG	PRO;ACC;MASC;SG;3
sua	ваши	seu	ваш	DET;FEM;SG	DET;NOM;PL
sua	ваши	seu	ваш	DET;FEM;SG	DET;NOM;PL
utc	utc	utc	utc	N;MASC;SG	
são	являются	ser	являться	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;MID
seu	его	seu	он	DET;MASC;SG	PRO;ACC;MASC;SG;3
seu	ваши	seu	ваш	DET;MASC;SG	DET;NOM;PL
seu	ваши	seu	ваш	DET;MASC;SG	DET;NOM;PL
min	мин	min	минута	N;MASC;PL	N;INAN;NOM;FEM;SG
das	дас	das	дас	N;MASC;SG	INTJ
também	тоже	também	тоже	ADV	PART
ser	сир	ser	сир	V;NFIN	N;ANIM;NOM;MASC;SG
ele	его	ele	он	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
ele	ему	ele	он	PRO;NOM;MASC;SG;3	PRO;DAT;MASC;SG;3
discussão	обсуждения	discussão	обсуждение	N;FEM;SG	N;INAN;NOM;NEUT;PL
discussão	дискуссии	discussão	дискуссия	N;FEM;SG	N;INAN;NOM;FEM;PL
anos	years	ano	years	N;MASC;PL	PROPN
era	был	ser	быть	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
era	было	ser	быть	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
era	была	ser	быть	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
sobre	about	sobre	about	ADP	PROPN
sobre	о	sobre	о	ADP	INTJ
até	до	até	до	ADV	ADP
cidade	town	cidade	town	N;FEM;SG	PROPN
cidade	city	cidade	city	N;FEM;SG	PROPN
cidade	города	cidade	город	N;FEM;SG	N;INAN;NOM;MASC;PL
quando	когда	quando	когда	ADV	CONJ
quando	when	quando	when	ADV	PROPN
foram	были	ser	быть	V;IND;PL;3;PST;FIN	V;IPFV;IND;PL;PST;FIN;ACT
grande	крупных	grande	крупный	ADJ;MASC;SG	ADJ;GEN;PL
grande	крупные	grande	крупный	ADJ;MASC;SG	ADJ;NOM;PL
grande	большие	grande	большой	ADJ;MASC;SG	ADJ;NOM;PL
grande	big	grande	big	ADJ;MASC;SG	PROPN
grande	большие	grande	большой	ADJ;MASC;SG	ADJ;NOM;PL
grande	биг	grande	биг	ADJ;MASC;SG	
grande	здорово	grande	здорово	ADJ;MASC;SG	ADV
grande	отлично	grande	отлично	ADJ;MASC;SG	ADV
grande	великолепно	grande	великолепно	ADJ;MASC;SG	ADV
grande	гранде	grande	гранд	ADJ;MASC;SG	N;INAN;NOM;MASC;SG
brasil	бразилии	brasil	бразилия	N;MASC;SG	N;INAN;NOM;FEM;PL
rio	рио	rio	рио	N;MASC;SG	
rio	ривер	rio	ривер	N;MASC;SG	
rio	реки	rio	река	N;MASC;SG	N;INAN;NOM;FEM;PL
depois	после	depois	после	ADV	ADP
depois	after	depois	after	ADV	PROPN
após	after	após	after	ADP	PROPN
primeiro	первый	primeiro	первый	ADV	ADJ;NOM;MASC;SG
primeiro	первое	primeiro	первый	ADV	ADJ;NOM;NEUT;SG
primeiro	первая	primeiro	первый	ADV	ADJ;NOM;FEM;SG
primeiro	first	primeiro	first	ADV	PROPN
pode	мая	poder	май	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
pode	мэй	poder	мэй	V;IND;SG;3;PRS;FIN	N;ANIM;NOM;FEM;SG
pode	май	poder	май	V;IND;SG;3;PRS;FIN	
pode	майские	poder	майский	V;IND;SG;3;PRS;FIN	ADJ;NOM;PL
pode	могу	poder	мочь	V;IND;SG;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
pode	можно	poder	можно	V;IND;SG;3;PRS;FIN	ADV
pode	can	poder	can	V;IND;SG;3;PRS;FIN	PROPN
parte	частично	parte	частично	N;FEM;SG	ADV
este	this	este	this	DET;MASC;SG	PROPN
este	это	este	это	DET;MASC;SG	PRO;INAN;NOM;NEUT;SG
primeira	сначала	primeiro	сначала	ADJ;FEM;SG	ADV
primeira	first	primeiro	first	ADJ;FEM;SG	PROPN
externas	внешнее	externo	внешний	N;FEM;PL	ADJ;NOM;NEUT;SG
externas	внешние	externo	внешний	N;FEM;PL	ADJ;NOM;PL
externas	внешняя	externo	внешний	N;FEM;PL	ADJ;NOM;FEM;SG
externas	внешних	externo	внешний	N;FEM;PL	ADJ;GEN;PL
externas	внешний	externo	внешний	N;FEM;PL	ADJ;NOM;MASC;SG
outros	другой	outro	другой	PRO;MASC;PL	ADJ;NOM;MASC;SG
outros	другая	outro	другой	PRO;MASC;PL	ADJ;NOM;FEM;SG
outros	другое	outro	другой	PRO;MASC;PL	ADJ;NOM;NEUT;SG
outros	другие	outro	другой	PRO;MASC;PL	ADJ;NOM;PL
outros	прочие	outro	прочий	PRO;MASC;PL	ADJ;NOM;PL
outros	другие	outro	другой	PRO;MASC;PL	ADJ;NOM;PL
outros	прочие	outro	прочий	PRO;MASC;PL	ADJ;NOM;PL
esta	this	este	this	PRO;FEM;SG	PROPN
esta	эта	este	этот	PRO;FEM;SG	DET;NOM;FEM;SG
esta	этот	este	этот	PRO;FEM;SG	DET;NOM;MASC;SG
ela	she	ela	she	PRO;NOM;FEM;SG;3	PROPN
ela	ее	ela	она	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
ela	ей	ela	она	PRO;NOM;FEM;SG;3	PRO;DAT;FEM;SG;3
ela	её	ela	она	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
dia	day	dia	day	N;MASC;SG	PROPN
muito	многое	muito	многое	ADV	N;INAN;NOM;NEUT;SG
suas	их	seu	они	DET;FEM;PL	PRO;ACC;PL;3
segundo	секунда	segundo	секунда	ADV	N;INAN;NOM;FEM;SG
segundo	второй	segundo	второй	ADV	ADJ;NOM;MASC;SG
segundo	вторая	segundo	второй	ADV	ADJ;NOM;FEM;SG
segundo	второе	segundo	второй	ADV	ADJ;NOM;NEUT;SG
apenas	только	apenas	только	ADV	PART
apenas	просто	apenas	просто	ADV	PART
apenas	только	apenas	только	ADV	PART
ter	тер	ter	тер	V;NFIN	N;INAN;NOM;FEM;SG
msg	msg	msg	msg	N;FEM;SG	PROPN
lista	перечни	lista	перечень	N;FEM;SG	N;INAN;NOM;MASC;PL
lista	списки	lista	список	N;FEM;SG	N;INAN;NOM;MASC;PL
maio	май	maio	май	N;MASC;SG	
maio	майские	maio	майский	N;MASC;SG	ADJ;NOM;PL
norte	северный	norte	северный	N;MASC;SG	ADJ;NOM;MASC;SG
norte	северная	norte	северный	N;MASC;SG	ADJ;NOM;FEM;SG
norte	северной	norte	северный	N;MASC;SG	ADJ;INS;FEM;SG
norte	северный	norte	северный	N;MASC;SG	ADJ;NOM;MASC;SG
norte	северная	norte	северный	N;MASC;SG	ADJ;NOM;FEM;SG
norte	северные	norte	северный	N;MASC;SG	ADJ;NOM;PL
norte	северное	norte	северный	N;MASC;SG	ADJ;NOM;NEUT;SG
norte	северной	norte	северный	N;MASC;SG	ADJ;INS;FEM;SG
família	семейное	família	семейный	N;FEM;SG	ADJ;NOM;NEUT;SG
família	семьи	família	семья	N;FEM;SG	N;INAN;NOM;FEM;PL
família	родные	família	родной	N;FEM;SG	ADJ;NOM;PL
sul	сул	sul	сул	N;MASC;SG	PART
sul	южные	sul	южный	N;MASC;SG	ADJ;NOM;PL
sul	южная	sul	южный	N;MASC;SG	ADJ;NOM;FEM;SG
sul	южный	sul	южный	N;MASC;SG	ADJ;NOM;MASC;SG
sul	южной	sul	южный	N;MASC;SG	ADJ;INS;FEM;SG
sul	южное	sul	южный	N;MASC;SG	ADJ;NOM;NEUT;SG
sul	южная	sul	южный	N;MASC;SG	ADJ;NOM;FEM;SG
sul	южный	sul	южный	N;MASC;SG	ADJ;NOM;MASC;SG
sul	южной	sul	южный	N;MASC;SG	ADJ;INS;FEM;SG
grupo	группы	grupo	группа	N;MASC;SG	N;INAN;NOM;FEM;PL
grupo	group	grupo	group	N;MASC;SG	PROPN
ver	см	ver	сантиметр	V;NFIN	ADV
ver	просмотр	ver	просмотр	V;NFIN	N;INAN;NOM;MASC;SG
ver	вид	ver	вид	V;NFIN	N;INAN;NOM;MASC;SG
isso	this	isso	this	PRO;MASC;SG	PROPN
isso	эта	isso	этот	PRO;MASC;SG	DET;NOM;FEM;SG
isso	этот	isso	этот	PRO;MASC;SG	DET;NOM;MASC;SG
isso	that	isso	that	PRO;MASC;SG	PROPN
maior	крупнейшие	grande	крупный	ADJ;MASC;SG	ADJ;NOM;RL;PL
maior	крупнейших	grande	крупный	ADJ;MASC;SG	ADJ;GEN;RL;PL
todos	all	todo	all	PRO;MASC;PL	PROPN
todos	все	todo	все	PRO;MASC;PL	PRO;INAN;NOM;NEUT;SG
todos	все	todo	все	PRO;MASC;PL	PRO;INAN;NOM;NEUT;SG
todos	каждый	todo	каждый	PRO;MASC;PL	DET;NOM;MASC;SG
nova	новые	novo	новый	ADJ;FEM;SG	ADJ;NOM;PL
nova	новинка	novo	новинка	ADJ;FEM;SG	N;INAN;NOM;FEM;SG
nova	новых	novo	новый	ADJ;FEM;SG	ADJ;GEN;PL
contra	contra	contra	contra	ADP	PROPN
tempo	time	tempo	time	N;MASC;SG	PROPN
dezembro	дек	dezembro	дек	N;MASC;SG	
principal	основные	principal	основной	ADJ;MASC;SG	ADJ;NOM;PL
principal	основных	principal	основной	ADJ;MASC;SG	ADJ;GEN;PL
principal	директор	principal	директор	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
série	серии	série	серия	N;FEM;SG	N;INAN;NOM;FEM;PL
série	серийный	série	серийный	N;FEM;SG	ADJ;NOM;MASC;SG
série	последовательный	série	последовательный	N;FEM;SG	ADJ;NOM;MASC;SG
além	помимо	além	помимо	ADV	ADP
final	end	final	end	N;MASC;SG	PROPN
final	окончательный	final	окончательный	N;MASC;SG	ADJ;NOM;MASC;SG
final	окончательного	final	окончательный	N;MASC;SG	ADJ;GEN;MASC;SG
final	заключительный	final	заключительный	N;MASC;SG	ADJ;NOM;MASC;SG
final	заключительные	final	заключительный	N;MASC;SG	ADJ;NOM;PL
história	story	história	story	N;FEM;SG	PROPN
história	истории	história	история	N;FEM;SG	N;INAN;NOM;FEM;PL
filme	film	filme	film	N;MASC;SG	PROPN
antes	до	antes	до	ADV	ADP
antes	перед	antes	перед	ADV	ADP
melhor	лучше	melhor	хороший	ADV	ADJ;CMPR
melhor	получше	melhor	хороший	ADV	ADJ;CMPR
melhor	лучшие	melhor	лучший	ADV	ADJ;NOM;PL
melhor	лучшая	melhor	лучший	ADV	ADJ;NOM;FEM;SG
melhor	лучший	melhor	лучший	ADV	ADJ;NOM;MASC;SG
melhor	best	melhor	best	ADV	PROPN
melhor	лучшее	melhor	лучший	ADV	ADJ;NOM;NEUT;SG
guerra	войны	guerra	война	N;FEM;SG	N;INAN;NOM;FEM;PL
guerra	war	guerra	war	N;FEM;SG	PROPN
bem	ну	bem	ну	ADV	PART
mundo	world	mundo	world	N;MASC;SG	PROPN
banda	band	banda	band	N;FEM;SG	PROPN
outras	другой	outro	другой	PRO;FEM;PL	ADJ;NOM;MASC;SG
outras	другая	outro	другой	PRO;FEM;PL	ADJ;NOM;FEM;SG
outras	другое	outro	другой	PRO;FEM;PL	ADJ;NOM;NEUT;SG
outras	другие	outro	другой	PRO;FEM;PL	ADJ;NOM;PL
outras	прочие	outro	прочий	PRO;FEM;PL	ADJ;NOM;PL
outras	другие	outro	другой	PRO;FEM;PL	ADJ;NOM;PL
outras	прочие	outro	прочий	PRO;FEM;PL	ADJ;NOM;PL
nacional	национальные	nacional	национальный	ADJ;MASC;SG	ADJ;NOM;PL
nacional	национальных	nacional	национальный	ADJ;MASC;SG	ADJ;GEN;PL
nacional	national	nacional	national	ADJ;MASC;SG	PROPN
jogos	games	jogo	games	N;MASC;PL	PROPN
brasileiro	бразильский	brasileiro	бразильский	N;MASC;SG	ADJ;NOM;MASC;SG
brasileiro	бразилии	brasileiro	бразилия	N;MASC;SG	N;INAN;NOM;FEM;PL
alguns	некоторых	algum	некоторый	PRO;MASC;PL	DET;GEN;PL
alguns	некоторые	algum	некоторый	PRO;MASC;PL	DET;NOM;PL
vida	life	vida	life	N;FEM;SG	PROPN
vida	жизни	vida	жизнь	N;FEM;SG	N;INAN;NOM;FEM;PL
vida	vida	vida	vida	N;FEM;SG	PROPN
país	страны	país	страна	N;MASC;SG	N;INAN;NOM;FEM;PL
eles	их	eles	они	PRO;NOM;MASC;PL;3	PRO;ACC;PL;3
música	music	música	music	N;FEM;SG	PROPN
página	page	página	page	N;FEM;SG	PROPN
página	страницы	página	страница	N;FEM;SG	N;INAN;NOM;FEM;PL
dias	диас	dia	диас	N;MASC;PL	N;ANIM;NOM;MASC;SG
dias	days	dia	days	N;MASC;PL	PROPN
espécie	видов	espécie	вид	N;FEM;SG	N;INAN;GEN;MASC;PL
espécie	виды	espécie	вид	N;FEM;SG	N;INAN;NOM;MASC;PL
portugal	португалии	portugal	португалия	N;MASC;SG	N;INAN;NOM;NEUT;PL
tinha	имел	ter	иметь	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
clube	club	clube	club	N;MASC;SG	PROPN
clube	clube	clube	clube	N;MASC;SG	PROPN
unidos	объединенные	unido	объединить	N;MASC;PL	V;PFV;NOM;PL;PST;V.PTCP;PASS
unidos	united	unido	united	N;MASC;PL	PROPN
unidos	юнайтед	unido	юнайтед	N;MASC;PL	N;INAN;NOM;MASC;SG
novo	новые	novo	новый	ADJ;MASC;SG	ADJ;NOM;PL
novo	новинка	novo	новинка	ADJ;MASC;SG	N;INAN;NOM;FEM;SG
novo	новых	novo	новый	ADJ;MASC;SG	ADJ;GEN;PL
segunda	секунда	segundo	секунда	ADJ;FEM;SG	N;INAN;NOM;FEM;SG
segunda	понедельник	segundo	понедельник	ADJ;FEM;SG	N;INAN;NOM;MASC;SG
pessoas	народ	pessoa	народ	N;FEM;PL	N;INAN;NOM;MASC;SG
jogo	game	jogo	game	N;MASC;SG	PROPN
sistema	system	sistema	system	N;MASC;SG	PROPN
americano	американо	americano	американо	N;MASC;SG	ADV
americano	американский	americano	американский	N;MASC;SG	ADJ;NOM;MASC;SG
americano	американские	americano	американский	N;MASC;SG	ADJ;NOM;PL
americano	американская	americano	американский	N;MASC;SG	ADJ;NOM;FEM;SG
americano	american	americano	american	N;MASC;SG	PROPN
americano	американских	americano	американский	N;MASC;SG	ADJ;GEN;PL
casa	house	casa	house	N;FEM;SG	PROPN
casa	хауз	casa	хауз	N;FEM;SG	
casa	хаус	casa	хаус	N;FEM;SG	INTJ
casa	дома	casa	дома	N;FEM;SG	ADV
casa	домой	casa	домой	N;FEM;SG	ADV
casa	домашний	casa	домашний	N;FEM;SG	ADJ;NOM;MASC;SG
casa	home	casa	home	N;FEM;SG	PROPN
oficial	официальных	oficial	официальный	ADJ;MASC;SG	ADJ;GEN;PL
oficial	официальные	oficial	официальный	ADJ;MASC;SG	ADJ;NOM;PL
oficial	офицер	oficial	офицер	ADJ;MASC;SG	N;ANIM;NOM;MASC;SG
vezes	таймс	vez	таймс	N;MASC;PL	N;INAN;NOM;MASC;SG
vezes	times	vez	times	N;MASC;PL	PROPN
local	местная	local	местный	N;MASC;SG	ADJ;NOM;FEM;SG
local	локальные	local	локальный	N;MASC;SG	ADJ;NOM;PL
local	местных	local	местный	N;MASC;SG	ADJ;GEN;PL
local	местное	local	местный	N;MASC;SG	ADJ;NOM;NEUT;SG
local	местный	local	местный	N;MASC;SG	ADJ;NOM;MASC;SG
local	местные	local	местный	N;MASC;SG	ADJ;NOM;PL
trabalho	работы	trabalho	работа	N;MASC;SG	N;INAN;NOM;FEM;PL
outro	другой	outro	другой	PRO;MASC;SG	ADJ;NOM;MASC;SG
outro	другая	outro	другой	PRO;MASC;SG	ADJ;NOM;FEM;SG
outro	другое	outro	другой	PRO;MASC;SG	ADJ;NOM;NEUT;SG
outro	другие	outro	другой	PRO;MASC;SG	ADJ;NOM;PL
outro	прочие	outro	прочий	PRO;MASC;SG	ADJ;NOM;PL
outro	другой	outro	другой	PRO;MASC;SG	ADJ;NOM;MASC;SG
outro	другая	outro	другой	PRO;MASC;SG	ADJ;NOM;FEM;SG
através	сквозь	através	сквозь	ADV	ADP
através	через	através	через	ADV	ADP
estava	был	estar	быть	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
estava	было	estar	быть	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
estava	была	estar	быть	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
estão	являются	estar	являться	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;MID
vários	различных	vários	различный	PRO;MASC;PL	ADJ;GEN;PL
vários	различные	vários	различный	PRO;MASC;PL	ADJ;NOM;PL
vários	несколько	vários	несколько	PRO;MASC;PL	ADV
vários	прочее	vários	прочий	PRO;MASC;PL	ADJ;NOM;NEUT;SG
vários	разное	vários	разный	PRO;MASC;PL	ADJ;NOM;NEUT;SG
terra	earth	terra	earth	N;FEM;SG	PROPN
terra	земли	terra	земля	N;FEM;SG	N;INAN;NOM;FEM;PL
terra	земельный	terra	земельный	N;FEM;SG	ADJ;NOM;MASC;SG
terra	land	terra	land	N;FEM;SG	PROPN
qualquer	любые	qualquer	любой	DET;FEM;SG	DET;NOM;PL
podem	может	poder	мочь	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
podem	могу	poder	мочь	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN;ACT
podem	можно	poder	можно	V;IND;PL;3;PRS;FIN	ADV
podem	can	poder	can	V;IND;PL;3;PRS;FIN	PROPN
centro	centro	centro	centro	N;MASC;SG	PROPN
início	начинайте	início	начинать	N;MASC;SG	V;IPFV;IMP;PL;2;FIN;ACT
início	начать	início	начать	N;MASC;SG	V;PFV;NFIN;ACT
essa	this	esse	this	PRO;FEM;SG	PROPN
essa	эта	esse	этот	PRO;FEM;SG	DET;NOM;FEM;SG
essa	этот	esse	этот	PRO;FEM;SG	DET;NOM;MASC;SG
essa	that	esse	that	PRO;FEM;SG	PROPN
tipo	добрая	tipo	добрый	N;MASC;SG	ADJ;NOM;FEM;SG
tipo	type	tipo	type	N;MASC;SG	PROPN
santa	святой	santo	святой	N;FEM;SG	ADJ;NOM;MASC;SG
santa	сен	santo	сен	N;FEM;SG	
santa	святая	santo	святой	N;FEM;SG	ADJ;NOM;FEM;SG
conhecido	известные	conhecido	известный	ADJ;MASC;SG	ADJ;NOM;PL
conhecido	знакомство	conhecido	знакомство	ADJ;MASC;SG	N;INAN;NOM;NEUT;SG
esse	this	esse	this	DET;MASC;SG	PROPN
esse	это	esse	это	DET;MASC;SG	PRO;INAN;NOM;NEUT;SG
canção	song	canção	song	N;FEM;SG	PROPN
edição	редактирования	edição	редактирование	N;FEM;SG	N;INAN;NOM;NEUT;PL
mundial	worldwide	mundial	worldwide	ADJ;MASC;SG	PROPN
cerca	забор	cerca	забор	ADV	N;INAN;NOM;MASC;SG
cerca	ограждение	cerca	ограждение	ADV	N;INAN;NOM;NEUT;SG
todas	всем	todo	все	DET;FEM;PL	PRO;ANIM;DAT;PL
todas	всех	todo	все	DET;FEM;PL	PRO;ANIM;ACC;PL
todas	all	todo	all	DET;FEM;PL	PROPN
todas	все	todo	все	DET;FEM;PL	PRO;INAN;NOM;NEUT;SG
português	португальский	português	португальский	N;MASC;SG	ADJ;NOM;MASC;SG
português	португалии	português	португалия	N;MASC;SG	N;INAN;NOM;NEUT;PL
lançado	освобождены	lançar	освободить	V;MASC;SG;V.PTCP	V;PFV;PL;PST;V.PTCP;PASS
rei	king	rei	king	N;MASC;SG	PROPN
rei	rei	rei	rei	N;MASC;SG	PROPN
rei	рей	rei	рей	N;MASC;SG	
algumas	некоторых	algum	некоторый	PRO;FEM;PL	DET;GEN;PL
algumas	некоторые	algum	некоторый	PRO;FEM;PL	DET;NOM;PL
quem	who	quem	who	PRO;SG	PROPN
quem	воз	quem	воз	PRO;SG	N;INAN;NOM;MASC;SG
água	воды	água	вода	N;FEM;SG	N;INAN;NOM;FEM;PL
morte	death	morte	death	N;FEM;SG	PROPN
eram	были	ser	быть	V;IND;PL;3;IPFV;FIN	V;IPFV;IND;PL;PST;FIN;ACT
brasileira	бразильский	brasileira	бразильский	N;FEM;SG	ADJ;NOM;MASC;SG
brasileira	бразилии	brasileira	бразилия	N;FEM;SG	N;INAN;NOM;FEM;PL
produção	производства	produção	производство	N;FEM;SG	N;INAN;NOM;NEUT;PL
seguinte	далее	seguinte	далее	ADJ;MASC;SG	ADV
seguinte	next	seguinte	next	ADJ;MASC;SG	PROPN
muitos	многих	muito	много	PRO;MASC;PL	NUM
muitos	много	muito	много	PRO;MASC;PL	ADV
muitos	многим	muito	много	PRO;MASC;PL	NUM
muitos	многие	muito	много	PRO;MASC;PL	NUM
wikipédia	википедии	wikipédia	википедия	N;FEM;SG	N;INAN;NOM;FEM;PL
time	time	time	time	N;MASC;SG	PROPN
time	team	time	team	N;MASC;SG	PROPN
geral	общие	geral	общий	N;MASC;SG	ADJ;NOM;PL
meio	средняя	meio	средний	ADV	ADJ;NOM;FEM;SG
meio	ближнем	meio	ближний	ADV	ADJ;ESS;MASC;SG
meio	средний	meio	средний	ADV	ADJ;NOM;MASC;SG
meio	среднее	meio	средний	ADV	ADJ;NOM;NEUT;SG
