kate	kate	kate	kate	PROPN;NOM	
nato	nato	nato	nato	PROPN;NOM	N
genève	geneva	gen	genevă	PROPN;NOM	PROPN
jorge	jorge	jorge	jorge	PROPN;NOM	PROPN
befolkade	populata	befolka	populat	ADJ;NOM;PL;PST;V.PTCP	ADJ;DEF;FEM;SG
befolkade	populat	befolka	popula	ADJ;NOM;PL;PST;V.PTCP	ADJ;INDF;MASC;SG
chase	urmarire	chase	urmarire	PROPN;NOM	N;INDF;FEM;SG
chase	chase	chase	chasă	PROPN;NOM	PROPN
walk	plimbare	walk	plimbare	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;SG
inledande	introductiv	inledande	introductiv	ADJ;NOM;PRS;V.PTCP	N;INDF;MASC;SG
inledande	initiala	inledande	initial	ADJ;NOM;PRS;V.PTCP	ADJ;DEF;FEM;SG
inledande	initiala	inledande	initial	ADJ;NOM;PRS;V.PTCP	ADJ;DEF;FEM;SG
inledande	initiala	inledande	initial	ADJ;NOM;PRS;V.PTCP	ADJ;DEF;FEM;SG
inledande	initierea	inledande	initiere	ADJ;NOM;PRS;V.PTCP	N;DEF;FEM;SG
inledande	initiere	inledande	initiere	ADJ;NOM;PRS;V.PTCP	N;INDF;FEM;SG
fusca	fusca	fusca	fuscă	N;NOM;INDF;MASC+FEM;SG	
svarar	raspund	svara	raspunde	V;IND;PRS;FIN;ACT	
svarar	raspunzand	svara	raspunzand	V;IND;PRS;FIN;ACT	N;INDF;MASC;SG
svarar	raspunsuri	svara	raspuns	V;IND;PRS;FIN;ACT	N;INDF;FEM;PL
svarar	raspunsurile	svara	raspuns	V;IND;PRS;FIN;ACT	N;DEF;FEM;PL
utomhus	afara	utomhus	afara	N;NOM;INDF;MASC+FEM;SG	ADV
utomhus	afara	utomhus	afara	N;NOM;INDF;MASC+FEM;SG	ADV
förkortat	scurtatura	förkorta	scurtatură	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;DEF;FEM;SG
förkortat	scurtatura	förkorta	scurtatură	ADJ;NOM;INDF;NEUT;SG;PST;V.PTCP	N;DEF;FEM;SG
sänds	expediat	sända	expedia	V;IND;PRS;FIN;PASS	ADJ;INDF;MASC;SG
sänds	expediate	sända	expedia	V;IND;PRS;FIN;PASS	ADJ;INDF;FEM;PL
mal	molie	mal	molie	V;IMP;FIN;ACT	N;INDF;FEM;SG
mal	mal	mal	mal	V;IMP;FIN;ACT	N;INDF;MASC;SG
americana	americana	american	americană	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
secret	secreta	sec	secret	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
secret	secreta	sec	secret	N;NOM;INDF;MASC+FEM;SG	N;DEF;FEM;SG
secret	secrete	sec	secret	N;NOM;INDF;MASC+FEM;SG	N;INDF;FEM;PL
secret	secretul	sec	secret	N;NOM;INDF;MASC+FEM;SG	N;DEF;MASC;SG
kaj	kaj	kaj	kaj	PROPN;NOM	
karlskoga	karlskoga	karlskoga	karlskoga	PROPN;NOM	N;DEF;FEM;SG
svårigheter	dificultate	svårighet	dificultate	N;NOM;INDF;MASC+FEM;PL	N;INDF;FEM;SG
svårigheter	dificultati	svårighet	dificultati	N;NOM;INDF;MASC+FEM;PL	
svårigheter	dificultatea	svårighet	dificultate	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;SG
svårigheter	dificultatile	svårighet	dificultate	N;NOM;INDF;MASC+FEM;PL	N;DEF;FEM;PL
svårigheter	dificultati	svårighet	dificultati	N;NOM;INDF;MASC+FEM;PL	
mirabilis	mirabilis	mirabilis	mirabilis	N;NOM;INDF;MASC+FEM;SG	PROPN
vicente	vicente	vicente	vicent	PROPN;NOM	PROPN
