les	на	le	на	DET;DEF;PL	ADP;ACC
est	схід	être	схід	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
une	одна	un	один	DET;INDF;FEM;SG	NUM;NOM;FEM
une	one	un	one	DET;INDF;FEM;SG	
une	одне	un	один	DET;INDF;FEM;SG	DET;NOM;NEUT;SG
une	один	un	один	DET;INDF;FEM;SG	NUM;NOM;MASC
qui	хто	qui	хто	PRO	PRO;ANIM;NOM;MASC;SG
qui	who	qui	who	PRO	
que	той	que	той	CONJ	DET;NOM;MASC;SG
son	sound	son	sound	DET;MASC;SG	
son	звук	son	звук	DET;MASC;SG	N;INAN;NOM;MASC;SG
son	його	son	він	DET;MASC;SG	PRO;ACC;MASC;SG;3
son	свої	son	свій	DET;MASC;SG	DET;NOM;PL;REFL
son	його	son	він	DET;MASC;SG	PRO;ACC;MASC;SG;3
plus	плюс	plus	плюс	ADV	
plus	plus	plus	plus	ADV	
pas	не	pas	не	ADV;NEG	PART;NEG
pas	not	pas	not	ADV;NEG	
sont	надаються	être	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
elle	she	elle	she	PRO;FEM;SG;3	
elle	elle	elle	elle	PRO;FEM;SG;3	
été	літо	être	літо	V;MASC;SG;PST;V.PTCP	N;INAN;NOM;NEUT;SG
comme	подобається	comme	подобатися	ADP	V;IPFV;IND;SG;3;PRS;FIN
comme	зразок	comme	зразок	ADP	N;INAN;NOM;MASC;SG
comme	like	comme	like	ADP	
pop	відкрито	pop	відкрито	N;FEM;SG	V;PFV;IND;0;FIN
pop	поп	pop	поп	N;FEM;SG	
pop	pop	pop	pop	N;FEM;SG	
deux	двійка	deux	двійка	NUM	N;INAN;NOM;FEM;SG
ses	його	son	він	DET;MASC;PL	PRO;ACC;MASC;SG;3
ses	його	son	він	DET;MASC;PL	PRO;ACC;MASC;SG;3
naissance	naissance	naissance	naissance	N;FEM;SG	
naissance	народився	naissance	народитися	N;FEM;SG	V;PFV;MASC;IND;SG;PST;FIN
naissance	борн	naissance	борно	N;FEM;SG	PROPN;ANIM;NOM;MASC;SG
naissance	народилась	naissance	народитися	N;FEM;SG	V;PFV;FEM;IND;SG;PST;FIN
naissance	народилася	naissance	народитися	N;FEM;SG	V;PFV;FEM;IND;SG;PST;FIN
france	франції	france	франція	N;FEM;SG	PROPN;INAN;GEN;FEM;SG
france	франція	france	франція	N;FEM;SG	PROPN;INAN;NOM;FEM;SG
saint	святі	saint	святий	PROPN	ADJ;NOM;PL
saint	святе	saint	святий	PROPN	ADJ;NOM;NEUT;SG
saint	свята	saint	свято	PROPN	N;INAN;NOM;NEUT;SG
saint	священні	saint	священня	PROPN	ADJ;NOM;PL
saint	святий	saint	святий	PROPN	ADJ;NOM;MASC;SG
saint	святий	saint	святий	PROPN	ADJ;NOM;MASC;SG
saint	saint	saint	saint	PROPN	
saint	сен	saint	сен	PROPN	
fait	made	faire	made	V;MASC;SG;PST;V.PTCP	
fait	закінчили	faire	закінчити	V;MASC;SG;PST;V.PTCP	V;PFV;IND;PL;PST;FIN
fait	готово	faire	готово	V;MASC;SG;PST;V.PTCP	ADV
fait	done	faire	done	V;MASC;SG;PST;V.PTCP	
entre	поміж	entre	поміж	ADP	
sous	under	sous	under	ADP	
même	навіть	même	навіть	ADV	PART
même	даже	même	даже	ADV	
même	збігається	même	збігатися	ADV	V;IPFV;IND;SG;3;PRS;FIN
même	однаковий	même	однаковий	ADV	ADJ;NOM;MASC;SG
même	однакові	même	однаковий	ADV	ADJ;NOM;PL
même	same	même	same	ADV	
même	самий	même	самий	ADV	DET;NOM;MASC;SG;REFL
être	проводиться	être	проводитися	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
être	будучи	être	бути	V;NFIN	V;IPFV;PRS;V.CVB
être	буття	être	буття	V;NFIN	N;INAN;NOM;NEUT;SG
français	français	français	français	ADJ;MASC;SG	
français	френч	français	френч	ADJ;MASC;SG	
ont	маю	avoir	мати	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;1;PRS;FIN
ont	маєш	avoir	мати	V;IND;PL;3;PRS;FIN	V;IPFV;IND;SG;2;PRS;FIN
ont	have	avoir	have	V;IND;PL;3;PRS;FIN	
paris	paris	pari	paris	N;MASC;PL	
paris	париж	pari	париж	N;MASC;PL	PROPN;INAN;NOM;MASC;SG
lui	постане	lui	постане	PRO;SG;3	V;PFV;IND;SG;3;FUT;FIN
cet	цей	ce	цей	PRO;SG;3	DET;NOM;MASC;SG
cet	ця	ce	цей	PRO;SG;3	DET;NOM;FEM;SG
autres	інший	autre	інший	PRO;PL	DET;NOM;MASC;SG
autres	інша	autre	інший	PRO;PL	DET;NOM;FEM;SG
autres	інші	autre	інший	PRO;PL	DET;NOM;PL
autres	інше	autre	інший	PRO;PL	DET;NOM;NEUT;SG
autres	інших	autre	інший	PRO;PL	DET;GEN;PL
autres	інших	autre	інший	PRO;PL	DET;GEN;PL
autres	інші	autre	інший	PRO;PL	DET;NOM;PL
autres	іншими	autre	інший	PRO;PL	DET;INS;PL
décès	death	décès	death	N;MASC;SG	
décès	смерті	décès	смерть	N;MASC;SG	N;INAN;NOM;FEM;PL
décès	померли	décès	померти	N;MASC;SG	V;PFV;IND;PL;PST;FIN
décès	смертей	décès	смерть	N;MASC;SG	N;INAN;GEN;FEM;PL
était	був	être	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;MASC;IND;SG;PST;FIN
était	була	être	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;FEM;IND;SG;PST;FIN
était	було	être	бути	V;IND;SG;3;IPFV;FIN	V;IPFV;NEUT;IND;SG;PST;FIN
commune	комуни	commune	комуна	N;FEM;SG	N;INAN;NOM;FEM;PL
commune	спільними	commune	спільний	N;FEM;SG	ADJ;INS;PL
commune	поширені	commune	поширений	N;FEM;SG	ADJ;PFV;NOM;PL;V.PTCP;PASS
commune	спільне	commune	спільний	N;FEM;SG	ADJ;NOM;NEUT;SG
commune	загальні	commune	загальний	N;FEM;SG	ADJ;NOM;PL
commune	common	commune	common	N;FEM;SG	
jean	жан	jean	жан	PROPN	PROPN;ANIM;NOM;MASC;SG
jean	джин	jean	джин	PROPN	PROPN;ANIM;NOM;MASC;SG
jean	джон	jean	джон	PROPN	PROPN;ANIM;NOM;MASC;SG
jean	іоанн	jean	іоанно	PROPN	PROPN;ANIM;NOM;MASC;SG
jean	іван	jean	іван	PROPN	PROPN;ANIM;NOM;MASC;SG
leur	своїх	lui	свій	PRO;PL;3	DET;ANIM;ACC;PL;REFL
leur	їхньому	lui	їхній	PRO;PL;3	PRO;DAT;SG;3
leur	свої	lui	свій	PRO;PL;3	DET;NOM;PL;REFL
leur	їхнє	lui	їхній	PRO;PL;3	DET;NOM;NEUT;SG;3
peut	травнева	pouvoir	травневий	V;IND;SG;3;PRS;FIN	ADJ;NOM;FEM;SG
peut	травня	pouvoir	травень	V;IND;SG;3;PRS;FIN	N;INAN;GEN;MASC;SG
peut	травневі	pouvoir	травневий	V;IND;SG;3;PRS;FIN	ADJ;NOM;PL
peut	травні	pouvoir	травень	V;IND;SG;3;PRS;FIN	ADV
peut	травень	pouvoir	травень	V;IND;SG;3;PRS;FIN	N;INAN;NOM;MASC;SG
peut	можна	pouvoir	можна	V;IND;SG;3;PRS;FIN	ADV
