van	vom	van	vom	ADP	
het	die	het	der	PRO;3	DET;NOM;DEF;FEM;SG
het	der	het	der	PRO;3	DET;NOM;DEF;MASC;SG
het	dem	het	der	PRO;3	PRO;DAT;NEUT;SG
het	den	het	der	PRO;3	DET;ACC;DEF;MASC;SG
het	das	het	der	PRO;3	PRO;NOM;NEUT;SG
een	einen	een	ein	DET;INDF	PRO;ACC;INDF;MASC;SG
een	eins	een	ein	DET;INDF	
een	einer	een	ein	DET;INDF	PRO;NOM;INDF;MASC;SG
een	ein	een	ein	DET;INDF	ADV
zijn	seinem	zijn	sein	V;PL;PRS;FIN	DET;DAT;MASC;SG
zijn	seinen	zijn	sein	V;PL;PRS;FIN	DET;ACC;MASC;SG
zijn	seine	zijn	sein	V;PL;PRS;FIN	DET;NOM;FEM;SG
zijn	sein	zijn	sein	V;PL;PRS;FIN	DET;NOM;MASC;SG
zijn	seiner	zijn	sein	V;PL;PRS;FIN	DET;NOM;MASC;SG
uit	vom	uit	vom	ADP	
uit	ausgehen	uit	ausgehen	ADP	V;NFIN
uit	draußen	uit	draußen	ADP	ADV
uit	raus	uit	raus	ADP	ADV
uit	out	uit	out	ADP	PROPN
dat	dass	dat	dass	PRO;3	CONJ
werd	wurden	worden	werden	V;SG;PST;FIN	V;IND;PL;3;PST;FIN;PASS
aan	aan	aan	aan	ADP	
was	wachs	zijn	wachsen	V;SG;PST;FIN	
was	wachse	zijn	wachsen	V;SG;PST;FIN	ADV
ook	zu	ook	zu	ADV	PART
ook	too	ook	too	ADV	ADJ
score	score	score	scoren	N;MASC+FEM;SG	PROPN
niet	not	niet	not	ADV	PROPN;SG
niet	nicht	niet	nicht	ADV	PART;NEG
niet	kein	niet	kein	ADV	PRO;NOM;INDF;MASC;SG;NEG
naam	namen	naam	name	N;MASC+FEM;SG	
naam	bezeichnung	naam	Bezeichnung	N;MASC+FEM;SG	ADJ
naam	vorname	naam	vornam	N;MASC+FEM;SG	
soort	freundlich	soort	freundlich	N;SG	ADJ
soort	type	soort	type	N;SG	
soort	typ	soort	typ	N;SG	
soort	tippen	soort	tippen	N;SG	V;NFIN
soort	tierarten	soort	tierarten	N;SG	V;NFIN
soort	arten	soort	arten	N;SG	N;PL
soort	tierart	soort	tierart	N;SG	ADJ
soort	spezies	soort	spezies	N;SG	
soort	gattung	soort	gattung	N;SG	ADJ
familie	familien	familie	familien	N;MASC+FEM;SG	V;IND;PL;3;FIN
eerst	erste	eerst	erst	ADV	ADJ;NOM;FEM;PL
eerst	erster	eerst	erst	ADV	ADJ;NOM;MASC;SG
eerst	first	eerst	fersen	ADV	PROPN
eerst	ersten	eerst	erst	ADV	ADJ;NOM;PL
maar	doch	maar	doch	CONJ	ADV
maar	allerdings	maar	allerdings	CONJ	ADV
maar	but	maar	bun	CONJ	
maar	jedoch	maar	jedoch	CONJ	ADV
worden	werde	worden	werden	V;PL;PRS;FIN	V;SBJV;SG;3;PRS;FIN
over	etwa	over	etwa	ADP	ADV
over	vorbei	over	vorbei	ADP	ADV
dan	anschließend	dan	anschließend	ADV	ADJ
dan	dan	dan	dan	ADV	PROPN;NOM;SG
plaats	stelle	plaats	stellen	N;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
plaats	platz	plaats	platz	N;MASC+FEM;SG	ADV
cest	cest	cest	cest		
onder	darunter	onder	darunter	ADP	ADV
onder	unten	onder	unten	ADP	ADV
onder	under	onder	under	ADP	
team	squad	team	squad	N;NEUT;SG	PROPN
team	mannschaft	team	mannschaft	N;NEUT;SG	ADJ
nog	still	nog	still	ADV	ADJ
eerste	zuerst	één	zuerst	ADJ	ADV
eerste	first	één	fersen	ADJ	PROPN
meer	see	veel	see	PRO	
meer	lake	veel	laken	PRO	PROPN;SG
meer	stausee	veel	stausen	PRO	N;SG
meer	weiteres	veel	weit	PRO	ADJ;NOM;NEUT;SG
meer	mehr	veel	mehr	PRO	ADV
meer	weitere	veel	weit	PRO	ADJ;NOM;FEM;PL
kan	könnte	kunnen	können	V;SG;PRS;FIN	V;SBJV;SG;3;PST;FIN
kan	könnten	kunnen	können	V;SG;PRS;FIN	V;SBJV;PL;3;PST;FIN
kan	konnte	kunnen	können	V;SG;PRS;FIN	V;IND;SG;3;PST;FIN
kan	kann	kunnen	können	V;SG;PRS;FIN	V;IND;SG;3;PRS;FIN
kan	können	kunnen	können	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
kan	can	kunnen	can	V;SG;PRS;FIN	
kan	kannst	kunnen	können	V;SG;PRS;FIN	V;IND;SG;2;PRS;FIN
kan	kan	kunnen	kan	V;SG;PRS;FIN	
cet	mez	cet	mez		
geen	keine	geen	kein	DET	PRO;NOM;INDF;FEM;SG;NEG
geen	keiner	geen	kein	DET	PRO;NOM;INDF;MASC;SG;NEG
geen	keines	geen	kein	DET	ADV
haar	haar	haar	haar	PRO;ACC;3	
haar	haarfarbe	haar	haarfarbe	PRO;ACC;3	PROPN;NOM;SG
haar	haare	haar	haaren	PRO;ACC;3	
haar	frisur	haar	frisur	PRO;ACC;3	
haar	ihr	haar	ihr	PRO;ACC;3	PRO;NOM;MASC;SG
haar	ihre	haar	ihr	PRO;ACC;3	DET;NOM;FEM;SG
wel	na	wel	na	ADV	
wel	brunnen	wel	brunnen	ADV	ADJ
wel	gut	wel	gut	ADV	ADJ
jaar	jahren	jaar	jahren	N;NEUT;SG	ADJ
jaar	jahre	jaar	jahren	N;NEUT;SG	ADV
jaar	baujahr	jaar	baujahr	N;NEUT;SG	
jaar	jahre	jaar	jahren	N;NEUT;SG	ADV
twee	zweit	twee	zweit	NUM	
twee	beiden	twee	beide	NUM	PRO;NOM;INDF;PL
twee	two	twee	two	NUM	PROPN;SG
inwoners	bewohner	inwoner	bewohner	N;PL	ADJ
inwoners	anwohner	inwoner	anwohner	N;PL	
inwoners	bewohner	inwoner	bewohner	N;PL	ADJ
wat	wat	wat	wat	PRO;3	
deel	teilweise	deel	teilweise	N;NEUT;SG	ADV
deel	teil	deel	teil	N;NEUT;SG	ADV
deel	teile	deel	teilen	N;NEUT;SG	ADV
deel	teilen	deel	teilen	N;NEUT;SG	V;NFIN
deel	share	deel	shar	N;NEUT;SG	
deel	anteil	deel	anteil	N;NEUT;SG	ADV
werden	wurde	worden	werden	V;PL;PST;FIN	V;IND;SG;3;PST;FIN;PASS
externe	externe	extern	extern	ADJ	
externe	außenhandel	extern	außenhandel	ADJ	
externe	außen	extern	außen	ADJ	ADV
overleg	konsultationen	overleg	konsultation	N;NEUT;SG	V;NFIN
overleg	beratungen	overleg	beratungen	N;NEUT;SG	V;NFIN
overleg	anhörungen	overleg	anhörung	N;NEUT;SG	V;NFIN
overleg	konsultationen	overleg	konsultation	N;NEUT;SG	V;NFIN
tussen	dazwischen	tussen	dazwischen	ADP	ADV
had	hatten	hebben	haben	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
zou	würden	zullen	werden	V;SG;PST;FIN	V;SBJV;PL;3;PST;FIN
zou	gäbe	zullen	geben	V;SG;PST;FIN	V;IND;SG;3;PRS;FIN
waar	stimmt	waar	stimmen	ADV	V;IND;SG;3;PRS;FIN
waar	true	waar	treen	ADV	
waar	wahr	waar	wahr	ADV	ADJ
hebben	habe	hebben	haben	V;PL;PRS;FIN	V;SBJV;SG;3;PRS;FIN
veel	viele	veel	viel	PRO	ADJ;NOM;INDF;PL
veel	zahlreiche	veel	zahlreich	PRO	ADJ;NOM;FEM;PL
veel	vielen	veel	viel	PRO	ADJ;ACC;INDF;MASC;PL
veel	much	veel	machen	PRO	
veel	viel	veel	viel	PRO	ADV
hun	ihre	hun	ihr	PRO;ACC;3	DET;NOM;FEM;SG
hun	ihrer	hun	ihr	PRO;ACC;3	DET;NOM;MASC;SG
hun	ihren	hun	ihr	PRO;ACC;3	DET;ACC;MASC;SG
hun	hun	hun	hun	PRO;ACC;3	
staat	staat	staan	staaen	V;SG;PRS;FIN	N
staat	bundesland	staan	bundesland	V;SG;PRS;FIN	
staat	zustand	staan	zustand	V;SG;PRS;FIN	
staat	mitgliedstaat	staan	mitgliedstaat	V;SG;PRS;FIN	ADJ
staat	bundesstaat	staan	bundesstaat	V;SG;PRS;FIN	ADJ
tegen	dagegen	tegen	dagegen	ADP	ADV
tweede	sekunde	twee	sekunde	ADJ	
kunnen	kann	kunnen	können	V;PL;PRS;FIN	V;IND;SG;3;PRS;FIN
kunnen	können	kunnen	können	V;PL;PRS;FIN	V;IND;PL;3;PRS;FIN
kunnen	can	kunnen	can	V;PL;PRS;FIN	
kunnen	kannst	kunnen	können	V;PL;PRS;FIN	V;IND;SG;2;PRS;FIN
zie	schau	zien	schau	V;SG;PRS;FIN	;SG
zie	see	zien	see	V;SG;PRS;FIN	
tijdens	während	tijdens	während	ADP	CONJ
geslacht	geschlecht	geslacht	schlechen	N;NEUT;SG	ADJ
geslacht	gender	geslacht	gend	N;NEUT;SG	ADJ
geslacht	geschlecht	geslacht	schlechen	N;NEUT;SG	ADJ
geslacht	geschlechtsverkehr	geslacht	geschlechtsverkehr	N;NEUT;SG	ADJ
geslacht	sex	geslacht	sex	N;NEUT;SG	
zoals	mögen	zoals	mögen	CONJ	V;FIN
zoals	gefällt	zoals	gefallen	CONJ	V;IND;SG;3;PRS;FIN
zoals	wie	zoals	wie	CONJ	ADP
zoals	like	zoals	like	CONJ	PROPN;NOM;SG
grote	grosse	groot	groß	ADJ	N;NOM;FEM;PL
grote	big	groot	bigen	ADJ	
bar	bar	bar	bar	N;MASC+FEM;SG	PROPN
bar	balken	bar	balken	N;MASC+FEM;SG	V;NFIN
aantal	nummer	aantal	nummer	N;NEUT;SG	ADV
telt	grafen	tellen	graf	V;SG;PRS;FIN	
zij	she	zij	she	PRO;NOM;3	PROPN
jaren	jahren	jaar	jahren	N;PL	ADJ
jaren	jahre	jaar	jahren	N;PL	ADV
later	nachher	laat	nachher	ADJ;CMPR	ADV
artikel	artikel	artikel	artikel	N;NEUT;SG	ADJ
via	via	via	via	ADP	
gebied	gebiet	gebied	gebieten	N;NEUT;SG	ADJ
gebied	zonen	gebied	zon	N;NEUT;SG	N;NOM;PL
gebied	zone	gebied	zon	N;NEUT;SG	
gebied	gebiet	gebied	gebieten	N;NEUT;SG	ADJ
gebied	bereich	gebied	bereich	N;NEUT;SG	ADV
hem	er	hem	er	PRO;ACC;3	PRO;NOM;MASC;SG;3
hem	ihm	hem	er	PRO;ACC;3	PRO;DAT;MASC;SG;3
nederlandse	niederländer	nederlands	niederland	ADJ	
nederlandse	holländer	nederlands	holländer	ADJ	
mei	mai	mei	mai	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
mei	kann	mei	können	PROPN;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
mei	may	mei	maylen	PROPN;MASC+FEM;SG	PROPN
mei	möge	mei	mögen	PROPN;MASC+FEM;SG	V;SBJV;SG;3;PRS;FIN
mei	darf	mei	dürfen	PROPN;MASC+FEM;SG	V;IND;SG;3;PRS;FIN
mei	mei	mei	mei	PROPN;MASC+FEM;SG	
alle	alle	al	alle	DET	PRO;NOM;INDF;PL
alle	alles	al	alle	DET	PRO;NOM;INDF;NEUT;SG
alle	all	al	all	DET	ADV
stad	stadt	stad	staden	N;MASC+FEM;SG	
stad	ortschaft	stad	ortschaft	N;MASC+FEM;SG	ADJ
stad	stadt	stad	staden	N;MASC+FEM;SG	
lijst	verzeichnis	lijst	verzeichnis	N;MASC+FEM;SG	
omdat	wegen	omdat	wegen	CONJ	ADP
omdat	denn	omdat	denn	CONJ	CONJ
links	verbindungen	links	verbindung	ADJ	V;NFIN
links	verweise	links	verweisen	ADJ	
links	verknüpfungen	links	verknüpfung	ADJ	V;NFIN
links	links	links	links	ADJ	ADV
links	links	links	links	ADJ	ADV
nederland	niederlande	nederland	niederlinde	N;NEUT;SG	PROPN;NOM;FEM;SG
nederland	niederlanden	nederland	niederlinden	N;NEUT;SG	ADJ
jan	jan	jan	jan	N;MASC+FEM;SG	PROPN;NOM;MASC;SG
tijd	zeit	tijd	zeit	N;MASC+FEM;SG	ADJ
tijd	uhrzeit	tijd	uhrzeit	N;MASC+FEM;SG	ADJ
tijd	zeiten	tijd	zeiten	N;MASC+FEM;SG	V;NFIN
tijd	zeitraum	tijd	zeitraum	N;MASC+FEM;SG	ADV
tijd	zeitpunkt	tijd	zeitpunkt	N;MASC+FEM;SG	ADJ
weer	temperaturen	weer	temperatur	ADV	V;NFIN
weer	wetter	weer	wetter	ADV	
weer	wetterbericht	weer	wetterbericht	ADV	ADJ
drie	drie	drie	drie	NUM	
drie	dreien	drie	dreien	NUM	
drie	three	drie	threen	NUM	PROPN
drie	dreier	drie	dreier	NUM	
vanaf	vom	vanaf	vom	ADP	
jpg	jpg	jpg	jpg	N;MASC+FEM;SG	
kwam	kamen	komen	kommen	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
provincie	bundesland	provincie	bundesland	N;MASC+FEM;SG	
provincie	provinz	provincie	provinz	N;MASC+FEM;SG	
link	verbindung	link	verbindung	N;MASC+FEM;SG	ADJ
link	verlinken	link	verlinken	N;MASC+FEM;SG	V;NFIN
link	verlinkung	link	verlinkung	N;MASC+FEM;SG	ADJ
http	http	ht	http	N;MASC+FEM;SG	
gebruikt	gebrauchte	gebruiken	gebraucht	V;V.PTCP	ADJ;NOM;FEM;PL
km²	km	km²	km	N;MASC+FEM;SG	N;NOM;MASC;PL
alleen	einzige	alleen	einzig	ADV	ADJ;NOM;FEM;PL
alleen	einzig	alleen	einzig	ADV	ADJ
alleen	einzigen	alleen	einzig	ADV	ADJ;NOM;PL
nederlands	niederländer	nederland	niederland	ADJ	
nederlands	holländer	nederland	holländer	ADJ	
eeuw	jahrhundert	eeuw	jahrhundert	N;MASC+FEM;SG	ADJ
eeuw	century	eeuw	century	N;MASC+FEM;SG	PROPN
eeuw	jahrhunderts	eeuw	jahrhundert	N;MASC+FEM;SG	ADV
vlinder	schmetterling	vlinder	schmetterlingen	N;MASC+FEM;SG	ADJ
vlinder	butterfly	vlinder	butterfly	N;MASC+FEM;SG	
vlinder	schmetterlinge	vlinder	schmetterlinge	N;MASC+FEM;SG	ADJ;NOM
per	je	per	je	ADP	ADV
keversoort	käfer	keversoort	käfer	N;MASC+FEM;SG	
bekend	vertrauten	bekend	vertrauen	ADJ	V;IND;PL;3;PST;FIN
bekend	vertraute	bekend	vertrauen	ADJ	V;IND;SG;3;PST;FIN
club	verein	club	verein	N;MASC+FEM;SG	
sinds	seitdem	sinds	seitdem	ADP	ADV
laatste	zuletzt	laat	zuletzt	ADJ;RL	ADV
laatste	neuste	laat	neu	ADJ;RL	
samen	gemeinsam	samen	gemeinsam	ADV	ADJ
één	einen	één	ein	NUM	PRO;ACC;INDF;MASC;SG
één	eins	één	ein	NUM	
één	einer	één	ein	NUM	PRO;NOM;INDF;MASC;SG
één	eine	één	ein	NUM	DET;NOM;INDF;FEM;SG
één	ein	één	ein	NUM	ADV
moet	sollte	moeten	sollen	V;SG;PRS;FIN	V;IND;SG;3;PST;FIN
moet	sollten	moeten	sollen	V;SG;PRS;FIN	V;IND;PL;3;PST;FIN
moet	sollen	moeten	sollen	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
moet	mussen	moeten	mussen	V;SG;PRS;FIN	
moet	müssen	moeten	müssen	V;SG;PRS;FIN	V;IND;PL;3;PRS;FIN
moet	must	moeten	müssen	V;SG;PRS;FIN	PROPN
maken	making	maken	making	V;NFIN	PROPN;NOM;SG
maken	make	maken	maken	V;NFIN	PROPN
verder	weiter	verder	weiter	ADJ;CMPR	ADV
april	april	april	april	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
verschillende	mehrere	verschillend	mehrere	ADJ	PRO;NOM;INDF;PL
verschillende	diverse	verschillend	divers	ADJ	N;NOM;FEM;PL
seizoen	staffel	seizoen	staffel	N;NEUT;SG	
seizoen	jahreszeit	seizoen	jahreszeit	N;NEUT;SG	ADJ
gaat	goes	gaan	goes	V;SG;PRS;FIN	PROPN;NOM;SG
volgende	nächstes	volgen	nah	V;V.PTCP	ADJ;NOM;NEUT;SG
volgende	nächster	volgen	nah	V;V.PTCP	ADJ
volgende	next	volgen	next	V;V.PTCP	
volgende	nächsten	volgen	nah	V;V.PTCP	ADJ;PL
volgende	nächste	volgen	nah	V;V.PTCP	ADJ;NOM;FEM;PL
weg	away	weg	away	ADV	PROPN
weg	strasse	weg	straß	ADV	
weg	straßenverkehr	weg	straßenverkehr	ADV	ADJ
weg	straße	weg	straß	ADV	ADJ
insect	insekt	insect	insekt	N;NEUT;SG	ADJ
insect	insekten	insect	insekt	N;NEUT;SG	V;NFIN
insect	fehler	insect	fehler	N;NEUT;SG	ADJ
insect	bug	insect	bugen	N;NEUT;SG	
insect	käfer	insect	käfer	N;NEUT;SG	
film	spielfilm	film	spielfilm	N;MASC+FEM;SG	PROPN
film	kinofilm	film	kinofilm	N;MASC+FEM;SG	PROPN
film	film	film	falmen	N;MASC+FEM;SG	
film	spielfilm	film	spielfilm	N;MASC+FEM;SG	PROPN
film	kinofilm	film	kinofilm	N;MASC+FEM;SG	PROPN
film	film	film	falmen	N;MASC+FEM;SG	
zelf	selbständig	zelf	selbständig	ADV	ADJ
zelf	self	zelf	self	ADV	
zelf	mich	zelf	ich	ADV	PRO;ACC;SG;1
terug	rücken	terug	rücken	ADV	V;NFIN
terug	rückseite	terug	rückseite	ADV	ADJ
rond	rund	rond	rund	ADP	ADV
rond	herum	rond	herum	ADP	ADV
rond	runden	rond	rund	ADP	ADJ
rond	runde	rond	runde	ADP	ADV
rond	rund	rond	rund	ADP	ADV
rond	round	rond	round	ADP	
heb	got	hebben	got	V;SG;PRS;FIN	PROPN
heb	haben	hebben	haben	V;SG;PRS;FIN	V;IND;PL;3;FIN
wikipedia	wikipedia	wikipedia	wikipedia	N;MASC+FEM;SG	
land	land	land	land	N;NEUT;SG	
land	grundstück	land	grundstücken	N;NEUT;SG	
land	land	land	land	N;NEUT;SG	
land	grundstücke	land	grundstück	N;NEUT;SG	ADJ;NOM;PL
ging	gingen	gaan	gehen	V;SG;PST;FIN	V;IND;PL;3;PST;FIN
kreeg	got	krijgen	got	V;SG;PST;FIN	PROPN
kreeg	habe	krijgen	haben	V;SG;PST;FIN	V;SBJV;SG;3;PRS;FIN
kreeg	hab	krijgen	haben	V;SG;PST;FIN	V;IND;SG;3;PRS;FIN
werk	arbeiten	werk	arbeiten	N;NEUT;SG	V;NFIN
werk	arbeitsplatz	werk	arbeitsplatz	N;NEUT;SG	
website	internetseite	website	internetseite	N;MASC+FEM;SG	ADJ
website	webseiten	website	webseiten	N;MASC+FEM;SG	V;NFIN
website	webseite	website	webseite	N;MASC+FEM;SG	
juni	juni	juni	juni	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
juni	june	juni	jun	PROPN;MASC+FEM;SG	PROPN
bestand	datei	bestand	datei	N;NEUT;SG	
bestand	dateien	bestand	datei	N;NEUT;SG	V;NFIN
mensen	mensch	mens	mensch	N;PL	N;SG
vaak	oft	vaak	oft	ADJ	ADV
vaak	oft	vaak	oft	ADJ	ADV
vaak	oftmals	vaak	oftmals	ADJ	ADV
januari	jänner	januari	jann	PROPN;MASC+FEM;SG	
januari	januar	januari	januar	PROPN;MASC+FEM;SG	PROPN;NOM;MASC;SG
januari	january	januari	january	PROPN;MASC+FEM;SG	
orde	bestellungen	orde	bestellingen	N;MASC+FEM;SG	N;NOM;FEM;PL
orde	reihenfolge	orde	reihenfolge	N;MASC+FEM;SG	ADJ;NOM;FEM;PL
groot	grosse	groot	groß	ADJ	N;NOM;FEM;PL
groot	big	groot	bigen	ADJ	
groot	great	groot	greaen	ADJ	PROPN
groot	groot	groot	grooen	ADJ	PROPN;NOM;SG
vooral	speziell	vooral	speziell	ADV	ADJ
vooral	überwiegend	vooral	überwiegend	ADV	ADJ
vooral	hauptsächlich	vooral	hauptsächlich	ADV	ADJ
