culturas	κουλτούρες	cultura	κουλτούρα	N	ADJ;NOM;FEM;PL
dinámica	δυναμικά	dinámica	δυναμικά	N	ADV
dinámica	δυναμική	dinámica	δυναμικός	N	ADJ;NOM;FEM;SG
dinámica	δυναμικός	dinámica	δυναμικός	N	ADJ;NOM;MASC;SG
dinámica	δυναμική	dinámica	δυναμικός	N	ADJ;NOM;FEM;SG
populares	δημοφιλή	popular	δημοφιλός	ADJ	ADV
populares	δημοφιλές	popular	δημοφιλής	ADJ	ADV
aumenta	γουίλ	aumentar	γουίλ	V	
aumenta	will	aumentar	will	V	
aumenta	θα	aumentar	θα	V	PART
aumenta	αύξηση	aumentar	αύξηση	V	N;NOM;FEM;SG
sida	aids	sida	aids	N	
similar	παρόμοιο	similar	παρόμοιος	ADJ	N;NOM;NEUT;SG
similar	παρόμοια	similar	παρόμοιος	ADJ	ADV
saibas	εσείς	saber	εγώ	V	PRO;NOM;MASC;PL;2
ken	ken	ker	ken	PROPN	
ken	κεν	ker	κεν	PROPN	
falsos	ψευδή	falso	ψευδή	ADJ	PRO;NOM;FEM;SG;3
sexades	εσείς	sexade	εγώ	V	PRO;NOM;MASC;PL;2
pensaban	σκέψη	pensabar	σκέψη	V	N;NOM;FEM;SG
pensaban	αυτοί	pensabar	αυτός	V	PRO;NOM;MASC;PL;3
pódense	can	pódense	can	N	
pódense	μπορεί	pódense	μπορώ	N	V;IPFV;IND;SG;3;PRS;FIN;ACT
coñecida	γνωστή	coñecer	γνωστός	V	ADJ;NOM;FEM;SG
coñecida	γνωστός	coñecer	γνωστός	V	ADJ;NOM;MASC;SG
coñecida	γνωστό	coñecer	γνωστός	V	ADJ;NOM;NEUT;SG
coñecida	γνωστοί	coñecer	γνωστός	V	ADJ;NOM;MASC;PL
coñecida	γνωστές	coñecer	γνωστός	V	ADJ;NOM;FEM;PL
emocionante	συναρπαστική	emocionante	συναρπαστικός	N	ADJ;NOM;FEM;SG
emocionante	συναρπαστικό	emocionante	συναρπαστικός	N	ADJ;NOM;NEUT;SG
emocionante	συναρπαστικός	emocionante	συναρπαστικός	N	ADJ;NOM;MASC;SG
emocionante	συναρπαστικά	emocionante	συναρπαστικά	N	ADV
emocionante	συναρπαστικό	emocionante	συναρπαστικός	N	ADJ;NOM;NEUT;SG
xulgado	κορτ	xulgado	κορτ	N	
necesitan	αναγκη	necesitar	αναγκη	V	N;ACC;FEM;SG
necesitan	ανάγκη	necesitar	ανάγκη	V	N;ACC;FEM;SG
