com	com	com	com	ADP	
foi	היה	foi	היה	ADV	V;MASC;SG;3;POS;PST
foi	הייתה	foi	היה	ADV	V;FEM;SG;3;POS;PST
foi	היתה	foi	היה	ADV	V;FEM;SG;3;POS;PST
como	כמו	como	כמו	ADV	ADP
como	אוהב	como	אהב	ADV	V;MASC;SG;V.PTCP;ACT
como	כאילו	como	כאילו	ADV	CONJ
dos	דוס	dos	דוס	N;MASC;SG	PROPN
sua	שלו	seu	של	DET;FEM;SG	
sua	שלך	seu	שלך	DET;FEM;SG	
sua	שלך	seu	שלך	DET;FEM;SG	
sua	שלו	seu	של	DET;FEM;SG	
seu	שלו	seu	של	DET;MASC;SG	
seu	שלו	seu	של	DET;MASC;SG	
seu	שלך	seu	שלך	DET;MASC;SG	
seu	שלך	seu	שלך	DET;MASC;SG	
min	מין	min	מין	N;MASC;PL	
das	דאס	das	דאס	N;MASC;SG	PROPN
também	וגם	também	וגם	ADV	
ser	היותך	ser	היותך	V;NFIN	
ser	להיות	ser	היה	V;NFIN	V;POS;NFIN
ser	סר	ser	סר	V;NFIN	PROPN
ele	בו	ele	ב	PRO;NOM;MASC;SG;3	ADP
ele	אותו	ele	None	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
anos	שנה	ano	שנה	N;MASC;PL	N;FEM;SG
era	היה	ser	היה	V;IND;SG;3;IPFV;FIN	V;MASC;SG;3;POS;PST
era	הייתה	ser	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
era	היתה	ser	היה	V;IND;SG;3;IPFV;FIN	V;FEM;SG;3;POS;PST
sobre	אודות	sobre	אודות	ADP	
até	עד	até	עד	ADV	ADP
cidade	טאון	cidade	טאון	N;FEM;SG	PROPN
cidade	העיר	cidade	העיר	N;FEM;SG	V;MASC;SG;3;PST;ACT
cidade	העיר	cidade	העיר	N;FEM;SG	V;MASC;SG;3;PST;ACT
quando	כאשר	quando	כאשר	ADV	CONJ
foram	היו	ser	היה	V;IND;PL;3;PST;FIN	V;PL;3;POS;PST
janeiro	ינואר	janeiro	ינואר	N;MASC;SG	PROPN
janeiro	בינואר	janeiro	בינואר	N;MASC;SG	
grande	גדולים	grande	גדול	ADJ;MASC;SG	ADJ;MASC;PL
grande	ביג	grande	ביג	ADJ;MASC;SG	
grande	גדולים	grande	גדול	ADJ;MASC;SG	ADJ;MASC;PL
grande	מעולה	grande	מעולה	ADJ;MASC;SG	
grande	אחלה	grande	אחלה	ADJ;MASC;SG	
grande	גרנדה	grande	גרנדה	ADJ;MASC;SG	PROPN
brasil	ברזיל	brasil	ברזיל	N;MASC;SG	PROPN
rio	בריו	rio	בריו	N;MASC;SG	PROPN
rio	ריו	rio	ריו	N;MASC;SG	PROPN
rio	ריבר	rio	ריבר	N;MASC;SG	PROPN
rio	הנהר	rio	הנהר	N;MASC;SG	
rio	נהר	rio	נהר	N;MASC;SG	PROPN
depois	ואז	depois	ואז	ADV	
depois	אחרי	depois	אחרי	ADV	ADP
depois	לאחר	depois	לאחר	ADV	ADP
estado	הסטטוס	estado	הסטטוס	N;MASC;SG	PROPN
estado	סטטוס	estado	סטטוס	N;MASC;SG	
estado	המדינה	estado	המדין	N;MASC;SG	V;FEM;SG;3;PST;ACT
estado	תנאי	estado	תנאי	N;MASC;SG	
primeiro	ראשון	primeiro	ראשון	ADV	PROPN
pode	במאי	poder	במאי	V;IND;SG;3;PRS;FIN	N;MASC;SG
pode	מיי	poder	מיי	V;IND;SG;3;PRS;FIN	
pode	מאי	poder	מאי	V;IND;SG;3;PRS;FIN	PROPN
pode	יכולה	poder	יכול	V;IND;SG;3;PRS;FIN	V;FEM;SG;V.PTCP
pode	יכול	poder	None	V;IND;SG;3;PRS;FIN	V;MASC;SG;V.PTCP
durante	במהלך	durante	במהלך	ADP	ADV
este	זה	este	זה	DET;MASC;SG	PRO;MASC;SG;3
primeira	ראשון	primeiro	ראשון	ADJ;FEM;SG	PROPN
primeira	קודם	primeiro	קודם	ADJ;FEM;SG	ADV
primeira	ראשית	primeiro	ראשית	ADJ;FEM;SG	ADV
primeira	תחילה	primeiro	תחילה	ADJ;FEM;SG	ADV
nome	השם	nome	השם	N;MASC;SG	
nome	שם	nome	שם	N;MASC;SG	ADV
externas	חיצוניים	externo	חיצוני	N;FEM;PL	ADJ;MASC;PL
externas	חיצוניות	externo	חיצוני	N;FEM;PL	ADJ;FEM;PL
externas	חיצונית	externo	חיצוני	N;FEM;PL	ADV
externas	חיצוני	externo	חיצוני	N;FEM;PL	ADJ;MASC;SG
sendo	היותך	ser	היותך	V;V.MSDR	
sendo	להיות	ser	היה	V;V.MSDR	V;POS;NFIN
outros	אחרים	outro	אחר	PRO;MASC;PL	ADJ;MASC;PL
outros	אחר	outro	אחר	PRO;MASC;PL	ADP
outros	אחרות	outro	אחר	PRO;MASC;PL	ADJ;FEM;PL
outros	אחרים	outro	אחר	PRO;MASC;PL	ADJ;MASC;PL
outros	ואחרים	outro	ואחר	PRO;MASC;PL	PROPN
ela	שלה	ela	של	PRO;NOM;FEM;SG;3	
ela	בה	ela	ב	PRO;NOM;FEM;SG;3	
ela	לה	ela	ל	PRO;NOM;FEM;SG;3	
ela	עליה	ela	על	PRO;NOM;FEM;SG;3	
ela	אותה	ela	None	PRO;NOM;FEM;SG;3	PRO;ACC;FEM;SG;3
dia	day	dia	day	N;MASC;SG	
dia	דיה	dia	די	N;MASC;SG	
suas	שלהם	seu	של	DET;FEM;PL	
segundo	שניה	segundo	שניה	ADV	NUM;FEM;SG
segundo	שנייה	segundo	שנייה	ADV	NUM;FEM;SG
segundo	שני	segundo	שני	ADV	NUM;MASC;PL
segundo	שנית	segundo	שנית	ADV	
artigo	המאמר	artigo	המאמר	N;MASC;SG	PROPN
apenas	פשוט	apenas	פשוט	ADV	
ter	טר	ter	טר	V;NFIN	PROPN
ter	קיום	ter	קיום	V;NFIN	N;MASC;SG
msg	msg	msg	msg	N;FEM;SG	
julho	ביולי	julho	ביולי	N;MASC;SG	PROPN
julho	יולי	julho	יולי	N;MASC;SG	PROPN
área	האזור	área	האזור	N;FEM;SG	PROPN
agosto	אוגוסט	agosto	אוגוסט	N;MASC;SG	PROPN
agosto	אוג	agosto	אוג	N;MASC;SG	
lista	הרשימה	lista	הרשים	N;FEM;SG	V;FEM;SG;3;PST;ACT
lista	רשימות	lista	רשימה	N;FEM;SG	N;FEM;PL
maio	מיי	maio	מיי	N;MASC;SG	
maio	מאי	maio	מאי	N;MASC;SG	PROPN
março	מרץ	março	מרץ	N;MASC;SG	PROPN
março	במרץ	março	במרץ	N;MASC;SG	PROPN
norte	נורטה	norte	נורט	N;MASC;SG	PROPN
norte	צפונה	norte	צפון	N;MASC;SG	ADV
norte	הצפון	norte	הצפון	N;MASC;SG	PROPN
abril	אפריל	abril	אפריל	N;MASC;SG	PROPN
sul	דרומי	sul	דרומי	N;MASC;SG	PROPN
sul	דרומית	sul	דרומי	N;MASC;SG	ADV
sul	הדרומי	sul	הדרום	N;MASC;SG	PROPN
sul	דרומה	sul	דרומה	N;MASC;SG	
sul	הדרום	sul	הדרום	N;MASC;SG	
grupo	הקבוצה	grupo	הקבוצה	N;MASC;SG	PROPN
setembro	ספטמבר	setembro	ספטמבר	N;MASC;SG	PROPN
