tennessee	tennessee	tennessee	tennesse	PROPN	PROPN;NOM;MASC;SG
mostenirea	dediščina	mostenire	dediščina	N;DEF;FEM;SG	N;NOM;FEM;SG
mostenirea	zapuščine	mostenire	zapuščina	N;DEF;FEM;SG	N;NOM;FEM;PL
mostenirea	nasledstvo	mostenire	nasledstvo	N;DEF;FEM;SG	N;NOM;NEUT;SG
mostenirea	zapuščino	mostenire	zapuščina	N;DEF;FEM;SG	N;ACC;FEM;SG
mostenirea	zapuščina	mostenire	zapuščina	N;DEF;FEM;SG	N;NOM;FEM;SG
mostenirea	dediščina	mostenire	dediščina	N;DEF;FEM;SG	N;NOM;FEM;SG
mostenirea	nasledstvo	mostenire	nasledstvo	N;DEF;FEM;SG	N;NOM;NEUT;SG
mostenirea	dediščino	mostenire	dediščina	N;DEF;FEM;SG	N;ACC;FEM;SG
oslo	oslo	oslo	oslo	PROPN	PROPN;NOM;MASC;SG
turner	turner	turner	turner	PROPN	N;NOM;MASC;SG
turner	turnerja	turner	turner	PROPN	N;ACC;MASC;SG
adaugate	dodana	adauga	dodan	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;V.PTCP
adaugate	dodan	adauga	dodan	ADJ;INDF;FEM;PL	ADJ;NOM;INDF;MASC;SG;V.PTCP
adaugate	dodano	adauga	dodan	ADJ;INDF;FEM;PL	ADJ;NOM;NEUT;SG;V.PTCP
aripi	kril	aripă	krilo	N;INDF;FEM;PL	N;NOM;MASC;SG
aripi	krilca	aripă	krilec	N;INDF;FEM;PL	N;NOM;MASC;DU
interzisa	prepovedano	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
interzisa	prepovedan	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
interzisa	prepovedani	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
interzisa	prepovedana	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
interzisa	prepovedano	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;NEUT;SG;V.PTCP
interzisa	prepovedane	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;FEM;PL;V.PTCP
interzisa	prepovedani	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;MASC;PL;V.PTCP
interzisa	prepovedana	interzisa	prepovedan	N;DEF;FEM;SG	ADJ;NOM;FEM;SG;V.PTCP
numirea	termin	numire	termin	N;DEF;FEM;SG	N;NOM;MASC;SG
numirea	imenovanje	numire	imenovanje	N;DEF;FEM;SG	N;NOM;NEUT;SG
contactul	kontakt	contact	kontakt	N;DEF;MASC;SG	N;NOM;MASC;SG
contactul	stik	contact	stik	N;DEF;MASC;SG	N;NOM;MASC;SG
contactul	stika	contact	stik	N;DEF;MASC;SG	N;GEN;MASC;SG
java	java	javă	java	N;DEF;FEM;SG	N;NOM;FEM;SG
alexandre	alexandre	alexandre	alexandre	PROPN	N;NOM;MASC;SG
siberia	sibiriji	siberie	sibirij	N;DEF;FEM;SG	N;DAT;FEM;SG
claudia	claudia	claudie	claudia	PROPN	PROPN;NOM;FEM;SG
claudia	klavdija	claudie	klavdija	PROPN	N;NOM;FEM;SG
placut	všeč	placut	všeč	N;INDF;MASC;SG	ADV
placut	prijetno	placut	prijeten	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
placut	prijeten	placut	prijeten	N;INDF;MASC;SG	ADJ;NOM;INDF;MASC;SG
placut	prijetna	placut	prijeten	N;INDF;MASC;SG	ADJ;NOM;FEM;SG
evans	evans	evans	evans	PROPN	PROPN;NOM;MASC;SG
wien	wien	wien	wien	PROPN	PROPN;NOM;MASC;SG
