月	قمر	月	قَمَر	N	
日	اليوم	日	يَوم	PROPN	N;ACC;DEF;SG
日	يوم	日	يَوم	PROPN	N;NOM;INDF;SG
日	نهار	日	نَهَار	PROPN	
和	وال	和	وَال	ADP	N;NOM;DEF;SG
人	man	人	فَصَم	N	
人	مان	人	مَان	N	
人	ناس	人	نَاسِي	N	
小	الكويكبات	小	الكويكبات	PART	
小	الكويكب	小	الكويكب	PART	
小	كويكب	小	كُوَيكب	PART	
大	الكبير	大	كَبِير	PART	ADJ;NOM;DEF;MASC;SG
大	كبيرة	大	كَبِير	PART	ADJ;NOM;INDF;FEM;SG
大	كبيره	大	كبيره	PART	
大	كبير	大	كَبِير	PART	ADJ;NOM;INDF;MASC;SG
重	ثقيل	重	ثَقِيل	N	ADJ;NOM;INDF;MASC;SG
重	ثقيلة	重	ثَقِيل	N	ADJ;NOM;INDF;FEM;SG
重	الثقيل	重	ثَقِيل	N	
一	احد	一	أَحَد	NUM	N;NOM;INDF;SG
一	واحدة	一	وَاحِد	NUM	ADJ;NOM;INDF;FEM;SG
一	واحد	一	وَاحِد	NUM	ADJ;NOM;INDF;MASC;SG
一	واحده	一	واحده	NUM	PRO;NOM;MASC;SG;3
定	توجيه	定	تَوجِيه	V	N;NOM;INDF;SG
定	التوجه	定	تَوَجُّه	V	N;NOM;DEF;SG
定	التوجيه	定	تَوجِيه	V	N;NOM;DEF;SG
但	لكن	但	لكن	ADV	
但	بس	但	بِسّ	ADV	
但	ولكن	但	ولكن	ADV	
也	كمان	也	كَمَان	ADV	
拉	اسحب	拉	أَسحَب		V;PFV;MASC;SG;3;ACT
後	بعدما	後	بَعدَمَا	ADV	CONJ
後	بعد	後	بَعدَ	ADV	ADP;NOM
留言	رساله	留言	رساله	N	PRO;NOM;FEM;SG;3
市	المدينه	市	المدينه	N	
市	سيتي	市	سِيتِي	N	
克	غرام	克	غَرَّام	PROPN	
新	جديد	新	جَدِيد	PART	ADJ;NOM;INDF;MASC;SG
新	جدد	新	جَدَّد	PART	V;PFV;MASC;SG;3;ACT
新	جديدة	新	جَدِيد	PART	ADJ;NOM;INDF;FEM;SG
新	الجديد	新	جَدِيد	PART	ADJ;NOM;DEF;MASC;SG
