procurar	für	procurar	für	V	ADP
iraq	irak	iraq	irak	PROPN	PROPN;NOM;MASC;SG
iraq	irakische	iraq	irakisch	PROPN	ADJ;NOM;FEM;PL
artillaría	artillerie	artillar	artillerie	V	ADJ
presta	wie	prestar	wie	V	ADP
presta	like	prestar	like	V	PROPN;NOM;SG
poetas	dichter	poeta	dicht	N	ADJ
poetas	lyriker	poeta	lyrik	N	ADJ
stein	stein	star	stein	PROPN	PROPN;NOM;MASC;SG
custar	cost	custar	cost	V	ADJ
usas	ihr	usar	ihr	ADV	PRO;NOM;MASC;SG
usas	dich	usar	du	ADV	
usas	du	usar	du	ADV	PRO;NOM;SG;2
usas	dir	usar	dur	ADV	
usas	sie	usar	sie	ADV	PRO;NOM;FEM;SG;3
usas	verwendung	usar	verwendung	ADV	N;SG
usas	benutzen	usar	benutzen	ADV	V;NFIN
usas	nutzung	usar	nutzung	ADV	N;NOM;FEM;SG
usas	verwenden	usar	verwenden	ADV	V;NFIN
usas	gebrauch	usar	gebrauch	ADV	ADJ
aturar	messestand	aturar	messestehen	V	ADV
aturar	ständer	aturar	stand	V	
buratos	löcher	burato	loch	N	ADJ
cá	die	cá	der	N	DET;NOM;DEF;FEM;SG
cá	der	cá	der	N	DET;NOM;DEF;MASC;SG
cá	dem	cá	der	N	PRO;DAT;NEUT;SG
cá	den	cá	der	N	DET;ACC;DEF;MASC;SG
cá	das	cá	der	N	PRO;NOM;NEUT;SG
saberán	weiss	saber	wissen	V	
saberán	sie	saber	sie	V	PRO;NOM;FEM;SG;3
senso	sinn	senso	sein	N	
patada	treten	patada	treten	N	V;NFIN
patada	trete	patada	treten	N	V;SBJV;SG;3;PRS;FIN
patada	tritt	patada	treten	N	V;IND;SG;3;PRS;FIN
patada	kick	patada	kick	N	
canle	kanal	canle	kanal	N	ADV
canle	kanäle	canle	kanal	N	
canle	sender	canle	sender	N	
canle	channel	canle	channel	N	PROPN;NOM;SG
canle	kanal	canle	kanal	N	ADV
canle	canal	canle	canal	N	PROPN;NOM;SG
canle	kanals	canle	kanals	N	ADV
natal	heimatort	natal	heimatort	PROPN	ADJ
natal	heimatstadt	natal	heimatstadt	PROPN	V;SG
gases	gasen	gas	gasen	N	
gases	abgase	gas	abgese	N	
gases	gas	gas	gesen	N	
gases	erdgas	gas	erdgas	N	
comparación	verglich	comparación	verglich	N	V;IND;SG;3;PST;FIN
comparación	verglichen	comparación	vergleichen	N	V;V.PTCP
comparación	vergleich	comparación	vergleich	N	ADJ
comparación	vergleichs	comparación	vergleichs	N	ADV
comparación	vergleiche	comparación	vergleichen	N	
