que	той	que	той	PRO;MASC;SG	DET;NOM;MASC;SG
uma	one	um	one	NUM	
uma	одне	um	один	NUM	DET;NOM;NEUT;SG
com	com	com	com	ADP	
foi	був	foi	бути	ADV	V;IPFV;MASC;IND;SG;PST;FIN
foi	була	foi	бути	ADV	V;IPFV;FEM;IND;SG;PST;FIN
foi	було	foi	бути	ADV	V;IPFV;NEUT;IND;SG;PST;FIN
como	як	como	як	ADV	CONJ
como	подобається	como	подобатися	ADV	V;IPFV;IND;SG;3;PRS;FIN
como	зразок	como	зразок	ADV	N;INAN;NOM;MASC;SG
como	like	como	like	ADV	
não	не	não	не	INTJ	PART;NEG
não	not	não	not	INTJ	
dos	dos	dos	dos	N;MASC;SG	
dos	дос	dos	дос	N;MASC;SG	
sua	його	seu	він	DET;FEM;SG	PRO;ACC;MASC;SG;3
sua	твої	seu	твій	DET;FEM;SG	DET;NOM;PL;2
sua	ваші	seu	ваш	DET;FEM;SG	DET;NOM;PL;2
sua	твої	seu	твій	DET;FEM;SG	DET;NOM;PL;2
sua	ваші	seu	ваш	DET;FEM;SG	DET;NOM;PL;2
sua	свої	seu	свій	DET;FEM;SG	DET;NOM;PL;REFL
sua	його	seu	він	DET;FEM;SG	PRO;ACC;MASC;SG;3
utc	utc	utc	utc	N;MASC;SG	
são	надаються	ser	надаватися	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN
seu	його	seu	він	DET;MASC;SG	PRO;ACC;MASC;SG;3
seu	свої	seu	свій	DET;MASC;SG	DET;NOM;PL;REFL
seu	його	seu	він	DET;MASC;SG	PRO;ACC;MASC;SG;3
seu	твої	seu	твій	DET;MASC;SG	DET;NOM;PL;2
seu	ваші	seu	ваш	DET;MASC;SG	DET;NOM;PL;2
seu	твої	seu	твій	DET;MASC;SG	DET;NOM;PL;2
seu	ваші	seu	ваш	DET;MASC;SG	DET;NOM;PL;2
min	мін	min	мін.	N;MASC;PL	
min	хв	min	хв	N;MASC;PL	
das	das	das	das	N;MASC;SG	
ser	проводиться	ser	проводитися	V;NFIN	V;IPFV;IND;SG;3;PRS;FIN
ser	будучи	ser	бути	V;NFIN	V;IPFV;PRS;V.CVB
ser	буття	ser	буття	V;NFIN	N;INAN;NOM;NEUT;SG
ser	сір	ser	сір	V;NFIN	
ele	нього	ele	він	PRO;NOM;MASC;SG;3	PRO;ACC;MASC;SG;3
ele	постане	ele	постане	PRO;NOM;MASC;SG;3	V;PFV;IND;SG;3;FUT;FIN
ele	йому	ele	він	PRO;NOM;MASC;SG;3	PRO;DAT;MASC;SG;3
ele	ним	ele	він	PRO;NOM;MASC;SG;3	PRO;INS;MASC;SG;3
