periferia	покрайнините	periferia	покрайнина	N;FEM;SG	N;DEF;FEM;PL
que	que	que	que	ADJ;SG	PROPN
orizzontale	хоризонтални	orizzontale	хоризонтален	ADJ;SG	ADJ;INDF;PL
orizzontale	хоризонтално	orizzontale	хоризонтално	ADJ;SG	ADV
catturare	улавяне	catturare	улавяне	V;NFIN	N;INDF;NEUT;SG
catturare	залавяне	catturare	залавяне	V;NFIN	N;INDF;NEUT;SG
catturare	залавянето	catturare	залавяне	V;NFIN	N;DEF;NEUT;SG
catturare	залавянето	catturare	залавяне	V;NFIN	N;DEF;NEUT;SG
assisi	асизи	assiso	асиз	N;MASC;SG	PROPN;INDF;MASC;SG
strati	пласт	strato	пласт	N;MASC;PL	N;INDF;MASC;SG
strati	слой	strato	слой	N;MASC;PL	N;INDF;MASC;SG
campana	бел	campana	бел	N;FEM;SG	PROPN;INDF;MASC;SG
hart	харт	hart	харт	N;MASC	PROPN;INDF;MASC;SG
frederick	фридрих	frederick	фридрих	N;MASC	PROPN;INDF;MASC;SG
tombe	грейвс	tomba	грейвс	N;FEM;PL	N;INDF;MASC;SG
studia	учене	studiare	учене	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
studia	учи	studiare	уча-(се)	V;IND;SG;3;PRS;FIN	V;IPFV;IMP;SG;2;FIN
studia	проучване	studiare	проучване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
studia	изучаване	studiare	изучаване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
studia	изследване	studiare	изследване	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
ricostruita	възстановени	ricostruire	възстановя-(се)	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
puro	чисто	puro	чисто	ADJ;MASC;SG	ADV
miles	майлс	miles	майлс	N	PROPN;INDF;MASC;SG
miles	мили	miles	мил	N	ADJ;INDF;PL
connessione	свързващи	connessione	свързвам-(се)	N;FEM;SG	ADJ;IPFV;INDF;PL;PRS;V.PTCP;ACT
olandesi	холандец	olandese	холандец	N;PL	N;INDF;MASC;SG
olandesi	нидерландски	olandese	нидерландски	N;PL	ADJ;INDF;MASC;SG
olandesi	дъч	olandese	дъч	N;PL	PROPN;INDF;MASC;SG
olandesi	холандски	olandese	холандски	N;PL	ADJ;INDF;MASC;SG
var	var	vario	None		INTJ
var	вар	vario	вар		N;INDF;MASC;SG
marcus	маркус	marcus	маркус	N;MASC;SG	PROPN;INDF;MASC;SG
anziani	възрастни	anziano	възрастен	N;MASC;PL	ADJ;INDF;PL
canne	тръстика	canne	тръстика	N;FEM;PL	N;INDF;FEM;SG
intellettuale	интелектуалец	intellettuale	интелектуалец	ADJ;SG	N;INDF;MASC;SG
intellettuale	интелектуално	intellettuale	интелектуално	ADJ;SG	ADV
marittima	морско	marittimo	морски	ADJ;FEM;SG	ADV
full	пълна	full	пълен	N	ADJ;INDF;FEM;SG
full	пълни	full	пълен	N	ADJ;INDF;PL
full	пълен	full	пълен	N	ADJ;INDF;MASC;SG
full	пълно	full	пълен	N	ADV
classiche	класика	classico	класика	ADJ;FEM;PL	N;INDF;FEM;SG
classiche	класик	classico	класик	ADJ;FEM;PL	N;INDF;MASC;SG
classiche	класическо	classico	класически	ADJ;FEM;PL	ADV
classiche	класическа	classico	класически	ADJ;FEM;PL	ADJ;INDF;FEM;SG
classiche	класика	classico	класика	ADJ;FEM;PL	N;INDF;FEM;SG
classiche	класически	classico	класически	ADJ;FEM;PL	ADV
batterie	батерията	batteria	батерия	N;FEM;PL	N;DEF;FEM;SG
batterie	акумулатор	batteria	акумулатор	N;FEM;PL	N;INDF;MASC;SG
batterie	батерия	batteria	батерия	N;FEM;PL	N;INDF;FEM;SG
minnesota	минесота	minnesoto	минеса	N;FEM;SG	PROPN;INDF;FEM;SG
riservato	запазено	riservato	запазя-(се)	ADJ;MASC;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
riservato	запазен	riservato	запазя-(се)	ADJ;MASC;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
riservato	запазена	riservato	запазя-(се)	ADJ;MASC;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
riservato	запазени	riservato	запазя-(се)	ADJ;MASC;SG	V;PFV;INDF;PL;V.PTCP;PASS
riservato	поверително	riservato	поверителен	ADJ;MASC;SG	ADV
riservato	поверителни	riservato	поверителен	ADJ;MASC;SG	ADJ;INDF;PL
murphy	мърфи	murphy	мърфя-(се)	N;MASC	PROPN;INDF;MASC;SG
premiato	награден	premiare	награден	V;MASC;SG;PST;V.PTCP	ADJ;INDF;MASC;SG
premiato	възнаградени	premiare	възнаграден	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
premiato	възнаграден	premiare	възнаграден	V;MASC;SG;PST;V.PTCP	ADJ;INDF;MASC;SG
armatura	брони	armatura	броня	N;FEM;SG	N;INDF;FEM;PL
armatura	доспехи	armatura	доспех	N;FEM;SG	N;INDF;MASC;PL
buio	тъмна	buio	тъмен	N;MASC;SG	ADJ;INDF;FEM;SG
buio	тъмно	buio	тъмно	N;MASC;SG	ADV
buio	тъмен	buio	тъмен	N;MASC;SG	ADJ;INDF;MASC;SG
statistica	статистики	statistica	статистика	N;FEM;SG	N;INDF;FEM;PL
statistica	статистически	statistica	статистически	N;FEM;SG	ADJ;INDF;MASC;SG
statistica	статистическа	statistica	статистически	N;FEM;SG	ADJ;INDF;FEM;SG
aaron	аарон	aaron	аарон	N;MASC;SG	PROPN;INDF;MASC;SG
aaron	арон	aaron	арон	N;MASC;SG	PROPN;INDF;MASC;SG
aaron	аарън	aaron	аарън	N;MASC;SG	PROPN;INDF;MASC;SG
aaron	арън	aaron	арън	N;MASC;SG	PROPN;INDF;MASC;SG
johannes	йоханес	johannes	йоханес	N;MASC;SG	PROPN;INDF;MASC;SG
main	основни	main	основен		ADJ;INDF;PL
main	основна	main	основен		ADJ;INDF;FEM;SG
main	главна	main	главен		ADJ;INDF;FEM;SG
main	главен	main	главен		ADJ;INDF;MASC;SG
main	главни	main	главен		ADJ;INDF;PL
munizioni	боеприпаси	munizione	боеприпаси	N;FEM;PL	N;INDF
munizioni	боеприпаси	munizione	боеприпаси	N;FEM;PL	N;INDF
munizioni	боеприпаси	munizione	боеприпаси	N;FEM;PL	N;INDF
votato	гласували	votare	гласувам	V;MASC;SG;PST;V.PTCP	V;IPFV;INDF;PL;PST;V.PTCP;ACT
votato	гласуваха	votare	гласувам	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;PL;3;PST;FIN;ACT
votato	гласувахме	votare	гласувам	V;MASC;SG;PST;V.PTCP	V;IPFV;IND;PL;1;IPFV;FIN;ACT
esisteva	съществували	esistere	съществувам	V;IND;SG;3;IPFV;FIN	V;IPFV;INDF;PL;IPFV;V.PTCP;ACT
esisteva	съществувал	esistere	съществувам	V;IND;SG;3;IPFV;FIN	V;IPFV;INDF;MASC;SG;PST;V.PTCP;ACT
identificato	идентифицирани	identificare	идентифицирам	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
english	английски	english	английски	N	ADJ;INDF;MASC;SG
lettori	четец	lettore	четец	N;MASC;PL	N;INDF;MASC;SG
lettori	читател	lettore	читател	N;MASC;PL	N;INDF;MASC;SG
ohio	охайо	ohio	оха	N;FEM;SG	PROPN;INDF;MASC;SG
approvato	одобрени	approvare	одобря	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
glenn	глен	glenn	глен	N;MASC	PROPN;INDF;MASC;SG
gemelli	близначка	gemello	близначка	N;MASC;PL	N;INDF;FEM;SG
gemelli	близнак	gemello	близнак	N;MASC;PL	N;INDF;MASC;SG
invitato	поканени	invitare	поканя	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
treccani	treccani	treccano	treccani	ADJ;FEM;SG	N;INDF;MASC;SG
pareri	мнение	parere	мнение	N;MASC;PL	N;INDF;NEUT;SG
meccanico	механика	meccanico	механика	ADJ;MASC;SG	N;INDF;FEM;SG
meccanico	монтьор	meccanico	монтьор	ADJ;MASC;SG	N;INDF;MASC;SG
meccanico	механик	meccanico	механик	ADJ;MASC;SG	N;INDF;MASC;SG
meccanico	механично	meccanico	механично	ADJ;MASC;SG	ADV
meccanico	механични	meccanico	механичен	ADJ;MASC;SG	ADJ;INDF;PL
lane	лейн	lana	лейн	N;FEM;SG	PROPN;INDF;MASC;SG
servire	сервиране	servire	сервиране	V;NFIN	N;INDF;NEUT;SG
torres	торес	torres	торес	N;FEM;SG	PROPN;INDF;MASC;SG
ampliato	разширени	ampliare	разширя-(се)	V;MASC;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
incluse	включени	incluso	включа-(се)	ADJ;FEM;PL	V;PFV;INDF;PL;V.PTCP;PASS
incluse	включено	incluso	включа-(се)	ADJ;FEM;PL	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
incluse	включена	incluso	включа-(се)	ADJ;FEM;PL	V;PFV;INDF;FEM;SG;V.PTCP;PASS
incluse	включен	incluso	включа-(се)	ADJ;FEM;PL	V;PFV;INDF;MASC;SG;V.PTCP;PASS
temporaneamente	временна	temporaneamente	временен	ADV	ADJ;INDF;FEM;SG
temporaneamente	временни	temporaneamente	временен	ADV	ADJ;INDF;PL
temporaneamente	временен	temporaneamente	временя-(се)	ADV	ADJ;INDF;MASC;SG
virgilio	вирджилио	virgilio	вирджилио	N;MASC;SG	V;PFV;INDF;NEUT;SG;PST;V.PTCP;ACT
grassi	граси	grasso	грася	N;MASC;PL	N;INDF;FEM;SG
grassi	дебела	grasso	дебел	N;MASC;PL	ADJ;INDF;FEM;SG
grassi	мазнина	grasso	мазнина	N;MASC;PL	N;INDF;FEM;SG
grassi	дебели	grasso	дебел	N;MASC;PL	ADJ;INDF;PL
grassi	дебел	grasso	дебел	N;MASC;PL	ADJ;INDF;MASC;SG
cecilia	сесилия	cecilia	сесилия	N;FEM;SG	PROPN;INDF;FEM;SG
sopravvissuti	оцелелите	sopravvivere	оцелея	V;MASC;PL;PST;V.PTCP	ADJ;PFV;DEF;PL;PST;V.PTCP;ACT
sopravvissuti	оцелял	sopravvivere	оцелея	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;MASC;SG;PST;V.PTCP;ACT
sopravvissuti	оцеля	sopravvivere	оцелея	V;MASC;PL;PST;V.PTCP	V;PFV;IND;SG;3;PST;FIN;ACT
sopravvissuti	оцеляла	sopravvivere	оцелея	V;MASC;PL;PST;V.PTCP	V;PFV;INDF;FEM;SG;PST;V.PTCP;ACT
morris	морис	morris	морис	N;MASC	PROPN;INDF;MASC;SG
javier	хавиер	javier	хавиер	N;MASC;SG	PROPN;INDF;MASC;SG
operativa	оперативно	operativo	оперативно	ADJ;FEM;SG	ADV
operativa	оперативни	operativo	оперативен	ADJ;FEM;SG	ADJ;INDF;PL
inviata	изпратени	inviare	изпратя	V;FEM;SG;PST;V.PTCP	V;PFV;INDF;PL;V.PTCP;PASS
petto	гърди	petto	гръд	N;MASC;SG	N;INDF;FEM;PL
petto	гърдите	petto	гръд	N;MASC;SG	N;DEF;FEM;PL
petto	гърди	petto	гръд	N;MASC;SG	N;INDF;FEM;PL
circostanze	обстоятелство	circostanza	обстоятелство	N;FEM;PL	N;INDF;NEUT;SG
igor	игор	igor	игор	N;MASC;SG	PROPN;INDF;MASC;SG
terrestri	сухоземни	terrestre	сухоземен	N;MASC;PL	ADJ;INDF;PL
terrestri	земен	terrestre	земен	N;MASC;PL	ADJ;INDF;MASC;SG
biografie	биография	biografia	биография	N;FEM;PL	N;INDF;FEM;SG
biografie	биографията	biografia	биография	N;FEM;PL	N;DEF;FEM;SG
repubblicano	републиканец	repubblicano	републиканец	ADJ;MASC;SG	N;INDF;MASC;SG
repubblicano	републиканци	repubblicano	републиканец	ADJ;MASC;SG	N;INDF;MASC;PL
legali	правно	legale	правен	ADJ;PL	ADV
legali	правна	legale	правен	ADJ;PL	ADJ;INDF;FEM;SG
legali	юридически	legale	юридически	ADJ;PL	ADJ;INDF;MASC;SG
legali	правен	legale	правя-(се)	ADJ;PL	V;IPFV;INDF;MASC;SG;V.PTCP;PASS
legali	законно	legale	законен	ADJ;PL	ADV
frontale	предни	frontale	преден	ADJ;SG	ADJ;INDF;PL
frontale	отпред	frontale	отпред	ADJ;SG	ADV
frontale	фронт	frontale	фронт	ADJ;SG	N;INDF;MASC;SG
england	англия	england	англия	N;SG	PROPN;INDF;FEM;SG
ordinario	обикновени	ordinario	обикновен	ADJ;MASC;SG	ADJ;INDF;PL
pérez	перес	pérez	перес	N;SG	PROPN;INDF;MASC;SG
pérez	перез	pérez	перез	N;SG	PROPN;INDF;MASC;SG
again	отново	again	отново		ADV
again	пак	again	пак		ADV
secondarie	вторична	secondario	вторичен	ADJ;FEM;PL	ADJ;INDF;FEM;SG
secondarie	вторично	secondario	вторично	ADJ;FEM;PL	ADV
secondarie	вторичен	secondario	вторичен	ADJ;FEM;PL	ADJ;INDF;MASC;SG
specializzata	специализирана	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
specializzata	специализирано	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
specializzata	специализиран	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
specializzata	специализирани	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
specializzata	специализирана	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;FEM;SG;V.PTCP;PASS
specializzata	специализиран	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;MASC;SG;V.PTCP;PASS
specializzata	специализирани	specializzato	специализирам	ADJ;FEM;SG	V;PFV;INDF;PL;V.PTCP;PASS
manovra	маневри	manovra	маневра	N;FEM;SG	N;INDF;FEM;PL
valencia	валенсия	valencia	валенсия	N;FEM;SG	PROPN;INDF;FEM;SG
variazione	промени	variazione	промяна	N;FEM;SG	N;INDF;FEM;PL
archivi	архив	archivio	архив	N;MASC;PL	N;INDF;MASC;SG
away	надалеч	away	надалеч	N	ADV
away	далеч	away	далеч	N	ADV
pirati	пират	pirata	пирам	N;MASC;PL	N;INDF;MASC;SG
pirati	пиратски	pirata	пиратски	N;MASC;PL	ADJ;INDF;MASC;SG
veneziano	венециански	veneziano	венециански	ADJ;MASC;SG	ADJ;INDF;PL
wallace	уолъс	wallace	уолъс	N;MASC;SG	PROPN;INDF;MASC;SG
pesaro	пезаро	pesaro	пезаро	N;MASC;SG	PROPN;INDF;MASC;SG
toro	торо	toro	торо	N;MASC;SG	PROPN;INDF;MASC;SG
modern	модерно	modern	модерно	N	ADV
modern	модерни	modern	модерен	N	ADJ;INDF;PL
modern	модерна	modern	модерен	N	ADJ;INDF;FEM;SG
modern	съвременно	modern	съвременно	N	ADV
modern	модерен	modern	модерен	N	ADJ;INDF;MASC;SG
modern	съвременен	modern	съвременен	N	ADJ;INDF;MASC;SG
mass	масов	mass	масов	N	ADJ;INDF;MASC;SG
mass	масово	mass	масово	N	ADV
emissione	емисии	emissione	емисия	N;FEM;SG	N;INDF;FEM;PL
