die	do	die	do	DET;DEF	PROPN
van	de	van	de		ADP
van	da	van	da		V
van	do	van	do		PROPN
van	dende	van	dende		ADP
van	de	van	de		ADP
van	do	van	do		PROPN
van	dos	van	dos		PROPN
van	da	van	da		V
het	teño	het	ter	V;PRS	V
het	que	het	que	V;PRS	PRO
het	tes	het	tes	V;PRS	V
het	ten	het	ter	V;PRS	V
het	temos	het	ter	V;PRS	V
het	ten	het	ter	V;PRS	V
wat	o	wat	o	PRO	DET
word	nunha	word	nunha	V;PRS	N
word	ser	word	ser	V;PRS	V
word	en	word	en	V;PRS	ADP
word	se	word	se	V;PRS	CONJ
met	coa	met	coar	ADP	V
met	co	met	co	ADP	PROPN
was	foi	is	ser	V;PST;FIN	V
was	eran	is	ser	V;PST;FIN	V
was	foron	is	ser	V;PST;FIN	V
dit	esta	dit	este	PRO;NOM;SG;3	DET
dit	este	dit	este	PRO;NOM;SG;3	DET
dit	é	dit	ser	PRO;NOM;SG;3	V
deur	porta	deur	porta	ADP	N
deur	pola	deur	pola	ADP	N
deur	polo	deur	polo	ADP	N
tot	a	tot	o	ADP	DET
tot	que	tot	que	ADP	PRO
tot	que	tot	que	ADP	PRO
tot	até	tot	até	ADP	ADV
tot	a	tot	o	ADP	DET
dat	que	dat	que	CONJ	PRO
dat	iso	dat	iso	CONJ	PRO
hulle	os	hulle	o	PRO;PL;3	DET
hulle	deles	hulle	del	PRO;PL;3	PROPN
suid	sur	suid	sur		N
suid	do	suid	do		PROPN
suid	sudáfrica	suid	sudáfricar		ADJ
uit	fóra	uit	fóra	ADP	ADV
kan	poden	kan	poder	V;PRS	V
kan	podo	kan	podar	V;PRS	V
kan	podes	kan	poder	V;PRS	V
kan	podemos	kan	poder	V;PRS	V
kan	pode	kan	poder	V;PRS	V
kan	non	kan	non	V;PRS	PART
hierdie	isto	hierdie	isto	DET	PRO
ander	outra	ander	outro	PRO	DET
ander	outros	ander	outro	PRO	DET
ander	outro	ander	outro	PRO	DET
ander	outras	ander	outro	PRO	DET
soos	como	soos	como	CONJ	PRO
soos	así	soos	así	CONJ	ADV
afrika	áfrica	afrika	áfrica	PROPN;SG	PROPN
afrika	sudáfrica	afrika	sudáfricar	PROPN;SG	ADJ
afrika	áfrica	afrika	áfrica	PROPN;SG	PROPN
afrika	africana	afrika	africano	PROPN;SG	ADJ
afrika	africanos	afrika	africano	PROPN;SG	ADJ
afrika	africano	afrika	africano	PROPN;SG	ADJ
oor	oído	oor	oír	ADP	V
oor	ouvido	oor	ouvido	ADP	N
oor	orella	oor	orellar	ADP	N
oor	restante	oor	restante	ADP	ADJ
een	unha	een	un	NUM	DET
een	un	een	un	NUM	DET
gebruik	uso	gebruik	uso	V;PRS	N
afrikaanse	áfrica	afrikaans	áfrica	N;PL	PROPN
afrikaanse	africana	afrikaans	africano	N;PL	ADJ
afrikaanse	africanos	afrikaans	africano	N;PL	ADJ
afrikaanse	africano	afrikaans	africano	N;PL	ADJ
groot	xenial	groot	xenial	V;PRS	ADJ
groot	gran	groot	gran	V;PRS	ADJ
groot	grande	groot	grande	V;PRS	ADJ
groot	grandes	groot	grande	V;PRS	ADJ
meer	máis	baie	máis	DET	ADV
onder	na	onder	na	ADP	N
onder	debaixo	onder	debaixo	ADP	ADV
onder	abaixo	onder	abaixo	ADP	ADV
onder	embaixo	onder	embaixo	ADP	N
onder	seccionada	onder	seccionar	ADP	V
onder	fondo	onder	fondo	ADP	N
onder	final	onder	final	ADP	N
onder	do	onder	do	ADP	PROPN
onder	inferior	onder	inferior	ADP	ADJ
onder	abaixo	onder	abaixo	ADP	ADV
onder	todo	onder	todo	ADP	DET
twee	dous	twee	dous	NUM	N
twee	dúas	twee	dous	NUM	N
kerk	igrexa	kerk	igrexir		N
kerk	á	kerk	á		N
kerk	da	kerk	da		V
tussen	os	tussen	o	ADP	DET
baie	moi	baie	moi	DET	ADV
baie	cantos	baie	canto	DET	N
begin	a	begin	o	V;PRS	DET
hul	seus	hul	seu	PRO;PL;3	DET
hul	as	hul	o	PRO;PL;3	DET
hul	súas	hul	seu	PRO;PL;3	DET
hul	os	hul	o	PRO;PL;3	DET
hul	seu	hul	seu	PRO;PL;3	DET
hul	súa	hul	seu	PRO;PL;3	DET
waar	verdade	waar	verdade	PRO	N
waar	certo	waar	certo	PRO	DET
dié	isto	dié	isto	DET	PRO
eeu	século	eeu	século		N
eeu	xiii	eeu	xiii		PROPN
haar	a	haar	o	PRO;ACC;SG;3	DET
haar	seu	haar	seu	PRO;ACC;SG;3	DET
haar	súa	haar	seu	PRO;ACC;SG;3	DET
leë	baleira	leë	baleira		ADJ
leë	baleiro	leë	baleiro		ADJ
leë	baleiras	leë	baleira		ADJ
leë	valeiro	leë	valeiro		N
hom	o	hom	o	PRO;NOM;SG;3	DET
voor	diante	voor	diante	ADP	ADV
voor	fronte	voor	fronte	ADP	N
voor	antes	voor	antes	ADP	ADV
stad	city	stad	city	N;SG	PROPN
stad	da	stad	da	N;SG	V
later	tarde	laat	tarde	ADV;CMPR	N
net	único	net	único	ADV	ADJ
net	única	net	único	ADV	ADJ
net	de	net	de	ADV	ADP
tydens	na	tydens	na	ADP	N
sou	que	sal	que	V;PST;FIN	PRO
naam	se	naam	se	N;SG	CONJ
deel	a	deel	o	V;PRS	DET
deel	parte	deel	parte	V;PRS	N
deel	parte	deel	parte	V;PRS	N
drie	tres	drie	tres	NUM	N
egter	porén	egter	porén	PART	ADV
egter	con	egter	con	PART	ADP
egter	todo	egter	todo	PART	DET
egter	sen	egter	sen	PART	ADP
egter	embargo	egter	embargo	PART	N
egter	pero	egter	pero	PART	CONJ
egter	aínda	egter	aínda	PART	ADV
grootste	maior	groot	maior		ADJ
grootste	máis	groot	máis		ADV
grootste	grande	groot	grande		ADJ
grootste	mellor	groot	mellor		ADJ
pous	papa	pous	papa		N
sal	vai	sal	ir	V;PRS	V
kon	podía	kan	podía	V;PST;FIN	V
kon	podería	kan	poder	V;PST;FIN	V
ons	noso	ons	noso	PRO;PL;1	DET
ons	nosas	ons	noso	PRO;PL;1	DET
ons	nosa	ons	noso	PRO;PL;1	DET
ons	nosos	ons	noso	PRO;PL;1	DET
ons	o	ons	o	PRO;PL;1	DET
ons	a	ons	o	PRO;PL;1	DET
ons	os	ons	o	PRO;PL;1	DET
ons	temos	ons	ter	PRO;PL;1	V
mense	a	mens	o	N;PL	DET
bestaan	real	bestaan	real	V;PRS	ADJ
maak	que	maak	que	V;PRS	PRO
noord	ao	noord	ao		PROPN
noord	norte	noord	norte		N
noord	do	noord	do		PROPN
gebied	territorio	bied	territorio	V;PST;V.PTCP	N
gebied	área	bied	área	V;PST;V.PTCP	N
gebied	zona	bied	zona	V;PST;V.PTCP	N
vanaf	da	vanaf	da	ADP	V
vanaf	do	vanaf	do	ADP	PROPN
laat	tarde	laat	tarde	V;PRS	N
saam	xuntos	saam	xunto	ADV	ADJ
terwyl	mentres	terwyl	mentres	CONJ	ADV
terwyl	tempo	terwyl	tempo	CONJ	N
veral	sobre	veral	sobre	ADV	ADP
veral	todo	veral	todo	ADV	DET
moet	debo	moet	deber	V;PRS	V
moet	que	moet	que	V;PRS	PRO
moet	debe	moet	deber	V;PRS	V
moet	debemos	moet	deber	V;PRS	V
moet	deben	moet	deber	V;PRS	V
moet	hai	moet	haber	V;PRS	V
wees	ser	wees	ser	V;PRS	V
wees	estar	wees	estar	V;PRS	V
weer	outra	weer	outro		DET
weer	vez	weer	vez		N
weer	máis	weer	máis		ADV
weer	novo	weer	novo		ADJ
weer	de	weer	de		ADP
weer	♫	weer	♫		PROPN
weer	tempo	weer	tempo		N
weer	do	weer	do		PROPN
weer	este	weer	este		DET
weer	ben	weer	ben		ADV
werk	traballo	werk	traballo	V;PRS	N
werk	traballo	werk	traballo	V;PRS	N
klein	pequeno	klein	pequeno		ADJ
klein	pequenos	klein	pequeno		ADJ
klein	pequenas	klein	pequeno		ADJ
klein	pequena	klein	pequeno		ADJ
klein	diminutos	klein	diminuto		N
klein	pequena	klein	pequeno		ADJ
klein	pequenos	klein	pequeno		ADJ
klein	diminuto	klein	diminuto		N
klein	pequeno	klein	pequeno		ADJ
klein	minúsculas	klein	minúscula		N
klein	diminuta	klein	diminuta		ADJ
klein	pequenas	klein	pequeno		ADJ
oos	leste	oos	leste		N
oos	oriente	oos	oriente		N
