que	那	que	那	PRO	DET
non	唐	non	唐	PART	PROPN
non	don	non	don	PART	
e	而且	e	而且	CONJ	ADV
e	和	e	和	CONJ	ADP
e	還	e	還	CONJ	ADV
un	一	un	一	DET	NUM
un	one	un	one	DET	
un	一	un	一	DET	NUM
unha	一	un	一	DET	NUM
unha	one	un	one	DET	
unha	一	un	一	DET	NUM
se	你	se	你	CONJ	PRO;2
por	為何	por	為何	ADP	
por	請	por	請	ADP	V
do	來	do	來	PROPN	V
do	從	do	從	PROPN	ADP
da	從	da	從	V	ADP
como	如何	como	如何	PRO	
como	讚	como	讚	PRO	
como	就	como	就	PRO	ADV
como	像	como	像	PRO	ADP
como	喜歡	como	喜歡	PRO	V
máis	多	máis	多	ADV	
máis	更多	máis	更多	ADV	ADJ
máis	最多	máis	最多	ADV	ADJ
máis	大	máis	大	ADV	PART
máis	多數	máis	多數	ADV	ADJ
pero	但	pero	但	CONJ	ADV
pero	不過	pero	不過	CONJ	ADV
pero	但是	pero	但是	CONJ	ADV
ben	右	ben	右	ADV	N
ben	全部	ben	全部	ADV	DET
ben	所有	ben	所有	ADV	DET
ben	all	ben	all	ADV	
son	她們	ser	她	V	PRO;PL;3
son	他們	ser	他	V	PRO;PL;3
son	它們	ser	它	V	PRO;PL;3
aquí	這裡	aquí	這裡	ADV	PRO
iso	那	iso	那	PRO	DET
todo	all	todo	all	DET	
todo	一切	todo	一切	DET	N
cando	當	cando	當	PRO	ADP
xa	你	xa	你	ADV	PRO;2
dos	來	dos	來	PROPN	V
dos	從	dos	從	PROPN	ADP
ti	你	ti	你		PRO;2
só	只有	só	只有	ADV	ADP
só	只要	só	只要	ADV	ADP
súa	他	seu	他	DET	PRO;3
súa	她	seu	她	DET	PRO;3
súa	你	seu	你	DET	PRO;2
así	讚	así	讚	ADV	
así	像	así	像	ADV	ADP
así	喜歡	así	喜歡	ADV	V
así	這	así	這	ADV	PRO
así	這	así	這	ADV	DET
así	那	así	那	ADV	DET
seu	他	seu	他	DET	PRO;3
seu	她	seu	她	DET	PRO;3
seu	你	seu	你	DET	PRO;2
¿	為	¿	為		ADP
¿	為	¿	為		ADP
¿	你	¿	你		PRO;2
agora	現在	agora	現在	ADV	N
isto	這	isto	這	PRO	DET
isto	那	isto	那	PRO	DET
ten	你	ter	你	V	PRO;2
esta	這	este	這	DET	PRO
esta	今夜	este	今夜	DET	N
esta	今晚	este	今晚	DET	N
algo	一些	algo	一些	PRO	ADJ
algo	有些	algo	有些	PRO	V
todos	all	todo	all	DET	
todos	大家	todo	大家	DET	PRO
porque	因為	porque	因為	CONJ	ADP
este	這	este	這	DET	PRO
mais	但	mais	但	CONJ	ADV
mais	不過	mais	不過	CONJ	ADV
mais	但是	mais	但是	CONJ	ADV
vai	威爾	ir	威爾	V	PROPN
pode	may	poder	may	V	
pode	梅	poder	梅	V	PROPN
pode	五	poder	五	V	NUM
pode	五	poder	五	V	NUM
pode	你	poder	你	V	PRO;2
casa	首頁	casa	首頁	N	
casa	home	casa	home	N	
quero	想要	quero	想要	V	
quero	唐	quero	唐	V	PROPN
quero	don	quero	don	V	
anos	老	ano	老	N	PART
anos	舊	ano	舊	N	ADJ
anos	舊	ano	舊	N	PART
vez	再次	vez	再次	N	ADV
vez	一	vez	一	N	NUM
vez	一旦	vez	一旦	N	ADP
señor	主	señor	主	N	PART
señor	sir	señor	sir	N	
das	來	das	來	N	V
das	從	das	從	N	ADP
sei	唐	saber	唐	V	PROPN
sei	don	saber	don	V	
tempo	長	tempo	長	N	PART
día	日	día	日	N	PROPN
día	一	día	一	N	NUM
día	day	día	day	N	
vida	生活	vida	生活	N	V
teu	你	teu	你	DET	PRO;2
aínda	雖然	aínda	雖然	ADV	ADP
mesmo	相同	mesmo	相同	DET	ADJ
mesmo	甚至	mesmo	甚至	DET	ADV
mesmo	右	mesmo	右	DET	N
moito	久	moito	久	ADV	N
moito	長	moito	長	ADV	PART
¡	你	¡	你		PRO;2
vostede	你	vostede	你	PROPN	PRO;2
nunca	從	nunca	從	ADV	ADP
nunca	從	nunca	從	ADV	ADP
coma	讚	coma	讚	CONJ	
coma	就	coma	就	CONJ	ADV
coma	像	coma	像	CONJ	ADP
coma	喜歡	coma	喜歡	CONJ	V
están	她們	estar	她	V	PRO;PL;3
están	他們	estar	他	V	PRO;PL;3
están	它們	estar	它	V	PRO;PL;3
estás	你	estar	你	V	PRO;2
mundo	大家	mundo	大家	N	PRO
mundo	每個	mundo	每個	N	DET
che	你	che	你		PRO;2
home	man	home	man	N	
mellor	best	mellor	best	ADJ	
sempre	始終	sempre	始終	ADV	
sempre	永遠	sempre	永遠	ADV	N
sempre	總是	sempre	總是	ADV	
sempre	永遠	sempre	永遠	ADV	N
tes	你	tes	你	V	PRO;2
nin	甚至	nin	甚至	CONJ	ADV
nin	而且	nin	而且	CONJ	ADV
nin	和	nin	和	CONJ	ADP
nin	還	nin	還	CONJ	ADV
seus	他	seu	他	DET	PRO;3
seus	你	seu	你	DET	PRO;2
seus	她	seu	她	DET	PRO;3
dous	兩	dous	兩	N	NUM
dous	兩	dous	兩	N	NUM
dous	二	dous	二	N	NUM
grazas	你	graza	你	N	PRO;2
outra	再次	outro	再次	DET	ADV
outra	一	outro	一	DET	NUM
outra	one	outro	one	DET	
outra	一	outro	一	DET	NUM
es	你	e	你	N	PRO;2
antes	以前	antes	以前	ADV	N
antes	前	antes	前	ADV	N
antes	之前	antes	之前	ADV	N
ás	有	á	有	N	V
ese	這	ese	這	DET	PRO
esa	這	ese	這	DET	PRO
queres	你	quere	你	V	PRO;2
queres	想要	quere	想要	V	
verdade	真實	verdade	真實	N	ADJ
verdade	你	verdade	你	N	PRO;2
verdade	real	verdade	real	N	
verdade	真實	verdade	真實	N	ADJ
dun	一	dun	一	PROPN	NUM
dun	one	dun	one	PROPN	
dun	一	dun	一	PROPN	NUM
dun	來	dun	來	PROPN	V
dun	從	dun	從	PROPN	ADP
sabes	你	saber	你	V	PRO;2
entón	那	entón	那	ADV	PRO
aí	這裡	aí	這裡	ADV	PRO
aí	那	aí	那	ADV	DET
despois	後來	despois	後來	ADV	N
despois	稍後	despois	稍後	ADV	N
despois	以後	despois	以後	ADV	N
despois	之後	despois	之後	ADV	N
despois	那	despois	那	ADV	PRO
bo	早晨	bo	早晨	ADJ	N
bo	早上	bo	早上	ADJ	N
bo	上午	bo	上午	ADJ	N
falar	關於	falar	關於	V	ADP
quere	想要	querer	想要	V	
quere	你	querer	你	V	PRO;2
logo	那	logo	那	ADV	PRO
logo	之後	logo	之後	ADV	N
logo	後來	logo	後來	ADV	N
logo	稍後	logo	稍後	ADV	N
logo	以後	logo	以後	ADV	N
favor	請	favor	請	N	V
creo	唐	creo	唐	V	PROPN
creo	don	creo	don	V	
hoxe	今日	hoxe	今日	ADV	N
hoxe	今天	hoxe	今天	ADV	N
ninguén	任何	ninguén	任何	ADV	DET
ninguén	一	ninguén	一	ADV	NUM
ninguén	one	ninguén	one	ADV	
ninguén	一	ninguén	一	ADV	NUM
podes	你	poder	你	V	PRO;2
pouco	小	pouco	小	ADV	PART
pouco	bit	pouco	bit	ADV	
pouco	一些	pouco	一些	ADV	ADJ
pouco	有些	pouco	有些	ADV	V
dixo	她	dicir	她	V	PRO;3
alguén	某人	alguén	某人	PRO	N
alguén	有	alguén	有	PRO	V
alguén	任何	alguén	任何	PRO	DET
teñen	她們	ter	她	V	PRO;PL;3
teñen	他們	ter	他	V	PRO;PL;3
teñen	它們	ter	它	V	PRO;PL;3
menos	少	menos	少	ADV	
menos	少	menos	少	ADV	ADJ
menos	miss	menos	miss	ADV	
menos	小	menos	小	ADV	PART
dunha	來	dunha	來	N	V
dunha	從	dunha	從	N	ADP
outro	一	outro	一	DET	NUM
outro	one	outro	one	DET	
outro	一	outro	一	DET	NUM
súas	他	seu	他	DET	PRO;3
súas	你	seu	你	DET	PRO;2
súas	她	seu	她	DET	PRO;3
tres	三	tres	三	N	NUM
tres	三	tres	三	N	NUM
novo	新	novo	新	ADJ	PART
novo	再次	novo	再次	ADJ	ADV
novo	young	novo	young	ADJ	
todas	all	todo	all	DET	
di	她	dicir	她	V	PRO;3
días	日	día	日	N	PROPN
días	一	día	一	N	NUM
días	day	día	day	N	
sabe	你	saber	你	V	PRO;2
mañá	明天	mañá	明天	ADV	N
mañá	明日	mañá	明日	ADV	N
mañá	早晨	mañá	早晨	ADV	N
mañá	早上	mañá	早上	ADV	N
mañá	上午	mañá	上午	ADV	N
dende	來	dende	來	ADP	V
primeiro	首先	primeiro	首先	ADJ	
primeiro	第一	primeiro	第一	ADJ	NUM
parte	最多	parte	最多	N	ADJ
parte	大	parte	大	N	PART
parte	多數	parte	多數	N	ADJ
parte	大多	parte	大多	N	ADV
parte	大	parte	大	N	ADV
veces	有	vez	有	N	V
veces	times	vez	times	N	
veces	兩	vez	兩	N	NUM
claro	課程	claro	課程	ADJ	N
claro	清除	claro	清除	ADJ	V
canto	如何	canto	如何	PRO	
canto	久	canto	久	PRO	N
canto	長	canto	長	PRO	PART
pasa	關於	pasar	關於	V	ADP
pasa	錯誤	pasar	錯誤	V	N
pasa	錯	pasar	錯	V	
boa	尼斯	bo	尼斯	ADJ	PROPN
tanto	那	tanto	那	ADV	DET
toda	all	todo	all	DET	
fóra	出局	fóra	出局	ADV	V
fóra	外部	fóra	外部	ADV	N
fóra	室外	fóra	室外	ADV	N
fóra	外面	fóra	外面	ADV	N
fóra	外	fóra	外	ADV	N
fóra	獲取	fóra	獲取	ADV	V
fóra	獲得	fóra	獲得	ADV	V
fóra	得到	fóra	得到	ADV	V
mal	錯誤	mal	錯誤	ADV	N
mal	錯	mal	錯	ADV	
mal	壞	mal	壞	ADV	N
tarde	遲到	tarde	遲到	N	V
tarde	遲	tarde	遲	N	ADV
vas	你	ir	你	V	PRO;2
vas	威爾	ir	威爾	V	PROPN
poden	你	poder	你	V	PRO;2
poden	她們	poder	她	V	PRO;PL;3
poden	他們	poder	他	V	PRO;PL;3
poden	它們	poder	它	V	PRO;PL;3
poden	may	poder	may	V	
poden	梅	poder	梅	V	PROPN
poden	五	poder	五	V	NUM
poden	五	poder	五	V	NUM
persoas	誰	persoa	誰	N	PRO
parece	讚	parecer	讚	V	
parece	就	parecer	就	V	ADV
parece	像	parecer	像	V	ADP
quería	想要	querer	想要	V	
pois	你	pois	你	CONJ	PRO;2
dúas	兩	dous	兩	N	NUM
dúas	兩	dous	兩	N	NUM
dúas	二	dous	二	N	NUM
dúas	兩	dous	兩	N	NUM
ola	你	ola	你	N	PRO;2
ola	嘿	ola	嘿	N	
estes	這	este	這	DET	PRO
será	威爾	ser	威爾	V	PROPN
será	更好	ser	更好	V	ADJ
certo	真實	certo	真實	DET	ADJ
certo	右	certo	右	DET	N
feito	其	feito	其	N	PRO;3
feito	完成	feito	完成	N	V
poder	電力	poder	電力	V	N
poder	電源	poder	電源	V	N
poder	動力	poder	動力	V	N
poder	權力	poder	權力	V	N
tipo	guy	tipo	guy	N	
tipo	排序	tipo	排序	N	V
moitos	許多	moito	許多	DET	NUM
daquela	那	daquela	那	ADV	PRO
uns	關於	un	關於	DET	ADP
uns	一些	un	一些	DET	ADJ
uns	有些	un	有些	DET	V
saber	明知	saber	明知	V	
rei	國王	rei	國王	PROPN	N
rei	king	rei	king	PROPN	
rei	王	rei	王	PROPN	PROPN
rei	降落	rei	降落	PROPN	V
rei	登陸	rei	登陸	PROPN	V
rei	落地	rei	落地	PROPN	N
rei	著	rei	著	PROPN	PART;PROG
estas	這	este	這	DET	PRO
gran	棒	gran	棒	ADJ	N
gran	big	gran	big	ADJ	
gran	大	gran	大	ADJ	PART
gran	不列顛	gran	不列顛	ADJ	PROPN
até	直到	até	直到	ADV	ADP
tal	如何	tal	如何	DET	
tal	關於	tal	關於	DET	ADP
tal	或	tal	或	DET	ADV
tal	也	tal	也	DET	ADV
seguro	平安	seguro	平安	N	PROPN
seguro	你	seguro	你	N	PRO;2
auga	飲水	auga	飲水	N	V
vin	鋸	ver	鋸	V	N
vin	鋸子	ver	鋸子	V	N
medo	害怕	medo	害怕	N	V
medo	怕	medo	怕	N	
amor	愛	amor	愛	N	V
amor	love	amor	love	N	
moitas	非常	moito	非常	DET	ADV
moitas	許多	moito	許多	DET	NUM
moitas	你	moito	你	DET	PRO;2
facelo	那	facelo	那	N	DET
facelo	這	facelo	這	N	PRO
facelo	這	facelo	這	N	DET
grande	大型	grande	大型	ADJ	N
grande	big	grande	big	ADJ	
grande	大	grande	大	ADJ	PART
grande	棒	grande	棒	ADJ	N
nova	young	novo	young	ADJ	
nova	新	novo	新	ADJ	PART
ven	這裡	ver	這裡	V	PRO
morte	死亡	morte	死亡	N	V
cabeza	你	cabeza	你	N	PRO;2
debe	必須	deber	必須	V	V
debe	應	deber	應	V	V
vale	右	valar	右	V	N
vale	全部	valar	全部	V	DET
vale	所有	valar	所有	V	DET
