heller	heller	hell	heller	ADJ	N;NOM;SG
befreit	vabastatud	befreien	vabastatud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
befreit	vabastatud	befreien	vabastatud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
befreit	vabastatud	befreien	vabastatud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
befreit	vabastatud	befreien	vabastatud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
emanuel	emanuel	emanuel	emanu	PROPN;NOM;MASC;SG	N;NOM;SG
emanuel	emmanuel	emanuel	emmanu	PROPN;NOM;MASC;SG	N;NOM;SG
naturschutz	säilitamine	naturschutz	säilitamine	ADJ	N;NOM;SG
naturschutz	looduskaitse	naturschutz	loodus_kaitse	ADJ	N;NOM;SG
naturschutz	loodus	naturschutz	loodus	ADJ	N;NOM;SG
anliegen	mured	anliegen	mure		N;NOM;PL
kohle	süsi	kohl	süsi		N;NOM;SG
kohle	kivisüsi	kohl	kivi_süsi		N;NOM;SG
kohle	tainas	kohl	tainama		N;NOM;SG
kohle	süsi	kohl	süsi		N;NOM;SG
erteilt	emiteeritud	erteilen	emiteerima	V;V.PTCP	ADJ;PST;V.PTCP;PASS
erteilt	antud	erteilen	antud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
graham	graham	graham	graham	PROPN;NOM;SG	N;NOM;SG
hauptsitz	staap	hauptsitz	staap	V;V.PTCP	N;NOM;SG
hauptsitz	peakorter	hauptsitz	pea_korter	V;V.PTCP	N;NOM;SG
hauptsitz	peakorter	hauptsitz	pea_korter	V;V.PTCP	N;NOM;SG
caroline	caroline	caroline	caroline	PROPN;NOM;FEM;SG	N;NOM;SG
kaiserreich	impeerium	kaiserreich	impeerium	PROPN	N;NOM;SG
kaiserreich	impeeriumi	kaiserreich	impeerium	PROPN	N;PRT;SG
kaiserreich	keiserlik	kaiserreich	keiserlik	PROPN	ADJ;NOM;SG
konzern	ettevõtte	konzern	ette_võte		N;GEN;SG
konzern	rühm	konzern	rühm		N;NOM;SG
konzern	grupp	konzern	grupp		N;NOM;SG
konzern	grupis	konzern	grupp		N;IN+ESS;SG
konzern	konsolideeritud	konzern	konsolideeri=tud		ADJ;PST;V.PTCP;PASS
konzern	corporation	konzern	corporation		N;NOM;SG
konzern	korporatsioon	konzern	korporatsioon		N;NOM;SG
marokko	maroko	marokko	maroko	PROPN	N;NOM;SG
nordischen	põhjamaade	nordisch	põhja_maa	ADJ	N;GEN;PL
gebeten	palveid	bitten	palv	V;V.PTCP	N;PRT;PL
gebeten	palved	bitten	palve	V;V.PTCP	N;NOM;PL
wrestling	maadlus	wrestlingen	maadlus	ADJ	N;NOM;SG
ryan	ryan	ryan	ryan	PROPN;NOM;MASC;SG	N;NOM;SG
demo	demo	demo	demo		N;NOM;SG
renault	renault	renaulen	renault	PROPN;SG	N;NOM;SG
turner	võimleja	turn	võimleja	PROPN;NOM;SG	N;NOM;SG
turner	turner	turn	turner	PROPN;NOM;SG	N;NOM;SG
einnahmen	sissetulek	einnehmen	sisse_tulek	V;NFIN	N;NOM;SG
einnahmen	tulu	einnehmen	tulu	V;NFIN	N;NOM;SG
einnahmen	tulud	einnehmen	tulu	V;NFIN	N;NOM;PL
einnahmen	tulud	einnehmen	tulu	V;NFIN	N;NOM;PL
einnahmen	tulu	einnehmen	tulu	V;NFIN	N;NOM;SG
kritiken	kriitikud	kritik	kriitik	ADJ;PL	N;NOM;PL
kritiken	kriitikat	kritik	kriitika	ADJ;PL	N;PRT;SG
kritiken	kriitika	kritik	kriitika	ADJ;PL	N;NOM;SG
kritiken	kriitikat	kritik	kriitika	ADJ;PL	N;PRT;SG
kritiken	kriitika	kritik	kriitika	ADJ;PL	N;NOM;SG
renoviert	renoveeritud	renovieren	renoveerima	V;V.PTCP	ADJ;PST;V.PTCP;PASS
renoviert	renoveeritud	renovieren	renoveerima	V;V.PTCP	ADJ;PST;V.PTCP;PASS
kreuzung	ületamine	kreuzung	ületamine		N;NOM;SG
kreuzung	risttee	kreuzung	risttee		N;NOM;SG
gilbert	gilbert	gilbern	gilbert	PROPN	N;NOM;SG
jemals	ever	jemals	ever	ADV	N;NOM;SG
aufeinander	järjestikused	aufeinander	järjestikune	ADV	ADJ;NOM;PL
aufeinander	järjestikuste	aufeinander	järjestikune	ADV	ADJ;GEN;PL
aufeinander	järjestikuse	aufeinander	järjestikune	ADV	ADJ;GEN;SG
benennung	kokkusaamine	benennung	kokku_saamine	ADJ	N;NOM;SG
benennung	nimetamine	benennung	nimetamine	ADJ	N;NOM;SG
benennung	nimetamine	benennung	nimetamine	ADJ	N;NOM;SG
benennung	kandidatuuri	benennung	kandidatuur	ADJ	N;PRT;SG
benennung	nimetamine	benennung	nimetamine	ADJ	N;NOM;SG
benennung	tähistus	benennung	tähistus	ADJ	N;NOM;SG
benennung	määramine	benennung	määramine	ADJ	N;NOM;SG
benennung	nimetus	benennung	nimetus	ADJ	N;NOM;SG
captain	kapten	captain	kapten	PROPN;NOM;MASC;SG	N;NOM;SG
ausgang	väljund	ausgang	väljund		N;NOM;SG
ausgang	väljuvad	ausgang	väljuma		V;IND;PL;3;PRS;FIN;ACT
ausgang	väljuv	ausgang	väljuv		ADJ;NOM;SG;PRS;V.PTCP;ACT
ausgang	välju	ausgang	väli		V;IMP;PL;2;PRS;FIN;ACT
ausgang	väljumine	ausgang	väljumine		N;NOM;SG
ausgang	väljapääs	ausgang	välja_pääs		N;NOM;SG
estland	tallinn	estlind	tallinn		N;NOM;SG
estland	tallinna	estlind	tallinna		N;IN+ALL;LGSPEC1;SG
estland	eesti	estlind	eesti		ADJ
estland	estonia	estlind	estonia		N;NOM;SG
clara	clara	clara	clara	PROPN;NOM;SG	N;NOM;SG
älterer	vanemad	alt	vanem	ADJ	N;NOM;PL
erwachsenen	täiskasvanud	erwachsen	täis_kasvanu	ADJ	N;NOM;SG
erwachsenen	täiskasvanu	erwachsen	täis_kasvanu	ADJ	N;NOM;SG
erwachsenen	täiskasvanud	erwachsen	täis_kasvanu	ADJ	N;NOM;SG
garde	garde	garde	garde		N;NOM;SG
anzeige	kuva	anzeig	kuva		V;IMP;PL;2;PRS;FIN;ACT
systemen	süsteemid	systemen	süsteem	V;NFIN	N;NOM;PL
sierra	sierra	sierra	sierra	PROPN;NOM;SG	N;NOM;SG
trennen	eraldamine	trennen	eraldamine	V;NFIN	N;NOM;SG
trennen	lahutamine	trennen	lahutamine	V;NFIN	N;NOM;SG
trennen	eraldi	trennen	eraldi	V;NFIN	ADJ
sogn	sogn	sognen	sogn		
entscheidende	otsustav	entscheidend	otsustav	ADJ;NOM;FEM;PL	ADJ;NOM;SG;PRS;V.PTCP;ACT
entscheidende	ülioluline	entscheidend	üli_oluline	ADJ;NOM;FEM;PL	ADJ;NOM;SG
transportiert	transporditud	transportieren	transpordi=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
innenraum	sisustus	innenraum	sisustus	ADJ	N;NOM;SG
innenraum	sisemus	innenraum	sisemus	ADJ	N;NOM;SG
innenraum	interjöör	innenraum	interjöör	ADJ	N;NOM;SG
innenraum	siseruumides	innenraum	sise_ruum	ADJ	N;IN+ESS;PL
kennedy	kennedy	kennedy	kennedy	PROPN;NOM;MASC;SG	N;NOM;SG
karin	karin	karin	karima	PROPN;NOM;FEM;SG	N;NOM;SG
händler	ettevõtjad	händler	ette_võtja	ADJ	N;NOM;PL
händler	kauplejad	händler	kaupleja	ADJ	N;NOM;PL
händler	kaupmehed	händler	kaup_mees	ADJ	N;NOM;PL
händler	levitaja	händler	levitaja	ADJ	N;NOM;SG
händler	diiler	händler	diiler	ADJ	N;NOM;SG
händler	edasimüüja	händler	edasi_müüja	ADJ	N;NOM;SG
beförderung	vedu	beförderung	vedu	ADJ	N;NOM;SG
beförderung	tõld	beförderung	tõld	ADJ	N;NOM;SG
beförderung	edendamine	beförderung	edendamine	ADJ	N;NOM;SG
benachbarte	külgnevate	benachbart	külgnev	ADJ;NOM;FEM;PL	ADJ;GEN;PL;PRS;V.PTCP;ACT
durchschnitt	keskmine	durchschneiden	keskmine		ADJ;NOM;SG
durchschnitt	keskmised	durchschneiden	keskmine		ADJ;NOM;PL
singen	laulge	singen	laulma	V;NFIN	N;NOM;SG
singen	laula	singen	laulma	V;NFIN	N;NOM;SG
singen	laulmine	singen	laulmine	V;NFIN	N;NOM;SG
camp	laagri	camp	laager		N;NOM;SG
camp	laager	camp	laager		N;NOM;SG
camp	laagris	camp	laager		N;IN+ESS;SG
gefecht	lahing	fechen	lahing		N;NOM;SG
campbell	campbell	campbell	campbell	PROPN	N;NOM;SG
mind	meel	mind	meel		N;NOM;SG
mind	meele	mind	meel		N;GEN;SG
mind	mõistus	mind	mõistus		N;NOM;SG
mind	min	mind	min		N
beine	jalad	bein	jalg		N;NOM;PL
anführer	liider	anführer	liider	ADJ	N;NOM;SG
anführer	juht	anführer	juht	ADJ	N;NOM;SG
anführer	leader	anführer	leader	ADJ	N;NOM;SG
anführer	liidrid	anführer	liider	ADJ	N;NOM;PL
anführer	juhid	anführer	juht	ADJ	N;NOM;PL
techniken	tehnika	technik	tehnika	V;NFIN	N;NOM;SG
techniken	tehnikad	technik	tehnika	V;NFIN	N;NOM;PL
techniken	tehnikaid	technik	tehnika	V;NFIN	N;PRT;PL
asteroiden	asteroid	asteroiden	astero		N;NOM;SG
asteroiden	asteroidid	asteroiden	asteroid		N;NOM;PL
franco	franco	franco	franco	PROPN;NOM;MASC;SG	N;NOM;SG
betrachtung	kontemplatsioon	betrachtung	kontemplatsioon	V;IND;SG;3;PRS;FIN	N;NOM;SG
böden	muld	böden	muld		N;NOM;SG
böden	põrandad	böden	põrand		N;NOM;PL
böden	mulla	böden	muld		N;NOM;SG
böden	pinnas	böden	pind		N;NOM;SG
böden	muld	böden	muld		N;NOM;SG
option	variant	option	variant		N;NOM;SG
option	võimalus	option	võimalus		N;NOM;SG
option	valik	option	valik		N;NOM;SG
lukas	luke	lukas	luke	PROPN;NOM;MASC;SG	N;NOM;SG
lukas	lucas	lukas	lucga	PROPN;NOM;MASC;SG	N;NOM;SG
morgan	morgan	morgan	morkama	PROPN;NOM;SG	N;NOM;SG
bühnen	platvormide	bühnen	platvorm	N;NOM;PL	N;GEN;PL
bühnen	lava	bühnen	lava	N;NOM;PL	N;NOM;SG
bühnen	staadium	bühnen	staadium	N;NOM;PL	N;NOM;SG
bühnen	etapp	bühnen	etapp	N;NOM;PL	N;NOM;SG
porsche	porsche	porsch	porsche	PROPN;NOM;SG	N;NOM;SG
beurteilung	hindamine	beurteilung	hindamine	ADJ;NOM;FEM;SG	N;NOM;SG
beurteilung	hinnang	beurteilung	hinnang	ADJ;NOM;FEM;SG	N;NOM;SG
beurteilung	hindamine	beurteilung	hindamine	ADJ;NOM;FEM;SG	N;NOM;SG
beurteilung	hinnang	beurteilung	hinnang	ADJ;NOM;FEM;SG	N;NOM;SG
abgehalten	hoitud	abhalten	hoi=tud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
flecken	plekid	flecken	plekk	V;NFIN	N;NOM;PL
flecken	paigad	flecken	paik	V;NFIN	N;NOM;PL
flecken	täpid	flecken	täpp	V;NFIN	N;NOM;PL
japanisch	jaapanlased	japanisch	jaapanlane	ADJ	N;NOM;PL
sat	istusid	sat	istuma		V;IND;PL;3;PST;FIN;ACT
sat	istus	sat	istuma		V;IND;SG;3;PST;FIN;ACT
sat	sat	sat	saema		N;NOM;SG
fliehen	põgenemine	fliehen	põgenemine	V;NFIN	N;NOM;SG
fliehen	põgenemine	fliehen	põgenemine	V;NFIN	N;NOM;SG
stoffe	riie	stoffen	riie	N;NOM;PL	N;NOM;SG
erkenntnis	realiseerimise	erkenntnis	realiseerimine	V;IND;SG;3;PRS;FIN	N;GEN;SG
erkenntnis	ettekujutus	erkenntnis	ette_kujutus	V;IND;SG;3;PRS;FIN	N;NOM;SG
erkenntnis	taju	erkenntnis	taju	V;IND;SG;3;PRS;FIN	N;NOM;SG
château	château	château	château	PROPN;NOM;MASC;SG	N;NOM;SG
steven	steven	steven	steven	PROPN;NOM;SG	N;NOM;SG
parker	parker	park	parker	PROPN	N;NOM;SG
empfangen	saadud	empfangen	saadud	V;V.PTCP	ADJ;PST;V.PTCP;PASS
empfangen	vastuvõtmine	empfangen	vastu_võtmine	V;V.PTCP	N;NOM;SG
bruders	vend	bruders	vend		N;NOM;SG
bruders	venna	bruders	vend		N;GEN;SG
diff	diff	diff	diff		N;NOM;SG
pflicht	tollimaks	pflicht	tollim	ADJ	N;TRANS;SG
pflicht	kohustus	pflicht	kohustus	ADJ	N;NOM;SG
talent	anded	talent	andma	ADJ	N;NOM;PL
talent	andeid	talent	anne	ADJ	N;PRT;PL
talent	talent	talent	talent	ADJ	N;NOM;SG
talent	ande	talent	andma	ADJ	N;PRT;PL
talent	annet	talent	anne	ADJ	N;PRT;SG
fire	tuli	fein	tuli		N;NOM;SG
fire	tulekahju	fein	tule_kahju		N;NOM;SG
fire	tuld	fein	tuli		N;PRT;SG
türkisch	türgi	türkisch	türgi	ADJ	N;NOM;SG
passagiere	reisijad	passagieren	reisija		N;NOM;PL
passagiere	reisija	passagieren	reisija		N;NOM;SG
passagiere	sõitja	passagieren	sõitja		N;NOM;SG
passagiere	reisijate	passagieren	reisija		N;GEN;PL
generalsekretär	sekretär	generalsekretär	sekretär	ADJ	N;NOM;SG
schnellen	kiiresti	schnell	kiiresti	ADJ	ADV
wusste	teadsid	wissen	teadma	V;IND;SG;3;PST;FIN	V;IND;PL;3;PST;FIN;ACT
wusste	teadsin	wissen	teadma	V;IND;SG;3;PST;FIN	V;IND;SG;1;PST;FIN;ACT
bahnen	raudteed	bahnen	raud_tee	V;NFIN	N;NOM;SG
bahnen	raudteede	bahnen	raud_tee	V;NFIN	N;GEN;PL
bahnen	rajad	bahnen	rada	V;NFIN	N;NOM;PL
bahnen	rongid	bahnen	rong	V;NFIN	N;NOM;PL
theologische	teoloogilisi	theologisch	teoloogiline	ADJ;NOM;FEM;PL	ADJ;PRT;PL
