категорія	kategória	категорія	kategória	N;INAN;NOM;FEM;SG	
від	től	від	től	ADP;GEN	
від	tól	від	tól	ADP;GEN	
від	from	від	from	ADP;GEN	
від	vid	від	vid	ADP;GEN	N;NOM;SG
для	for	для	for	ADP;GEN	
також	szintén	також	szintén	ADV	
також	úgyszintén	також	úgyszintén	ADV	
про	kb	про	kb	ADP;ACC	N;NOM;SG
про	nagyjából	про	nagy	ADP;ACC	N;IN+ABL;SG
про	körülbelül	про	körülbelül	ADP;ACC	ADV
його	neki	він	ő	PRO;ACC;MASC;SG;3	
населення	demográfiai	населення	demográfiai	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
він	wien	він	wien	PRO;NOM;MASC;SG;3	
під	alatta	під	alat	ADP;ACC	
під	alatta	під	alat	ADP;ACC	
під	alatta	під	alat	ADP;ACC	
після	after	після	after	ADP;GEN	
після	miután	після	miután	ADP;GEN	CONJ
після	utána	після	utána	ADP;GEN	
час	idők	час	idő	N;INAN;NOM;MASC;SG	
час	időpontok	час	időpont	N;INAN;NOM;MASC;SG	N;NOM;PL
області	térségek	область	térség	N;INAN;GEN;FEM;SG	N;NOM;PL
області	területek	область	terület	N;INAN;GEN;FEM;SG	N;NOM;PL
які	ami	який	ami	DET;NOM;PL	PRO;NOM;SG;3
які	melyik	який	melyik	DET;NOM;PL	
які	mely	який	mely	DET;NOM;PL	
які	amely	який	amely	DET;NOM;PL	PRO;NOM;SG;3
при	pri	при	pri	ADP;ESS	PROPN;NOM;SG
який	ami	який	ami	DET;NOM;MASC;SG	PRO;NOM;SG;3
який	melyik	який	melyik	DET;NOM;MASC;SG	
який	mely	який	mely	DET;NOM;MASC;SG	
який	amely	який	amely	DET;NOM;MASC;SG	PRO;NOM;SG;3
осіб	személyek	особа	személy	N;ANIM;ACC;FEM;PL	N;NOM;PL
міста	városok	місто	város	N;INAN;NOM;NEUT;SG	N;NOM;PL
міста	városokat	місто	város	N;INAN;NOM;NEUT;SG	N;ACC;PL
див	lásd	див.	lásd		
село	falusi	село	falusi	N;INAN;NOM;NEUT;SG	ADJ;NOM;SG
район	kerület	район	kerület	N;INAN;NOM;MASC;SG	
через	via	через	via	ADP;ACC	
через	esedékes	через	esedékes	ADP;ACC	
через	át	через	át	ADP;ACC	ADV
села	falvak	село	falu	N;INAN;NOM;NEUT;SG	N;NOM;PL
так	igen	так	igen	INTJ	
так	igen	так	igen	INTJ	
тому	ezért	тому	ezért	ADV	CONJ
рік	rick	рік	rick	N;INAN;NOM;MASC;SG	
рік	évi	рік	évi	N;INAN;NOM;MASC;SG	
