stregone	ساحر.	stregone	ساحر.	N;MASC;SG	PROPN;NOM;MASC;SG;3
elefante	فیل	elefante	فیل	N;SG	V;ACT
esporre	آزار	esporre	آزار	V;NFIN	
esporre	پُرخطر.	esporre	پُرخطر.	V;NFIN	ADJ
prostituzione	قحبگی	prostituzione	قحبگی	N;FEM;SG	PROPN;NOM;MASC;SG;3
coinvolgere	عمل	coinvolgere	عمل	V;NFIN	N;NOM;MASC;SG;3
festeggia	تہوار	festeggiare	تہوار	V;IND;SG;3;PRS;FIN	N;NOM;MASC;SG;3
festeggia	باشرف	festeggiare	باشرف	V;IND;SG;3;PRS;FIN	PROPN;NOM;MASC;SG;3
unitaria	واحدی	unitario	واحدی	ADJ;FEM;SG	
lente	عدسہ	lente	عدسہ	N;FEM;SG	PROPN;NOM;MASC;SG;3
immediate	متقاضی.	immediato	متقاضی.	ADJ;FEM;PL	PROPN;NOM;MASC;SG;3
immediate	بلاواسطہ	immediato	بلاواسطہ	ADJ;FEM;PL	CONJ
immediate	وہبی	immediato	وہبی	ADJ;FEM;PL	
separatamente	علاحدگی	separatamente	علاحدگی	ADV	ADJ
separatamente	افتراق	separatamente	افتراق	ADV	N;NOM;MASC;SG;3
prussiana	پروشیائی	prussiano	پروشیائی	ADJ;FEM;SG	PROPN;NOM;MASC;SG;3
opposti	مدّمقابل.	opposto	مدّمقابل.	ADJ;MASC;PL	N
opposti	ڈنڈی	opposto	ڈنڈی	ADJ;MASC;PL	PROPN;NOM;MASC;SG;3
salti	from	salto	from	N;MASC;PL	
salti	اچھلنا	salto	اچھل	N;MASC;PL	V;MASC;SG;NFIN;ACT
salti	کدانا	salto	کدانا	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	اضطراب.	salto	اضطراب.	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	چھلانگ.	salto	چھلانگ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	in	salto	in	N;MASC;PL	
salti	چڑھنا	salto	چڑھ	N;MASC;PL	V;MASC;SG;NFIN;ACT
salti	چڑھانا.	salto	چڑھاناؤ	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	from	salto	from	N;MASC;PL	
salti	اچھلنا	salto	اچھل	N;MASC;PL	V;MASC;SG;NFIN;ACT
salti	کدانا	salto	کدانا	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	زقند	salto	زقند	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	اضطراب.	salto	اضطراب.	N;MASC;PL	PROPN;NOM;MASC;SG;3
salti	چھلانگ.	salto	چھلانگ.	N;MASC;PL	PROPN;NOM;MASC;SG;3
