категория	kategórie	категория	kategória	N;INDF;FEM;SG	N;NOM;FEM;PL
през	skrze	през	skrze	ADP	N;ANIM;NOM;MASC;SG
през	skrz	през	skrz	ADP	
като	jako	като	jako	CONJ	
като	ako	като	ako	CONJ	ADV
като	like	като	lika	CONJ	N;ANIM;VOC;MASC;SG
това	to	този	to	PRO;NOM;NEUT;SG	DET;NOM;NEUT;SG
това	táto	този	táto	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
това	tento	този	tento	PRO;NOM;NEUT;SG	DET;INAN;NOM;MASC;SG
това	toto	този	toto	PRO;NOM;NEUT;SG	DET;NOM;NEUT;SG
това	túto	този	táto	PRO;NOM;NEUT;SG	DET;ACC;FEM;SG
български	bulharských	български	bulharský	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL
българия	bulharska	българия	bulharsky	PROPN;INDF;FEM;SG	N;NOM;NEUT;PL
българия	bulharskom	българия	bulharský	PROPN;INDF;FEM;SG	ADJ;INS;NEUT;SG
българия	bulharsko	българия	bulharsko	PROPN;INDF;FEM;SG	N;NOM;NEUT;SG
време	time	време	tima	N;INDF;NEUT;SG	
която	ktorú	който	ktorý	PRO;NOM;FEM;SG	DET;ACC;FEM;SG
която	ktoré	който	ktorý	PRO;NOM;FEM;SG	DET;NOM;NEUT;SG
която	ktorá	който	ktorý	PRO;NOM;FEM;SG	DET;NOM;FEM;SG
която	ktorý	който	ktorý	PRO;NOM;FEM;SG	DET;ANIM;NOM;MASC;SG
което	ktorú	който	ktorý	PRO;NOM;NEUT;SG	DET;ACC;FEM;SG
което	ktoré	който	ktorý	PRO;NOM;NEUT;SG	DET;NOM;NEUT;SG
което	ktorá	който	ktorý	PRO;NOM;NEUT;SG	DET;NOM;FEM;SG
което	ktorý	който	ktorý	PRO;NOM;NEUT;SG	DET;ANIM;NOM;MASC;SG
външни	externý	външен	externý	ADJ;INDF;PL	ADJ;ANIM;NOM;MASC;SG
външни	vonkajšie	външен	vonkajší	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
външни	vonkajší	външен	vonkajší	ADJ;INDF;PL	ADJ;INAN;NOM;MASC;SG
външни	externé	външен	externý	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
външни	vonkajšia	външен	vonkajší	ADJ;INDF;PL	ADJ;NOM;FEM;SG
град	city	град	cit	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
град	mestské	град	mestský	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG
много	veľ	много	veľ	ADV;INDF;PL	
много	velmi	много	velmi	ADV;INDF;PL	PROPN;ANIM;NOM;MASC;SG
много	mnohé	много	mnohý	ADV;INDF;PL	ADJ;NOM;NEUT;SG
много	mnohí	много	mnoho	ADV;INDF;PL	ADJ;ANIM;NOM;MASC;PL
много	veľa	много	veľa	ADV;INDF;PL	NUM;NOM;NEUT;SG
много	mnoho	много	mnoho	ADV;INDF;PL	NUM;NOM;NEUT;SG
много	vela	много	vela	ADV;INDF;PL	INTJ
също	aj	също	aj	ADV	PART
също	tiež	също	tiež	ADV	PART
век	storočia	век	storočie	N;INDF;MASC;SG	N;NOM;NEUT;PL
село	dediny	село	dedina	N;INDF;NEUT;SG	N;NOM;FEM;PL
един	one	един	ona	NUM;INDF;MASC;SG	
около	dookola	около	dookola	ADP	ADV
софия	sofia	софия	sofia	PROPN;INDF;FEM;SG	PROPN;NOM;FEM;SG
софия	sophia	софия	sophia	PROPN;INDF;FEM;SG	N;NOM;FEM;SG
други	iný	друг	iný	ADJ;INDF;PL	DET;ANIM;NOM;MASC;SG
други	ďalšie	друг	ďalší	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	iná	друг	iný	ADJ;INDF;PL	DET;NOM;FEM;SG
други	iné	друг	iný	ADJ;INDF;PL	DET;NOM;NEUT;SG
други	ostatné	друг	ostatný	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
други	iný	друг	iný	ADJ;INDF;PL	DET;ANIM;NOM;MASC;SG
други	ostatný	друг	ostatný	ADJ;INDF;PL	ADJ;ANIM;NOM;MASC;SG
други	iní	друг	iný	ADJ;INDF;PL	DET;ANIM;NOM;MASC;PL
други	iné	друг	iný	ADJ;INDF;PL	DET;NOM;NEUT;SG
други	ostatné	друг	ostatný	ADJ;INDF;PL	ADJ;NOM;NEUT;SG
още	stale	още	stať	ADV	
още	viacej	още	viaci	ADV	NUM;NOM;NEUT;SG
още	ďalšie	още	ďalší	ADV	ADJ;NOM;NEUT;SG
още	viac	още	viac	ADV	NUM;NOM;NEUT;SG
война	vojnové	война	vojnový	N;INDF;FEM;SG	ADJ;NOM;NEUT;SG
война	vojny	война	vojna	N;INDF;FEM;SG	N;NOM;FEM;PL
война	vojnový	война	vojnový	N;INDF;FEM;SG	ADJ;ANIM;NOM;MASC;SG
война	war	война	war	N;INDF;FEM;SG	
само	ibaže	само	ibaže	ADV	CONJ
само	iba	само	iba	ADV	PART
само	len	само	len	ADV	PART
само	iba	само	iba	ADV	PART
само	len	само	len	ADV	PART
само	proste	само	prost	ADV	PART
област	okres	област	okres	N;INDF;FEM;SG	INTJ
област	oblasti	област	oblasť	N;INDF;FEM;SG	N;NOM;FEM;PL
място	umiestnenia	място	umiestnenie	N;INDF;NEUT;SG	N;NOM;NEUT;PL
когато	keď	когато	keď	ADV	CONJ
когато	ked	когато	ked	ADV	PART
когато	kedy	когато	kedy	ADV	ADV
вид	napíšte	вид	napísiť	N;INDF;MASC;SG	V;PFV;IMP;PL;2;POS;FIN
вид	druhov	вид	druh	N;INDF;MASC;SG	N;INAN;GEN;MASC;PL
вид	druhy	вид	druh	N;INDF;MASC;SG	N;INAN;NOM;MASC;PL
една	edna	един	edeň	NUM;INDF;FEM;SG	PROPN;NOM;FEM;SG
една	one	един	ona	NUM;INDF;FEM;SG	
всички	all	всеки	all	PRO;NOM;PL	
всички	vsetky	всеки	vsetok	PRO;NOM;PL	N;NOM;FEM;PL
всички	všetky	всеки	všetok	PRO;NOM;PL	DET;INAN;NOM;MASC;PL
всички	všetkých	всеки	všetok	PRO;NOM;PL	DET;ANIM;ACC;MASC;PL
всички	všetci	всеки	všetok	PRO;NOM;PL	DET;ANIM;NOM;MASC;PL
всички	všetko	всеки	všetok	PRO;NOM;PL	DET;NOM;NEUT;SG
всички	každý	всеки	každý	PRO;NOM;PL	DET;ANIM;NOM;MASC;SG
всички	každého	всеки	každý	PRO;NOM;PL	DET;ANIM;ACC;MASC;SG
всички	vsetci	всеки	vsetec	PRO;NOM;PL	N;ANIM;NOM;MASC;SG
всички	všetkým	всеки	všetok	PRO;NOM;PL	DET;ANIM;DAT;MASC;PL
всички	všetci	всеки	všetok	PRO;NOM;PL	DET;ANIM;NOM;MASC;PL
семейство	rodinná	семейство	rodinný	N;INDF;NEUT;SG	ADJ;NOM;FEM;SG
започва	zacina	започвам-(се)	zacin	V;IPFV;IND;SG;3;PRS;FIN;ACT	
започва	začne	започвам-(се)	začať	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IND;SG;3;POS;PRS;FIN
започва	zacne	започвам-(се)	zacne	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;PFV;IMP;SG;2;POS;FIN
