kategória	kategori	kategória	kategori	N;NOM;FEM;SG	
roku	yıl	rok	yıl	N;INAN;GEN;MASC;SG	
roku	yılı	rok	yıl	N;INAN;GEN;MASC;SG	
roku	sene	rok	sene	N;INAN;GEN;MASC;SG	
ako	nasil	ako	nasil	ADV	
ako	nası	ako	nası	ADV	
ako	nasıl	ako	nasıl	ADV	
ako	like	ako	like	ADV	
ako	beğen	ako	beğen	ADV	
ako	gibi	ako	gibi	ADV	
bol	bol	byť	bol	V;ANIM;IPFV;MASC;SG;POS;PST;V.PTCP	
pozri	görün	pozrieť	görün	V;PFV;IMP;SG;2;POS;FIN	V;PFV;IMP;PL;2;POS;PRS
pozri	görmek	pozrieť	gör	V;PFV;IMP;SG;2;POS;FIN	V;PFV;NOM;IND;POS;PRS;V.MSDR
obce	köyleri	obec	köy	N;NOM;FEM;PL	N;ACC;PL;3
mba	mba	mba	mba		
obec	komün	obec	komün	N;NOM;FEM;SG	
obec	belediye	obec	beledi	N;NOM;FEM;SG	
obec	belediyesi	obec	belediye	N;NOM;FEM;SG	
obec	belediyeye	obec	belediye	N;NOM;FEM;SG	N;DAT;SG;3
obec	köyü	obec	köy	N;NOM;FEM;SG	
obec	köy	obec	köy	N;NOM;FEM;SG	
pre	icin	pre	icin	ADP;ACC	
pre	için	pre	için	ADP;ACC	
jeho	onunki	jeho	onunki	DET;NOM;NEUT;SG;3	
jeho	onun	jeho	o	DET;NOM;NEUT;SG;3	PRO;GEN;SG;3
ktorá	hangi	ktorý	hangi	DET;NOM;FEM;SG	ADJ
ktorá	hangisi	ktorý	hangi	DET;NOM;FEM;SG	
bod	puan	bod	pu	N;INAN;NOM;MASC;SG	
bod	nokta	bod	nokta	N;INAN;NOM;MASC;SG	
pri	pri	pri	pri	ADP;ESS	
ktoré	hangi	ktorý	hangi	DET;NOM;NEUT;SG	ADJ
ktoré	hangisi	ktorý	hangi	DET;NOM;NEUT;SG	
ktorý	hangi	ktorý	hangi	DET;ANIM;NOM;MASC;SG	ADJ
ktorý	hangisi	ktorý	hangi	DET;ANIM;NOM;MASC;SG	
zoznam	liste	zoznam	lis	N;INAN;NOM;MASC;SG	
zoznam	listeyi	zoznam	liste	N;INAN;NOM;MASC;SG	N;ACC;SG;3
odkazy	referans	odkaz	referans	N;INAN;NOM;MASC;PL	
odkazy	bağlar	odkaz	bağla	N;INAN;NOM;MASC;PL	
socorro	socorro	socorro	socorro	N;NOM;NEUT;SG	PROPN;NOM;SG;3
externé	harici	externý	harici	ADJ;NOM;NEUT;SG	
ale	fakat	ale	fakat	CONJ	
iné	diğer	iný	diğer	DET;NOM;NEUT;SG	ADJ
iné	diğeri	iný	diğer	DET;NOM;NEUT;SG	N;NOM;SG;3
iné	öteki	iný	öteki	DET;NOM;NEUT;SG	
iné	diger	iný	diger	DET;NOM;NEUT;SG	
iné	diger	iný	diger	DET;NOM;NEUT;SG	
iné	diğerleri	iný	diğer	DET;NOM;NEUT;SG	N;ACC;PL;3
iné	diğerlerini	iný	diğer	DET;NOM;NEUT;SG	N;ACC;PL;3
iné	başkaları	iný	başka	DET;NOM;NEUT;SG	ADJ;ACC;PL;3
počet	rakam	počet	rakam	N;INAN;NOM;MASC;SG	
počet	numara	počet	numar	N;INAN;NOM;MASC;SG	
počet	sayı	počet	say	N;INAN;NOM;MASC;SG	
podľa	altında	podľa	alt	ADP;GEN	ADJ;ESS;SG;3
podľa	altinda	podľa	alt	ADP;GEN	ADJ;ESS;SG;3
podľa	altına	podľa	alt	ADP;GEN	ADJ;DAT;SG;3
miesto	nokta	miesto	nokta	N;NOM;NEUT;SG	
miesto	spot	miesto	spot	N;NOM;NEUT;SG	
miesto	konumu	miesto	konum	N;NOM;NEUT;SG	N;ACC;SG;3
miesto	yeri	miesto	yer	N;NOM;NEUT;SG	N;ACC;SG;3
miesto	mekanı	miesto	mekan	N;NOM;NEUT;SG	N;ACC;SG;3
miesto	mekan	miesto	mekan	N;NOM;NEUT;SG	
miesto	mekân	miesto	mekân	N;NOM;NEUT;SG	
miesto	sitede	miesto	site	N;NOM;NEUT;SG	N;ESS;SG;3
obcí	belediyeler	obec	belediye	N;GEN;FEM;PL	N;NOM;PL;3
obci	komün	obec	komün	N;DAT;FEM;SG	
jej	onun	ona	o	PRO;DAT;FEM;SG;3	PRO;GEN;SG;3
jej	onu	ona	o	PRO;DAT;FEM;SG;3	PRO;ACC;SG;3
ich	onların	on	o	PRO;NOM;MASC;PL;3	PRO;GEN;PL;3
ich	onlarin	on	o	PRO;NOM;MASC;PL;3	
ich	onları	on	o	PRO;NOM;MASC;PL;3	PRO;ACC;PL;3
