категория	luokan	категория	luokka	N;INAN;NOM;FEM;SG	N;GEN;SG
что	mitä	что	mikä	PRO;NOM	PRO;PRT;SG
для	varten	для	varten	ADP	ADV
как	miten	как	miten	CONJ	ADV
как	kuinka	как	kuinka	CONJ	ADV
как	tykkää	как	tykätä	CONJ	V;IMP;SG;2;FIN;ACT
был	oliko	быть	olla	V;IPFV;MASC;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
его	hänen	он	hän	PRO;ACC;MASC;SG;3	PRO;GEN;SG;3
это	tämän	это	tämä	PRO;INAN;NOM;NEUT;SG	PRO;GEN;SG
это	tätä	это	tämä	PRO;INAN;NOM;NEUT;SG	PRO;PRT;SG
это	tästä	это	tämä	PRO;INAN;NOM;NEUT;SG	PRO;IN+ABL;SG
это	että	это	että	PRO;INAN;NOM;NEUT;SG	CONJ
после	jälkeen	после	jälkeen	ADP	ADV
после	after	после	after	ADP	
области	alueilla	область	alue	N;INAN;NOM;FEM;PL	N;AT+ESS
;PL
год	vuoden	год	vuosi	N;INAN;NOM;MASC;SG	N;GEN;SG
год	vuonna	год	vuosi	N;INAN;NOM;MASC;SG	N;FRML;SG
было	oliko	быть	olla	V;IPFV;NEUT;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
время	ajan	время	aika	N;INAN;NOM;NEUT;SG	N;GEN;SG
время	aikaa	время	aika	N;INAN;NOM;NEUT;SG	N;PRT;SG
была	oli	быть	olla	V;IPFV;FEM;IND;SG;PST;FIN;ACT	V;IND;SG;3;PST;FIN;ACT
место	paikassa	место	paikka	N;INAN;NOM;NEUT;SG	N;IN+ESS;SG
место	place	место	place	N;INAN;NOM;NEUT;SG	
были	olivat	быть	olla	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
были	olivatko	быть	olla	V;IPFV;IND;PL;PST;FIN;ACT	V;IND;PL;3;PST;FIN;ACT
район	naapuruston	район	naapurusto	N;INAN;NOM;MASC;SG	N;GEN;SG
вид	lajit	вид	laji	N;INAN;NOM;MASC;SG	N;NOM;PL
вид	lajien	вид	laji	N;INAN;NOM;MASC;SG	N;GEN;PL
вид	näytä	вид	näyttää	N;INAN;NOM;MASC;SG	V;IMP;SG;2;FIN;ACT
вид	mieltä	вид	mieli	N;INAN;NOM;MASC;SG	N;PRT;SG
под	alta	под	alta	ADP	ADV
под	alle	под	alle	ADP	ADV
под	alla	под	alla	ADP	ADV
только	ainoastaan	только	ainoastaan	PART	ADV
только	vain	только	vain	PART	ADV
только	vain	только	vain	PART	ADV
есть	sai	быть	saada	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;0;PST;FIN;ACT
есть	sain	быть	saada	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;IND;SG;1;PST;FIN;ACT
язык	kielet	язык	kieli	N;INAN;NOM;MASC;SG	N;NOM;PL
ссср	neuvostoliiton	ссср	neuvosto#liitto	PROPN;INAN;NOM;MASC;SG	N;GEN;SG
ссср	neuvostoliitto	ссср	neuvosto#liitto	PROPN;INAN;NOM;MASC;SG	N;NOM;SG
районе	naapurusto	район	naapurusto	N;INAN;ESS;MASC;SG	N;NOM;SG
районе	naapuruston	район	naapurusto	N;INAN;ESS;MASC;SG	N;GEN;SG
мая	touko	май	touko	N;INAN;GEN;MASC;SG	N;NOM;SG
мая	toukokuu	май	toukokuu	N;INAN;GEN;MASC;SG	N;NOM;SG
мая	voi	май	voi	N;INAN;GEN;MASC;SG	INTJ
мая	toukokuuta	май	toukokuu	N;INAN;GEN;MASC;SG	N;PRT;SG
дата	treffit	дата	treffi	N;INAN;NOM;FEM;SG	N;NOM;PL
ноября	marraskuuta	ноябрь	marraskuu	N;INAN;GEN;MASC;SG	N;PRT;SG
ноября	marraskuussa	ноябрь	marraskuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
ноября	marraskuu	ноябрь	marraskuu	N;INAN;GEN;MASC;SG	N;NOM;SG
деревня	kylän	деревня	kylä	N;INAN;NOM;FEM;SG	N;GEN;SG
деревня	kylässä	деревня	kylä	N;INAN;NOM;FEM;SG	N;IN+ESS;SG
деревня	kyl	деревня	kyllä	N;INAN;NOM;FEM;SG	ADV
где	missä	где	mikä	ADV	PRO;IN+ESS;SG
где	jossa	где	joka	ADV	PRO;IN+ESS;SG
января	tammikuu	январь	tammikuu	N;INAN;GEN;MASC;SG	N;NOM;SG
января	tammikuussa	январь	tammikuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
января	tammikuuta	январь	tammikuu	N;INAN;GEN;MASC;SG	N;PRT;SG
марта	marta	март	marra	N;INAN;GEN;MASC;SG	PROPN;NOM;SG
марта	martha	март	martha	N;INAN;GEN;MASC;SG	N;NOM;SG
марта	marssi	март	marssia	N;INAN;GEN;MASC;SG	V;IND;SG;3;PST;FIN;ACT
марта	maaliskuu	март	maaliskuu	N;INAN;GEN;MASC;SG	N;NOM;SG
марта	maaliskuuta	март	maaliskuu	N;INAN;GEN;MASC;SG	N;PRT;SG
марта	marssia	март	marssi	N;INAN;GEN;MASC;SG	V;SG;NFIN;ACT
все	kaiken	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;GEN;SG
все	kaikille	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;AT+ALL;PL
все	kaikille	все	kaikki	PRO;INAN;NOM;NEUT;SG	PRO;AT+ALL;PL
августа	elokuu	август	elokuu	N;INAN;GEN;MASC;SG	N;NOM;SG
августа	elokuuta	август	elokuu	N;INAN;GEN;MASC;SG	N;PRT;SG
августа	elokuussa	август	elokuu	N;INAN;GEN;MASC;SG	N;IN+ESS;SG
августа	august	август	august	N;INAN;GEN;MASC;SG	N;NOM;SG
августа	augusta	август	augu	N;INAN;GEN;MASC;SG	N;NOM;SG
