το	do	ο	do	DET;NOM;DEF;NEUT;SG	PROPN
από	da	από	da	ADP	V
από	do	από	do	ADP	PROPN
από	pola	από	pola	ADP	N
από	polo	από	polo	ADP	N
με	coa	με	coar	ADP	V
με	co	με	co	ADP	PROPN
να	a	να	o	PART	DET
να	para	να	para	PART	ADP
να	que	να	que	PART	PRO
σε	no	σε	no	ADP	V
σε	na	σε	na	ADP	N
είναι	é	είμαι	ser	V;IPFV;IND;SG;3;PRS;FIN;PASS	V
τους	os	μου	o	PRO;GEN;MASC;PL;3	DET
τους	deles	μου	del	PRO;GEN;MASC;PL;3	PROPN
ήταν	foi	είμαι	ser	V;IPFV;IND;SG;3;PST;FIN;PASS	V
ως	como	ως	como	ADV	PRO
ως	coma	ως	coma	ADV	CONJ
ένα	unha	ένας	un	NUM;NOM;NEUT;SG	DET
ένα	un	ένας	un	NUM;NOM;NEUT;SG	DET
ότι	que	ότι	que	CONJ	PRO
ότι	iso	ότι	iso	CONJ	PRO
μια	unha	ένας	un	NUM;NOM;FEM;SG	DET
μια	un	ένας	un	NUM;NOM;FEM;SG	DET
θα	vai	θα	ir	PART	V
μετά	e	μετά	e	ADV	CONJ
μετά	tras	μετά	tras	ADV	ADP
μετά	de	μετά	de	ADV	ADP
όπως	como	όπως	como	ADV	PRO
όπως	coma	όπως	coma	ADV	CONJ
όπως	como	όπως	como	ADV	PRO
όπως	coma	όπως	coma	ADV	CONJ
είχε	que	έχω	que	V;IPFV;IND;SG;3;PST;FIN;ACT	PRO
ενώ	mentres	ενώ	mentres	CONJ	ADV
ενώ	tempo	ενώ	tempo	CONJ	N
δύο	dous	δύο	dous	NUM;NOM;MASC;PL	N
δύο	dúas	δύο	dous	NUM;NOM;MASC;PL	N
αυτό	esta	αυτός	este	PRO;NOM;NEUT;SG;3	DET
αυτό	este	αυτός	este	PRO;NOM;NEUT;SG;3	DET
όπου	onde	όπου	onde	ADV	PRO
όπου	queira	όπου	queira	ADV	V
όπου	esteas	όπου	estas	ADV	V
όπου	onde	όπου	onde	ADV	PRO
όταν	cando	όταν	cando	CONJ	PRO
μέχρι	que	μέχρι	que	ADP	PRO
μέχρι	até	μέχρι	até	ADP	ADV
μία	unha	ένας	un	NUM;NOM;FEM;SG	DET
μία	un	ένας	un	NUM;NOM;FEM;SG	DET
μπορεί	non	μπορώ	non	V;IPFV;IND;SG;3;PRS;FIN;ACT	PART
ομάδα	de	ομάδα	de	N;ACC;FEM;SG	ADP
ομάδα	de	ομάδα	de	N;ACC;FEM;SG	ADP
μεταξύ	os	μεταξύ	o	ADP	DET
πρώτη	primeiro	πρώτος	primeiro	NUM;NOM;FEM;SG	ADJ
πρώτη	primeira	πρώτος	primeiro	NUM;NOM;FEM;SG	ADJ
πόλη	city	πόλη	city	N;NOM;FEM;SG	PROPN
πόλη	da	πόλη	da	N;NOM;FEM;SG	V
μόνο	único	μόνο	único	ADV	ADJ
μόνο	única	μόνο	único	ADV	ADJ
έγινε	feito	γίνομαι	feito	V;PFV;IND;SG;3;PST;FIN;PASS	N
κάθε	os	κάθε	o	PRO;ACC;FEM;SG;3	DET
κάθε	as	κάθε	o	PRO;ACC;FEM;SG;3	DET
κάθε	todos	κάθε	todo	PRO;ACC;FEM;SG;3	DET
κάθε	cada	κάθε	cada	PRO;ACC;FEM;SG;3	DET
κάθε	todas	κάθε	todo	PRO;ACC;FEM;SG;3	DET
κάθε	entre	κάθε	entre	PRO;ACC;FEM;SG;3	ADP
κάθε	cada	κάθε	cada	PRO;ACC;FEM;SG;3	DET
κάθε	uns	κάθε	un	PRO;ACC;FEM;SG;3	DET
κάθε	un	κάθε	un	PRO;ACC;FEM;SG;3	DET
περιοχή	do	περιοχή	do	N;NOM;FEM;SG	PROPN
περιοχή	sudeste	περιοχή	sudeste	N;NOM;FEM;SG	PROPN
αιώνα	xiii	αιώνας	xiii	N;ACC;MASC;SG	PROPN
έτσι	que	έτσι	que	ADV	PRO
αθήνα	atenas	αθήνα	atena	PROPN;ACC;FEM;SG	N
περίοδο	a	περίοδος	o	N;ACC;FEM;SG	DET
τότε	e	τότε	e	ADV	CONJ
όνομα	se	όνομα	se	N;NOM;NEUT;SG	CONJ
ελλάδα	grecia	ελλάδα	grecio	PROPN;ACC;FEM;SG	N
σήμερα	día	σήμερα	día	ADV	N
μέσα	interior	μέσα	interior	ADV	ADJ
μέσα	en	μέσα	en	ADV	ADP
μέσα	no	μέσα	no	ADV	V
μέσα	na	μέσα	na	ADV	N
πως	como	πως	como	CONJ	PRO
πως	que	πως	que	CONJ	PRO
πως	canto	πως	canto	CONJ	PRO
μαζί	xuntos	μαζί	xunto	ADV	ADJ
ιστορία	da	ιστορία	da	N;NOM;FEM;SG	V
αργότερα	tarde	αργά	tarde	ADV;CMPR	N
νέα	noticias	νέος	noticia	ADJ;NOM;NEUT;PL	N
νέα	noticia	νέος	noticia	ADJ;NOM;NEUT;PL	N
περίπου	sobre	περίπου	sobre	ADV	ADP
περίπου	de	περίπου	de	ADV	ADP
αυτά	estas	αυτός	este	PRO;NOM;NEUT;PL;3	DET
αυτά	estes	αυτός	este	PRO;NOM;NEUT;PL;3	DET
πριν	de	πριν	de	ADV	ADP
συζήτηση	sobre	συζήτηση	sobre	N;ACC;FEM;SG	ADP
πρέπει	que	πρέπει	que	V;IPFV;IND;SG;3;PRS;FIN;ACT	PRO
πρώτο	primeiro	πρώτος	primeiro	NUM;NOM;NEUT;SG	ADJ
πρώτο	primeira	πρώτος	primeiro	NUM;NOM;NEUT;SG	ADJ
έργο	traballar	έργο	traballar	N;NOM;NEUT;SG	V
κυρίως	maioría	κυρίως	maioría	ADV	N
κυρίως	sobre	κυρίως	sobre	ADV	ADP
κυρίως	todo	κυρίως	todo	ADV	DET
όχι	hai	όχι	haber	PART	V
ελληνική	grego	ελληνικός	grego	ADJ;NOM;FEM;SG	N
υπό	debaixo	υπό	debaixo	ADP	ADV
έως	que	ώς	que	ADP	PRO
έως	até	ώς	até	ADP	ADV
άλλα	outra	άλλος	outro	PRO;NOM;NEUT;PL;3	DET
άλλα	outros	άλλος	outro	PRO;NOM;NEUT;PL;3	DET
άλλα	outro	άλλος	outro	PRO;NOM;NEUT;PL;3	DET
άλλα	outras	άλλος	outro	PRO;NOM;NEUT;PL;3	DET
άλλα	aos	άλλος	aos	PRO;NOM;NEUT;PL;3	PROPN
άλλα	outros	άλλος	outro	PRO;NOM;NEUT;PL;3	DET
άλλα	demais	άλλος	demais	PRO;NOM;NEUT;PL;3	DET
άλλα	outras	άλλος	outro	PRO;NOM;NEUT;PL;3	DET
τμήμα	de	τμήμα	de	N;NOM;NEUT;SG	ADP
σαν	como	σαν	como	ADV	PRO
σαν	coma	σαν	coma	ADV	CONJ
εκεί	hai	εκεί	haber	ADV	V
ωστόσο	porén	ωστόσο	porén	CONJ	ADV
ωστόσο	con	ωστόσο	con	CONJ	ADP
ωστόσο	todo	ωστόσο	todo	CONJ	DET
ωστόσο	sen	ωστόσο	sen	CONJ	ADP
ωστόσο	embargo	ωστόσο	embargo	CONJ	N
ωστόσο	aínda	ωστόσο	aínda	CONJ	ADV
άλλες	outra	άλλος	outro	PRO;NOM;FEM;PL;3	DET
άλλες	outros	άλλος	outro	PRO;NOM;FEM;PL;3	DET
άλλες	outro	άλλος	outro	PRO;NOM;FEM;PL;3	DET
άλλες	outras	άλλος	outro	PRO;NOM;FEM;PL;3	DET
τέλος	fin	τέλος	fin	ADV	N
τέλος	por	τέλος	por	ADV	ADP
τέλος	final	τέλος	final	ADV	N
τέλος	ao	τέλος	ao	ADV	PROPN
τέλος	fin	τέλος	fin	ADV	N
τέλος	final	τέλος	final	ADV	N
