dell	dell	dell	dell	N;INDF;MASC;SG	PROPN;NOM;MASC;SG
explicat	erläuterte	explica	erläutern	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
explicat	erklärt	explica	erklären	ADJ;INDF;MASC;SG	V;V.PTCP
explicat	erklärten	explica	erklärt	ADJ;INDF;MASC;SG	V;IND;PL;3;PST;FIN
explicat	erläutert	explica	erläutern	ADJ;INDF;MASC;SG	V;V.PTCP
explicat	erklärte	explica	erklären	ADJ;INDF;MASC;SG	V;IND;SG;3;PST;FIN
supremă	supreme	suprem	supreme	ADJ;INDF;FEM;SG	PROPN;NOM;SG
supremă	oberstes	suprem	ober	ADJ;INDF;FEM;SG	ADJ;NOM;NEUT;SG
supremă	oberste	suprem	ober	ADJ;INDF;FEM;SG	ADJ;NOM
supremă	höchste	suprem	hoch	ADJ;INDF;FEM;SG	ADJ;NOM;FEM;PL
campbell	campbell	campbell	campbell	PROPN	PROPN
exprimare	ausdrücken	exprimare	ausdrücken	N;INDF;FEM;SG	V;NFIN
exprimare	ausdrücke	exprimare	ausdrücken	N;INDF;FEM;SG	
concentrare	konzentration	concentrare	konzentration	N;INDF;FEM;SG	ADJ
concentrare	konzentrationen	concentrare	konzentrationen	N;INDF;FEM;SG	N;NOM;FEM;PL
concentrare	zusammenschluß	concentrare	zusammenschluß	N;INDF;FEM;SG	ADJ
concentrare	zusammenschluss	concentrare	zusammenschlussen	N;INDF;FEM;SG	ADJ
guvernatorul	statthalter	guvernator	statthalter	N;DEF;MASC;SG	ADJ
guvernatorul	governor	guvernator	governor	N;DEF;MASC;SG	PROPN;SG
guvernatorul	gouverneur	guvernator	gouverneur	N;DEF;MASC;SG	
guvernatorul	generalgouverneur	guvernator	generalgouverneur	N;DEF;MASC;SG	N;NOM;MASC;SG
hărți	karten	hartă	kart	N;INDF;FEM;PL	V;NFIN
hărți	maps	hartă	maps	N;INDF;FEM;PL	PROPN;SG
hărți	landkarten	hartă	landkarten	N;INDF;FEM;PL	V;NFIN
hărți	landkarte	hartă	landkart	N;INDF;FEM;PL	ADJ;NOM;FEM;SG
minerva	minerva	minerva	minerva	N;DEF;FEM;SG	PROPN;NOM;SG
fabricarea	fertigung	fabricare	Fertigung	N;DEF;FEM;SG	N;NOM;FEM;SG
fabricarea	herstellung	fabricare	herstellung	N;DEF;FEM;SG	N;NOM;FEM;SG
fabricarea	fertigung	fabricare	Fertigung	N;DEF;FEM;SG	N;NOM;FEM;SG
fabricarea	produktion	fabricare	produktion	N;DEF;FEM;SG	
fabricarea	herstellung	fabricare	herstellung	N;DEF;FEM;SG	N;NOM;FEM;SG
estimată	schätzungsweise	estima	schätzungsweise	ADJ;INDF;FEM;SG	ADV
estimată	geschätzte	estima	geschätzt	ADJ;INDF;FEM;SG	V;IND;SG;3;PST;FIN
estimată	geschätzt	estima	schätzen	ADJ;INDF;FEM;SG	V;V.PTCP
estimată	schätzungen	estima	schätzen	ADJ;INDF;FEM;SG	V;NFIN
estimată	schätzung	estima	schätzung	ADJ;INDF;FEM;SG	N;NOM;FEM;SG
four	four	four	four	N;INDF;MASC;SG	
four	vier	four	vier	N;INDF;MASC;SG	NUM
moara	mühlen	moară	mühlen	N;DEF;FEM;SG	V;NFIN
moara	mill	moară	mill	N;DEF;FEM;SG	
moara	mühle	moară	mühlen	N;DEF;FEM;SG	
grupurile	arbeitsgruppen	grup	arbeitsgruppen	N;DEF;FEM;PL	V;NFIN
grupurile	gruppen	grup	grappen	N;DEF;FEM;PL	N;NOM;FEM;PL
grupurile	fraktionen	grup	fraktion	N;DEF;FEM;PL	V;NFIN
absența	abwesenheit	absență	abwesenheit	N;DEF;FEM;SG	ADJ
absența	fehlen	absență	fehlen	N;DEF;FEM;SG	V;NFIN
sărbători	ferien	sărbător	ferienen	N;INDF;FEM;PL	
sărbători	urlaub	sărbător	urlaub	N;INDF;FEM;PL	ADV
sărbători	ferien	sărbător	ferienen	N;INDF;FEM;PL	
sărbători	urlaub	sărbător	urlaub	N;INDF;FEM;PL	ADV
sărbători	feiertage	sărbător	feiertag	N;INDF;FEM;PL	
arheologie	archäologie	arheologie	archäologie	N;INDF;FEM;SG	PROPN
arheologie	archäologie	arheologie	archäologie	N;INDF;FEM;SG	PROPN
băile	badezimmer	baie	badezimmer	N;DEF;FEM;PL	
băile	toiletten	baie	toilent	N;DEF;FEM;PL	V;NFIN
băile	bäder	baie	bad	N;DEF;FEM;PL	ADJ
băile	bädern	baie	bädern	N;DEF;FEM;PL	V;NFIN
băile	bäder	baie	bad	N;DEF;FEM;PL	ADJ
bord	verwaltungsrat	bord	verwaltungsrat	N;INDF;MASC;SG	ADJ
bord	board	bord	board	N;INDF;MASC;SG	
bord	verpflegung	bord	verpflegung	N;INDF;MASC;SG	ADJ
bord	aufsichtsrat	bord	aufsichtsraten	N;INDF;MASC;SG	PROPN
armele	waffe	armă	waffen	N;DEF;FEM;PL	
armele	bewaffnung	armă	bewaffnung	N;DEF;FEM;PL	
armele	waffenhandel	armă	waffenhandel	N;DEF;FEM;PL	ADJ
armele	waffen	armă	waffen	N;DEF;FEM;PL	
armele	pistolen	armă	pistol	N;DEF;FEM;PL	N;NOM;PL
armele	gewehre	armă	gewehr	N;DEF;FEM;PL	N;NOM;PL
