der	на	der	на	DET;NOM;DEF;MASC;SG	ADP
die	на	der	на	DET;NOM;DEF;FEM;SG	ADP
den	на	der	на	DET;ACC;DEF;MASC;SG	ADP
das	на	der	на	PRO;NOM;NEUT;SG	ADP
das	че	der	че	PRO;NOM;NEUT;SG	CONJ
das	дас	der	дас	PRO;NOM;NEUT;SG	PROPN;INDF;MASC;SG
des	дес	der	дес	DET;GEN;DEF;NEUT;SG	PROPN;INDF;FEM;SG
des	des	der	des	DET;GEN;DEF;NEUT;SG	PROPN
des	дез	der	дез	DET;GEN;DEF;NEUT;SG	PROPN;INDF;NEUT;SG
mit	използвайки	mit	използвам	ADP	V;IPFV;IMP;SG;2;FIN
mit	мит	mit	мит	ADP	N;INDF;MASC;SG
ein	една	ein	един	ADV	NUM;INDF;FEM;SG
ein	един	ein	един	ADV	NUM;INDF;MASC;SG
ein	едно	ein	един	ADV	NUM;INDF;NEUT;SG
ein	ein	ein	ein	ADV	PROPN;INDF;MASC;SG
als	алс	als	алс	ADP	N;INDF;MASC;SG
dem	на	der	на	PRO;DAT;NEUT;SG	ADP
eine	една	ein	един	DET;NOM;INDF;FEM;SG	NUM;INDF;FEM;SG
eine	един	ein	един	DET;NOM;INDF;FEM;SG	NUM;INDF;MASC;SG
eine	едно	ein	един	DET;NOM;INDF;FEM;SG	NUM;INDF;NEUT;SG
wurde	бе	werden	съм	V;IND;SG;3;PST;FIN;PASS	V;IPFV;IND;SG;3;PST;FIN;ACT
auch	дори	auch	дори	ADV	PART
auch	даже	auch	даже	ADV	PART
nicht	не	nicht	не	PART;NEG	INTJ;NEG
aus	aus	aus	aus	ADP	PROPN;INDF;MASC;SG
aus	вън	aus	вън	ADP	ADV
aus	навън	aus	навън	ADP	ADV
sie	си	sie	съм	PRO;NOM;FEM;SG;3	V;IPFV;IND;SG;2;PRS;FIN;ACT
sie	ти	sie	аз	PRO;NOM;FEM;SG;3	PRO;NOM;SG;2
sie	ви	sie	аз	PRO;NOM;FEM;SG;3	PRO;ACC;SG;2
sie	те	sie	аз	PRO;NOM;FEM;SG;3	PRO;NOM;PL;3
bis	бис	bis	бис	ADP	N;INDF;NEUT;SG
bis	докато	bis	докато	ADP	CONJ
ich	ich	ich	ich	PRO;NOM;SG;1	PROPN;INDF;MASC;SG
einer	една	ein	един	PRO;NOM;INDF;MASC;SG	NUM;INDF;FEM;SG
einer	един	ein	един	PRO;NOM;INDF;MASC;SG	NUM;INDF;MASC;SG
einer	едно	ein	един	PRO;NOM;INDF;MASC;SG	NUM;INDF;NEUT;SG
werden	уил	werden	ухл	V;NFIN;PASS	PROPN;INDF;MASC;SG
werden	ставайки	werden	ставам	V;NFIN;PASS	V;IPFV;IMP;SG;2;FIN
oder	одер	oder	одер	CONJ	PROPN;INDF;FEM;SG
wird	уил	werden	ухл	V;IND;SG;3;PRS;FIN;PASS	PROPN;INDF;MASC;SG
score	резултат	scoren	резултат	PROPN	N;INDF;MASC;SG
zur	zur	zur	zur		PROPN;INDF;MASC;SG
einen	една	ein	един	PRO;ACC;INDF;MASC;SG	NUM;INDF;FEM;SG
einen	един	ein	един	PRO;ACC;INDF;MASC;SG	NUM;INDF;MASC;SG
einen	едно	ein	един	PRO;ACC;INDF;MASC;SG	NUM;INDF;NEUT;SG
über	виа	über	видя-(се)	ADP	N;INDF;MASC;SG
über	via	über	via	ADP	ADJ
über	отгоре	über	отгоре	ADP	ADV
wie	как	wie	как	ADP	ADV
wie	като	wie	като	ADP	CONJ
wie	like	wie	like	ADP	PROPN;INDF;MASC;SG
nur	нур	nur	нур	ADV	PROPN;INDF;MASC;SG
noch	нито	noch	нито	ADV	CONJ
unter	unter	unter	unter	ADP	PROPN;INDF;MASC;SG
hat	шапка	haben	шапка	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
hat	шапката	haben	шапка	V;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
artikel	статия	artikel	статия	ADJ	N;INDF;FEM;SG
artikel	член	artikel	член	ADJ	N;INDF;MASC;SG
artikel	позиции	artikel	позиция	ADJ	N;INDF;FEM;PL
artikel	артикули	artikel	артикул	ADJ	N;INDF;MASC;PL
artikel	предмети	artikel	предмет	ADJ	N;INDF;MASC;PL
artikel	елементи	artikel	елемент	ADJ	N;INDF;MASC;PL
artikel	изделия	artikel	изделие	ADJ	N;INDF;NEUT;PL
artikel	статии	artikel	статия	ADJ	N;INDF;FEM;PL
artikel	артикули	artikel	артикул	ADJ	N;INDF;MASC;PL
man	човече	man	човече	PRO;NOM;INDF;SG	ADV
man	човек	man	човек	PRO;NOM;INDF;SG	N;INDF;MASC;SG
man	мъж	man	мъж	PRO;NOM;INDF;SG	N;INDF;MASC;SG
vor	преден	vor	преден	ADP	ADJ;INDF;MASC;SG
vor	предни	vor	преден	ADP	ADJ;INDF;PL
vor	отпред	vor	отпред	ADP	ADV
vor	фронт	vor	фронт	ADP	N;INDF;MASC;SG
vor	предна	vor	преден	ADP	ADJ;INDF;FEM;SG
vor	пре	vor	пре	ADP	ADV
vor	предварително	vor	предварително	ADP	ADV
wurden	бяха	werden	съм	V;IND;PL;3;PST;FIN;PASS	V;IPFV;IND;PL;3;PST;FIN;ACT
sein	му	sein	мой	DET;NOM;MASC;SG	PRO;DAT;MASC;SG;3
sein	sein	sein	sein	DET;NOM;MASC;SG	PROPN;INDF;MASC;SG
diese	тези	dies	този	PRO;NOM;FEM;SG	DET;PL
vom	от	vom	от		ADP
vom	vom	vom	vom		PROPN;INDF;MASC;SG
kann	май	können	май	V;IND;SG;3;PRS;FIN	PROPN;INDF;MASC;SG
kann	могат	können	мога	V;IND;SG;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
kann	can	können	can	V;IND;SG;3;PRS;FIN	PROPN;INDF;MASC;SG
seine	му	sein	мой	DET;NOM;FEM;SG	PRO;DAT;MASC;SG;3
seine	сена	sein	сена	DET;NOM;FEM;SG	N;INDF;MASC;SG
wenn	когато	wenn	когато	CONJ	ADV
wenn	кога	wenn	кога	CONJ	ADV
seiner	му	sein	мой	DET;NOM;MASC;SG	PRO;DAT;MASC;SG;3
jahre	година	jahren	година	ADV	N;INDF;FEM;SG
jahre	годината	jahren	година	ADV	N;DEF;FEM;SG
jahre	години	jahren	година	ADV	N;INDF;FEM;PL
jahre	годините	jahren	година	ADV	N;DEF;FEM;PL
mai	май	mai	май	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
mai	mai	mai	mai	PROPN;NOM;MASC;SG	INTJ
mai	маи	mai	май	PROPN;NOM;MASC;SG	ADV
isbn	isbn	isbn	isbn	;SG	N;INDF;FEM;SG
was	какво	was	какъв	PRO;NOM;NEUT;SG	DET;NEUT;SG
zwischen	междинна	zwischen	междинен	ADP	ADJ;INDF;FEM;SG
zwischen	междинно	zwischen	междинно	ADP	ADV
zwischen	междинен	zwischen	междинен	ADP	ADJ;INDF;MASC;SG
team	тийм	team	тийм	N;NOM;NEUT;SG	N;INDF;MASC;PL
team	team	team	team	N;NOM;NEUT;SG	PROPN;INDF;MASC;SG
waren	стоки	sein	стока	V;IND;PL;3;PST;FIN	N;INDF;FEM;PL
waren	блага	sein	благам-(се)	V;IND;PL;3;PST;FIN	N;INDF;FEM;SG
waren	стоки	sein	стока	V;IND;PL;3;PST;FIN	N;INDF;FEM;PL
waren	стока	sein	стока	V;IND;PL;3;PST;FIN	N;INDF;FEM;SG
zeit	цайт	zeit	цайт	ADJ	N;INDF;MASC;SG
zeit	период	zeit	период	ADJ	N;INDF;MASC;SG
zeit	времето	zeit	време	ADJ	N;DEF;NEUT;SG
zeit	време	zeit	време	ADJ	N;INDF;NEUT;SG
stadt	град	staden	град		N;INDF;MASC;SG
stadt	градът	staden	град		N;DEF;MASC;SG
stadt	градче	staden	градче		N;INDF;NEUT;SG
stadt	град	staden	град		N;INDF;MASC;SG
stadt	градът	staden	град		N;DEF;MASC;SG
stadt	сити	staden	сит		N;INDF;MASC;SG
stadt	city	staden	city		PROPN;INDF;MASC;SG
stadt	градове	staden	град		N;INDF;MASC;PL
stadt	градовете	staden	град		N;DEF;MASC;PL
wieder	гръб	wieder	гръб	ADV	N;INDF;MASC;SG
gibt	възвръщаемост	geben	възвръщаемост	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
gibt	връщане	geben	връщане	V;IND;SG;3;PRS;FIN	N;INDF;NEUT;SG
deutscher	германец	deutsch	германец	ADJ	N;INDF;MASC;SG
deutscher	германци	deutsch	германец	ADJ	N;INDF;MASC;PL
deutscher	немци	deutsch	немец	ADJ	N;INDF;MASC;PL
deutscher	германците	deutsch	германец	ADJ	N;DEF;MASC;PL
jahren	години	jahren	година	ADJ	N;INDF;FEM;PL
jahren	годините	jahren	година	ADJ	N;DEF;FEM;PL
mal	пъти	mal	път	ADV	N;MASC
mal	времена	mal	време	ADV	N;INDF;NEUT;PL
mal	таймс	mal	таймс	ADV	N;INDF;MASC;SG
mal	times	mal	times	ADV	PROPN;INDF;MASC;SG
mal	мал	mal	мал	ADV	N;INDF;MASC;SG
ersten	първи	erst	първи	ADJ;NOM;PL	ADJ;INDF;MASC;SG
ersten	първо	erst	първо	ADJ;NOM;PL	ADV
jedoch	но	jedoch	но	ADV	CONJ
seed	семе	seed	семе		N;INDF;NEUT;SG
seed	семена	seed	семе		N;INDF;NEUT;PL
siehe	видя	sehen	видя-(се)	V;IMP;SG;FIN	V;PFV;IND;SG;3;PST;FIN;ACT
siehe	вижте	sehen	видя-(се)	V;IMP;SG;FIN	V;PFV;IMP;PL;2;FIN
drei	тройки	drei	тройка	NUM	N;INDF;FEM;PL
etwa	относно	etwa	относно	ADV	ADP
deutschen	германец	deutsch	германец	ADJ	N;INDF;MASC;SG
deutschen	германци	deutsch	германец	ADJ	N;INDF;MASC;PL
deutschen	немци	deutsch	немец	ADJ	N;INDF;MASC;PL
deutschen	германците	deutsch	германец	ADJ	N;DEF;MASC;PL
teil	част	teil	част	ADV	N;INDF;FEM;SG
berlin	берлин	berlin	берлин	PROPN;NOM;NEUT;SG	N;INDF;MASC;SG
alle	всички	alle	всеки	PRO;NOM;INDF;PL	PRO;NOM;PL
alle	всичко	alle	всеки	PRO;NOM;INDF;PL	PRO;NOM;NEUT;SG
alle	всички	alle	всеки	PRO;NOM;INDF;PL	PRO;NOM;PL
alle	всеки	alle	всеки	PRO;NOM;INDF;PL	PRO;NOM;MASC;SG
alle	alle	alle	alle	PRO;NOM;INDF;PL	N;INDF;MASC;SG
ihre	техните	ihr	наш	DET;NOM;FEM;SG	DET;DEF;PL;3
ihre	нея	ihr	аз	DET;NOM;FEM;SG	PRO;ACC;FEM;SG;3
anderen	друго	ander	друг	ADJ;NOM;PL	ADV
anderen	друг	ander	друг	ADJ;NOM;PL	ADJ;INDF;MASC;SG
können	могат	können	мога	V;IND;PL;3;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
können	can	können	can	V;IND;PL;3;PRS;FIN	PROPN;INDF;MASC;SG
jan	ян	jan	ян	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
jan	джан	jan	джан	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
seinen	му	sein	мой	DET;ACC;MASC;SG	PRO;DAT;MASC;SG;3
ihr	ihr	ihr	ihr	PRO;NOM;MASC;SG	INTJ
ihr	си	ihr	съм	PRO;NOM;MASC;SG	V;IPFV;IND;SG;2;PRS;FIN;ACT
ihr	ви	ihr	аз	PRO;NOM;MASC;SG	PRO;ACC;SG;2
ihr	вашият	ihr	ваш	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;2
ihr	твоят	ihr	тоя	PRO;NOM;MASC;SG	DET;DEF;MASC;SG;1
ihr	твоя	ihr	твоя	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;2
ihr	твоята	ihr	твой	PRO;NOM;MASC;SG	DET;DEF;FEM;SG;1
ihr	нея	ihr	аз	PRO;NOM;MASC;SG	PRO;ACC;FEM;SG;3
gemeinde	общините	gemeinde	община	N;NOM;FEM;SG	N;DEF;FEM;PL
gemeinde	общини	gemeinde	община	N;NOM;FEM;SG	N;INDF;FEM;PL
seinem	му	sein	мой	DET;DAT;MASC;SG	PRO;DAT;MASC;SG;3
erste	erste	erst	erste	ADJ;NOM;FEM;PL	PROPN;INDF;MASC;SG
erste	първи	erst	първи	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
erste	първо	erst	първо	ADJ;NOM;FEM;PL	ADV
liegt	лъжи	liegen	лъжа	V;IND;SG;3;PRS;FIN	N;INDF;FEM;PL
august	август	augusten	август	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
august	аугуст	augusten	аугуст	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
august	август	augusten	август	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
deutschland	германия	deutschland	германия	PROPN;NOM	PROPN;INDF;FEM;SG
ihm	него	er	аз	PRO;DAT;MASC;SG;3	PRO;ACC;MASC;SG;3
ende	приключва	ende	приключвам	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ende	свършва	ende	свършвам-(се)	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ende	завършва	ende	завършвам	N;ACC;NEUT;SG	V;IPFV;IND;SG;3;PRS;FIN;ACT
ende	завърши	ende	завърша	N;ACC;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
ende	довърши	ende	довърша-(се)	N;ACC;NEUT;SG	V;PFV;IMP;SG;2;FIN
ende	довърша	ende	довърша-(се)	N;ACC;NEUT;SG	V;PFV;IND;SG;3;PST;FIN;ACT
ende	край	ende	край	N;ACC;NEUT;SG	ADP
märz	март	märz	март	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
aug	август	augen	август		N;INDF;MASC;SG
deutsche	германец	deutsch	германец	ADJ;NOM;FEM;PL	N;INDF;MASC;SG
deutsche	германски	deutsch	германски	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
deutsche	немски	deutsch	немски	ADJ;NOM;FEM;PL	ADJ;INDF;MASC;SG
deutsche	немска	deutsch	немски	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
deutsche	германска	deutsch	германски	ADJ;NOM;FEM;PL	ADJ;INDF;FEM;SG
deutsche	deutsche	deutsch	deutsche	ADJ;NOM;FEM;PL	PROPN;INDF;MASC;SG
deutsche	дойче	deutsch	дойче	ADJ;NOM;FEM;PL	N;INDF;FEM;SG
deutsche	германци	deutsch	германец	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
deutsche	немци	deutsch	немец	ADJ;NOM;FEM;PL	N;INDF;MASC;PL
deutsche	германците	deutsch	германец	ADJ;NOM;FEM;PL	N;DEF;MASC;PL
band	група	binden	група		N;INDF;FEM;SG
band	оркестър	binden	оркестър		N;INDF;MASC;SG
band	банда	binden	банда		N;INDF;FEM;SG
band	лента	binden	лента		N;INDF;FEM;SG
band	касета	binden	касета		N;INDF;FEM;SG
band	лента	binden	лента		N;INDF;FEM;SG
band	панделка	binden	панделка		N;INDF;FEM;SG
band	лента	binden	лента		N;INDF;FEM;SG
januar	януари	januar	януари	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
doch	но	doch	но	ADV	CONJ
oktober	октомври	oktober	октомври	PROPN;NOM;SG	N;INDF;MASC;SG
oktober	ост	oktober	ост	PROPN;NOM;SG	N;INDF;FEM;SG
oktober	октомври	oktober	октомври	PROPN;NOM;SG	N;INDF;MASC;SG
nov	ноември	nov	ноември		N;INDF;MASC;SG
wikipedia	уикипедия	wikipedia	уикипедия		N;INDF;FEM;SG
kirche	църкви	kirche	църква		N;INDF;FEM;PL
kirche	църквите	kirche	църква		N;DEF;FEM;PL
kirche	църква	kirche	църква		N;INDF;FEM;SG
kirche	чърч	kirche	чърч		PROPN;INDF;MASC;SG
kirche	църквата	kirche	църква		N;DEF;FEM;SG
juni	джун	juni	джун	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
juni	юни	juni	юни	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
april	април	april	април	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
