پُرندر	tjuv	پُرندر	tjuv	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرندہ	flygblad	پرندہ	flygbla	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
پرندہ	flygblad	پرندہ	flygbla	N;NOM;MASC;SG;3	N;NOM;INDF;NEUT;PL
پرنی	kateter	پرنی	kateter	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	chef	پرنی	chef	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	chief	پرنی	chief	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	chefen	پرنی	chef	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
پرنی	hövding	پرنی	hövding	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	vägledning	پرنی	vägledning	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	guiden	پرنی	guid	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
پرنی	vägvisare	پرنی	vägvis	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	guide	پرنی	gui	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	lord	پرنی	lord	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پرنی	herre	پرنی	gärra	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پُرو	himmel	پُرو	himmel	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پُرو	heaven	پُرو	heav	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
پُرو	himlen	پُرو	himle	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
پُرو	himmelriket	پُرو	himmelrik	PROPN;NOM;MASC;SG;3	N;NOM;DEF;NEUT;SG
پُرو	himmelen	پُرو	himmel	PROPN;NOM;MASC;SG;3	N;NOM;DEF;MASC+FEM;SG
پُرو	talrika	پُرو	talrik	PROPN;NOM;MASC;SG;3	ADJ;NOM;PL
پُرو	många	پُرو	mången	PROPN;NOM;MASC;SG;3	PRO;INDF;PL
پروا	uppmärksamhet	پروا	uppmärksamhet	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پروا	oro	پروا	oro	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
پروا	omtanke	پروا	omtanke	PROPN;NOM;MASC;SG;3	N;NOM;INDF;MASC+FEM;SG
