les	la	le	el	DET;DEF;PL	DET;DEF;FEM;SG
est	est	être	est	V;IND;SG;3;PRS;FIN	N;MASC;SG
une	one	un	one	DET;INDF;FEM;SG	
qui	who	qui	who	PRO	PROPN
que	aixo	que	aixo	CONJ	
son	so	son	so	DET;MASC;SG	N;MASC;SG
plus	plus	plus	plus	ADV	
elle	elle	elle	elle	PRO;FEM;SG;3	PROPN
été	estiu	être	estiu	V;MASC;SG;PST;V.PTCP	N;MASC;SG
comme	com	comme	com	ADP	CONJ
comme	like	comme	like	ADP	
cette	això	ce	això	DET;FEM;SG	PRO;SG
pop	iaio	pop	iaio	N;FEM;SG	
ses	ses	son	es	DET;MASC;PL	
naissance	naissance	naissance	naissance	N;FEM;SG	
naissance	nascut	naissance	nascut	N;FEM;SG	ADJ;MASC;SG;V.PTCP
naissance	born	naissance	born	N;FEM;SG	
france	frança	france	frança	N;FEM;SG	
saint	saint	saint	saint	PROPN	
après	after	après	after	ADP	
après	després	après	després	ADP	ADV
fait	fetes	faire	fet	V;MASC;SG;PST;V.PTCP	ADJ;FEM;PL;V.PTCP
fait	feta	faire	fet	V;MASC;SG;PST;V.PTCP	ADJ;FEM;SG;V.PTCP
fait	fet	faire	fet	V;MASC;SG;PST;V.PTCP	ADJ;MASC;SG;V.PTCP
sous	arres	sous	arre	ADP	
même	inclús	même	inclús	ADV	
même	mateixa	même	mateix	ADV	PRO;FEM;SG
même	mateix	même	mateix	ADV	PRO;MASC;SG
être	being	être	being	V;NFIN	PROPN
nom	cognoms	nom	cognom	N;MASC;SG	N;MASC;PL
nom	nom	nom	nom	N;MASC;SG	
français	français	français	françai	ADJ;MASC;SG	
ont	tinguin	avoir	tenir	V;IND;PL;3;PRS;FIN	V;SBJV;PL;3;PRS;FIN
paris	paris	pari	pari	N;MASC;PL	
paris	parís	pari	parís	N;MASC;PL	
lieu	place	lieu	place	N;MASC;SG	
cet	aquesta	ce	aquest	PRO;SG;3	DET;FEM;SG
cet	aquest	ce	aquest	PRO;SG;3	DET;MASC;SG
décès	mort	décès	mort	N;MASC;SG	ADJ;MASC;SG;V.PTCP
décès	defuncions	décès	defunció	N;MASC;SG	N;FEM;PL
commune	comuna	commune	comú	N;FEM;SG	ADJ;FEM;SG
commune	comunes	commune	comú	N;FEM;SG	ADJ;FEM;PL
commune	comú	commune	comú	N;FEM;SG	ADJ;MASC;SG
commune	comuns	commune	comú	N;FEM;SG	ADJ;MASC;PL
jean	jean	jean	jean	PROPN	
jean	john	jean	john	PROPN	PROPN
jean	joan	jean	joan	PROPN	
cest	cest	cest	cest		N
peut	maig	pouvoir	maig	V;IND;SG;3;PRS;FIN	N
peut	can	pouvoir	can	V;IND;SG;3;PRS;FIN	
depuis	from	depuis	from	ADP	
première	estrena	premier	estrenar	ADJ;FEM;SG	V;IND;SG;3;PRS;FIN
première	primers	premier	primer	ADJ;FEM;SG	ADJ;MASC;PL
ans	ans	an	ans	N;MASC;PL	
externes	extern	externe	extern	ADJ;MASC;PL	ADJ;MASC;SG
externes	externa	externe	extern	ADJ;MASC;PL	ADJ;FEM;SG
premier	premier	premier	premier	ADJ;MASC;SG	
premier	primers	premier	primer	ADJ;MASC;SG	ADJ;MASC;PL
ces	aquestes	ce	aquest	PRO;PL;3	DET;FEM;PL
ces	aquests	ce	aquest	PRO;PL;3	DET;MASC;PL
fut	fou	être	ser	V;IND;SG;3;PST;FIN	V;IND;SG;3;IPFV;FIN
