par	glede	par	glede		ADV
gada	letno	gads	letno	N;GEN;MASC;SG	ADV
gada	letna	gads	leten	N;GEN;MASC;SG	ADJ;NOM;FEM;SG
gada	letne	gads	leten	N;GEN;MASC;SG	ADJ;NOM;FEM;PL
gada	letno	gads	letno	N;GEN;MASC;SG	ADV
gada	letna	gads	leten	N;GEN;MASC;SG	ADJ;NOM;FEM;SG
gada	letni	gads	leten	N;GEN;MASC;SG	ADJ;NOM;DEF;MASC;SG
kas	kaj	kas	kaj	PRO;NOM	PRO;ACC;NEUT;SG
kas	ki	kas	ki	PRO;NOM	CONJ
kas	katero	kas	kateri	PRO;NOM	DET;ACC;NEUT;SG
kas	kateri	kas	kateri	PRO;NOM	DET;NOM;MASC;SG
kas	katere	kas	kateri	PRO;NOM	DET;ACC;FEM;PL
kas	katerih	kas	kateri	PRO;NOM	DET;GEN;MASC;PL
kas	ki	kas	ki	PRO;NOM	CONJ
kas	katerega	kas	kateri	PRO;NOM	DET;GEN;MASC;SG
tika	bil	tikt	biti	V;FH;IND;3;POS;PST;FIN;ACT	V;MASC;SG;V.PTCP
tika	bila	tikt	biti	V;FH;IND;3;POS;PST;FIN;ACT	V;FEM;SG;V.PTCP
pēc	po	pēc	po	ADP	N;NOM;MASC;SG
līdz	do	līdz	do	ADV	ADP;GEN
līdz	dokler	līdz	dokler	ADV	CONJ
latvijas	latvijski	latvija	latvijski	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
var	maj	varēt	maj	V;FH;IND;3;POS;PRS;FIN;ACT	
var	maja	varēt	maj	V;FH;IND;3;POS;PRS;FIN;ACT	N;GEN;MASC;SG
var	lahko	varēt	lahko	V;FH;IND;3;POS;PRS;FIN;ACT	ADV
tiek	počutje	tikt	počutje	V;FH;IND;3;POS;PRS;FIN;ACT	N;NOM;NEUT;SG
saites	kravate	saite	kravat	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
laikā	med	laiks	med	N;ESS;MASC;SG	ADP;INS
tas	to	tas	ta	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
tas	ta	tas	ta	PRO;NOM;MASC;SG	DET;NOM;MASC;SG
tas	tole	tas	tale	PRO;NOM;MASC;SG	
tas	tega	tas	ta	PRO;NOM;MASC;SG	DET;GEN;NEUT;SG
tas	to	tas	ta	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
tas	tisto	tas	tisti	PRO;NOM;MASC;SG	DET;NOM;NEUT;SG
dzimis	rojen	dzimt	rojen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG;V.PTCP
dzimis	rojena	dzimt	rojen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;SG;V.PTCP
dzimis	rojene	dzimt	rojen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;FEM;PL;V.PTCP
dzimis	rojeni	dzimt	rojen	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;MASC;PL;V.PTCP
valsts	državo	valsts	država	N;NOM;FEM;SG	N;ACC;FEM;SG
valsts	državno	valsts	državen	N;NOM;FEM;SG	ADJ;NOM;NEUT;SG
nav	ne	nebūt	ne	V;FH;IND;3;NEG;PRS;FIN;ACT	PART
nav	nobene	nebūt	noben	V;FH;IND;3;NEG;PRS;FIN;ACT	DET;GEN;NEUT;SG
nav	nobenega	nebūt	noben	V;FH;IND;3;NEG;PRS;FIN;ACT	DET;GEN;MASC;SG
nav	noben	nebūt	noben	V;FH;IND;3;NEG;PRS;FIN;ACT	PRO;NOM;MASC;SG
nav	nobena	nebūt	noben	V;FH;IND;3;NEG;PRS;FIN;ACT	DET;NOM;FEM;SG
tās	its	tā	its	PRO;NOM;FEM;PL	
tās	so	tā	biti	PRO;NOM;FEM;PL	V;IND;PL;3;POS;PRS;FIN
gan	obe	gan	oba	CONJ	DET;NOM;FEM;DU
gan	oba	gan	oba	CONJ	DET;NOM;MASC;DU
latviešu	latvijski	latvietis	latvijski	N;GEN;MASC;PL	ADJ;NOM;MASC;SG
viņa	njegovo	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;NEUT;SG;3
viņa	njegove	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;FEM;PL;3
viņa	njegov	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;MASC;SG;3
viņa	njegova	viņa	njegov	PRO;NOM;FEM;SG;3	DET;NOM;FEM;SG;3
asv	zda	asv	zdati	PROPN	PROPN;GEN;FEM;PL
asv	usa	asv	usa	PROPN	
kad	kadar	kad	kadar	ADV	CONJ
kad	ko	kad	ko	ADV	CONJ
gadu	leto	gads	leto	N;ACC;MASC;SG	N;NOM;NEUT;SG
gadu	letnica	gads	letnica	N;ACC;MASC;SG	N;NOM;FEM;SG
pilsētas	mest	pilsēta	mesto	N;NOM;FEM;PL	N;GEN;NEUT;PL
pilsētas	mest	pilsēta	mesto	N;NOM;FEM;PL	N;GEN;NEUT;PL
pilsētas	urban	pilsēta	urban	N;NOM;FEM;PL	N;NOM;MASC;SG
pilsētas	mestna	pilsēta	mesten	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
pilsētas	urbana	pilsēta	urban	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
pilsētas	mestne	pilsēta	mesten	N;NOM;FEM;PL	ADJ;NOM;FEM;PL
kur	kjer	kur	kjer	ADV	CONJ
vieta	lokacijo	vieta	lokacija	N;NOM;FEM;SG	N;ACC;FEM;SG
kļuva	postala	kļūt	postati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;FEM;SG;V.PTCP
kļuva	postal	kļūt	postati	V;FH;IND;3;POS;PST;FIN;ACT	V;PFV;MASC;SG;V.PTCP
kara	vojno	karš	vojna	N;NOM;MASC;SG	N;ACC;FEM;SG
kara	vojne	karš	vojna	N;NOM;MASC;SG	N;NOM;FEM;PL
iela	ulico	iela	ulica	N;NOM;FEM;SG	N;ACC;FEM;SG
iela	street	iela	street	N;NOM;FEM;SG	
jau	ze	jau	ze	ADV	
jau	že	jau	že	ADV	PART
miris	umrli	mirt	umreti	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	V;PFV;MASC;PL;V.PTCP
miris	mrtev	mirt	mrtev	V;PFV;NOM;INDF;MASC;SG;PST;V.PTCP	ADJ;NOM;INDF;MASC;SG
novada	odpuščen	novads	odpuščen	N;NOM;MASC;SG	ADJ;NOM;INDF;MASC;SG;V.PTCP
kopā	skupno	kopā	skupen	ADV	ADJ;NOM;NEUT;SG
krievijas	ruska	krievija	ruski	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
krievijas	rus	krievija	rus	PROPN;NOM;FEM;SG	N;NOM;MASC;SG
krievijas	ruski	krievija	ruski	PROPN;NOM;FEM;SG	ADJ;NOM;DEF;MASC;SG
krievijas	rusko	krievija	ruski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
attēls	sliko	attēls	slika	N;NOM;MASC;SG	N;ACC;FEM;SG
attēls	sliko	attēls	slika	N;NOM;MASC;SG	N;ACC;FEM;SG
pilsēta	mestu	pilsēta	mesto	N;NOM;FEM;SG	N;DAT;NEUT;SG
pilsēta	city	pilsēta	city	N;NOM;FEM;SG	PROPN;NOM;MASC;SG
pilsēta	mestu	pilsēta	mesto	N;NOM;FEM;SG	N;DAT;NEUT;SG
viens	enga	viens	en	NUM;NOM;MASC;SG	PRO;ACC;MASC;SG
eiropas	evropski	eiropa	evropski	PROPN;NOM;FEM;SG	ADJ;NOM;MASC;SG
eiropas	evropska	eiropa	evropski	PROPN;NOM;FEM;SG	ADJ;NOM;FEM;SG
eiropas	evropsko	eiropa	evropski	PROPN;NOM;FEM;SG	ADJ;NOM;NEUT;SG
utc	utc	utcs	utc	PROPN	N;NOM;MASC;SG
tomēr	kakorkoli	tomēr	kakorkoli	CONJ	ADV
kuru	čigav	kura	čigav	PRO;ACC;MASC;SG	PRO;NOM;MASC;SG
kuru	čigava	kura	čigava	PRO;ACC;MASC;SG	ADJ;NOM;FEM;SG
kuru	čigavo	kura	čigav	PRO;ACC;MASC;SG	ADV
vācu	nemško	vāci	nemški	N;NOM;MASC;SG	ADJ;NOM;NEUT;SG
vācu	nemška	vāci	nemški	N;NOM;MASC;SG	ADJ;NOM;FEM;SG
vācu	nemški	vāci	nemški	N;NOM;MASC;SG	ADJ;NOM;DEF;MASC;SG
vēl	še	vēl	še	ADV	PART
vēl	še	vēl	še	ADV	PART
viena	enga	viena	en	NUM;NOM;FEM;SG	PRO;ACC;MASC;SG
pagasts	župnijo	pagasts	župen	N;NOM;MASC;SG	N;ACC;FEM;SG
vairāk	več	daudz	več	ADV;CMPR	DET
daļa	delno	daļa	delno	N;NOM;FEM;SG	ADV
daļa	deli	daļa	del	N;NOM;FEM;SG	N;NOM;MASC;PL
daļa	delimo	daļa	deliti	N;NOM;FEM;SG	V;IPFV;IND;PL;1;PRS;FIN
daļa	delež	daļa	delež	N;NOM;FEM;SG	N;INAN;ACC;MASC;SG
daļa	delim	daļa	del	N;NOM;FEM;SG	V;IPFV;IND;SG;1;PRS;FIN
jpg	jpg	jpg	jpg		N;NOM;MASC;SG
rīgā	riga	rīgs	riga	PROPN;ESS;FEM;SG	PROPN;NOM;MASC;SG
kuras	katero	kura	kateri	PRO;NOM;FEM;PL	DET;ACC;NEUT;SG
kuras	kateri	kura	kateri	PRO;NOM;FEM;PL	DET;NOM;MASC;SG
kuras	katere	kura	kateri	PRO;NOM;FEM;PL	DET;ACC;FEM;PL
kuras	katerih	kura	kateri	PRO;NOM;FEM;PL	DET;GEN;MASC;PL
kuras	ki	kura	ki	PRO;NOM;FEM;PL	CONJ
kuras	katerega	kura	kateri	PRO;NOM;FEM;PL	DET;GEN;MASC;SG
tie	so	tas	biti	PRO;NOM;MASC;PL	V;IND;PL;3;POS;PRS;FIN
pirms	preden	pirms	preden	ADP	CONJ
pirms	prej	pirms	prej	ADP	ADV;CMPR
zemes	zemeljska	zeme	zemeljski	N;NOM;FEM;PL	ADJ;NOM;FEM;SG
zemes	zemlja	zeme	zemlja	N;NOM;FEM;PL	N;NOM;FEM;SG
