から	din	から	din	CONJ	ADP;ACC
日本	japonia	日本	japonie	PROPN	N;DEF;FEM;SG
日本	nippon	日本	nippon	PROPN	N;INDF;MASC;SG
この	asta	この	acesta	DET	PRO;FEM;SG;3
この	aceasta	この	acesta	DET	PRO;FEM;SG;3
まで	pana	まで	pană	ADP	N;DEF;FEM;SG
まで	pana	まで	pană	ADP	N;DEF;FEM;SG
昭和	showa	昭和	showa	PART	
放送	difuzat	放送	difuza	V	ADJ;INDF;MASC;SG
放送	transmisie	放送	transmisie	V	N;INDF;FEM;SG
放送	transmisiune	放送	transmisiune	V	N;INDF;FEM;SG
放送	difuzare	放送	difuzare	V	N;INDF;FEM;SG
放送	radiodifuziune	放送	radiodifuziune	V	N;INDF;FEM;SG
東京	tokio	東京	tokio	PROPN	PROPN
東京	tokyo	東京	tokyo	PROPN	PROPN
より	decat	よる	decat	V	
より	decat	よる	decat	V	
削除	sters	削除	sters	V	ADJ;INDF;MASC;SG
削除	sters	削除	sters	V	ADJ;INDF;MASC;SG
削除	stergerea	削除	stergere	V	N;DEF;FEM;SG
削除	stergere	削除	stergere	V	N;INDF;FEM;SG
削除	stergere	削除	stergere	V	N;INDF;FEM;SG
現在	actual	現在	actual	N	ADJ;INDF;MASC;SG
現在	actuala	現在	actual	N	ADJ;DEF;FEM;SG
現在	momentan	現在	momentan	N	ADV
現在	prezente	現在	prezent	N	V;IND;PL;3;PRS;FIN
現在	prezenta	現在	prezent	N	ADJ;DEF;FEM;SG
平成	heisei	平成	hei	PART	
世界	world	世界	world	N	PROPN
アメリカ	america	アメリカ	americă	PROPN	N;DEF;FEM;SG
アメリカ	americii	アメリカ	americ	PROPN	PROPN;DEF;FEM;SG
作品	functioneaza	作品	functiona	N	V;IND;SG;3;IPFV;FIN
使用	utilizarea	使用	utilizare	V	N;DEF;FEM;SG
使用	utilizare	使用	utilizare	V	N;INDF;FEM;SG
出演	aspectul	出演	aspect	V	N;DEF;MASC;SG
出演	aspect	出演	aspect	V	N;INDF;MASC;SG
出演	exprimate	出演	exprima	V	ADJ;INDF;FEM;PL
開始	start	開始	start	V	N;INDF;MASC;SG
開始	pornire	開始	pornire	V	N;INDF;FEM;SG
開始	initierea	開始	initiere	V	N;DEF;FEM;SG
開始	initiere	開始	initiere	V	N;INDF;FEM;SG
のみ	doar	のみ	doar	ADP	ADV
のみ	numai	のみ	numai	ADP	ADV
活動	activitati	活動	activitati	V	N;INDF;FEM;PL
活動	activitatile	活動	activitate	V	N;DEF;FEM;PL
活動	activitati	活動	activitati	V	N;INDF;FEM;PL
研究	studii	研究	studiu	V	N;INDF;FEM;PL
研究	studiile	研究	studiu	V	N;DEF;FEM;PL
研究	cercetari	研究	cercetar	V	
研究	cercetari	研究	cercetar	V	
研究	cercetare	研究	cercetare	V	N;INDF;FEM;SG
研究	cercetarea	研究	cercetare	V	N;DEF;FEM;SG
会話	conversatie	会話	conversatie	V	N;INDF;FEM;SG
会話	conversatie	会話	conversatie	V	N;INDF;FEM;SG
会話	conversatii	会話	conversat	V	N;INDF;FEM;PL
大阪	osaka	大阪	osaka	PROPN	PROPN
存在	existenta	存在	existent	V	N;DEF;FEM;SG
存在	existenta	存在	existent	V	N;DEF;FEM;SG
存在	existenta	存在	existent	V	N;DEF;FEM;SG
優勝	castigatoare	優勝	castigatoare	V	ADJ;INDF;FEM
所属	afiliere	所属	afiliere	V	N;INDF;FEM;SG
国際	international	国際	international	N	ADJ;INDF;MASC;SG
国際	international	国際	international	N	ADJ;INDF;MASC;SG
国際	internationala	国際	international	N	ADJ;DEF;FEM;SG
国際	internationala	国際	international	N	ADJ;DEF;FEM;SG
国際	international	国際	international	N	ADJ;INDF;MASC;SG
一部	unele	一部	unul	N	PRO;FEM;PL;3
一部	unii	一部	unul	N	PRO;MASC;PL;3
一部	partial	一部	partial	N	ADJ;INDF;MASC;SG
一部	partial	一部	partial	N	ADJ;INDF;MASC;SG
バス	bus	バス	bus	PROPN	N;INDF;MASC;SG
バス	autocar	バス	autocar	PROPN	N;INDF;MASC;SG
バス	autobuz	バス	autobuz	PROPN	N;INDF;MASC;SG
バス	autobuzul	バス	autobuz	PROPN	N;DEF;MASC;SG
バス	bas	バス	bas	PROPN	N;INDF;MASC;SG
バス	bass	バス	bass	PROPN	N;INDF;MASC;SG
バス	autobuze	バス	autobuz	PROPN	N;INDF;FEM;PL
バス	autobuzele	バス	autobuz	PROPN	N;DEF;FEM;PL
利用	rascumpere	利用	rascumpere	V	
開発	dezvoltarea	開発	dezvoltare	V	N;DEF;FEM;SG
開発	elaborare	開発	elaborare	V	N;INDF;FEM;SG
開発	dezvoltare	開発	dezvoltare	V	N;INDF;FEM;SG
決定	decizia	決定	decizie	V	N;DEF;FEM;SG
決定	decizie	決定	decizie	V	N;INDF;FEM;SG
決定	decizii	決定	decizie	V	N;INDF;FEM;PL
決定	deciziilor	決定	decizie	V	N;DEF;FEM;PL
決定	deciziile	決定	decizie	V	N;DEF;FEM;PL
転送	inainte	転送	inainte	V	
転送	inainte	転送	inainte	V	
転送	transfer	転送	transfer	V	N;INDF;MASC;SG
転送	transferul	転送	transfer	V	N;DEF;MASC;SG
転送	transferuri	転送	transfer	V	N;INDF;FEM;PL
転送	transferurile	転送	transfer	V	N;DEF;FEM;PL
情報	info	情報	info	N	
公式	formula	公式	formulă	ADJ	N;DEF;FEM;SG
公式	formula	公式	formulă	ADJ	N;DEF;FEM;SG
参加	participare	参加	participare	V	N;INDF;FEM;SG
参加	participarea	参加	participare	V	N;DEF;FEM;SG
