van	from	van	from	ADP	
een	jeden	een	jeden	DET;INDF	ADJ;NOM;MASC;SG
een	jedna	een	jeden	DET;INDF	ADJ;NOM;FEM;SG
voor	na	voor	na	ADP	INTJ
voor	za	voor	za	ADP	PART
zijn	jego	zijn	on	V;PL;PRS;FIN	PRO;GEN;MASC;SG;3
zijn	są	zijn	być	V;PL;PRS;FIN	V;IPFV;IND;PL;3;PRS;FIN;ACT
uit	from	uit	from	ADP	
uit	out	uit	out	ADP	
dat	że	dat	że	PRO;3	PART
aan	aan	aan	aan	ADP	V;IPFV;IND;SG;PRS;FIN;ACT
was	była	zijn	być	V;SG;PST;FIN	V;IPFV;FEM;IND;SG;PST;FIN;ACT
was	był	zijn	być	V;SG;PST;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
was	było	zijn	być	V;SG;PST;FIN	V;IPFV;NEUT;IND;SG;PST;FIN;ACT
was	wosk	zijn	wosk	V;SG;PST;FIN	N;NOM;MASC;SG
ook	także	ook	także	ADV	PART
ook	też	ook	też	ADV	PART
ook	również	ook	również	ADV	PART
ook	tez	ook	tez	ADV	
ook	też	ook	też	ADV	PART
ook	too	ook	too	ADV	
ook	zbyt	ook	zbyt	ADV	PART
niet	nie	niet	nie	ADV	PART;NEG
soort	wpisz	soort	wpić	N;SG	V;PFV;IMP;SG;2;FIN;ACT
soort	typ	soort	typ	N;SG	
soort	gatunki	soort	gatunek	N;SG	N;NOM;MASC;PL
familie	rodziny	familie	rodzina	N;MASC+FEM;SG	N;NOM;FEM;PL
familie	rodzinne	familie	rodzinny	N;MASC+FEM;SG	ADJ;NOM;NEUT;SG
familie	rodzinnie	familie	rodzinnie	N;MASC+FEM;SG	ADV
eerst	pierwszy	eerst	pierwszy	ADV	ADJ;NOM;MASC;SG
eerst	pierwsze	eerst	pierwszy	ADV	ADJ;NOM;NEUT;SG
eerst	pierwsza	eerst	pierwszy	ADV	ADJ;NOM;FEM;SG
deze	tych	deze	ten	PRO	DET;GEN;MASC;PL
deze	te	deze	ten	PRO	DET;NOM;MASC;PL
gepubliceerd	opublikowane	publiceren	opublikować	V;V.PTCP	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS
gepubliceerd	opublikowany	publiceren	opublikować	V;V.PTCP	ADJ;PFV;NOM;MASC;SG;POS;V.PTCP;PASS
gepubliceerd	publikacja	publiceren	publikacja	V;V.PTCP	N;NOM;FEM;SG
gepubliceerd	publikowane	publiceren	publikować	V;V.PTCP	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS
wordt	staje	worden	stawać	V;SG;PRS;FIN	V;IPFV;IND;SG;3;PRS;FIN;ACT
geldig	ważność	geldig	ważność	ADJ	N;ACC;FEM;SG
over	ponad	over	ponad	ADP	PART
over	over	over	over	ADP	
over	odbiór	over	odbiór	ADP	N;NOM;MASC;SG
dan	dan	dan	dana	ADV	
cest	cest	cest	cest		
onder	niżej	onder	nisko	ADP	ADV;CMPR
onder	poniżej	onder	poniżej	ADP	
team	team	team	team	N;NEUT;SG	
team	drużyny	team	drużyna	N;NEUT;SG	N;ACC;FEM;PL
nog	jeszcze	nog	jeszcze	ADV	PART
eerste	najpierw	één	najpierw	ADJ	ADV
meer	jeziora	veel	jezioro	PRO	N;ACC;NEUT;SG
meer	jezioro	veel	jezioro	PRO	N;NOM;NEUT;SG
meer	lake	veel	raka	PRO	V;IPFV;IND;SG;PRS;FIN;ACT
meer	more	veel	more	PRO	
meer	bardziej	veel	bardzo	PRO	ADV;CMPR
meer	więcej	veel	dużo	PRO	ADV;CMPR
andere	pozostał	ander	pozostać	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
andere	pozostał	ander	pozostać	ADJ	V;PFV;MASC;IND;SG;PST;FIN;ACT
kan	mógł	kunnen	móc	V;SG;PRS;FIN	V;IPFV;MASC;IND;SG;PST;FIN;ACT
kan	can	kunnen	can	V;SG;PRS;FIN	
kan	kan	kunnen	kan	V;SG;PRS;FIN	
cet	cet	cet	cet		
haar	włosy	haar	włos	PRO;ACC;3	N;NOM;MASC;PL
haar	sierść	haar	sierść	PRO;ACC;3	
haar	włosów	haar	włos	PRO;ACC;3	N;GEN;MASC;PL
haar	jej	haar	on	PRO;ACC;3	PRO;GEN;FEM;SG;3
