lokalizacji	местоположения	lokalizacja	местоположение	N;GEN;FEM;SG	N;INDF;NEUT;PL
naukowcy	учените	naukowiec	уча-(се)	N;NOM;MASC;PL	ADJ;IPFV;DEF;PL;V.PTCP;PASS
warren	уорън	warren	уорън	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
castle	замъка	castło	замъкам		N;DEF;MASC;SG
castle	замъкът	castło	замък		N;DEF;MASC;SG
castle	замък	castło	замък		N;INDF;MASC;SG
castle	касъл	castło	касъл		N;INDF;MASC;SG
uda	бедро	udać	бедро	V;PFV;IND;SG;3;FUT;FIN;ACT	N;INDF;NEUT;SG
uda	бедрото	udać	бедро	V;PFV;IND;SG;3;FUT;FIN;ACT	N;DEF;NEUT;SG
uda	бедра	udać	бедра	V;PFV;IND;SG;3;FUT;FIN;ACT	N;INDF;NEUT;PL
uda	бедрата	udać	бедра	V;PFV;IND;SG;3;FUT;FIN;ACT	N;DEF;FEM;SG
algierii	алжирски	algieria	алжирски	PROPN;GEN;FEM;SG	ADJ;INDF;MASC;SG
algierii	алжир	algieria	алжир	PROPN;GEN;FEM;SG	N;INDF;MASC;SG
współczesna	модерно	współczesny	модерно	N;NOM;FEM;SG	ADV
współczesna	модерни	współczesny	модерен	N;NOM;FEM;SG	ADJ;INDF;PL
współczesna	модерна	współczesny	модерен	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
współczesna	съвременно	współczesny	съвременно	N;NOM;FEM;SG	ADV
współczesna	модерен	współczesny	модерен	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
współczesna	съвременен	współczesny	съвременен	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
współczesna	съвременни	współczesny	съвременен	N;NOM;FEM;SG	ADJ;INDF;PL
współczesna	съвременна	współczesny	съвременен	N;NOM;FEM;SG	ADJ;INDF;FEM;SG
współczesna	съвременно	współczesny	съвременно	N;NOM;FEM;SG	ADV
współczesna	съвременен	współczesny	съвременен	N;NOM;FEM;SG	ADJ;INDF;MASC;SG
pozbawione	лишено	pozbawić	лиша-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
pozbawione	лишен	pozbawić	лиша-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
pozbawione	лишени	pozbawić	лиша-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
psy	psy	pies	psy	N;NOM;MASC;PL	N;INDF;MASC;SG
psy	пси	pies	пси	N;NOM;MASC;PL	N;INDF;NEUT;SG
psy	куче	pies	куче	N;NOM;MASC;PL	N;INDF;NEUT;SG
psy	кучето	pies	куче	N;NOM;MASC;PL	N;DEF;NEUT;SG
psy	дог	pies	дог	N;NOM;MASC;PL	N;INDF;MASC;SG
poetów	поетите	poet	поема	N;GEN;MASC;PL	ADJ;PFV;DEF;PL;V.PTCP;PASS
poetów	поети	poet	поема	N;GEN;MASC;PL	V;PFV;INDF;PL;V.PTCP;PASS
apg	apg	apg	apg		ADJ;INDF;SG
liczyć	брой	liczyć	брой	V;IPFV;NFIN;ACT	N;INDF;MASC;SG
liczyć	броене	liczyć	броене	V;IPFV;NFIN;ACT	N;INDF;NEUT;SG
ofiarą	жертви	ofiara	жертва	N;INS;FEM;SG	N;INDF;FEM;PL
pomiaru	измервания	pomiar	измерване	N;GEN;MASC;SG	N;INDF;NEUT;PL
osobowości	личности	osobowość	личност	N;GEN;FEM;SG	N;INDF;FEM;PL
seulu	сеул	seul	сеул	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
poprzednie	бивши	poprzednie	бивш		ADJ;INDF;PL
poprzednie	бивш	poprzednie	бивш		N;INDF;MASC;SG
poprzednie	бивша	poprzednie	бивш		ADJ;INDF;FEM;SG
poprzednie	предишна	poprzednie	предишен		ADJ;INDF;FEM;SG
poprzednie	предишни	poprzednie	предишен		ADJ;INDF;PL
poprzednie	предишен	poprzednie	предишен		ADJ;INDF;MASC;SG
poprzednie	предишно	poprzednie	предишно		ADV
electric	електрически	electric	електрически		ADJ;INDF;MASC;SG
electric	електрическа	electric	електрически		ADJ;INDF;FEM;SG
electric	електрическо	electric	електрически		ADV
electric	електричество	electric	електричество		N;INDF;NEUT;SG
schumacher	шумахер	schumacher	шумахер	N;NOM;MASC;SG	V;IPFV;IND;SG;1;PST;FIN;ACT
komentarze	мнение	komentarz	мнение	N;NOM;MASC;PL	N;INDF;NEUT;SG
keith	кийт	keith	кийт	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zastąpić	замяна	zastąpić	замяна	V;PFV;NFIN;ACT	N;INDF;FEM;SG
zastąpić	заместване	zastąpić	заместване	V;PFV;NFIN;ACT	N;INDF;NEUT;SG
zastąpić	заменен	zastąpić	заменя	V;PFV;NFIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zastąpić	заменено	zastąpić	заменя	V;PFV;NFIN;ACT	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
zastąpić	сменен	zastąpić	сменя-(се)	V;PFV;NFIN;ACT	V;PFV;INDF;MASC;SG;V.PTCP;PASS
zastąpić	сменени	zastąpić	сменя-(се)	V;PFV;NFIN;ACT	V;PFV;INDF;PL;V.PTCP;PASS
zastąpić	заменена	zastąpić	заменя	V;PFV;NFIN;ACT	V;PFV;INDF;FEM;SG;V.PTCP;PASS
zastąpić	заместител	zastąpić	заместител	V;PFV;NFIN;ACT	N;INDF;MASC;SG
zastąpić	заместване	zastąpić	заместване	V;PFV;NFIN;ACT	N;INDF;NEUT;SG
reakcje	реакция	reakcja	реакция	N;NOM;FEM;PL	N;INDF;FEM;SG
ekipa	тийм	ekipa	тийм	N;NOM;FEM;SG	N;INDF;MASC;PL
ekipa	team	ekipa	team	N;NOM;FEM;SG	PROPN;INDF;MASC;SG
reklamy	реклами	reklama	реклам	N;ACC;FEM;SG	N;INDF;FEM;PL
reklamy	рекламен	reklama	рекламен	N;ACC;FEM;SG	ADJ;INDF;MASC;SG
reklamy	реклами	reklama	реклам	N;ACC;FEM;SG	N;INDF;FEM;PL
odznaki	значки	odznak	значка	V;IPFV;IND;SG;3;FIN;ACT	N;INDF;FEM;PL
kent	кент	kent	кент	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
mali	мали	mala	маля		N;INDF;FEM;SG
colin	колин	colina	колин	N;NOM;MASC;SG	PROPN;INDF;MASC;SG
początkowa	първоначално	początkowy	първоначално	ADJ;NOM;FEM;SG	ADV
ralph	ралф	ralph	ралф	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
todd	тод	todd	тод	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
joan	джоан	joan	джоан	PROPN;NOM;MASC;SG	N;INDF;FEM;SG
joan	джоун	joan	джоун	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
global	световно	global	световен		ADV
global	глобална	global	глобален		ADJ;INDF;FEM;SG
global	глобален	global	глобален		ADJ;INDF;MASC;SG
global	глобални	global	глобален		ADJ;INDF;PL
global	глобално	global	глобален		ADV
karla	карл	karla	карл		PROPN;INDF;MASC;SG
stwierdzenie	показания	stwierdzenie	показание	N;NOM;NEUT;SG	N;INDF;NEUT;PL
powszechne	универсално	powszechny	универсално	ADJ;NOM;NEUT;SG	ADV
powszechne	универсални	powszechny	универсален	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
fotografie	фотографията	fotografia	фотография	N;NOM;FEM;PL	N;DEF;FEM;SG
fotografie	фотография	fotografia	фотография	N;NOM;FEM;PL	N;INDF;FEM;SG
zależne	зависими	zależny	зависим	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
zależne	зависимо	zależny	зависимо	ADJ;NOM;NEUT;SG	ADV
zależne	зависим	zależny	завися	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
zależne	филиали	zależny	филиал	ADJ;NOM;NEUT;SG	N;INDF;MASC;PL
niebieskie	сини	niebieski	син	ADJ;NOM;NEUT;SG	ADJ;INDF;PL
niebieskie	блу	niebieski	блу	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
niebieskie	синьо	niebieski	син	ADJ;NOM;NEUT;SG	ADV
niebieskie	син	niebieski	син	ADJ;NOM;NEUT;SG	N;INDF;MASC;SG
owoców	плод	owóc	плод	N;GEN;MASC;PL	N;INDF;MASC;SG
męski	мъжко	męski	мъжко	ADJ;NOM;MASC;SG	ADV
męski	мъжки	męski	мъжки	ADJ;NOM;MASC;SG	ADJ;INDF;PL
męski	мъж	męski	мъж	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
męski	мъжкар	męski	мъжкар	ADJ;NOM;MASC;SG	N;INDF;MASC;SG
męski	мъжка	męski	мъжка	ADJ;NOM;MASC;SG	N;INDF;FEM;SG
męski	мъжествено	męski	мъжествено	ADJ;NOM;MASC;SG	ADV
męski	мъжествено	męski	мъжествено	ADJ;NOM;MASC;SG	ADV
tarnów	тарнов	tarny	тарнов		PROPN;INDF;MASC;SG
chińskich	китайци	chiński	китаец	ADJ;GEN;MASC;PL	N;INDF;MASC;PL
chińskich	китайска	chiński	китайски	ADJ;GEN;MASC;PL	ADJ;INDF;FEM;SG
chińskich	китайско	chiński	китайски	ADJ;GEN;MASC;PL	ADV
chińskich	китайски	chiński	китайски	ADJ;GEN;MASC;PL	ADJ;INDF;MASC;SG
chińskich	китаец	chiński	китаец	ADJ;GEN;MASC;PL	N;INDF;MASC;SG
uznawane	призната	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uznawane	признати	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
uznawane	разпознат	uznawać	разпозна-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uznawane	признат	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uznawane	признати	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
uznawane	призната	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
uznawane	разпознат	uznawać	разпозна-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
uznawane	признато	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;NEUT;SG;V.PTCP;PASS
uznawane	признат	uznawać	призная-(се)	ADJ;IPFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
używanie	използвайки	używać	използвам	N;IPFV;NOM;NEUT;SG;POS;V.MSDR	V;IPFV;IMP;SG;2;FIN
cząstek	частица	cząstka	частица	N;GEN;FEM;PL	N;INDF;FEM;SG
xxx	xxx	xxx	xxx		N;INDF;MASC;SG
amt	amt	amt	amt		PROPN;INDF;MASC;SG
niebo	раят	niebo	рай	N;NOM;NEUT;SG	ADV
niebo	небеса	niebo	небес	N;NOM;NEUT;SG	N;INDF;NEUT;PL
kłopoty	беля	kłopot	бял	N;ACC;MASC;PL	N;INDF;FEM;SG
kłopoty	беда	kłopot	беда	N;ACC;MASC;PL	N;INDF;FEM;SG
kłopoty	проблем	kłopot	проблем	N;ACC;MASC;PL	N;INDF;MASC;SG
tłumaczy	translators	tłumaczyć	translators	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
tłumaczy	преводачи	tłumaczyć	преводач	V;IPFV;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;PL
wood	дървен	wood	дървен		ADJ;INDF;MASC;SG
wood	дърва	wood	дърво		N;INDF;NEUT;PL
wood	дървесина	wood	дървесина		N;INDF;FEM;SG
wood	дървени	wood	дървен		ADJ;INDF;PL
wood	дърво	wood	дърво		N;INDF;NEUT;SG
odkryte	разкрита	odkryć	разкрия-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
odkryte	разкрити	odkryć	разкрия-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;PL;V.PTCP;PASS
odkryte	открит	odkryć	открия-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;MASC;SG;V.PTCP;PASS
odkryte	открита	odkryć	открия-(се)	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	V;PFV;INDF;FEM;SG;V.PTCP;PASS
odkryte	открити	odkryć	открит	ADJ;PFV;NOM;NEUT;SG;POS;V.PTCP;PASS	ADJ;INDF;PL
mont	мон	mont	мон		PROPN;INDF;NEUT;SG
franciszkanów	францискански	franciszkan	францискански	N;ACC;MASC;PL	PROPN;INDF;MASC;SG
classic	класик	classicie	класик		N;INDF;MASC;SG
classic	класическо	classicie	класически		ADV
classic	класическа	classicie	класически		ADJ;INDF;FEM;SG
classic	класика	classicie	класика		N;INDF;FEM;SG
classic	класически	classicie	класически		ADV
pat	застой	pat	застой		N;INDF;MASC;SG
pat	безизходица	pat	безизходица		N;INDF;FEM;SG
pat	пат	pat	пат		N;INDF;MASC;SG
castro	кастро	castro	кастро	PROPN;NOM;MASC;SG	PROPN;INDF;MASC;SG
zalecenia	препоръка	zalecenie	препоръка	N;NOM;NEUT;PL	N;INDF;FEM;SG
roberts	робъртс	roberts	робъртс	PROPN;NOM;MASC;SG	N;INDF;MASC;SG
róża	роуз	róża	роуз		PROPN;INDF;FEM;SG
róża	роза	róża	роза		N;INDF;FEM;SG
róża	розата	róża	роза		N;DEF;FEM;SG
róża	роза	róża	роза		N;INDF;FEM;SG
róża	роса	róża	рос		N;INDF;FEM;SG
armaty	оръдия	armata	оръди	N;ACC;FEM;SG	N;INDF;NEUT;PL
