enkel	простые	enkel	простой	ADJ;INDF;MASC+FEM;SG	ADJ;NOM;PL
balkan	балканах	balkan	балкан		N;INAN;ESS;MASC;PL
balkan	балкан	balkan	балкан		N;INAN;NOM;MASC;SG
balkan	балканского	balkan	балканский		ADJ;GEN;MASC;SG
svaret	отвечайте	svar	отвечать	N;DEF;NEUT;SG	V;IPFV;IMP;PL;2;FIN;ACT
svaret	ответить	svar	ответить	N;DEF;NEUT;SG	V;PFV;NFIN;ACT
edgar	эдгар	edgar	эдгар		N;ANIM;NOM;MASC;SG
angels	ангелами	angels	ангел	N;INDF;MASC+FEM;SG	N;ANIM;INS;MASC;PL
angels	ангелы	angels	ангел	N;INDF;MASC+FEM;SG	N;ANIM;NOM;MASC;PL
angels	ангелов	angels	ангел	N;INDF;MASC+FEM;SG	N;ANIM;GEN;MASC;PL
dæk	шина	dæk	шина	N;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
dæk	палубу	dæk	палуба	N;INDF;NEUT;PL	N;INAN;ACC;FEM;SG
dæk	палубе	dæk	палуба	N;INDF;NEUT;PL	N;INAN;DAT;FEM;SG
dæk	прикрытие	dæk	прикрытие	N;INDF;NEUT;PL	N;INAN;NOM;NEUT;SG
dæk	обложка	dæk	обложка	N;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
dæk	обложку	dæk	обложка	N;INDF;NEUT;PL	N;INAN;ACC;FEM;SG
dæk	шина	dæk	шина	N;INDF;NEUT;PL	N;INAN;NOM;FEM;SG
drømme	сон	drøm	сон	N;INDF;MASC+FEM;PL	N;INAN;NOM;MASC;SG
drømme	dream	drøm	dream	N;INDF;MASC+FEM;PL	PROPN
drømme	мечта	drøm	мечта	N;INDF;MASC+FEM;PL	N;INAN;NOM;FEM;SG
drømme	мечтаю	drøm	мечтать	N;INDF;MASC+FEM;PL	V;IPFV;IND;SG;1;PRS;FIN;ACT
drømme	мечтать	drøm	мечтать	N;INDF;MASC+FEM;PL	V;IPFV;NFIN;ACT
kanten	края	kant	край	N;DEF;MASC+FEM;SG	N;INAN;NOM;MASC;PL
neil	нил	neil	ниллима		N;ANIM;NOM;MASC;SG
neil	нила	neil	нило		N;INAN;GEN;MASC;SG
duo	дуэт	duo	дуэт		N;INAN;NOM;MASC;SG
hjulpet	помогли	hjælpe	помочь	V;INDF;SG;PST;V.PTCP	V;PFV;IND;PL;PST;FIN;ACT
hjulpet	помогали	hjælpe	помогать	V;INDF;SG;PST;V.PTCP	V;IPFV;IND;PL;PST;FIN;ACT
registrerede	зарегистрированный	registrere	регистрировать	V;PL;PST;V.PTCP	V;PFV;NOM;MASC;SG;PST;V.PTCP;PASS
registrerede	зарегистрировано	registrere	регистрировать	V;PL;PST;V.PTCP	V;PFV;NEUT;SG;PST;V.PTCP;PASS
