और	og	और	og		CONJ
से	fra	से	fra		
से	from	से	from		N
से	frå	से	frå		ADP
है	hai	है	hai	V;IND;SG;3;PRS;FIN;ACT	N;INDF;MASC;SG
एक	one	एक	one	NUM	
एक	en	एक	en	NUM	
एक	ett	एक	ett	NUM	
एक	én	एक	én	NUM	
श्रेणी	kategoriene	श्रेणी	kategorie	N;NOM;FEM;SG;3	N;DEF;FEM;PL
श्रेणी	kategorier	श्रेणी	kategorie	N;NOM;FEM;SG;3	N;INDF;FEM;PL
भी	even	भी	even	PART	N;INDF;MASC;SG
भी	selv	भी	selv	PART	
भी	tilogmed	भी	tilogmed	PART	N;INDF;MASC;SG
भी	sjølv	भी	sjølv	PART	ADV
भी	òg	भी	òg	PART	ADV
भी	også	भी	også	PART	ADV
भी	óg	भी	òg	PART	ADV
भी	too	भी	too	PART	N
भी	også	भी	også	PART	ADV
यह	this	यह	this	PRO;NOM;SG;3	
किया	did	कर	did	V;PFV;MASC;SG;V.PTCP;ACT	
किया	done	कर	done	V;PFV;MASC;SG;V.PTCP;ACT	N
किया	gjort	कर	gjere	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG;V.PTCP
किया	ferdig	कर	ferdig	V;PFV;MASC;SG;V.PTCP;ACT	ADJ;INDF;NEUT;SG
इस	this	यह	this	DET;ACC;SG;3	
इस	dette	यह	dette	DET;ACC;SG;3	PRO;NEUT;SG;3
इस	denne	यह	denne	DET;ACC;SG;3	PRO;SG;3
इस	detta	यह	dette	DET;ACC;SG;3	PRO;NEUT;SG;3
हैं	finst	है	finnast	V;IND;PL;3;PRS;FIN;ACT	V;IND;PRS;FIN
हैं	are	है	are	V;IND;PL;3;PRS;FIN;ACT	PROPN
कि	det	कि	det		PRO;NEUT;SG;3
कि	at	कि	at		CONJ
भारत	india	भारत	india	PROPN;NOM;MASC;SG;3	N;INDF;NEUT;SG
जो	joe	जो	joe	PRO;NOM;SG;3	N;INDF;MASC;SG
जो	kven	जो	kven	PRO;NOM;SG;3	PRO;HUM
जो	who	जो	who	PRO;NOM;SG;3	N
जो	hvem	जो	hvem	PRO;NOM;SG;3	N;INDF;MASC;SG
ही	hee	ही	hee	PART	N;INDF;MASC;SG
कर	moms	कर	moms	V;ACT	N;INDF;MASC;SG
कर	skatt	कर	skatt	V;ACT	N;INDF;MASC;SG
कर	skatt	कर	skatt	V;ACT	N;INDF;MASC;SG
कर	selvangivelsen	कर	selvangivelse	V;ACT	N;DEF;MASC;SG
कर	skatter	कर	skatter	V;ACT	N;INDF;FEM;PL
नहीं	ikke	नहीं	ikke	PART;NEG	
नहीं	not	नहीं	not	PART;NEG	N;INDF;NEUT;SG
नहीं	niks	नहीं	niks	PART;NEG	N;INDF;MASC;SG
नहीं	nope	नहीं	nope	PART;NEG	N;INDF;MASC;SG
उत्तराखण्ड	uttarakhand	उत्तराखण्ड	uttarakhand	PROPN;NOM;MASC;SG;3	N;INDF;MASC;SG
साथ	langs	साथ	langs	ADV;NOM;MASC;SG;3	ADP
साथ	med	साथ	med	ADV;NOM;MASC;SG;3	ADP
साथ	with	साथ	with	ADV;NOM;MASC;SG;3	N
साथ	sammen	साथ	sam	ADV;NOM;MASC;SG;3	
साथ	together	साथ	together	ADV;NOM;MASC;SG;3	N;INDF;MASC;SG
पूर्व	east	पूर्व	eest	ADV;NOM;MASC;SG;3	PROPN
पूर्व	øst	पूर्व	øs	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
पूर्व	tidligere	पूर्व	tidligere	ADV;NOM;MASC;SG;3	N;INDF;FEM;SG
बाद	senere	बाद	senere	ADV;NOM;MASC;SG;3	
बाद	seinere	बाद	seinere	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बाद	seinare	बाद	sein	ADV;NOM;MASC;SG;3	ADJ;CMPR
बाद	etter	बाद	etter	ADV;NOM;MASC;SG;3	ADP
बाद	after	बाद	after	ADV;NOM;MASC;SG;3	N;INDF;NEUT;SG
बाद	efter	बाद	efter	ADV;NOM;MASC;SG;3	
तक	until	तक	until	CONJ	N
तक	inntil	तक	inntil	CONJ	ADP
