den	de	den	de	PRO;DEF;MASC+FEM;SG	PRO;NOM;PL;3
med	med	med	med	ADP	ADV
som	gerne	som	gerne	CONJ	ADV
som	like	som	like	CONJ	
som	hvilket	som	hvilken	CONJ	PRO;NEUT;SG
som	hvilken	som	hvilken	CONJ	PRO;MASC+FEM;SG
som	hvilke	som	hvilken	CONJ	PRO;PL
runt	budrunde	runt	budrunde	ADV	N;INDF;MASC+FEM;SG
runt	runde	runt	runde	ADV	N;INDF;MASC+FEM;SG
runt	rund	runt	rund	ADV	ADJ;INDF;MASC+FEM;SG
runt	omgang	runt	omgang	ADV	N;INDF;MASC+FEM;SG
månaden	månedligt	månad	månedlig	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	månedlige	månad	månedlig	N;NOM;DEF;MASC+FEM;SG	ADJ;PL
månaden	månedlig	månad	månedlig	N;NOM;DEF;MASC+FEM;SG	ADJ;INDF;MASC+FEM;SG
månaden	måneder	månad	måned	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;PL
månaden	måned	månad	måned	N;NOM;DEF;MASC+FEM;SG	N;INDF;MASC+FEM;SG
ligger	løgn	ligga	løgn	V;IND;PRS;FIN;ACT	N;INDF;MASC+FEM;SG
ligger	løgne	ligga	løgn	V;IND;PRS;FIN;ACT	N;INDF;MASC+FEM;PL
ligger	beliggende	ligga	beliggende	V;IND;PRS;FIN;ACT	ADJ
ligger	lokaliseret	ligga	lokalisere	V;IND;PRS;FIN;ACT	V;INDF;SG;PST;V.PTCP
ligger	placeret	ligga	placere	V;IND;PRS;FIN;ACT	V;INDF;SG;PST;V.PTCP
ingår	omfattet	ingå	omfatte	V;IND;PRS;FIN;ACT	N;DEF;NEUT;SG
ingår	inkluderet	ingå	inkludere	V;IND;PRS;FIN;ACT	V;INDF;SG;PST;V.PTCP
ingår	omfattede	ingå	omfatte	V;IND;PRS;FIN;ACT	V;IND;PST;FIN;ACT
ingår	inkluderede	ingå	inkludere	V;IND;PRS;FIN;ACT	V;PL;PST;V.PTCP
ingår	medtaget	ingå	medtage	V;IND;PRS;FIN;ACT	V;INDF;SG;PST;V.PTCP
ett	et	en	en	NUM;NOM;INDF;NEUT;SG	PRO;NEUT;SG
