conferit	svěřených	conferi	svěřený	ADJ;INDF;MASC;SG	ADJ;GEN;MASC;PL;POS
pierdute	ztracený	pierdut	ztracený	ADJ;INDF;FEM;PL	ADJ;INAN;NOM;MASC;SG;POS
pierdute	ztraceno	pierdut	ztracený	ADJ;INDF;FEM;PL	ADJ;NEUT;SG;POS;V.PTCP;PASS
pierdute	ztratil	pierdut	ztratit	ADJ;INDF;FEM;PL	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
pierdute	ztracen	pierdut	ztracený	ADJ;INDF;FEM;PL	ADJ;MASC;SG;POS;V.PTCP;PASS
pierdute	ztracená	pierdut	ztracený	ADJ;INDF;FEM;PL	ADJ;NOM;FEM;SG;POS
perioadele	období	perioadă	období	N;DEF;FEM;PL	N;NOM;NEUT;SG;POS
perioadele	doby	perioadă	doba	N;DEF;FEM;PL	N;NOM;FEM;PL;POS
ilustreaza	dokládá	ilustrațză	dokládat	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;SG;3;POS;PRS;FIN;ACT
ilustreaza	ilustrují	ilustrațză	ilustrovat	V;IND;SG;3;IPFV;FIN	V;IPFV;IND;PL;3;POS;PRS;FIN;ACT
clare	clare	clar	clare	ADJ;INDF;FEM;PL	PROPN;NOM;FEM;SG;POS
vulcan	vulkánské	vulcan	vulkánský	N;INDF;MASC;SG	ADJ;NOM;NEUT;SG;POS
mostenit	zdědil	mostenit	zdědit	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
mostenit	zdědila	mostenit	zdědit	ADJ;INDF;MASC;SG	V;PFV;POS;PST;V.PTCP;ACT
mostenit	zdědil	mostenit	zdědit	ADJ;INDF;MASC;SG	V;PFV;MASC;SG;POS;PST;V.PTCP;ACT
mostenit	zdědila	mostenit	zdědit	ADJ;INDF;MASC;SG	V;PFV;POS;PST;V.PTCP;ACT
curentului	současné	curent	současný	N;DEF;MASC;SG	ADJ;NOM;NEUT;SG;POS
curentului	aktuální	curent	aktuální	N;DEF;MASC;SG	ADJ;NOM;MASC;SG;POS
curentului	současná	curent	současný	N;DEF;MASC;SG	ADJ;NOM;FEM;SG;POS
curentului	současný	curent	současný	N;DEF;MASC;SG	ADJ;INAN;NOM;MASC;SG;POS
destinatie	cíl	destinatie	cíl	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG;POS
destinatie	destinace	destinatie	destinace	N;INDF;FEM;SG	N;NOM;FEM;SG;POS
destinatie	cíl	destinatie	cíl	N;INDF;FEM;SG	N;INAN;NOM;MASC;SG;POS
