und	si	und	sine	CONJ	
das	asta	der	acesta	PRO;NOM;NEUT;SG	PRO;FEM;SG;3
das	aceasta	der	acesta	PRO;NOM;NEUT;SG	PRO;FEM;SG;3
das	că	der	că	PRO;NOM;NEUT;SG	CONJ;POS
das	asta	der	acesta	PRO;NOM;NEUT;SG	PRO;FEM;SG;3
das	aia	der	acela	PRO;NOM;NEUT;SG	PRO;FEM;SG;3
das	das	der	das	PRO;NOM;NEUT;SG	N;INDF;MASC;SG
des	des	der	des	DET;GEN;DEF;NEUT;SG	ADV
mit	folosind	mit	folosi	ADP	V;V.MSDR
mit	folosirea	mit	folosire	ADP	N;DEF;FEM;SG
mit	utilizarea	mit	utilizare	ADP	N;DEF;FEM;SG
mit	utilizând	mit	utiliza	ADP	V;V.MSDR
mit	mit	mit	mit	ADP	N;INDF;MASC;SG
ein	una	ein	unul	ADV	PRO;FEM;SG;3
ein	unul	ein	unul	ADV	PRO;MASC;SG;3
ein	unu	ein	unu	ADV	NUM;MASC;SG
ein	ein	ein	ein	ADV	N;INDF;MASC;SG
als	als	als	als	ADP	N;INDF;MASC;SG
eine	una	ein	unul	DET;NOM;INDF;FEM;SG	PRO;FEM;SG;3
eine	unul	ein	unul	DET;NOM;INDF;FEM;SG	PRO;MASC;SG;3
eine	unu	ein	unu	DET;NOM;INDF;FEM;SG	NUM;MASC;SG
nach	dupa	nach	dupa	ADP	N;DEF;FEM;SG
bei	bei	bei	bea	ADP	V;IND;SG;2;PRS;FIN
aus	aus	aus	aus	ADP	N;INDF;MASC;SG
aus	afara	aus	afara	ADP	ADV
aus	afară	aus	afară	ADP	ADV
aus	out	aus	out	ADP	
sie	ai	sie	avea	PRO;NOM;FEM;SG;3	V;SG;2
sie	te	sie	tu	PRO;NOM;FEM;SG;3	PRO;ACC;SG;2
sie	tu	sie	tu	PRO;NOM;FEM;SG;3	PRO;NOM;SG;2
sie	ea	sie	el	PRO;NOM;FEM;SG;3	PRO;FEM;SG;3
sie	au	sie	avea	PRO;NOM;FEM;SG;3	V;PL;3
sie	ei	sie	el	PRO;NOM;FEM;SG;3	PRO;MASC;PL;3
sie	ele	sie	el	PRO;NOM;FEM;SG;3	PRO;FEM;PL;3
bis	bis	bis	bis	ADP	
ich	ich	ich	ich	PRO;NOM;SG;1	
einer	una	ein	unul	PRO;NOM;INDF;MASC;SG	PRO;FEM;SG;3
einer	unul	ein	unul	PRO;NOM;INDF;MASC;SG	PRO;MASC;SG;3
einer	unu	ein	unu	PRO;NOM;INDF;MASC;SG	NUM;MASC;SG
werden	will	werden	will	V;NFIN;PASS	PROPN
werden	devin	werden	deveni	V;NFIN;PASS	V;IND;PL;3;PRS;FIN
werden	devenind	werden	deveni	V;NFIN;PASS	V;V.MSDR
oder	oder	oder	oder	CONJ	N;INDF;MASC;SG
wird	will	werden	will	V;IND;SG;3;PRS;FIN;PASS	PROPN
wird	devine	werden	deveni	V;IND;SG;3;PRS;FIN;PASS	V;IND;SG;3;PRS;FIN
durch	thru	durch	thru	ADP	N;INDF;MASC;SG
score	scorul	scoren	scor	PROPN	N;DEF;MASC;SG
score	punctaj	scoren	punctaj	PROPN	N;INDF;MASC;SG
score	scor	scoren	scor	PROPN	N;INDF;MASC;SG
zur	zur	zur	zur		N;INDF;MASC;SG
einen	una	ein	unul	PRO;ACC;INDF;MASC;SG	PRO;FEM;SG;3
einen	unul	ein	unul	PRO;ACC;INDF;MASC;SG	PRO;MASC;SG;3
einen	unu	ein	unu	PRO;ACC;INDF;MASC;SG	NUM;MASC;SG
dass	asta	dass	acesta	CONJ	PRO;FEM;SG;3
dass	aia	dass	acela	CONJ	PRO;FEM;SG;3
über	via	über	via	ADP	
über	over	über	over	ADP	N;INDF;MASC;SG
wie	cum	wie	cum	ADP	ADV
wie	wie	wie	wie	ADP	N;INDF;MASC;SG
wie	ca	wie	ca	ADP	ADV
wie	like	wie	like	ADP	
nur	nur	nur	nur	ADV	N;INDF;MASC;SG
noch	inca	noch	inca	ADV	
noch	tot	noch	tot	ADV	PRO;MASC;SG;3
unter	unter	unter	unter	ADP	PROPN
hat	pălărie	haben	pălărie	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
hat	hat	haben	hat	V;IND;SG;3;PRS;FIN	
hat	palarie	haben	palarie	V;IND;SG;3;PRS;FIN	N;INDF;FEM;SG
hat	pălăria	haben	pălărie	V;IND;SG;3;PRS;FIN	N;DEF;FEM;SG
artikel	articolul	artikel	articol	ADJ	N;DEF;MASC;SG
artikel	articol	artikel	articol	ADJ	N;INDF;MASC;SG
artikel	articole	artikel	articol	ADJ	N;INDF;FEM;PL
artikel	elemente	artikel	element	ADJ	N;INDF;FEM;PL
artikel	articolele	artikel	articol	ADJ	N;DEF;FEM;PL
artikel	articole	artikel	articol	ADJ	N;INDF;FEM;PL
man	bărbat	man	bărbat	PRO;NOM;INDF;SG	N;INDF;MASC;SG
man	om	man	om	PRO;NOM;INDF;SG	N;INDF;MASC;SG
man	omul	man	om	PRO;NOM;INDF;SG	N;DEF;MASC;SG
man	barbat	man	barbat	PRO;NOM;INDF;SG	N;INDF;MASC;SG
man	man	man	man	PRO;NOM;INDF;SG	
vor	front	vor	front	ADP	N;INDF;MASC;SG
vor	față	vor	față	ADP	N;INDF;FEM;SG
vor	pre	vor	pre	ADP	
vor	inainte	vor	inainte	ADP	
vor	înainte	vor	înainte	ADP	ADV
wurden	erau	werden	fi	V;IND;PL;3;PST;FIN;PASS	V;IND;PL;3;IPFV;FIN
sein	lui	sein	el	DET;NOM;MASC;SG	PRO;3
sein	sein	sein	sein	DET;NOM;MASC;SG	
diese	asta	dies	acesta	PRO;NOM;FEM;SG	PRO;FEM;SG;3
diese	aceasta	dies	acesta	PRO;NOM;FEM;SG	PRO;FEM;SG;3
diese	acestea	dies	acesta	PRO;NOM;FEM;SG	PRO;FEM;PL;3
diese	aceste	dies	acest	PRO;NOM;FEM;SG	DET;FEM;PL;3
diese	astea	dies	acesta	PRO;NOM;FEM;SG	PRO;FEM;PL;3
vom	din	vom	din		ADP;ACC
kann	may	können	may	V;IND;SG;3;PRS;FIN	
kann	pot	können	putea	V;IND;SG;3;PRS;FIN	V;IND;PL;3;PRS;FIN
kann	can	können	can	V;IND;SG;3;PRS;FIN	
seine	lui	sein	el	DET;NOM;FEM;SG	PRO;3
seine	sena	sein	sena	DET;NOM;FEM;SG	N;DEF;FEM;SG
seine	seine	sein	senee	DET;NOM;FEM;SG	PROPN
dieser	asta	dies	acesta	PRO;NOM;MASC;SG	PRO;FEM;SG;3
