през	דרך	през	דרך	ADP	
като	כמו	като	כמו	CONJ	ADP
като	אוהב	като	אהב	CONJ	V;MASC;SG;V.PTCP;ACT
като	כאילו	като	כאילו	CONJ	CONJ
година	שנת	година	שנה	N;INDF;FEM;SG	N;PSSD;FEM;SG
български	בולגריה	български	בולגריה	ADJ;INDF;MASC;SG	PROPN
български	בולגרית	български	בולגרית	ADJ;INDF;MASC;SG	PROPN
българия	בולגריה	българия	בולגריה	PROPN;INDF;FEM;SG	PROPN
години	שנה	година	שנה	N;INDF;FEM;PL	N;FEM;SG
време	הזמן	време	הזמן	N;INDF;NEUT;SG	
време	טיים	време	טיים	N;INDF;NEUT;SG	PROPN
която	אשר	който	אשר	PRO;NOM;FEM;SG	CONJ
която	איזה	който	איזה	PRO;NOM;FEM;SG	
което	אשר	който	אשר	PRO;NOM;NEUT;SG	CONJ
което	איזה	който	איזה	PRO;NOM;NEUT;SG	
външни	חיצונית	външен	חיצוני	ADJ;INDF;PL	ADV
външни	חיצוני	външен	חיצוני	ADJ;INDF;PL	ADJ;MASC;SG
град	טאון	град	טאון	N;INDF;MASC;SG	PROPN
град	העיר	град	העיר	N;INDF;MASC;SG	V;MASC;SG;3;PST;ACT
град	העיר	град	העיר	N;INDF;MASC;SG	V;MASC;SG;3;PST;ACT
много	רבות	много	רב	ADV;INDF;PL	N;FEM;PL
много	רבים	много	רב	ADV;INDF;PL	V;MASC;PL;V.PTCP;ACT
също	וגם	също	וגם	ADV	
век	המאה	век	המאה	N;INDF;MASC;SG	
село	הכפר	село	הכפר	N;INDF;NEUT;SG	
около	סביב	около	סביב	ADP	ADV
около	בסביבה	около	בסביבה	ADP	
около	מסביב	около	מסביב	ADP	
софия	סופיה	софия	סופיה	PROPN;INDF;FEM;SG	PROPN
софия	סופיה	софия	סופיה	PROPN;INDF;FEM;SG	PROPN
други	אחר	друг	אחר	ADJ;INDF;PL	ADP
други	ואחרים	друг	ואחר	ADJ;INDF;PL	PROPN
война	המלחמה	война	המלחם	N;INDF;FEM;SG	PROPN
само	פשוט	само	פשוט	ADV	
област	אובלסט	област	אובלסט	N;INDF;FEM;SG	PROPN
област	האזור	област	האזור	N;INDF;FEM;SG	PROPN
община	עיריית	община	עירייה	N;INDF;FEM;SG	N;PSSD;FEM;SG
място	המקום	място	המקום	N;INDF;NEUT;SG	
когато	מתי	когато	מתי	ADV	ADV
когато	כאשר	когато	כאשר	ADV	CONJ
вид	מין	вид	מין	N;INDF;MASC;SG	
вид	מינים	вид	מין	N;INDF;MASC;SG	N;MASC;PL
вид	זן	вид	זן	N;INDF;MASC;SG	
една	אדנה	един	אדנה	NUM;INDF;FEM;SG	PROPN
една	עדנה	един	עדנה	NUM;INDF;FEM;SG	PROPN
всички	כולם	всеки	None	PRO;NOM;PL	N;MASC;PL
всички	הכל	всеки	הכיל	PRO;NOM;PL	N
всички	כל	всеки	כול	PRO;NOM;PL	DET;PSSD
всички	כולם	всеки	None	PRO;NOM;PL	N;MASC;PL
започва	מתחיל	започвам-(се)	התחיל	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
започва	מתחיל	започвам-(се)	התחיל	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;MASC;SG;V.PTCP
македония	מקדוניה	македония	מקדוניה	PROPN;INDF;FEM;SG	PROPN
над	נגמר	над	נגמר	ADP	V;MASC;SG;V.PTCP;MID
над	לעיל	над	לעיל	ADP	ADV
него	בו	аз	ב	PRO;ACC;MASC;SG;3	ADP
тези	אלו	този	אלו	DET;PL	PRO;PL;3
тези	אלה	този	אלה	DET;PL	PRO;MASC;PL;3
души	נשמות	души	נשם	N;INDF	N;FEM;PL
души	נפשות	души	נפש	N;INDF	N;FEM;PL
мини	מיני	мина	מין	N;INDF;FEM;PL	
мини	מכרות	мина	מכרה	N;INDF;FEM;PL	PROPN
мини	מוקשים	мина	מקשה	N;INDF;FEM;PL	V;MASC;PL;V.PTCP;PASS
мини	מיני	мина	מין	N;INDF;FEM;PL	
намира	מוצאת	намирам-(се)	מצא	V;IPFV;IND;SG;3;PRS;FIN;ACT	V;FEM;SG;V.PTCP
намира	מוצא	намирам-(се)	מוצא	V;IPFV;IND;SG;3;PRS;FIN;ACT	PROPN
късно	מאחרת	късно	מאחרת	ADV	
късно	איחור	късно	איחור	ADV	N;MASC;SG
късно	באיחור	късно	באיחור	ADV	PROPN
май	במאי	май	במאי	PROPN;INDF;MASC;SG	N;MASC;SG
май	מיי	май	מיי	PROPN;INDF;MASC;SG	
май	מאי	май	מאי	PROPN;INDF;MASC;SG	PROPN
път	נתיב	път	נתיב	N;INDF;MASC;SG	
път	שביל	път	שביל	N;INDF;MASC;SG	
път	הנתיב	път	הנתיב	N;INDF;MASC;SG	ADV
път	כביש	път	כביש	N;INDF;MASC;SG	PROPN
няколко	מעטות	няколко	מעט	PRO;INDF	
няколко	מעטים	няколко	מעטה	PRO;INDF	N;MASC;PL
август	אוגוסט	август	אוגוסט	N;INDF;MASC;SG	PROPN
август	אוג	август	אוג	N;INDF;MASC;SG	
роден	נולדת	родя-(се)	נולדת	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;SG;V.PTCP;MID
роден	נולדתי	родя-(се)	נולדתי	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;SG;1;PST;MID
роден	נולדו	родя-(се)	נולד	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;PL;3;PST;MID
роден	נולד	родя-(се)	נולד	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;MASC;SG;3;PST;MID
роден	נולדה	родя-(се)	נולד	V;PFV;INDF;MASC;SG;V.PTCP;PASS	V;FEM;SG;3;PST;MID
беседа	שיחת	бесед	שיחה	N;INDF;FEM;SG	ADV
беседа	השיח	бесед	השיח	N;INDF;FEM;SG	
беседа	שיח	бесед	שיח	N;INDF;FEM;SG	PROPN
септември	ספטמבר	септември	ספטמבר	N;INDF;MASC;SG	PROPN
името	השם	име	השם	N;DEF;NEUT;SG	
името	שם	име	שם	N;DEF;NEUT;SG	ADV
група	הלהקה	група	הלהקה	N;INDF;FEM;SG	PROPN
група	הקבוצה	група	הקבוצה	N;INDF;FEM;SG	PROPN
език	לשון	език	לשון	N;INDF;MASC;SG	
юли	ביולי	юли	ביולי	N;INDF;MASC;SG	PROPN
юли	יולי	юли	יולי	N;INDF;MASC;SG	PROPN
някои	כמה	някой	כמה	PRO;NOM;PL	DET;PSSD
някои	חלקם	някой	חלקם	PRO;NOM;PL	
река	ריבר	река	ריבר	N;INDF;FEM;SG	PROPN
река	הנהר	река	הנהר	N;INDF;FEM;SG	
река	נהר	река	נהר	N;INDF;FEM;SG	PROPN
януари	ינואר	януари	ינואר	N;INDF;MASC;SG	PROPN
януари	בינואר	януари	בינואר	N;INDF;MASC;SG	
юни	יוני	юни	יוני	N;INDF;MASC;SG	PROPN
две	שתיים	два	שתיים	NUM;INDF;FEM;PL	NUM;FEM;SG
