から	no	から	no	CONJ	
日本	japāna	日本	japāna	PROPN	PROPN;NOM;FEM;SG
日本	nippon	日本	nippon	PROPN	
この	šī	この	šī	DET	PRO;NOM;FEM;SG
この	šo	この	šis	DET	PRO;ACC;MASC;SG
この	šis	この	šis	DET	PRO;NOM;MASC;SG
この	tas	この	tas	DET	PRO;NOM;MASC;SG
まで	līdz	まで	līdz	ADP	ADV
また	arī	また	arī	CONJ	PART
放送	pārraide	放送	pārraide	V	N;NOM;FEM;SG
放送	raidījums	放送	raidījums	V	N;NOM;MASC;SG
放送	raidījumu	放送	raidījums	V	N;ACC;MASC;SG
放送	apraides	放送	apraide	V	N;NOM;FEM;PL
放送	apraide	放送	apraide	V	N;NOM;FEM;SG
放送	apraides	放送	apraide	V	N;NOM;FEM;PL
放送	apraide	放送	apraide	V	N;NOM;FEM;SG
東京	tokijas	東京	tokija	PROPN	N;NOM;FEM;PL
より	than	よる	than	V	
より	nekā	よる	nekas	V	PRO;GEN;MASC;SG
削除	dzēšanu	削除	dzēšana	V	N;ACC;FEM;SG
削除	dzēšana	削除	dzēšana	V	N;NOM;FEM;SG
現在	pašreizējais	現在	pašreizējs	N	ADJ;NOM;MASC;SG
現在	pašreizējo	現在	pašreizēja	N	ADJ;ACC;MASC;SG
現在	pašreizējie	現在	pašreizējs	N	ADJ;NOM;MASC;PL
現在	pašreizējā	現在	pašreizēja	N	ADJ;NOM;FEM;SG
現在	pašlaik	現在	pašlaik	N	ADV
現在	pašreiz	現在	pašreiz	N	
現在	šobrīd	現在	šobrīd	N	ADV
現在	patlaban	現在	patlaban	N	ADV
現在	pašreizējais	現在	pašreizējs	N	ADJ;NOM;MASC;SG
現在	klāt	現在	klāt	N	ADV
アメリカ	amerika	アメリカ	amerika	PROPN	N;NOM;FEM;SG
アメリカ	amerikā	アメリカ	amerika	PROPN	N;ESS;FEM;SG
アメリカ	ameriku	アメリカ	amerika	PROPN	N;ACC;FEM;SG
について	par	について	par	ADP	
時代	era	時代	era	N	
使用	lietošana	使用	lietošana	V	N;NOM;FEM;SG
使用	lietojums	使用	lietojums	V	N;NOM;MASC;SG
使用	izmantošana	使用	izmantošana	V	N;NOM;FEM;SG
出演	izskats	出演	izskats	V	N;NOM;MASC;SG
開始	sākums	開始	sākums	V	N;NOM;MASC;SG
開始	starts	開始	starts	V	N;NOM;MASC;SG
開始	uzsākšanu	開始	uzsākšana	V	N;ACC;FEM;SG
開始	uzsākšana	開始	uzsākšana	V	N;NOM;FEM;SG
のみ	tikai	のみ	tikai	ADP	PART
記事	raksti	記事	raksts	N	INTJ
活動	darbības	活動	darbība	V	N;NOM;FEM;PL
活動	aktivitātes	活動	aktivitāte	V	N;NOM;FEM;PL
研究	pētījumi	研究	pētījums	V	N;NOM;MASC;PL
研究	pētījumi	研究	pētījums	V	N;NOM;MASC;PL
研究	pētniecības	研究	pētniecība	V	N;NOM;FEM;PL
研究	pētniecība	研究	pētniecība	V	N;NOM;FEM;SG
研究	izpēte	研究	izpēte	V	N;NOM;FEM;SG
会話	sarunas	会話	saruna	V	N;NOM;FEM;PL
会話	saruna	会話	saruna	V	N;NOM;FEM;SG
会話	sarunas	会話	saruna	V	N;NOM;FEM;PL
大阪	osaka	大阪	osacīt	PROPN	PROPN;NOM;FEM;SG
チーム	team	チーム	tu	N	
存在	esamība	存在	esamība	V	N;NOM;FEM;SG
存在	pastāvēšana	存在	pastāvēšana	V	N;NOM;FEM;SG
存在	esība	存在	esība	V	N;NOM;FEM;SG
優勝	uzvara	優勝	uzvara	V	N;NOM;FEM;SG
優勝	uzvaras	優勝	uzvara	V	N;NOM;FEM;PL
優勝	uzvaru	優勝	uzvara	V	N;ACC;FEM;SG
所属	piederība	所属	piederība	V	N;NOM;FEM;SG
国際	international	国際	international	N	
国際	starptautiskā	国際	starptautiska	N	ADJ;NOM;FEM;SG
国際	starptautiski	国際	starptautiski	N	ADV
一部	dažas	一部	daža	N	PRO;NOM;FEM;PL
一部	dažiem	一部	dažs	N	PRO;DAT;MASC;PL
一部	daži	一部	dažs	N	PRO;NOM;MASC;PL
一部	daļēji	一部	daļēji	N	ADV
バス	bus	バス	bus	PROPN	
バス	autobuss	バス	autobuss	PROPN	N;NOM;MASC;SG
バス	bass	バス	bass	PROPN	PROPN;NOM;MASC;SG
バス	autobusiem	バス	autobuss	PROPN	N;DAT;MASC;PL
バス	autobusus	バス	autobuss	PROPN	N;ACC;MASC;PL
バス	autobusi	バス	autobuss	PROPN	N;NOM;MASC;PL
問題	emitēt	問題	emitēt	N	V;POS;NFIN
問題	izdot	問題	izdot	N	V;POS;NFIN
開発	attīstība	開発	attīstība	V	N;NOM;FEM;SG
開発	izstrāde	開発	izstrāde	V	N;NOM;FEM;SG
開発	attīstīšana	開発	attīstīšana	V	N;NOM;FEM;SG
決定	lēmums	決定	lēmums	V	N;NOM;MASC;SG
決定	lēmumi	決定	lēmums	V	N;NOM;MASC;PL
決定	lēmumus	決定	lēmums	V	N;ACC;MASC;PL
音楽	music	音楽	musicēt	N	
転送	pārvietošana	転送	pārvietošana	V	N;NOM;FEM;SG
転送	nodošana	転送	nodošana	V	N;NOM;FEM;SG
転送	nodošanas	転送	nodošana	V	N;NOM;FEM;PL
転送	pārsūtīšana	転送	pārsūtīšana	V	N;NOM;FEM;SG
転送	nodošana	転送	nodošana	V	N;NOM;FEM;SG
公式	formula	公式	formulis	ADJ	N;NOM;MASC;SG
公式	formulas	公式	formula	ADJ	N;NOM;FEM;PL
公式	amatpersona	公式	amatpersons	ADJ	N;NOM;FEM;SG
公式	ierēdnis	公式	ierēdnis	ADJ	N;NOM;MASC;SG
参加	piedalīšanās	参加	piedalīšanās	V	N;NOM;FEM;SG
参加	līdzdalība	参加	līdzdalība	V	N;NOM;FEM;SG
参加	dalība	参加	dalība	V	N;NOM;FEM;SG
変更	izmaiņas	変更	izmaiņa	V	N;NOM;FEM;PL
変更	pārmaiņas	変更	pārmaiņa	V	N;NOM;FEM;PL
変更	maiņa	変更	maiņa	V	N;NOM;FEM;SG
変更	izmaiņas	変更	izmaiņa	V	N;NOM;FEM;PL
変更	pārmaiņas	変更	pārmaiņa	V	N;NOM;FEM;PL
記録	ierakstīšana	記録	ierakstīšana	V	N;NOM;FEM;SG
記録	reģistrēšana	記録	reģistrēšana	V	N;NOM;FEM;SG
記録	ierakstīšanas	記録	ierakstīšana	V	N;NOM;FEM;SG
記録	reģistrācija	記録	reģistrācija	V	N;NOM;FEM;SG
記録	rekords	記録	rekords	V	N;NOM;MASC;SG
記録	ieraksts	記録	ieraksts	V	N;NOM;MASC;SG
クラブ	club	クラブ	clubt	N	
中央	centrālā	中央	centrāla	N	ADJ;NOM;FEM;SG
中央	centrālais	中央	centrāls	N	ADJ;NOM;MASC;SG
中央	centrālās	中央	centrāla	N	ADJ;NOM;FEM;PL
同じ	pašas	同じ	pati	ADJ	PRO;NOM;FEM;PL
同じ	pašu	同じ	pats	ADJ	PRO;ACC;MASC;SG
設立	pievienošanas	設立	pievienošana	V	N;NOM;FEM;SG
設立	iekļaušana	設立	iekļaušana	V	N;NOM;FEM;SG
設立	izveide	設立	izveide	V	N;NOM;FEM;SG
設立	uzņēmums	設立	uzņēmums	V	N;NOM;MASC;SG
設立	izveidi	設立	izveide	V	N;ACC;FEM;SG
設立	izveidošana	設立	izveidošana	V	N;NOM;FEM;SG
考え	domāšana	考える	domāšana	V	N;NOM;FEM;SG
考え	domās	考える	doma	V	N;ESS;FEM;PL
考え	domas	考える	doma	V	N;NOM;FEM;PL
プロ	pro	プロ	pro	N	
設置	uzstādīšana	設置	uzstādīšana	V	N;NOM;FEM;SG
設置	instalācija	設置	instalācija	V	N;NOM;FEM;SG
設置	iekārta	設置	iekārta	V	N;NOM;FEM;SG
発表	paziņojums	発表	paziņojums	V	N;NOM;MASC;SG
小学校	elementāri	小学校	elementārs	N	ADV
小学校	vienkāršā	小学校	vienkārša	N	ADJ;NOM;FEM;SG
編集	edits	編集	edits	V	N;NOM;MASC;SG
編集	rediģēšanas	編集	rediģēšana	V	N;NOM;FEM;SG
フランス	franciju	フランス	francija	PROPN	PROPN;ACC;FEM;SG
フランス	francijā	フランス	francija	PROPN	PROPN;ESS;FEM;SG
フランス	francija	フランス	francija	PROPN	PROPN;NOM;FEM;SG
フランス	france	フランス	france	PROPN	
出版	izdevējs	出版	izdevējs	V	N;NOM;MASC;SG
出版	publicēšanu	出版	publicēšana	V	N;ACC;FEM;SG
出版	publicēšana	出版	publicēšana	V	N;NOM;FEM;SG
出版	izdošana	出版	izdošana	V	N;NOM;FEM;SG
出版	publikācija	出版	publikācija	V	N;NOM;FEM;SG
出版	publicēšana	出版	publicēšana	V	N;NOM;FEM;SG
出版	publikācija	出版	publikācija	V	N;NOM;FEM;SG
出版	publicēšanas	出版	publicēšana	V	N;NOM;FEM;PL
ノート	piezīme	ノート	piezīme	N	
ノート	atzīmē	ノート	atzīmēt	N	V;FH;IND;3;POS;PRS;FIN;ACT
京都	kioto	京都	kiots	PROPN	N
ドイツ	vācijas	ドイツ	vācija	PROPN	PROPN;NOM;FEM;SG
ドイツ	vācija	ドイツ	vācija	PROPN	PROPN;NOM;FEM;SG
ドイツ	vācijā	ドイツ	vācija	PROPN	PROPN;ESS;FEM;SG
シングル	vienotā	シングル	vienots	N	ADJ;NOM;FEM;SG
シングル	vienreizēja	シングル	vienreizēja	N	ADJ;NOM;FEM;SG
シングル	vienots	シングル	vienots	N	ADJ;NOM;MASC;SG
シングル	vienotais	シングル	vienot	N	ADJ;NOM;MASC;SG
終了	iziet	終了	iziet	V	
