den	os	den	o	PRO;DEF;MASC+FEM;SG	PRO;ACC;MASC;PL;3
med	med	med	med	ADP	N;MASC;SG
som	like	som	like	CONJ	N;MASC;SG
som	curta	som	curto	CONJ	ADJ;FEM;SG
som	como	som	como	CONJ	ADV
som	qual	som	qual	CONJ	PRO;MASC;SG
runt	redonda	runt	redonda	ADV	N;FEM;SG
runt	redondo	runt	redonder	ADV	N;MASC;SG
runt	ronda	runt	ronda	ADV	N;FEM;SG
runt	round	runt	round	ADV	N;MASC;SG
runt	rodada	runt	rodada	ADV	N;FEM;SG
månaden	mensal	månad	mensal	N;NOM;DEF;MASC+FEM;SG	ADJ;MASC;SG
månaden	mensalmente	månad	mensalmente	N;NOM;DEF;MASC+FEM;SG	ADV
månaden	mensais	månad	mensal	N;NOM;DEF;MASC+FEM;SG	N;MASC;PL
nederbörd	chuvas	nederbörd	chuva	N;NOM;INDF;MASC+FEM;SG	N;FEM;PL
ligger	mentiras	ligga	mentira	V;IND;PRS;FIN;ACT	N;FEM;PL
att	essa	att	esse	PART	PRO;FEM;SG
att	isso	att	isso	PART	PRO;MASC;SG
att	que	att	que	PART	PRO;MASC;SG
ett	one	en	one	NUM;NOM;INDF;NEUT;SG	N;MASC;SG
över	over	över	over	ADP	N;MASC;SG
inga	nenhum	ingen	nenhum	PRO;INDF;PL	DET;MASC;SG
inga	nenhuma	ingen	nenhum	PRO;INDF;PL	DET;FEM;SG
inga	inga	ingen	ingar	PRO;INDF;PL	N;FEM;SG
underarter	subespécie	underart	subespécie	N;NOM;INDF;MASC+FEM;PL	N;FEM;SG
listade	listada	lisa	listar	ADJ;NOM;PL;PST;V.PTCP	V;FEM;SG;V.PTCP
listade	listado	lisa	listar	ADJ;NOM;PL;PST;V.PTCP	V;MASC;SG;V.PTCP
listade	enumerados	lisa	enumerar	ADJ;NOM;PL;PST;V.PTCP	V;MASC;PL;V.PTCP
listade	listados	lisa	listar	ADJ;NOM;PL;PST;V.PTCP	V;MASC;PL;V.PTCP
landet	pais	land	pai	N;NOM;DEF;NEUT;SG	N;MASC;PL
meter	metro	meter	metro	N;NOM;INDF;MASC+FEM;PL	N;MASC;SG
meter	medidor	meter	medidor	N;NOM;INDF;MASC+FEM;PL	N;MASC;SG
meter	contador	meter	contador	N;NOM;INDF;MASC+FEM;PL	N;MASC;SG
meter	métrica	meter	métrico	N;NOM;INDF;MASC+FEM;PL	N;FEM;SG
huvudstaden	capitais	huvudstad	capital	N;NOM;DEF;MASC+FEM;SG	N;MASC;PL
havet	oceanos	hav	oceano	N;NOM;DEF;NEUT;SG	N;MASC;PL
millimeter	milímetro	millimet	milímetro	N;NOM;INDF;MASC+FEM;PL	N;MASC;SG
